Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,11.6,12.82,11.52,12.62,4.4886,4616776
2009-01-05,12.38,13.05,12.34,12.87,4.5775,5936463
2009-01-06,13.17,13.96,12.99,13.88,4.9367,10231273
2009-01-07,13.28,13.33,12.47,12.65,4.4991,6777618
2009-01-08,12.58,12.7,12.16,12.54,4.4601,6660504
2009-01-09,12.64,12.69,12.04,12.46,4.4317,6566174
2009-01-12,12.33,12.33,11.63,11.82,4.2041,5990863
2009-01-13,11.58,11.95,11.19,11.44,4.0691,9178120
2009-01-14,10.9,10.92,9.96,10.24,3.6421,17286473
2009-01-15,10.52,10.64,9.48,10.41,3.7027,15210655
2009-01-16,11.03,11.03,9.97,10.31,3.667,12221506
2009-01-20,10.34,10.36,9.23,9.23,3.2829,14587920
2009-01-21,9.65,10.31,9.43,10.29,3.6597,14845704
2009-01-22,9.71,10.01,9.38,9.74,3.4643,14395846
2009-01-23,9.05,10.13,9.05,10.03,3.5675,8497877
2009-01-26,10.1,10.34,9.79,9.89,3.5176,7529738
2009-01-27,10.01,10.15,9.63,9.74,3.4643,7845463
2009-01-28,10.3,10.87,10.28,10.82,3.8482,10449659
2009-01-29,10.48,10.5325,10.12,10.19,3.6242,6879665
2009-01-30,10.28,10.45,9.88,10.04,3.5711,7881999
2009-02-02,9.62,10.05,9.59,9.85,3.5155,7846845
2009-02-03,9.83,10.07,9.68,10,3.5692,5522824
2009-02-04,10.13,10.53,10,10.15,3.6227,10623744
2009-02-05,10.17,10.8125,9.91,10.7,3.8189,8825481
2009-02-06,10.85,11.79,10.84,11.65,4.1581,13370454
2009-02-09,11.52,11.63,11.34,11.46,4.0904,8727545
2009-02-10,11.67,11.78,10.6,10.79,3.851,10809397
2009-02-11,11.03,11.26,10.62,10.93,3.9013,8630129
2009-02-12,10.54,11.06,10.42,11.06,3.9473,7853121
2009-02-13,10.96,11.25,10.84,11.12,3.9688,7755107
2009-02-17,10.67,10.7,10.17,10.2,3.6406,12509848
2009-02-18,10.37,10.39,9.9,9.98,3.562,8187171
2009-02-19,10.23,10.36,9.81,9.97,3.5585,8431566
2009-02-20,9.56,9.79,9.3,9.55,3.4083,13809648
2009-02-23,9.39,9.71,8.81,8.84,3.1554,7319486
2009-02-24,8.76,9.84,8.56,9.78,3.4905,7026814
2009-02-25,9.24,9.68,9.04,9.41,3.3587,14003083
2009-02-26,9.76,9.91,9.54,9.56,3.4118,8522627
2009-02-27,9.24,9.49,9.16,9.18,3.2767,9837447
2009-03-02,8.97,9.08,8.51,8.57,3.0611,9143123
2009-03-03,8.69,8.8625,8.3,8.63,3.0823,8113033
2009-03-04,8.77,9.43,8.77,9.27,3.3105,9755959
2009-03-05,8.93,9.25,8.82,9.17,3.2752,9945550
2009-03-06,9.3,9.645,9.12,9.45,3.3749,10128927
2009-03-09,9.18,9.54,9.12,9.21,3.2894,7652781
2009-03-10,9.39,10,9.39,9.91,3.5577,8802551
2009-03-11,9.96,10.13,9.62,9.9,3.554,7537082
2009-03-12,9.98,10.48,9.85,10.36,3.7191,8620170
2009-03-13,10.51,10.56,10.13,10.35,3.7155,7132688
2009-03-16,10.78,11,10.44,10.49,3.7657,9070581
