Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,35.15,36.87,35,36.67,28.094,2621071
2009-01-05,36.39,36.92,35.9,36.27,27.7874,3187857
2009-01-06,36.61,37.38,36.19,36.94,28.3008,3135077
2009-01-07,36.53,37.26,35.81,35.84,27.4579,5411248
2009-01-08,35.73,37.16,35.3,37,28.3468,5706896
2009-01-09,37,37.47,35.92,36.28,27.7955,3964974
2009-01-12,36.26,36.26,35.29,35.59,27.2667,3156830
2009-01-13,35.38,35.84,34.73,35.18,26.9524,3569599
2009-01-14,34.7,34.91,34.25,34.49,26.424,3824832
2009-01-15,34.3,35.54,33.86,35.1,26.8911,4024880
2009-01-16,35.59,35.59,33.76,34.63,26.531,3849034
2009-01-20,34.62,34.62,33.35,33.43,25.6117,3271412
2009-01-21,33.74,34.54,32.68,34.43,26.378,4373158
2009-01-22,33.89,34.2,32.84,33.63,25.765,3549317
2009-01-23,32.01,33.47,32.01,33.04,25.3129,3733686
2009-01-26,32.97,34.04,32.62,33.18,25.4204,2900286
2009-01-27,33.33,34.78,33.33,34.53,26.4545,3476098
2009-01-28,35.13,35.3,34.65,34.9,26.738,5129316
2009-01-29,33.42,34.21,33.11,33.8,25.8952,4884176
2009-01-30,33.64,34.1,32.47,32.66,25.022,4575430
2009-02-02,32.16,32.88,31.79,32.47,24.876,3597226
2009-02-03,33.3,34.17,32.69,34,26.0484,4858953
2009-02-04,34.11,35.4,34,34.54,26.4621,5101736
2009-02-05,34.4,35.9,34.06,35.6,27.2743,4201601
2009-02-06,35.69,36.28,35.38,35.82,27.4428,4885657
2009-02-09,35.73,36.26,35.5,35.97,27.5577,2246365
2009-02-10,35.51,35.97,33.9,34.15,26.1637,3364269
2009-02-11,35.4,35.44,34.6164,35.06,26.8606,3832586
2009-02-12,34.51,34.79,33.49,34.77,26.6383,3984088
2009-02-13,34.58,35.72,34.58,35.12,26.9066,3406469
2009-02-17,33.01,33.5,30.03,32.96,25.2514,5169462
2009-02-18,33.14,33.23,32.27,32.78,25.1138,6064944
2009-02-19,33.07,33.07,31.21,31.33,24.0026,5670084
2009-02-20,30.73,31.95,29.94,30.71,23.528,5742019
2009-02-23,30.93,31.09,29.33,29.39,22.5163,5467882
2009-02-24,29.72,30.21,28.76,30,22.9842,5786976
2009-02-25,29.89,30,28.87,29.3,22.4477,6194925
2009-02-26,29.85,29.95,28.44,28.48,21.8195,5151606
2009-02-27,28,28.65,27.75,27.8,21.2984,6514720
2009-03-02,27.21,27.39,26.02,26.32,20.1644,7048531
2009-03-03,26.65,28.24,26.23,27.55,21.1067,11434497
2009-03-04,28.06,29,27.4,28.43,21.781,6765422
2009-03-05,27.74,28,25.95,26.19,20.0648,6887316
2009-03-06,25.98,26.97,25.8,26.8,20.5322,7203275
2009-03-09,26.44,27.03,26.13,26.31,20.1571,4744764
2009-03-10,26.57,27.84,26.57,27.8,21.2984,4219901
2009-03-11,27.24,28.43,27.24,28.1,21.5284,4050583
2009-03-12,27.98,28.51,27.16,28.39,21.7505,4564870
2009-03-13,28.59,28.59,27.64,27.85,21.3366,3843230
2009-03-16,25.6,28.15,25.6,26.94,20.6394,9800039
2009-03-17,26.25,27.32,26.09,27.32,20.9308,5253662
2009-03-18,27.09,28.1,26.63,27.85,21.3366,5292246
2009-03-19,28.11,29.28,28.11,28.75,22.0261,9203460
2009-03-20,28.54,29.27,27.59,27.74,21.2526,7789576
2009-03-23,28.41,29.73,27.95,29.73,22.7771,5150859
2009-03-24,29.17,31.4,27.31,30.33,23.2367,8290034
2009-03-25,30.64,32.26,30.22,30.85,23.6352,7531880
2009-03-26,30.95,32.46,30.83,32.4,24.8227,5071298
2009-03-27,31.92,32.35,31.39,31.88,24.6601,5028046
2009-03-30,31.12,31.12,29.88,30.36,23.4845,4129286
2009-03-31,30.6,31.6,30.17,30.85,23.8633,4531706
2009-04-01,30.37,31.47,29.69,31.11,24.0646,4456327
2009-04-02,31.8,33.41,31.58,32.57,25.1937,5495402
2009-04-03,31.84,32.55,31.71,32.44,25.0936,5453530
2009-04-06,32.16,32.35,31.48,32.15,24.8692,3395908
2009-04-07,31.91,32.04,30.61,30.71,23.7551,4182744
2009-04-08,30.92,31.2,30.18,30.6,23.6701,2995796
2009-04-09,32.91,32.91,31.26,32.54,25.1708,3343882
2009-04-13,32.17,32.46,31.58,32.24,24.9387,2914618
2009-04-14,31.85,31.99,30.97,31.51,24.3738,3692308
2009-04-15,31.45,31.83,30.81,31.16,24.1032,6679319
2009-04-16,32.99,34.06,32.5,33.15,25.6428,11027298
2009-04-17,32.22,33.07,32.13,32.22,24.9234,6003616
2009-04-20,31.75,32.13,31.145,31.25,24.1728,3718329
2009-04-21,30.95,32,30.95,31.76,24.5678,3696505
2009-04-22,31.52,33.82,31.16,33,25.5264,4970054
2009-04-23,33.24,33.37,32.4,33.26,25.7276,3960814
2009-04-24,33.5,34.26,33.15,33.87,26.1993,4084602
2009-04-27,33.4,33.82,32.82,33.18,25.6658,2765938
2009-04-28,33.16,33.51,32.41,32.51,25.1474,2521692
2009-04-29,32.85,33.87,32.85,33.4,25.8359,2593548
2009-04-30,33.68,34.18,32.71,32.8,25.3715,2873738
2009-05-01,32.64,33.45,32.38,33.3,25.7585,3076318
2009-05-04,33.27,34.32,32.8,34.3,26.5321,3154898
2009-05-05,34.25,34.71,33.8,34.08,26.3618,2902903
2009-05-06,34.47,34.75,33.89,34.62,26.7793,2624717
2009-05-07,34.97,34.97,33.39,33.6,25.991,2992899
2009-05-08,34.24,34.79,33.8599,34.66,26.8106,3233612
2009-05-11,34.25,34.57,33.81,34.33,26.5551,3653308
2009-05-12,34.59,34.63,33.46,34.55,26.7254,4358258
2009-05-13,34.12,34.31,33.15,34.06,26.3463,7137442
2009-05-14,34.06,34.67,33.65,33.95,26.2613,4448718
2009-05-15,33.74,34.03,32.79,33.01,25.5343,4971042
2009-05-18,33.25,33.68,33.05,33.68,26.0526,3932096
2009-05-19,33.51,34.11,33.33,33.53,25.9366,4159527
2009-05-20,33.73,34.55,33.65,33.72,26.0836,4258786
2009-05-21,33.55,33.56,32.51,32.79,25.3644,3196273
2009-05-22,32.94,33.46,32.51,32.54,25.1708,2744690
2009-05-26,32.25,33.91,32.07,33.71,26.0755,3102248
2009-05-27,33.77,33.83,32.39,32.41,25.0704,4157129
2009-05-28,32,32.51,31.48,32.14,24.8615,4722340
2009-05-29,32.27,32.41,31.73,32.29,24.9772,4498075
2009-06-01,33.77,36.01,33.58,35.85,27.7313,6710009
2009-06-02,35.94,36.61,35.38,35.95,27.8086,5945850
2009-06-03,35.94,36.19,35.55,35.99,27.8395,4079374
2009-06-04,36.19,36.69,35.8,36.61,28.3192,2684373
2009-06-05,36.76,37.27,36.45,37.03,28.644,4385152
2009-06-08,36.94,37.33,36.27,36.97,28.5975,2453730
2009-06-09,37.03,37.33,36.61,37.26,28.8219,2403534
2009-06-10,37.41,37.8,37.01,37.58,29.0693,3723261
2009-06-11,37.67,38.42,37.57,37.87,29.2936,2876814
2009-06-12,37.73,38.1903,37.28,38.08,29.4562,3334496
2009-06-15,37.2,37.42,36.665,36.86,28.5124,3723845
2009-06-16,37.9,37.95,36.53,36.6,28.3113,4066457
2009-06-17,36.48,37.06,36.24,36.77,28.4429,3664733
2009-06-18,36.69,36.84,36.11,36.18,27.9863,3278544
2009-06-19,36.4,36.47,35.38,35.47,27.4372,5333351
2009-06-22,35.23,35.23,34.46,34.46,26.656,5207573
2009-06-23,34.62,35.11,34.35,34.95,27.0348,4039602
2009-06-24,35.17,35.95,35.09,35.3,27.3055,3714347
2009-06-25,35.21,37.08,35.21,36.8,28.4658,4712722
2009-06-26,37.26,37.9,37,37.45,29.215,6855974
2009-06-29,37.54,38.97,37.32,37.92,29.5815,4709193
2009-06-30,37.62,37.99,37.01,37.34,29.1292,3230005
2009-07-01,37.36,37.92,37.3313,37.5,29.254,2886814
2009-07-02,36.9,37.5,36.22,36.22,28.2551,3167582
2009-07-06,36.01,36.04,35.41,35.71,27.8576,3656608
2009-07-07,35.59,35.8,34.8,34.9,27.2254,3214760
2009-07-08,34.98,35.15,34.47,34.86,27.1943,3778535
2009-07-09,34.99,35.38,34.87,35.11,27.3892,2878564
2009-07-10,34.99,35.87,34.9,35.77,27.9043,2771908
2009-07-13,35.94,36.75,35.68,36.72,28.6452,3189077
2009-07-14,36.8,37.255,36.34,37.19,29.012,2434103
2009-07-15,37.54,38.36,37.45,38.24,29.8309,3959903
2009-07-16,38.05,38.7,37.9604,38.54,30.0651,2715083
2009-07-17,38.17,38.925,38.17,38.75,30.2288,2543369
2009-07-20,38.88,39.95,38.88,39.94,31.1573,3175257
2009-07-21,40.3,40.32,38.96,39.74,31.0012,3981357
2009-07-22,39.85,40.27,39.17,40.17,31.3368,5877653
2009-07-23,40.27,40.99,40.03,40.83,31.8517,4093953
2009-07-24,40.3,40.94,39.95,40.94,31.9373,2762534
2009-07-27,40.9,41,40.26,40.64,31.7034,2590456
2009-07-28,40.36,40.61,39.89,40.25,31.3992,2338921
2009-07-29,39.9,40.255,39.5,39.94,31.1573,2247054
2009-07-30,40.56,41.07,40.31,40.38,31.5005,2603816
2009-07-31,40.35,40.83,40.16,40.55,31.6332,3064848
2009-08-03,41.24,41.24,40.3,40.69,31.7423,3436538
2009-08-04,40.6,41.1,40.4,41.05,32.0232,2372416
2009-08-05,41.22,41.34,39.76,40.39,31.5086,2976332
2009-08-06,40.38,40.78,40.23,40.41,31.5241,2752959
2009-08-07,40.8,41.21,40.52,40.96,31.9529,1835756
2009-08-10,40.86,40.86,39.8,40.06,31.2509,2780330
2009-08-11,40.05,40.13,39.5,39.96,31.1729,2274247
2009-08-12,39.85,41.39,39.8,40.88,31.8907,2888853
2009-08-13,41.04,42,40.83,42,32.7642,3439751
2009-08-14,42,42,40.77,41.29,32.2103,2425097
2009-08-17,40.42,40.79,39.84,40.18,31.3443,2442190
2009-08-18,40.26,41.23,40.06,41.17,32.1171,2960237
2009-08-19,40.77,41.63,40.54,41.06,32.0309,2309279
2009-08-20,41.31,41.93,41.06,41.66,32.4993,3605767
2009-08-21,41.79,42.45,41.52,42.29,32.9904,3694454
2009-08-24,42.53,42.75,41.9,42.03,32.7878,3810645
2009-08-25,42.38,43.25,42.07,43.05,33.5835,4042731
2009-08-26,42.83,42.89,42.13,42.28,32.9829,2664061
2009-08-27,42.32,42.83,41.9,42.7,33.3104,2366189
2009-08-28,43.19,43.26,42.01,42.27,32.9747,2130089
2009-08-31,41.78,42.06,41.43,41.82,32.6239,1779925
2009-09-01,41.66,42.43,41.13,41.25,32.1793,2594555
2009-09-02,41.22,41.48,40.848,40.93,31.9299,2727437
2009-09-03,41.11,41.26,40.6,41.05,32.0232,2530846
2009-09-04,40.91,41.77,40.86,41.77,32.5851,1949499
2009-09-08,42.03,42.19,41.4,41.85,32.6472,2305979
2009-09-09,43.06,44,42.53,43.93,34.2698,5901514
2009-09-10,43.01,43.92,43,43.85,34.2076,5033307
2009-09-11,43.72,44.47,43.72,44.02,34.3402,3645113
2009-09-14,43.67,44.455,43.4399,44.2,34.4806,3081400
2009-09-15,44.71,44.71,43.52,43.87,34.2231,5309296
2009-09-16,44.11,44.16,43.13,43.91,34.2542,5222137
2009-09-17,43.96,44.5,43.63,44.45,34.6759,4515736
2009-09-18,44.57,44.91,44.28,44.37,34.6129,4512971
2009-09-21,43.89,44.16,43.69,43.85,34.2076,2631658
2009-09-22,44.07,44.29,43.37,43.98,34.3087,2796469
2009-09-23,44.16,44.28,42.97,43.01,33.5525,3361749
2009-09-24,43.02,43.25,42.17,42.39,33.0685,3157817
2009-09-25,42.23,42.76,41.97,42.3,32.9987,3921754
2009-09-28,42.39,43.28,42.35,43.11,33.8737,3980669
2009-09-29,43.14,43.49,42.92,43.09,33.8577,2713232
2009-09-30,43.01,43.3,42.13,42.71,33.5595,4025800
2009-10-01,42.43,42.71,41.49,41.53,32.6324,3832185
2009-10-02,41.19,41.86,40.77,41.69,32.7581,5015731
2009-10-05,41.79,42.52,41.32,42.4,33.3161,3028548
2009-10-06,42.61,43.96,42.57,43.31,34.0311,4467196
2009-10-07,43.31,44.19,43.05,44.17,34.7067,5300106
2009-10-08,44.54,45.29,44.46,44.95,35.3194,6750682
2009-10-09,45.06,45.06,44.63,45.02,35.3748,5420630
2009-10-12,45.31,45.53,45.11,45.21,35.5239,3404952
2009-10-13,45.03,45.26,44.21,44.49,34.958,4364763
2009-10-14,45.05,45.35,44.63,45.28,35.579,4432208
2009-10-15,45.04,45.38,44.91,45.36,35.6419,4317624
2009-10-16,45.13,45.55,44.76,45.33,35.6186,3596556
2009-10-19,45.49,46.36,45.31,46.22,36.3176,4061302
2009-10-20,46.45,48.61,46.18,48.52,38.1246,9094143
2009-10-21,48.34,49.72,47.85,47.97,37.6926,7887891
2009-10-22,48.07,48.96,47.36,48.75,38.3056,4464134
2009-10-23,48.91,49.01,47.44,47.78,37.5435,3991247
2009-10-26,47.88,48.36,46.7,47.11,37.0169,3202172
2009-10-27,47.34,47.85,47.03,47.06,36.9775,2881972
2009-10-28,46.85,47.05,46.05,46.12,36.239,3589965
2009-10-29,46.4,47.14,46.24,46.94,36.8833,3285711
2009-10-30,46.75,47.24,45.6,45.92,36.0821,4313247
2009-11-02,45.84,46.82,45.55,46.32,36.3962,3951485
2009-11-03,45.94,47.07,45.94,47.01,36.9386,2546767
2009-11-04,47.29,47.53,46.4,46.5,36.5374,3930358
2009-11-05,46.84,48.29,46.82,48.27,37.928,2864657
2009-11-06,48.08,48.87,47.41,48.39,38.0224,2893856
2009-11-09,48.85,49.81,48.67,49.72,39.068,2677896
2009-11-10,49.6,50,49.19,49.43,38.8396,2766209
2009-11-11,49.82,49.9,48.93,49.16,38.6278,3264051
2009-11-12,49.05,49.57,48.28,48.33,37.9758,2919362
2009-11-13,48.34,49.25,48.02,48.98,38.4862,1911377
2009-11-16,49.7,51.16,49.58,51.02,40.0889,4375204
2009-11-17,51.1,51.11,50.25,50.6,39.7589,2915919
2009-11-18,50.23,50.7,50.2,50.6,39.7589,2133004
2009-11-19,50.19,50.43,49.3,49.72,39.068,2785526
2009-11-20,49.42,49.65,49.15,49.51,38.9024,2455461
2009-11-23,50.19,50.48,49.65,49.78,39.1147,2266873
2009-11-24,49.58,50.07,48.91,49.39,38.8083,2581370
2009-11-25,49.48,49.49,49.06,49.36,38.7847,1746606
2009-11-27,48.05,49.02,47.73,48.66,38.2345,1139747
2009-11-30,48.51,48.77,47.77,48.64,38.2191,3298151
2009-12-01,48.93,49.51,48.61,48.73,38.2897,3598931
2009-12-02,48.8,49.33,48.39,48.78,38.329,2670082
2009-12-03,48.84,49.17,48.27,48.3,37.9518,2181803
2009-12-04,48.93,49.33,47.98,48.49,38.1012,3001215
2009-12-07,48.04,48.69,47.88,48.55,38.1488,2065860
2009-12-08,48.01,48.03,47.31,47.58,37.3863,3062101
2009-12-09,47.58,48.06,47,47.86,37.6062,3659113
2009-12-10,48.2,48.48,47.54,47.76,37.5276,2485080
2009-12-11,47.73,48.29,47.11,47.99,37.7083,3295094
2009-12-14,49.43,49.43,48.84,49.28,38.722,3576407
2009-12-15,49.06,49.22,48.74,48.89,38.4155,2397826
2009-12-16,49.01,49.03,48.38,48.45,38.0698,2562465
2009-12-17,48.18,48.41,47.61,47.61,37.4097,4141204
2009-12-18,47.68,47.9,47.31,47.57,37.3781,3067679
2009-12-21,47.98,48.01,47.57,47.59,37.394,2864109
2009-12-22,47.68,47.89,47.48,47.63,37.4254,2108684
2009-12-23,47.7,47.81,47.34,47.61,37.4097,1843509
2009-12-24,47.74,48.09,47.61,47.96,37.6847,613016
2009-12-28,48.03,48.24,47.8,48.22,37.8887,1537031
2009-12-29,48.14,48.88,47.99,48.48,38.3399,2789248
2009-12-30,48.19,48.71,48.19,48.63,38.4585,1807822
2009-12-31,48.64,48.8,47.95,47.99,37.9523,1297424
2010-01-04,48.59,48.94,48.06,48.57,38.411,2728060
2010-01-05,48.44,48.58,48.08,48.44,38.3083,2247681
2010-01-06,48.49,48.49,48.03,48.33,38.2212,2575110
2010-01-07,48.14,48.6899,48.14,48.64,38.4663,2593072
2010-01-08,48.52,49.15,48.46,49.1,38.8301,3119444
2010-01-11,49.41,50.15,49.1,49.95,39.5024,2944271
2010-01-12,49.06,49.69,48.44,48.69,38.5061,3908692
2010-01-13,48.7,48.88,48.22,48.66,38.4823,2433606
2010-01-14,48.48,48.6,48.23,48.51,38.3637,1803483
2010-01-15,48.61,48.61,47.79,47.88,37.8655,3264193
2010-01-19,47.93,48.67,47.81,48.66,38.4823,3319044
2010-01-20,48.15,48.35,47.78,48.25,38.1577,2660605
2010-01-21,48.05,48.21,45.85,45.9,36.2995,5861976
2010-01-22,45.73,46.25,45.29,45.35,35.8645,3519350
2010-01-25,45.75,46.02,45.24,45.43,35.9276,2080287
2010-01-26,45.23,45.74,44.85,45.19,35.7382,3237608
2010-01-27,42.85,44.56,42.39,43.99,34.789,7651282
2010-01-28,44.66,44.89,43.81,43.93,34.7416,4071786
2010-01-29,44.14,44.69,43.5,43.59,34.4727,3473363
2010-02-01,43.92,44.28,43.49,43.7,34.5595,3298210
2010-02-02,43.8,44.15,43.64,44.02,34.8126,5056070
2010-02-03,43.75,44.07,43.5,43.74,34.5912,3233109
2010-02-04,43.4,43.42,42.46,42.53,33.6343,4016930
2010-02-05,42.6,42.7,41.94,42.66,33.7369,4144120
2010-02-08,42.71,43.03,42.24,42.25,33.4129,2383323
2010-02-09,42.71,43.92,42.61,43.29,34.2354,3267071
2010-02-10,43.24,43.35,42.64,42.99,33.9981,2125912
2010-02-11,43.25,43.99,42.68,43.9,34.7176,3633559
2010-02-12,43.38,43.81,42.92,43.64,34.5123,3109326
2010-02-16,43.97,44.78,43.77,44.69,35.3424,2493838
2010-02-17,44.95,45.55,44.73,45.45,35.9434,3814921
