Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,1.87,2,1.87,2,2,11513
2009-01-05,2.03,2.1,1.85,1.87,1.87,23433
2009-01-06,1.9,1.9,1.66,1.71,1.71,20285
2009-01-07,1.73,1.73,1.45,1.45,1.45,48962
2009-01-08,1.45,1.46,1.26,1.46,1.46,34224
2009-01-09,1.46,1.46,1.34,1.34,1.34,16496
2009-01-12,1.38,1.38,1.2521,1.31,1.31,155782
2009-01-13,1.32,1.63,1.28,1.59,1.59,42186
2009-01-14,1.54,1.68,1.53,1.61,1.61,45267
2009-01-15,1.61,1.61,1.17,1.21,1.21,91297
2009-01-16,1.25,1.38,1.25,1.3,1.3,83637
2009-01-20,1.34,1.42,1.2,1.2,1.2,38826
2009-01-21,1.28,1.29,1.17,1.25,1.25,27993
2009-01-22,1.22,1.34,1.19,1.2,1.2,9007
2009-01-23,1.16,1.2175,0.95,0.98,0.98,187140
2009-01-26,1,1.04,0.99,1.03,1.03,32069
2009-01-27,1.07,1.07,0.98,1.02,1.02,70480
2009-01-28,1.04,1.05,1,1.02,1.02,10813
2009-01-29,1,1.02,0.95,0.97,0.97,15465
2009-01-30,0.98,1,0.95,0.96,0.96,7084
2009-02-02,0.99,1.07,0.99,1.04,1.04,55317
2009-02-03,1.05,1.22,0.99,1.07,1.07,66306
2009-02-04,1.13,1.15,0.95,0.96,0.96,65099
2009-02-05,0.98,1.01,0.97,1.01,1.01,6709
2009-02-06,1.01,1.17,0.985,1.03,1.03,17804
2009-02-09,1.02,1.0399,0.98,1.01,1.01,13724
2009-02-10,1.005,1.0584,0.95,0.95,0.95,140671
2009-02-11,0.97,1.03,0.96,0.96,0.96,15047
2009-02-12,0.99,1.05,0.98,1,1,28784
2009-02-13,1.01,1.09,0.99,1.01,1.01,28261
2009-02-17,0.99,1.0566,0.95,0.95,0.95,29830
2009-02-18,0.95,1.01,0.95,0.95,0.95,6007
2009-02-19,0.9699,1.01,0.95,0.98,0.98,9515
2009-02-20,0.95,0.9601,0.82,0.9,0.9,42054
2009-02-23,0.9,1.04,0.9,0.92,0.92,7665
2009-02-24,0.92,1.05,0.91,1.05,1.05,22674
2009-02-25,1.01,1.01,0.91,0.945,0.945,13216
2009-02-26,0.95,1,0.79,0.79,0.79,11366
2009-02-27,0.78,0.94,0.74,0.74,0.74,13481
2009-03-02,0.73,0.78,0.63,0.69,0.69,33261
2009-03-03,0.72,0.74,0.69,0.69,0.69,31414
2009-03-04,0.72,0.74,0.69,0.73,0.73,10096
2009-03-05,0.7,0.75,0.67,0.67,0.67,12026
2009-03-06,0.67,0.71,0.5902,0.62,0.62,11740
2009-03-09,0.62,0.6897,0.58,0.58,0.58,23988
2009-03-10,0.58,0.8,0.58,0.8,0.8,16204
2009-03-11,0.8001,0.8001,0.74,0.74,0.74,5614
2009-03-12,0.67,0.78,0.67,0.78,0.78,14575
2009-03-13,0.78,0.82,0.7,0.74,0.74,2606
2009-03-16,0.8,1,0.8,0.98,0.98,9034
2009-03-17,0.87,1,0.79,1,1,10630
2009-03-18,1,1,0.9,0.96,0.96,8524
2009-03-19,0.96,1,0.8,0.98,0.98,6709
2009-03-20,1,1,0.91,0.91,0.91,24235
2009-03-23,0.94,1.03,0.85,1.03,1.03,14472
2009-03-24,1.01,1.08,0.85,0.9,0.9,29330
2009-03-25,0.91,1.01,0.85,1,1,26867
2009-03-26,1.06,1.06,0.95,1,1,13803
2009-03-27,1.02,1.0399,0.89,0.89,0.89,15671
2009-03-30,0.89,1.05,0.85,0.98,0.98,19448
2009-03-31,0.99,1,0.85,0.89,0.89,9667
2009-04-01,0.89,0.98,0.89,0.95,0.95,6287
2009-04-02,0.95,1.08,0.9,1.08,1.08,30570
2009-04-03,1.43,1.43,0.91,1.01,1.01,21276
2009-04-06,0.93,1.03,0.93,0.97,0.97,8611
2009-04-07,0.9601,1.02,0.9601,0.98,0.98,25244
2009-04-08,0.99,1.03,0.97,1.03,1.03,3753
2009-04-09,1.03,1.05,0.99,1.02,1.02,34868
2009-04-13,1,1,0.83,0.98,0.98,15416
2009-04-14,0.95,0.99,0.95,0.95,0.95,19637
2009-04-15,0.95,0.96,0.72,0.788,0.788,184831
2009-04-16,0.8,0.859,0.79,0.8,0.8,31535
2009-04-17,0.85,0.85,0.766,0.78,0.78,20052
2009-04-20,0.75,0.75,0.66,0.66,0.66,38128
2009-04-21,0.7,0.7,0.65,0.66,0.66,26447
2009-04-22,0.66,0.719,0.515,0.56,0.56,644354
2009-04-23,0.6,0.6,0.5499,0.55,0.55,100457
2009-04-24,0.65,0.65,0.56,0.6,0.6,71370
2009-04-27,0.66,0.697,0.59,0.63,0.63,84392
2009-04-28,0.69,0.6917,0.54,0.63,0.63,72143
2009-04-29,0.63,0.64,0.59,0.61,0.61,20375
2009-04-30,0.64,0.64,0.55,0.55,0.55,49116
2009-05-01,0.6,0.64,0.58,0.6,0.6,118239
2009-05-04,0.6,0.76,0.6,0.76,0.76,176004
2009-05-05,0.76,0.8792,0.76,0.84,0.84,103642
2009-05-06,0.84,0.85,0.73,0.7403,0.7403,71080
2009-05-07,0.79,0.84,0.74,0.74,0.74,64207
2009-05-08,0.74,0.9,0.69,0.87,0.87,96779
2009-05-11,0.8599,0.87,0.79,0.79,0.79,25921
2009-05-12,0.82,0.9,0.82,0.85,0.85,62277
2009-05-13,0.87,0.87,0.79,0.79,0.79,39353
2009-05-14,0.85,0.85,0.8,0.82,0.82,22762
2009-05-15,0.82,0.8372,0.8,0.8,0.8,40888
2009-05-18,0.81,0.89,0.8,0.87,0.87,50338
2009-05-19,0.89,0.89,0.84,0.86,0.86,34278
2009-05-20,0.88,0.9,0.8,0.83,0.83,66199
2009-05-21,0.81,0.89,0.81,0.85,0.85,37495
2009-05-22,0.86,0.88,0.83,0.83,0.83,30898
2009-05-26,0.8501,0.88,0.85,0.88,0.88,35473
2009-05-27,0.88,1.05,0.86,1,1,118248
2009-05-28,1.02,1.05,0.99,1.01,1.01,32911
2009-05-29,1.05,1.06,0.99,1,1,69707
2009-06-01,0.92,1.04,0.92,1,1,89107
2009-06-02,1.05,1.1,0.97,1,1,112543
2009-06-03,1,1.08,0.98,1.03,1.03,26231
2009-06-04,1.03,1.09,0.9901,1.03,1.03,221072
2009-06-05,1.07,1.07,0.9801,1.01,1.01,47947
2009-06-08,1,1.06,0.99,1,1,78071
2009-06-09,0.99,1.04,0.98,1.02,1.02,97789
2009-06-10,1.68,5.1,1.68,3.16,3.16,18447179
2009-06-11,3.55,4.2,2.96,2.99,2.99,10470555
2009-06-12,3.17,3.17,2.51,2.64,2.64,2820115
2009-06-15,3.5,4.85,3.38,4.56,4.56,27415790
2009-06-16,4.34,4.55,3.75,3.79,3.79,7120013
2009-06-17,3.77,4.18,3.02,3.76,3.76,6021957
2009-06-18,3.8,4.15,3.41,3.72,3.72,4077024
2009-06-19,3.9,3.93,3.37,3.49,3.49,2892297
2009-06-22,3.39,3.4897,3.26,3.27,3.27,935159
2009-06-23,3.34,3.5,3.05,3.07,3.07,668220
2009-06-24,3.37,3.4797,3.05,3.25,3.25,1771702
2009-06-25,4.67,5.27,4.4,4.48,4.48,14934014
2009-06-26,4.13,4.41,3.86,3.88,3.88,3840559
2009-06-29,4,4.1,3.75,3.79,3.79,1504833
2009-06-30,3.8,3.8,3.65,3.7,3.7,705531
2009-07-01,3.74,4.1,3.65,3.97,3.97,1939891
2009-07-02,3.92,4.1,3.75,3.82,3.82,826559
2009-07-06,3.83,4,3.59,3.63,3.63,596581
2009-07-07,3.97,4.98,3.75,4.21,4.21,4999724
2009-07-08,4.18,4.23,3.7,3.78,3.78,1049122
2009-07-09,4.01,4.49,3.94,4.01,4.01,1616085
2009-07-10,3.99,4.17,3.99,4.13,4.13,626479
2009-07-13,4.35,4.35,4.02,4.15,4.15,546995
2009-07-14,4.25,4.25,3.95,4.08,4.08,509263
2009-07-15,4.14,4.14,3.99,4,4,445760
2009-07-16,4,4,3.8503,3.94,3.94,393429
2009-07-17,3.9,3.93,3.8,3.87,3.87,321798
2009-07-20,3.96,4.14,3.8801,3.95,3.95,522918
2009-07-21,4.01,4.77,3.88,4.42,4.42,2391540
2009-07-22,4.34,4.7,4.13,4.25,4.25,1487333
2009-07-23,4.4,4.44,4.13,4.29,4.29,793080
2009-07-24,4.39,4.6,4.25,4.38,4.38,1062126
2009-07-27,4.4,6.35,4.4,6.3,6.3,8953648
2009-07-28,6.61,7.65,6.37,6.58,6.58,11346450
2009-07-29,6.44,6.83,5.659,5.91,5.91,2605949
2009-07-30,5.94,6.88,5.93,6.26,6.26,3747165
2009-07-31,6.35,6.39,5.76,5.88,5.88,1633768
2009-08-03,6.05,6.65,5.8,6.21,6.21,2813950
2009-08-04,6.09,6.64,6.07,6.3,6.3,1894043
2009-08-05,6.41,6.57,6.15,6.25,6.25,1344323
2009-08-06,6.32,6.39,5.8,5.94,5.94,863939
2009-08-07,5.88,6.3,5.8,5.95,5.95,1117466
2009-08-10,5.97,6.35,5.92,6.1,6.1,1098377
2009-08-11,6.25,6.68,5.86,6.52,6.52,4341969
2009-08-12,7.82,7.99,7.03,7.21,7.21,8492057
2009-08-13,7.17,7.29,6.75,6.83,6.83,1882979
2009-08-14,6.97,6.97,6.44,6.67,6.67,1368965
2009-08-17,6.44,6.48,6.1,6.33,6.33,888852
2009-08-18,6.35,6.7,6.19,6.37,6.37,1163880
2009-08-19,6.27,6.59,6.12,6.42,6.42,1045206
2009-08-20,6.46,6.55,6.27,6.3,6.3,510000
2009-08-21,6.31,6.47,6.2,6.28,6.28,511261
2009-08-24,6.39,6.85,6.23,6.52,6.52,2014857
2009-08-25,6.56,7.47,6.5,7.05,7.05,4407539
2009-08-26,7.15,7.44,7.01,7.14,7.14,1493488
2009-08-27,7.07,7.09,6.65,6.8,6.8,973999
2009-08-28,6.97,7.3,6.75,7.07,7.07,887836
2009-08-31,7.05,7.57,6.8296,7.29,7.29,1656567
2009-09-01,7.24,7.7797,6.91,7.27,7.27,2030438
2009-09-02,7.46,7.49,6.94,6.96,6.96,753527
2009-09-03,7.08,7.17,6.96,7.01,7.01,376309
2009-09-04,7.45,10.26,7.21,9.27,9.27,12998796
2009-09-08,8.96,11.27,8.54,10.28,10.28,11148185
2009-09-09,10.4,11.88,10.04,10.37,10.37,5698833
2009-09-10,10.28,10.85,9.76,9.99,9.99,1691754
2009-09-11,9.94,10.2,9.1,9.16,9.16,1919665
2009-09-14,9,10.24,8.88,9.6,9.6,2459285
2009-09-15,9.76,10.55,9.41,9.916,9.916,3132082
2009-09-16,10.17,10.22,9.5501,9.762,9.762,1240422
2009-09-17,9.73,9.87,9.2,9.46,9.46,853840
2009-09-18,9.45,9.98,9.1401,9.5,9.5,1136016
2009-09-21,9.32,9.72,9.1,9.28,9.28,1036240
2009-09-22,9.41,9.6795,9.3,9.37,9.37,1043919
2009-09-23,9.4,10.45,9.37,9.72,9.72,4259815
2009-09-24,9.76,9.8,9.04,9.13,9.13,1471771
2009-09-25,9.02,9.16,8.55,8.72,8.72,734627
2009-09-28,8.79,9.1,8.6,8.86,8.86,595557
2009-09-29,8.93,9.05,8.7,8.71,8.71,349262
2009-09-30,8.72,8.85,7.95,8.02,8.02,1152850
2009-10-01,8.08,8.56,7.7,7.76,7.76,1012097
2009-10-02,7.63,8.1,7.38,7.75,7.75,619618
2009-10-05,7.8,8.12,7.76,7.96,7.96,349785
2009-10-06,7.97,8.58,7.96,8.07,8.07,870471
2009-10-07,7.98,8.2,7.84,8,8,366660
2009-10-08,8.02,8.52,8.02,8.12,8.12,1011030
2009-10-09,8.16,8.32,8.01,8.1,8.1,460545
2009-10-12,8.15,8.25,7.91,7.96,7.96,241869
2009-10-13,8.08,8.08,7.71,7.75,7.75,264776
2009-10-14,7.87,7.99,7.71,7.79,7.79,410844
2009-10-15,7.99,9.25,7.9,8.66,8.66,3276418
2009-10-16,8.7,9.28,8.42,8.52,8.52,2168296
2009-10-19,8.6,9.18,8.46,8.78,8.78,1769094
2009-10-20,8.84,8.87,8.07,8.16,8.16,767876
2009-10-21,8.1,8.2393,7.91,7.99,7.99,624727
2009-10-22,7.9,8,7.72,7.81,7.81,534054
2009-10-23,7.95,7.95,7.2,7.3,7.3,536865
2009-10-26,7.45,7.62,6.89,6.89,6.89,775668
2009-10-27,6.83,7.08,6.54,6.71,6.71,456396
2009-10-28,6.64,6.76,6.01,6.03,6.03,770638
2009-10-29,6.09,6.89,6.09,6.66,6.66,752685
2009-10-30,6.74,6.8,6.1502,6.28,6.28,353952
2009-11-02,6.48,6.48,6.04,6.26,6.26,321610
