Date,Open,High,Low,Close,Adjusted_close,Volume
2014-05-22,21.75,22.8,20.24,20.9,20.9,84449677
2014-05-23,21.25,21.25,19.94,20.1,20.1,20890284
2014-05-27,20.28,22.98,20.25,22.97,22.97,15338016
2014-05-28,22.98,25.3,22.8,24.78,24.78,16782983
2014-05-29,25.04,25.69,24.24,25.4,25.4,8525826
2014-05-30,25.27,25.56,23.79,25,25,6302714
2014-06-02,25.4,25.44,24.07,24.6,24.6,3808755
2014-06-03,24.17,25.25,24.03,25.1,25.1,3388490
2014-06-04,24.99,25.28,24.44,24.54,24.54,2991224
2014-06-05,24.8,26.75,24.6,25.78,25.78,7935624
2014-06-06,26.5,27.04,26.31,26.58,26.58,4322660
2014-06-09,27,29.09,26.58,28.43,28.43,10659766
2014-06-10,28.82,28.86,27.7,28.35,28.35,5623469
2014-06-11,28.1,29.49,28.1,29,29,6558796
2014-06-12,29.59,29.6,26.34,27.17,27.17,9165623
2014-06-13,27.68,28.2,27.13,27.79,27.79,5165783
2014-06-16,27.22,27.44,26.38,26.89,26.89,6162189
2014-06-17,27.22,27.45,26.63,27.019,27.019,3653127
2014-06-18,27.44,27.89,26.03,26.52,26.52,5281182
2014-06-19,27,27,25.8,25.83,25.83,3719805
2014-06-20,25.75,25.97,24.92,25.45,25.45,7613541
2014-06-23,25.11,26.46,25.1,26.37,26.37,5598292
2014-06-24,26.51,27.34,26.51,27.04,27.04,5739377
2014-06-25,27.25,27.35,26.45,27.07,27.07,1927951
2014-06-26,27.14,28.35,26.81,28.3,28.3,3624099
2014-06-27,28.36,28.5,27.71,28.01,28.01,3066340
2014-06-30,28.17,28.53,27.68,28.51,28.51,3988201
2014-07-01,29,31.22,28.8601,29.69,29.69,12625969
2014-07-02,30.4,30.41,28.5,28.96,28.96,6108938
2014-07-03,29.28,29.35,27.53,27.79,27.79,4398182
2014-07-07,28.01,28.73,27.45,27.63,27.63,3827893
2014-07-08,28.08,28.08,25.81,26.47,26.47,6454715
2014-07-09,27.09,27.15,26.05,26.36,26.36,4549861
2014-07-10,25.83,27.7956,25.28,27.7,27.7,4718485
2014-07-11,27.51,27.9,26.85,27.04,27.04,3315394
2014-07-14,27.63,28.23,27.5,28.04,28.04,2851143
2014-07-15,28.2,28.4,27.7501,28.21,28.21,3427547
2014-07-16,28.5,29.3,28.3,29.11,29.11,3799570
2014-07-17,28.82,29.39,27.5,27.5599,27.5599,3749238
2014-07-18,27.74,28.33,27.5,27.82,27.82,1994402
2014-07-21,27.67,28.66,27.67,28.54,28.54,2098841
2014-07-22,28.84,29.3799,28.5,28.73,28.73,2304691
2014-07-23,28.89,29.06,27.81,27.88,27.88,2476889
2014-07-24,28,29.23,27.9,29.05,29.05,2736422
2014-07-25,29.1,29.48,28.5,29.03,29.03,3872197
2014-07-28,29.26,30.35,29.07,29.49,29.49,5041223
2014-07-29,29.83,30.22,29.5,29.62,29.62,3318470
2014-07-30,30.06,30.1,29.02,29.07,29.07,3085052
2014-07-31,28.5,28.9,28.1,28.58,28.58,2988701
2014-08-01,28.55,28.7899,27.3,27.94,27.94,4572505
2014-08-04,28.2,28.3,27.56,27.79,27.79,5315640
2014-08-05,27.7,28.187,27.5,27.73,27.73,2893713
2014-08-06,27.56,27.73,27.3,27.51,27.51,2412767
2014-08-07,27.75,28.07,27.38,27.48,27.48,3865335
2014-08-08,27.84,28.38,27.6,28.36,28.36,3737871
2014-08-11,28.8,29,28.09,28.21,28.21,4218746
2014-08-12,28.3,28.98,28.3,28.77,28.77,2742747
2014-08-13,28.95,30.56,28.95,30.47,30.47,8378227
2014-08-14,30.4,30.7,29.71,30.01,30.01,5536932
