Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,48.96,50.63,48.1,50.42,24.5036,2169353
2009-01-05,50.34,52.99,49.3,51.07,24.8195,2092547
2009-01-06,52.03,54.71,51.66,54.02,26.2533,3437438
2009-01-07,53.77,53.77,49.39,49.63,24.1198,2829286
2009-01-08,49.14,52.16,48.79,51.7,25.1258,2755521
2009-01-09,52.96,53.4,50.8,51.15,24.8584,2364082
2009-01-12,51.3,51.49,45.6,46.21,22.4577,2833099
2009-01-13,46.05,48.73,45.1,48.05,23.3519,3315207
2009-01-14,47.09,47.09,44.07,44.99,21.8648,2437515
2009-01-15,44.99,48.01,42.16,47.14,22.9097,4074432
2009-01-16,48.98,49.94,45.23,48.36,23.5025,3573666
2009-01-20,47.87,47.87,43.22,44.15,21.4565,3952313
2009-01-21,43,44.43,40.84,44.27,21.515,4459048
2009-01-22,41.5,41.75,37.12,38.9,18.9051,6929491
2009-01-23,37.88,41.97,37.56,40.71,19.7847,4559105
2009-01-26,41.14,42.624,39.4,40.56,19.7118,3305341
2009-01-27,42.52,42.8,39.95,40.1,19.4882,4459640
2009-01-28,41.87,44.31,41.18,43.3,21.0434,3919728
2009-01-29,42.56,42.56,39.75,40.3,19.5855,3810801
2009-01-30,39.72,40.48,37.81,38.67,18.7933,4414656
2009-02-02,37.89,38.61,36.6,37.45,18.2005,4209823
2009-02-03,37.97,38.93,37.11,38.3,18.6135,3862191
2009-02-04,38.83,40.24,38.02,38.34,18.6329,2838571
2009-02-05,37.74,40.65,37.35,39.91,19.3959,4007140
2009-02-06,40.03,42.4,39.78,42.04,20.4311,3434937
2009-02-09,42.31,43.49,41.16,42.33,20.572,2928763
2009-02-10,42.33,43.97,40.31,40.68,19.7701,3489198
2009-02-11,41.32,42,40.02,41.08,19.9646,2660054
2009-02-12,40.25,40.65,38.26,40.32,19.5951,3510176
2009-02-13,40.54,41.37,39.57,40.41,19.639,2433406
2009-02-17,38.43,38.84,36.55,36.69,17.831,3667217
2009-02-18,37.24,37.9,35.27,36.48,17.729,4441408
2009-02-19,37.06,37.89,35.25,35.57,17.2868,2703457
2009-02-20,34.58,36.63,33.7,35.65,17.3256,4682065
2009-02-23,36.16,36.57,33.41,33.55,16.3051,3372011
2009-02-24,33.6,35.86,32.52,35.51,17.2575,3700238
2009-02-25,35.23,35.3,32.75,33.55,16.3051,3885934
2009-02-26,35.5,36.13,33.98,34.38,16.7084,3852051
2009-02-27,33.75,35.1,33.01,33.74,16.3974,3280032
2009-03-02,33.02,33.36,30.16,30.33,14.7401,5096964
2009-03-03,31.01,32.79,30.71,31.89,15.4983,4516251
2009-03-04,32.83,35.53,32.59,34.67,16.8494,5582032
2009-03-05,33.46,33.92,32.22,32.59,15.8384,3008122
2009-03-06,33.09,34.42,31.91,32.71,15.8968,3685930
2009-03-09,32.21,34.15,32,33.13,16.1009,3600190
2009-03-10,34.16,38.41,33.64,38.27,18.5989,5104567
2009-03-11,38.56,39.89,36.91,38.26,18.594,3235000
2009-03-12,38.51,41.97,37.5,41.79,20.3096,4335899
2009-03-13,42.06,42.4,39.47,40.35,19.6098,2659590
2009-03-16,40.54,41.37,39.26,39.74,19.3133,2715979
2009-03-17,39.88,41.87,38.87,41.87,20.3485,1907687
2009-03-18,41.47,41.62,38.35,40.32,19.5951,4449101
2009-03-19,41.02,41.53,39.71,40.29,19.5807,2718636
2009-03-20,39.97,40.06,36.9,37.31,18.1323,3024551
2009-03-23,38.86,40.73,37.53,40.73,19.7945,2412970
2009-03-24,39.93,40.3999,38.72,39.1,19.0024,1827099
2009-03-25,39.23,40.91,37.75,39.39,19.1432,1772189
2009-03-26,40.07,43.19,40,42.74,20.7713,3330744
2009-03-27,41.66,42.15,41.02,41.32,20.0812,1835635
2009-03-30,40.52,40.52,37.58,38.58,18.7496,2024201
2009-03-31,39.26,39.55,38.19,38.66,18.7884,1536102
2009-04-01,38.15,39.74,37.29,39.39,19.1432,1567247
2009-04-02,40.76,44.32,40.75,42.86,20.8296,2738227
2009-04-03,42.86,43.37,42.06,43.17,20.9803,1708862
2009-04-06,42.35,43.03,41.1312,42.81,20.8053,1865109
2009-04-07,41.97,42.141,40.6,40.85,19.8528,1542255
2009-04-08,41.18,42.28,40.91,42,20.4117,1146956
2009-04-09,43.08,44.4,42.79,44,21.3837,1540605
2009-04-13,43.37,44.01,42,43.63,21.2038,1326244
2009-04-14,42.99,44.18,42.37,43.01,20.9026,1864396
2009-04-15,43.09,44.17,42.28,44.09,21.4273,1324786
2009-04-16,44.59,46.75,43.9172,46.15,22.4286,1927053
2009-04-17,46.48,47.35,46.35,46.6,22.6472,2132780
2009-04-20,45.29,45.66,42.592,43.38,21.0824,1984443
2009-04-21,42.13,43.75,41.5,43.59,21.1844,2520555
2009-04-22,42.98,45.6,42.15,44,21.3837,1840330
2009-04-23,44.31,44.76,42.72,44.55,21.651,1969844
2009-04-24,45.13,46.37,44.89,45.66,22.1904,2103141
2009-04-27,44.93,46.57,44.29,45.55,22.1369,1756525
2009-04-28,41.65,42.76,40.22,40.39,19.6292,6009042
2009-04-29,41,42.12,39.68,40,19.4396,3538828
2009-04-30,40.62,40.85,37.98,38.04,18.487,4428150
2009-05-01,38.58,38.73,36.75,38.11,18.5212,3205476
2009-05-04,38.74,41.44,38.16,41.2,20.0229,3541337
2009-05-05,41.16,41.78,40.16,41.57,20.2027,2128332
2009-05-06,41.86,43.45,41.4,42.61,20.7081,3689603
2009-05-07,43.23,43.69,40.77,41.59,20.2124,2663233
2009-05-08,42.08,43.29,41.08,42.37,20.5914,2350875
2009-05-11,41.46,41.63,39.6,39.8,19.3424,2270424
2009-05-12,40.24,40.94,38.07,38.32,18.6232,4006670
2009-05-13,39.19,40.58,38.23,38.96,18.9342,6016739
2009-05-14,39.01,40.51,38.96,39.83,19.3571,2226066
2009-05-15,39.6,40.73,38.1,38.58,18.7496,2134740
2009-05-18,39.06,39.93,38.96,39.93,19.4057,2506356
2009-05-19,40.3,40.3,39.08,39.71,19.2988,2462344
2009-05-20,40.19,40.98,39.26,39.5,19.1967,2848355
