Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,60.13,61,59.04,60.65,43.7154,11638900
2009-01-05,60.42,60.77,59.36,60.05,43.2829,15540000
2009-01-06,60.33,60.44,58.9,59.69,43.0234,22097600
2009-01-07,59.24,59.82,58.75,59.13,42.6198,14293300
2009-01-08,59.66,59.89,58.63,59.02,42.5405,17345400
2009-01-09,59.14,59.55,58.55,59.05,42.5621,14698300
2009-01-12,59.08,59.41,58.15,58.34,42.0504,15253100
2009-01-13,58.6,59.12,58.38,58.84,42.4107,15513400
2009-01-14,58.55,58.59,57.38,57.95,41.7692,16707900
2009-01-15,58.09,58.2,56.01,57.62,41.5314,20383600
2009-01-16,58.07,58.07,56.63,57.44,41.4016,20746500
2009-01-20,56.51,58.03,56.5,56.75,40.9043,23153700
2009-01-21,57.59,57.59,55.09,56.36,40.6232,22306100
2009-01-22,56.37,56.97,55.61,56.87,40.9908,19146100
2009-01-23,56.15,56.39,55.1,55.97,40.3421,21334000
2009-01-26,56.2,56.95,55.8,56.55,40.7601,16347800
2009-01-27,56.85,57.74,56.51,57.54,41.4737,14771500
2009-01-28,58.23,58.75,57.9,58.56,42.2089,18096400
2009-01-29,58.17,58.77,57.65,58.28,42.0071,16159300
2009-01-30,58.18,58.39,57.25,57.69,41.5818,13858500
2009-02-02,57.25,58.14,56.92,57.69,41.5818,10933900
2009-02-03,58.07,58.81,57.23,58.58,42.2233,13181700
2009-02-04,58.71,59.13,57.67,57.96,41.7765,11429500
2009-02-05,57.93,58.54,56.99,58.11,41.8846,14781300
2009-02-06,58.26,58.72,57.8,58.51,42.1729,11458700
2009-02-09,58.46,58.7,57.96,58.5,42.1657,9357000
2009-02-10,57.98,58.5,56.6,56.73,40.8899,16612000
2009-02-11,56.88,57.37,56.53,57.33,41.3224,14692600
2009-02-12,56.92,57.85,56.08,57.78,41.6467,14424600
2009-02-13,57.71,57.8,56.81,57.1,41.1566,12563900
2009-02-17,56.07,56.79,55.73,55.98,40.3493,15246500
2009-02-18,55.7,56.26,55.42,55.83,40.2412,15517100
2009-02-19,56.26,56.5,55.63,55.93,40.3133,12199800
2009-02-20,55.01,55.47,54.55,54.65,39.7173,24427000
2009-02-23,54.17,55.09,53.58,53.65,38.9906,20500400
2009-02-24,54.6,54.77,53.84,54.54,39.6374,18848100
2009-02-25,54.32,54.76,53.59,53.96,39.2159,21016500
2009-02-26,54.49,54.49,52.3,52.44,38.1112,21284600
2009-02-27,51.59,52,49.94,50,36.3379,29873300
2009-03-02,49.03,49.43,47.84,47.92,34.8262,27902900
2009-03-03,47.98,48.53,47.34,47.64,34.6227,25987400
2009-03-04,47.78,49.37,47.39,49.1,35.6838,24253500
2009-03-05,48.31,48.61,47.41,47.67,34.6446,22344000
2009-03-06,47.6,48.59,47.01,47.97,34.8626,19202100
2009-03-09,47.46,47.75,46.25,46.6,33.8669,23304900
2009-03-10,47.23,47.87,46.93,47.78,34.7245,21883400
2009-03-11,48.22,48.73,47.57,47.9,34.8117,16569300
2009-03-12,47.72,49.32,47.33,49,35.6111,16337000
2009-03-13,49.68,50.79,49.25,50.64,36.803,16509600
2009-03-16,51.13,51.51,50.65,50.73,36.8684,16547600
2009-03-17,50.7,50.79,49.46,50.72,36.8612,17325700
2009-03-18,50.69,51.58,50.25,50.66,36.8176,16730400
2009-03-19,51.16,51.16,49.49,50.06,36.3815,18963600
2009-03-20,51.09,52,50.89,51.67,37.5516,27591800
2009-03-23,52.38,53.23,51.67,53.23,38.6853,18822300
2009-03-24,52.99,53.6,52.31,52.7,38.3001,17093700
2009-03-25,52.98,53.27,52.01,52.86,38.4164,15822000
2009-03-26,53.08,53.7,52.25,52.9,38.4455,14574000
2009-03-27,52.69,53.29,52.55,52.83,38.3946,11293600
2009-03-30,52.54,53.46,52.36,53.01,38.5255,15743200
2009-03-31,53.36,53.5,52.41,52.6,38.2275,18517700
2009-04-01,52.3,53.2,51.88,53.04,38.5472,13730300
2009-04-02,53.29,54.13,52.66,52.97,38.4964,17418900
2009-04-03,53,53.3,51.75,52.15,37.9004,15213700
2009-04-06,52.03,52.54,51.67,52.2,37.9368,12768700
2009-04-07,51.89,52,51.28,51.36,37.3263,13130100
2009-04-08,51.54,51.87,51.2,51.45,37.3917,10935000
2009-04-09,51.99,52.06,51.1,51.41,37.3626,15056300
2009-04-13,51.27,51.56,51,51.15,37.1737,12067200
2009-04-14,51.99,52.46,51.21,51.37,37.3335,20768400
2009-04-15,51.79,52.08,51.35,51.77,37.6243,11502500
2009-04-16,51.91,52.32,51.55,52.2,37.9368,12216300
