Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,6.49,6.57,6.184,6.52,3.26,15244
2009-01-05,6.64,6.71,6.61,6.64,3.32,8354
2009-01-06,6.64,6.6557,6.54,6.55,3.275,49045
2009-01-07,6.6,6.6,6.51,6.57,3.285,50750
2009-01-08,6.47,6.87,6.47,6.85,3.425,7309
2009-01-09,6.9,6.9,6.76,6.85,3.425,2806
2009-01-12,6.4,6.7,6.38,6.7,3.35,6200
2009-01-13,6.39,6.5,6.39,6.48,3.24,7354
2009-01-14,6.4,6.45,6.4,6.45,3.225,6382
2009-01-15,6.45,6.57,6.45,6.56,3.28,23300
2009-01-16,6.6,6.6,6.47,6.5,3.25,15600
2009-01-20,6.4,6.5,6.4,6.45,3.225,11970
2009-01-21,6.45,6.7,6.45,6.45,3.225,34180
2009-01-22,6.42,6.47,6.41,6.41,3.205,40436
2009-01-23,6.4,6.49,6.4,6.49,3.245,17381
2009-01-26,6.45,6.55,6.45,6.46,3.23,34397
2009-01-27,6.4847,6.55,6.48,6.5,3.25,31049
2009-01-28,6.57,6.59,6.5,6.55,3.275,26690
2009-01-29,6.54,6.7,6.5,6.7,3.35,29816
2009-01-30,6.69,6.7,6.54,6.56,3.28,7000
2009-02-02,6.55,6.575,6.42,6.42,3.21,30651
2009-02-03,6.55,6.92,6.44,6.5,3.25,52555
2009-02-04,6.55,6.66,6.5,6.51,3.255,36847
2009-02-05,6.5,6.51,6.45,6.5,3.25,21843
2009-02-06,6.5,6.74,6.5,6.74,3.37,24198
2009-02-09,6.6,6.9,6.6,6.7,3.35,32566
2009-02-10,6.7,7.07,6.64,6.95,3.475,64070
2009-02-11,7.04,7.22,6.86,7.13,3.565,34622
2009-02-12,7.14,7.23,7.03,7.15,3.575,47785
2009-02-13,7.1,7.3,7.09,7.15,3.575,19100
2009-02-17,7.05,7.0689,6.95,7,3.5,57404
2009-02-18,7.07,7.07,6.82,6.97,3.485,35350
2009-02-19,7.11,7.63,7.0412,7.62,3.81,18566
2009-02-20,7.57,7.57,7.5,7.51,3.755,9775
2009-02-23,7.5048,7.64,7.21,7.5,3.75,22925
2009-02-24,7.4801,7.93,7.39,7.4,3.7,23931
2009-02-26,7.21,7.39,7.18,7.37,3.685,5400
2009-02-27,7.2509,7.2509,7.22,7.23,3.615,9875
2009-03-02,7.2,7.23,6.66,6.67,3.335,19731
2009-03-03,7.83,7.83,6.64,6.74,3.37,9144
2009-03-04,6,6.85,6,6.71,3.355,18460
2009-03-05,6.66,6.67,6.42,6.53,3.265,8493
2009-03-06,6.04,6.45,6.04,6.22,3.11,2619
2009-03-09,6.01,6.25,6.01,6.22,3.11,4869
2009-03-10,6.15,6.42,6.15,6.42,3.21,2802
2009-03-11,6.32,6.53,6.29,6.51,3.255,3328
2009-03-12,6.45,6.71,6.45,6.6,3.3,6445
2009-03-13,6.78,6.78,6.61,6.72,3.36,7483
2009-03-16,6.87,6.87,6.08,6.24,3.12,2050
2009-03-17,6.15,6.8261,6.03,6.14,3.07,12828
2009-03-18,6.2,6.845,6.2,6.83,3.415,6848
2009-03-19,6.46,6.84,6.37,6.37,3.185,6414
2009-03-20,6.77,6.77,6.63,6.63,3.315,4870
2009-03-23,6.78,7.04,6.572,7,3.5,32344
