Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,43.98,45.37,43.47,45.05,32.1602,2402070
2009-01-05,44.95,45.19,44.54,44.79,31.9744,2334180
2009-01-06,45.09,45.37,44.35,44.65,31.8746,2053386
2009-01-07,44.12,45.11,44.12,44.47,31.7463,2402547
2009-01-08,44.36,44.67,42.25,44.37,31.6749,2367034
2009-01-09,44.3,44.94,43.32,43.54,31.0821,1936512
2009-01-12,43.54,43.84,43.14,43.7,31.1969,2377649
2009-01-13,43.71,44.025,43.43,43.9,31.3392,1911996
2009-01-14,43.33,43.38,42.39,42.65,30.4469,2189241
2009-01-15,42.53,42.78,41.96,42.75,30.5183,2748114
2009-01-16,43.81,44.85,43.8,44.63,31.8607,4032167
2009-01-20,44.495,45.69,44.17,44.68,31.8959,3665347
2009-01-21,45.41,45.41,44.19,45.11,32.2028,2651097
2009-01-22,43.98,45.07,43.91,44.92,32.0676,3159269
2009-01-23,43.95,44.37,43.53,44.23,31.575,2430412
2009-01-26,44.23,45.22,44.23,44.71,31.9175,2101765
2009-01-27,45,45.47,44.8,45.24,32.2961,1602292
2009-01-28,45.6,45.65,44.88,45.19,32.2602,1988759
2009-01-29,45.03,45.94,44.82,45.12,32.2104,1580431
2009-01-30,45.03,45.03,43.4,43.69,31.1894,2129771
2009-02-02,43.03,44.27,43.03,44.15,31.5179,1565086
2009-02-03,44.35,45.1,43.58,44.93,32.0745,1995414
2009-02-04,44.96,44.96,43.15,43.49,31.0467,3425309
2009-02-05,43.19,44.25,43.14,43.68,31.1818,3276904
2009-02-06,43.8,43.95,43,43.58,31.1111,3038846
2009-02-09,43.53,43.71,42.86,43.23,30.8612,2132738
2009-02-10,43.21,43.23,40.97,41.26,29.4548,4066012
2009-02-11,41.5,41.7,40.79,41.47,29.6045,2931972
2009-02-12,41.02,41.33,40.18,41.31,29.4906,3399631
2009-02-13,41.26,41.8,40.91,41.38,29.5403,2743103
2009-02-17,40.77,41.37,39.93,40.16,28.6695,2574385
2009-02-18,40.54,40.74,39.98,40.33,28.7907,2851461
2009-02-19,40.73,41.35,40.45,40.85,29.162,2592166
2009-02-20,40.07,40.8,39.61,40.17,28.6765,3763937
2009-02-23,40.55,40.55,38.79,39.07,27.8913,3145470
2009-02-24,39.05,39.88,39,39.67,28.3194,3345651
2009-02-25,39.37,39.76,39.12,39.22,27.9983,2968472
2009-02-26,39.69,39.69,38.66,38.71,27.6343,3726649
2009-02-27,38.07,39.42,38,38.92,28.0301,4190313
2009-03-02,38.33,38.77,37.88,37.96,27.3391,3786837
2009-03-03,38.42,38.46,37.65,38.02,27.3821,4331684
2009-03-04,38.49,38.7392,37.41,38.07,27.4183,4279419
2009-03-05,37.75,37.75,36.44,36.72,26.446,4501662
2009-03-06,36.67,37.62,36.31,37.16,26.7627,3387488
2009-03-09,36.76,36.93,35.98,36,25.9273,3216468
2009-03-10,36.56,36.56,35.71,36.17,26.0496,4193552
2009-03-11,36.43,36.46,35.7,35.84,25.8122,2882843
2009-03-12,35.84,36.82,35.64,36.68,26.417,2969779
2009-03-13,37,37.17,36.55,36.99,26.6402,3108433
2009-03-16,37.22,38.29,37.05,37.9,27.2958,2498393
2009-03-17,37.64,38,37.38,37.87,27.2743,3546409
2009-03-18,37.14,37.25,36.37,37.01,26.6546,4451714
2009-03-19,37.3,37.34,36.5,36.67,26.41,2928433
2009-03-20,36.7,37.1,36.34,36.43,26.2372,3508919
2009-03-23,37.14,37.7,36.56,37.7,27.1516,2840450
2009-03-24,37.36,37.76,37.14,37.17,26.7697,2314178
2009-03-25,37.46,37.64,36.9,37.48,26.9932,3250846
2009-03-26,37.51,37.64,36.97,37.62,27.0943,2444738
2009-03-27,37.25,37.61,36.72,36.89,26.5685,2788688
2009-03-30,36.5,36.75,36.07,36.48,26.2733,1938080
2009-03-31,36.84,37.04,36.28,36.63,26.3812,2669725
2009-04-01,36.29,37.84,36.29,37.59,27.0723,4001798
2009-04-02,38.34,38.68,37.82,38.16,27.4827,3965280
2009-04-03,38.53,38.69,37.6,38.01,27.3754,2702578
2009-04-06,37.84,38.55,37.84,38.54,27.7567,2541817
2009-04-07,38.05,39.17,38.05,38.95,28.0518,3606033
2009-04-08,39.03,39.26,38.72,39.22,28.2465,2457947
2009-04-09,39.9,39.92,39.13,39.55,28.4839,2487017
2009-04-13,39.41,39.96,39.19,39.24,28.2607,2272268
2009-04-14,39.21,39.425,38.64,39.26,28.2754,2165893
2009-04-15,39.26,39.85,39.12,39.85,28.7001,1881035
2009-04-16,40.06,40.36,39.25,40.24,28.9808,2731894
2009-04-17,40.28,40.5,39.75,40.1,28.8802,2118719
2009-04-20,39.74,40.5,39.48,39.6,28.52,2130585
2009-04-21,39.36,40.47,39.36,40.03,28.8299,1912140
2009-04-22,39.95,39.95,39.32,39.35,28.3403,1918923
2009-04-23,39.29,39.46,38.75,39.11,28.1675,2293552
2009-04-24,39.45,39.45,38.4,38.94,28.045,1886238
2009-04-27,38.66,39.43,38.6,38.73,27.8934,1938368
2009-04-28,38.49,39.35,38.49,39.19,28.2251,1949640
2009-04-29,39.37,39.92,39.28,39.5,28.4481,2360534
2009-04-30,40.98,43.91,40.29,42.11,30.3281,5960592
2009-05-01,42.18,43.5,42.18,43.4,31.2568,3428297
2009-05-04,43.65,44.48,43.23,44.26,31.876,3404709
2009-05-05,44.11,44.91,43.09,43.39,31.2495,3607194
2009-05-06,43.72,43.99,42.64,43,30.9688,2266352
2009-05-07,43.37,43.5,42.36,42.65,30.7167,2521209
2009-05-08,43.03,43.12,42.5,42.83,30.8466,1389188
2009-05-11,42.46,43.0199,42.24,42.92,30.911,1800910
2009-05-12,42.99,43.43,42.82,43.15,31.0768,1957371
2009-05-13,42.84,43.28,42.4,42.62,30.695,2018213
2009-05-14,42.6,43.47,42.38,43.41,31.2643,3097857
2009-05-15,43.33,43.6,42.81,43.19,31.1055,1965762
2009-05-18,43.37,43.91,43.05,43.82,31.5595,1734298
2009-05-19,43.84,43.9625,43.57,43.76,31.5162,1547619
2009-05-20,43.85,44.32,43.58,43.64,31.4296,1782522
2009-05-21,43.29,43.48,42.99,43.43,31.2784,1341548
2009-05-22,43.44,44.15,43.3,43.68,31.4588,1537980
2009-05-26,43.63,44.11,43.08,43.98,31.6746,1506238
2009-05-27,44.06,44.06,43.06,43.23,31.1345,2605069
2009-05-28,43.14,43.55,42.88,43.31,31.4389,1976850
2009-05-29,43.45,43.5,42.84,43.25,31.3958,2063221
2009-06-01,43.63,44.01,43.39,43.85,31.8313,1933978
2009-06-02,43.85,44.84,43.73,44.58,32.3612,2522373
2009-06-03,44.34,44.82,44.19,44.3,32.1576,2259552
2009-06-04,44.41,44.67,43.92,44.04,31.9692,2107533
2009-06-05,44.45,44.45,43.51,43.78,31.7805,1669777
2009-06-08,44.14,44.79,43.86,44.52,32.3178,2103943
2009-06-09,44.72,44.72,43.915,43.94,31.8964,1835246
2009-06-10,44.21,44.5,43.25,43.48,31.5631,1769613
