Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,8.49,8.93,8.18,8.87,7.1143,4548500
2009-01-05,8.64,8.87,8.33,8.48,6.8012,5005431
2009-01-06,8.6,8.96,8.41,8.69,6.9696,6804824
2009-01-07,8.43,8.52,7.84,7.95,6.376,7882576
2009-01-08,7.9,8.12,7.84,8.03,6.4404,4277112
2009-01-09,8.06,8.26,7.52,7.58,6.0792,6844903
2009-01-12,7.58,7.73,6.71,6.97,5.5904,10309272
2009-01-13,6.93,7.53,6.82,7.4,5.9351,9130399
2009-01-14,7.05,7.28,6.8,6.93,5.5579,7282854
2009-01-15,6.92,6.92,5.71,6.22,4.9885,16782110
2009-01-16,6.7,6.7,5.72,6.31,5.0607,12963243
2009-01-20,6.49,6.58,5.81,5.83,4.6759,16647681
2009-01-21,6.22,6.72,5.765,6.69,5.3656,17953245
2009-01-22,6.51,7.97,6.28,7.04,5.6465,22567903
2009-01-23,6.8,7.69,6.5,7.62,6.1112,13347719
2009-01-26,7.63,8,7.21,7.5,6.0153,10632136
2009-01-27,7.72,7.99,7.4,7.87,6.3122,9635896
2009-01-28,8.56,8.875,8.25,8.73,7.0018,15606263
2009-01-29,8.49,8.57,7.75,7.82,6.2718,10456351
2009-01-30,7.65,8.15,7.18,7.28,5.8389,9303829
2009-02-02,7.04,7.27,6.82,7.12,5.7105,8550876
2009-02-03,7.23,7.24,6.49,6.73,5.3979,11389905
2009-02-04,6.82,7.11,6.59,6.93,5.5579,12576250
2009-02-05,6.98,7.55,6.25,7.27,5.8308,14976067
2009-02-06,7.39,8.74,7.38,8.47,6.7932,19724662
2009-02-09,8.56,9.31,8.44,9.03,7.2426,12959706
2009-02-10,8.71,9.03,6.5687,6.63,5.3174,23255113
2009-02-11,6.87,7.34,6.43,7.15,5.7345,19228104
2009-02-12,6.8,7.46,6.8,7.42,5.9509,13171285
2009-02-13,7.26,7.71,6.9,7.05,5.6543,9931675
2009-02-17,6.58,6.71,6.07,6.07,4.8685,12575569
2009-02-18,6.39,6.39,5.75,6.18,4.9567,10174198
2009-02-19,6.3,6.38,5.34,5.36,4.2988,12744002
2009-02-20,5.07,6.29,4.83,6.07,4.8685,25183887
2009-02-23,6.21,6.31,5.65,6.14,4.9244,17573052
2009-02-24,6.23,7.27,5.9,7.2,5.7745,17231005
2009-02-25,6.93,8.15,6.77,7.75,6.2158,29416490
2009-02-26,7.95,8.39,7.75,8.05,6.4563,20718125
2009-02-27,7.45,7.92,7,7.01,5.6662,12849697
2009-03-02,6.78,7.17,6.37,6.65,5.3753,13241471
2009-03-03,6.95,7,6.22,6.46,5.2216,10737609
2009-03-04,6.75,6.85,6.01,6.49,5.2458,11308443
2009-03-05,6.23,6.32,5.43,5.6,4.5266,11408701
2009-03-06,5.71,5.97,5.07,5.36,4.3325,13741536
2009-03-09,5.27,6.23,5.26,6.06,4.8986,13886301
2009-03-10,6.28,6.91,6.18,6.91,5.5854,14619206
2009-03-11,6.98,7.63,6.625,7.03,5.6822,12399478
2009-03-12,6.99,8,6.86,7.96,6.4341,14939701
2009-03-13,8.1,8.19,6.91,7.7,6.2238,15167391
2009-03-16,8.03,8.59,7.78,7.89,6.3774,18670585
2009-03-17,7.94,8.3,7.52,8.28,6.6926,8486232
2009-03-18,8.01,9.2,7.6,8.99,7.2669,16273844
2009-03-19,9.1,9.35,8.07,8.19,6.6199,14464736
2009-03-20,8.27,8.27,7.45,7.47,6.038,11717325
2009-03-23,8.61,9.17,8.12,9.14,7.3879,14553960
2009-03-24,8.56,9.14,8.36,8.39,6.7819,11792332
2009-03-25,9.18,9.18,7.85,8.56,6.9192,13639328
2009-03-26,8.7,8.83,8.28,8.71,7.0404,10194720
2009-03-27,8.45,8.95,8.18,8.32,6.7252,8747634
2009-03-30,8.11,8.21,7.2,7.28,5.8845,10219763
2009-03-31,7.6,8.06,7.29,7.87,6.3615,9482710
2009-04-01,7.54,8.4,7.51,8.35,6.7496,12534884
2009-04-02,8.68,8.95,8.35,8.46,6.8382,14787491
2009-04-03,8.57,8.57,8.01,8.54,6.9029,8853048
2009-04-06,8.38,8.38,7.75,7.94,6.4182,10002267
2009-04-07,7.71,7.75,7.43,7.45,6.0218,8767324
2009-04-08,7.64,7.64,6.48,6.57,5.3102,29760861
2009-04-09,7.5,8.35,7.26,8.25,6.6684,22027802
2009-04-13,8.21,9.27,8.03,9.23,7.4605,17944235
