Date,Open,High,Low,Close,Adjusted_close,Volume
2015-07-06,71,74.29,71,72.96,61.9076,3809713
2015-07-07,73.73,74.71,72.96,74.63,63.3246,5794811
2015-07-08,74.3,75.5,74.04,75.4,63.9781,4277461
2015-07-09,76.47,77.066,74.5,74.8,63.4691,4267057
2015-07-10,75.05,77.8,75,77.31,65.5985,4982979
2015-07-13,79.5,79.7,77.91,78.83,66.8887,9078901
2015-07-14,79.45,79.5,77.65,78,66.1841,18746119
2015-07-15,77.65,78.17,76.4,76.71,65.0895,6330496
2015-07-16,76.97,78.84,76.9501,78.75,66.8206,5634050
2015-07-17,79.43,79.69,77.26,79.63,67.5675,6100876
2015-07-20,79.95,81.2,79.13,80.11,67.9745,10284545
2015-07-21,79.97,80.68,79.4,80.22,68.0678,6123210
2015-07-22,80.83,80.9,78.58,78.64,66.7273,5201248
2015-07-23,78.42,78.57,76.64,76.74,65.5737,2975649
2015-07-24,76.92,77.43,75.95,76.41,65.2915,3116008
2015-07-27,76.63,77.98,76.29,77.38,66.1204,5774342
2015-07-28,78.44,78.65,77.5,78.32,66.9238,1895916
2015-07-29,78.26,78.2999,77,77.91,66.5735,2278559
2015-07-30,78.21,79.69,77.6,79.21,67.6843,3246987
2015-07-31,79.94,79.94,78.865,79.47,67.9063,2685520
2015-08-03,80,81.03,79.91,80.37,68.6754,2681801
2015-08-04,80.57,81,79.67,79.81,68.1971,2429632
2015-08-05,80.01,81,79.85,80.48,68.7696,4324721
2015-08-06,81.05,81.19,79.51,79.76,68.1543,3708640
2015-08-07,79.14,79.38,77.29,78.46,67.0433,3274134
2015-08-10,79.43,79.8,78.57,78.81,67.3423,3252284
2015-08-11,77.63,80.48,77.07,77.97,66.6247,3889072
2015-08-12,77.83,78.31,76.09,76.69,65.531,3688888
2015-08-13,77.01,77.07,75.8,75.99,64.9327,2917485
2015-08-14,76.07,76.74,75.117,76.42,65.3002,2573375
2015-08-17,75.86,76.41,75.51,75.8,64.7705,2260346
