Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,18.48,19.26,17.63,18.2,10.2201,6012454
2009-01-05,18.04,19.29,18.01,18.8,10.5565,7062093
2009-01-06,19.23,20.88,18.88,20.45,11.4836,8402689
2009-01-07,20.14,20.9,19.4,20.08,11.2753,6190624
2009-01-08,19.57,20.15,18.99,19.85,11.1465,6925737
2009-01-09,19.72,19.99,17.75,17.9,10.0516,8983897
2009-01-12,18.02,18.02,16.04,16.36,9.1866,7530751
2009-01-13,16.06,17.12,15.95,16.7,9.3776,8332197
2009-01-14,16.14,16.54,15.41,15.81,8.8781,9281008
2009-01-15,15.61,16.92,14.65,16.06,9.0182,11160820
2009-01-16,16.53,17.14,15.7,17.07,9.5852,7507608
2009-01-20,16.77,16.77,14.65,14.74,8.2772,9629675
2009-01-21,14.89,16.78,14.11,16.71,9.3834,9231320
2009-01-22,15.77,16.37,14.89,15.1,8.4789,11079409
2009-01-23,14.57,15.79,14.27,15.61,8.7656,5134507
2009-01-26,15.61,16.31,15.07,15.56,8.7375,4896698
2009-01-27,15.87,16.13,15.29,15.68,8.8049,4300559
2009-01-28,16.53,17.32,16.18,17.24,9.6807,8115817
2009-01-29,16.49,16.78,15.27,15.43,8.6644,7687610
2009-01-30,15.86,16,14.08,14.38,8.0747,7792607
2009-02-02,14.12,14.2,13.18,14.11,7.9231,9376478
2009-02-03,14.05,14.22,13.56,13.85,7.7769,7993710
2009-02-04,13.94,14.52,13.4,13.45,7.5525,7894664
2009-02-05,12.15,13.4,10.85,12.1,6.7945,12410482
2009-02-06,12.39,13.64,12.13,13.38,7.5133,8675659
2009-02-09,12.96,13.5,12.69,13.45,7.5525,5367150
2009-02-10,13.2,13.45,11.37,11.66,6.5472,9789659
2009-02-11,11.97,12.23,10.73,11.78,6.6146,10036789
2009-02-12,11.61,11.82,10.65,11.7,6.5699,10029152
2009-02-13,11.57,11.58,10.37,10.4,5.8399,10390930
2009-02-17,10,10.34,9.4,9.49,5.329,11063572
2009-02-18,9.72,9.84,9.25,9.79,5.4975,8965232
2009-02-19,9.97,10.23,9.06,9.2,5.166,9724166
2009-02-20,8.76,10.02,8.64,10.01,5.6211,10953043
2009-02-23,10.13,10.27,8.77,8.79,4.9355,10037175
2009-02-24,8.76,9.71,8.6,9.63,5.4074,12338415
2009-02-25,9.5,9.89,8.76,9.42,5.2894,11065835
2009-02-26,9.47,10.02,8.98,9.05,5.0819,8763234
2009-02-27,8.71,9.2,8.71,8.85,4.9696,9850073
2009-03-02,8.26,8.72,7.88,8.04,4.5147,12016229
2009-03-03,8.09,8.4,7.54,8.06,4.5259,9393211
2009-03-04,8.22,8.55,7.89,8.25,4.6325,9906418
2009-03-05,7.93,8.03,7.09,7.21,4.0485,11625514
2009-03-06,7.29,7.4,6.33,7.01,3.9367,14839731
2009-03-09,7.03,7.43,6.64,7.43,4.1724,9283230
2009-03-10,7.59,9.05,7.38,9.01,5.0594,16258523
2009-03-11,9.02,9.19,8.45,8.6,4.8292,11675338
2009-03-12,8.66,9.57,8.26,9.44,5.3009,15883841
2009-03-13,9.5,9.56,8.86,9.18,5.1547,7353154
2009-03-16,9.6,9.6,7.87,7.91,4.4417,10877846
2009-03-17,7.91,8.41,7.27,8.38,4.7056,13383501
2009-03-18,8.27,9.2602,7.91,9.11,5.1155,10994984
2009-03-19,9.34,9.45,8.28,8.39,4.7113,10281860
2009-03-20,8.54,8.56,7.08,7.3,4.0993,13732445
2009-03-23,7.76,8.75,7.33,8.47,4.7563,16515117
2009-03-24,8.28,8.84,7.74,7.83,4.397,10528070
2009-03-25,8.28,8.45,6.93,7.66,4.3013,12308317
2009-03-26,7.82,8.18,7.52,8.08,4.5373,10978159
2009-03-27,7.91,8.04,7.43,7.65,4.2959,7504074
2009-03-30,7.19,7.37,6.96,6.97,3.9142,8456200
