Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,21.51,22.59,21.1,22.48,13.4081,2376605
2009-01-05,22.1085,22.71,21.87,22.4,13.3603,3437579
2009-01-06,22.69,24.36,22.4244,24.11,14.3802,6338945
2009-01-07,23.46,23.55,22.22,22.49,13.4143,4631192
2009-01-08,22.18,22.745,21.8101,22.68,13.5276,3333589
2009-01-09,22.77,22.77,21.85,22.05,13.1516,3658322
2009-01-12,22.1561,22.2,21.31,21.46,12.7999,3341274
2009-01-13,20.92,22.15,20.74,21.28,12.6923,6287604
2009-01-14,20.76,21.13,20.17,20.28,12.0961,4302663
2009-01-15,20.43,20.85,19.48,20.57,12.2691,5741408
2009-01-16,21.02,21.66,20.39,21.33,12.7221,4462852
2009-01-20,21.29,21.4,19.53,19.54,11.6546,4553041
2009-01-21,19.9,19.97,18.71,19.55,11.6605,6307431
2009-01-22,19.47,19.47,17.97,18.45,11.0046,8896719
2009-01-23,18.12,19.78,18.07,19.28,11.4999,6901709
2009-01-26,19.39,19.66,18.74,19.15,11.422,4323256
2009-01-27,19.01,19.84,19.01,19.7,11.7499,4782382
2009-01-28,19.95,20.5,19.91,20.37,12.1496,4104452
2009-01-29,20.09,20.19,18.79,19.03,11.3505,4975135
2009-01-30,19.82,21.22,19.65,20.04,11.9529,8672228
2009-02-02,19.66,20.46,19.33,19.76,11.7861,5394420
2009-02-03,19.76,19.94,19.05,19.4,11.5714,5170165
2009-02-04,19.22,20.29,19.122,19.27,11.4936,4802358
2009-02-05,18.88,20.16,18.73,19.81,11.8158,4696512
2009-02-06,19.78,20.74,19.71,20.51,12.2331,4020467
2009-02-09,20.54,21.02,20.03,20.72,12.3585,6155123
2009-02-10,20.7,21.37,19.58,19.67,11.732,6842943
2009-02-11,19.68,19.89,19.04,19.42,11.5831,4403693
2009-02-12,19.09,19.91,18.81,19.65,11.7202,4908643
2009-02-13,19.63,20.15,19.58,19.7,11.7499,3216653
2009-02-17,19.02,19.2,18.05,18.07,10.7778,5936324
2009-02-18,18.31,18.58,17.61,18.02,10.7481,6289939
2009-02-19,18.15,18.2,16.91,16.95,10.1096,4353231
2009-02-20,16.76,17.56,16.48,17.35,10.3483,6617210
2009-02-23,17.38,17.46,16.5,16.61,9.9071,5626811
2009-02-24,16.69,17.44,16.62,17.33,10.3364,4720225
2009-02-25,17.43,18.48,16.84,17.95,10.7064,6984860
2009-02-26,17.98,18.5489,17.5,17.56,10.5617,6827634
2009-02-27,17.26,17.77,17.12,17.25,10.3756,5163224
2009-03-02,16.94,17.19,16.23,16.28,9.792,5157700
2009-03-03,16.36,16.59,15.89,16.06,9.66,3774903
2009-03-04,16.16,17.03,16.16,16.77,10.0867,5436744
2009-03-05,16.41,16.98,16.23,16.29,9.7976,3907085
2009-03-06,16.31,16.69,15.275,15.63,9.4013,5720086
2009-03-09,15.43,16.34,15.36,15.54,9.3471,3774845
2009-03-10,15.98,16.662,15.66,16.64,10.0083,4231518
2009-03-11,16.82,17.17,16.45,17.08,10.2734,3384061
2009-03-12,16.99,17.85,16.77,17.79,10.7,3583031
2009-03-13,17.79,18.7099,17.53,18.52,11.1394,5123443
2009-03-16,18.66,19.19,18.37,18.63,11.2057,7223392
2009-03-17,18.82,19.75,18.4,19.75,11.8794,5876207
2009-03-18,19.68,20.76,19.2,20.5,12.3302,7438068
2009-03-19,20.8,21.35,20.56,20.61,12.3964,6315574
2009-03-20,20.79,20.9,19.29,19.51,11.7347,7624338
2009-03-23,19.82,20.93,19.82,20.84,12.5349,7968958
2009-03-24,20.64,20.64,20.1,20.15,12.1197,4234238
2009-03-25,20.3,21.64,20.19,20.86,12.547,6693633
2009-03-26,21.17,22.16,20.98,22.14,13.3166,4832855
2009-03-27,21.52,22.07,21.31,21.48,12.9195,3597419
2009-03-30,20.97,21.16,19.84,20.09,12.0837,6217275
2009-03-31,20.11,20.42,19.78,20,12.0294,5092403
2009-04-01,19.64,20.56,19.45,20.34,12.234,4020944
2009-04-02,20.73,21.85,20.73,21.58,12.9798,5291188
2009-04-03,21.5,23.39,21.35,23.1,13.8941,7698841
2009-04-06,22.68,22.96,21.9,22.41,13.479,5348962
2009-04-07,21.96,22.07,21.24,21.4,12.8717,3899241
2009-04-08,21.64,22.17,21.4175,22.17,13.3346,3497485
2009-04-09,22.59,23.8,22.46,23.69,14.2489,5687038
2009-04-13,23.6,23.85,23,23.66,14.231,3991628
2009-04-14,23.75,24.72,23.45,23.91,14.3812,6032925
2009-04-15,23.4,23.56,23,23.5,14.1346,3955471
2009-04-16,23.89,24.61,23.44,24.49,14.7301,3922378
2009-04-17,24.51,25,24.01,24.86,14.9525,3735017
2009-04-20,24.35,24.4,23.35,23.45,14.1045,5644520
2009-04-21,23.34,24.24,22.95,23.72,14.2669,6249130
2009-04-22,23.52,26.35,23.23,25.78,15.5058,9831804
2009-04-23,25.8,25.87,24.48,25.7,15.4581,7888079
2009-04-24,25.22,25.97,24.68,25.83,15.5362,6756419
2009-04-27,25.46,26.29,25.18,26.02,15.6505,6715531
2009-04-28,25.99,26.54,25.3,26.27,15.8006,6218729
2009-04-29,26.56,27.2101,25.9093,26.88,16.1676,7210369
2009-04-30,27.12,28.41,26.85,27.74,16.6847,6857966
2009-05-01,27.75,27.838,26.89,27.3,16.4203,4060822
2009-05-04,27.18,29.12,27.15,29.08,17.4906,5877150
2009-05-05,29.16,29.16,27.96,28.44,17.106,4958191
2009-05-06,28.44,28.91,28,28.64,17.2262,4224466
2009-05-07,28.71,29,26.17,26.88,16.1676,5801878
2009-05-08,27.23,27.39,25.92,26.18,15.7467,7497557
2009-05-11,25.68,26.25,25.01,25.9,15.5782,5468148
2009-05-12,26.13,26.32,24.65,25.31,15.2237,4789901
2009-05-13,24.72,25.19,24.63,24.84,15.0298,5573300
2009-05-14,25,25.82,24.84,25.51,15.4354,4567636
2009-05-15,25.51,25.97,25.14,25.24,15.2718,3680080
2009-05-18,25.54,26.28,25.38,26.22,15.8647,3411969
2009-05-19,26.22,27.4,25.88,26.85,16.2457,3970530
2009-05-20,27.14,27.87,26.41,26.56,16.0706,4647262
2009-05-21,26.15,26.39,25.42,25.81,15.6165,4984603
2009-05-22,25.79,26.06,25.27,25.52,15.441,3317937
2009-05-26,24.97,26.92,24.97,26.79,16.2096,4656239
2009-05-27,26.75,27.49,26.32,26.62,16.1068,6287074
2009-05-28,26.84,27.22,25.75,26.78,16.2035,4915168
2009-05-29,26.76,27.176,26.36,27,16.3369,4939612
2009-06-01,27.48,29.675,27.4,29.45,17.819,8043749
2009-06-02,29.14,29.4,27.67,27.92,16.8932,7242259
2009-06-03,27.67,27.8,26.88,27.18,16.4455,4985012
2009-06-04,27.16,27.91,26.93,27.67,16.7421,5353543
2009-06-05,27.68,28,26.36,26.49,16.028,6052214
2009-06-08,26.51,26.795,25.93,26.43,15.992,4656744
2009-06-09,26.76,27.17,26.38,26.9,16.2763,5815301
2009-06-10,27.28,27.34,26.43,26.78,16.2035,4993788
2009-06-11,26.68,27.06,26.33,26.38,15.9615,6135860
2009-06-12,26.36,26.57,25.41,25.88,15.659,5033448
2009-06-15,25.75,25.75,24.73,25.5,15.4288,4248955
2009-06-16,25.6,25.77,24.85,24.99,15.1204,3854178
2009-06-17,25.18,25.51,24.41,25.18,15.2354,3938761
2009-06-18,25.18,25.51,24.94,25.07,15.169,3382503
2009-06-19,25.41,25.63,25.1,25.32,15.32,4331622
2009-06-22,25.08,25.39,24.03,24.04,14.5457,7837523
2009-06-23,24,24.18,23.03,23.64,14.3035,6505451
2009-06-24,23.8,24.17,23.4,23.83,14.4189,9390922
2009-06-25,23.78,24.67,23.5,24.6,14.8844,4927096
2009-06-26,24.38,25.34,24.38,24.82,15.0178,6333689
2009-06-29,24.74,25.08,24.39,24.81,15.0115,3308961
2009-06-30,24.97,25.4,24.72,25.25,15.2777,5873575
2009-07-01,25.36,26.36,25.14,25.81,15.6165,6610615
2009-07-02,25.57,26.055,25.5,25.55,15.4591,7611764
2009-07-06,25.57,26.34,25.41,26.08,15.7802,6137732
2009-07-07,26.1,26.63,25.41,25.44,15.3927,6366273
2009-07-08,25.43,25.64,24.75,25.13,15.2051,5570257
2009-07-09,25.91,26.54,25.54,26.36,15.9493,8094953
2009-07-10,26.2,26.55,25.63,26.06,15.7681,5629556
2009-07-13,26.18,27.01,25.55,26.97,16.3184,6280952
2009-07-14,27.42,28.07,27.35,27.86,16.8573,8275224
2009-07-15,28.54,29,28.27,28.68,17.3532,10302250
2009-07-16,28.66,29.64,28.37,29.51,17.8553,5977561
2009-07-17,29.52,29.76,28.9,29.67,17.952,4923796
2009-07-20,29.76,30.3,29.57,30.02,18.1637,5239793
2009-07-21,29.88,30.04,29.15,29.92,18.1032,5219818
2009-07-22,29.92,30.9,29.56,30.81,18.6418,5079444
2009-07-23,30.64,31.63,30.26,31.48,19.0473,5860376
2009-07-24,31.09,31.58,30.62,31.55,19.0897,4445395
2009-07-27,31.53,31.96,31.03,31.91,19.3075,3609214
2009-07-28,31.69,32.34,31.29,31.72,19.1925,5123291
2009-07-29,31.58,31.65,30.89,31.43,19.0172,5425515
2009-07-30,31.89,32.36,30.8,31.26,18.9141,7143889
2009-07-31,31.32,32.2,31.13,31.88,19.2893,4405370
2009-08-03,32.12,32.5,31.6,32.22,19.4951,4362075
2009-08-04,32,32.5,31.76,32.29,19.5371,4338613
2009-08-05,32.29,32.47,31.57,31.82,19.2532,3531543
2009-08-06,31.82,32.17,31.02,31.21,18.8837,4364776
2009-08-07,31.57,31.74,30.89,31.21,18.8837,4855512
2009-08-10,31.16,31.29,30.33,30.63,18.5331,3490632
2009-08-11,30.61,30.82,30,30.28,18.3212,3545465
2009-08-12,30.51,31.29,30.28,31.06,18.7935,4447723
2009-08-13,31.19,31.7,30.37,31.65,19.2431,5116603
2009-08-14,31.52,31.52,30.47,30.65,18.6352,3632915
2009-08-17,30.24,30.24,29.43,29.62,18.0088,4123778
2009-08-18,29.73,30.24,29.68,30.19,18.3555,2812161
2009-08-19,29.87,30.61,29.76,30.33,18.4406,3137264
2009-08-20,30.24,30.74,30.16,30.69,18.6595,2240175
2009-08-21,31.03,31.41,30.545,31.4,19.0913,3148354
2009-08-24,31.39,31.7,30.82,30.97,18.8295,2793571
2009-08-25,31.03,31.6,30.733,31.24,18.994,4249187
2009-08-26,31.33,32.09,31.21,31.78,19.3221,4377289
2009-08-27,31.61,31.79,31.04,31.7,19.2735,2547758
2009-08-28,32.1,32.79,31.67,31.85,19.3646,3513317
2009-08-31,31.66,31.75,31.1,31.2,18.9694,3167795
2009-09-01,31.37,31.91,30.1,30.12,18.3129,5590320
2009-09-02,30.2,30.69,29.87,30.3,18.4222,2912770
2009-09-03,30.29,30.8,29.86,30.74,18.69,3266063
2009-09-04,31.27,31.66,30.95,31.65,19.2431,3398238
2009-09-08,32,32.4,31.25,32.19,19.5714,3745747
2009-09-09,32.25,33.3,31.92,33.21,20.1915,5466674
2009-09-10,33.35,34.35,33,34.32,20.8663,6765630
2009-09-11,34.41,34.64,33.77,34.25,20.824,5692977
2009-09-14,34.02,34.87,33.83,34.84,21.1826,4644809
2009-09-15,34.82,35.54,34.81,35.48,21.5717,5261494
2009-09-16,35.49,35.57,35.02,35.51,21.5903,4907998
2009-09-17,35.27,35.52,34.52,34.86,21.1946,5171091
2009-09-18,35.11,35.62,34.76,35.54,21.6081,5198454
2009-09-21,35.29,35.825,35.28,35.46,21.5595,2716942
2009-09-22,35.59,36.1191,35.36,35.77,21.7481,2830571
2009-09-23,35.99,36.36,35.65,35.65,21.6752,3786004
2009-09-24,36,36,34.57,35.06,21.3163,4729258
2009-09-25,35.06,35.24,34.57,34.96,21.2556,2690629
2009-09-28,35.02,35.95,35.02,35.65,21.6752,3151370
2009-09-29,35.54,35.98,35.08,35.35,21.4927,2774695
2009-09-30,35.4,36.24,34.78,35.86,21.8027,4521803
2009-10-01,35.71,36.08,34.13,34.2,20.7934,4818820
2009-10-02,33.95,34.25,33.31,33.43,20.3252,5147519
2009-10-05,33.8,34.54,33.22,34.42,20.9274,5235454
2009-10-06,34.72,35.52,34.67,35.38,21.5113,4022693
2009-10-07,35.25,35.33,34.61,35.23,21.42,3822576
2009-10-08,35.59,36.17,35.02,35.69,21.6995,5161354
2009-10-09,35.83,36.96,35.7,36.92,22.4474,5246160
2009-10-12,36.96,37.71,36.82,37.21,22.6235,3854582
2009-10-13,37.25,37.5,36.83,37,22.4958,4690306
2009-10-14,37.37,37.4,36.07,36.7,22.3137,6533893
2009-10-15,36.83,36.83,36.05,36.71,22.3194,4159875
2009-10-16,36.5,36.58,35.21,35.58,21.6325,4391586
2009-10-19,35.75,36.1,35.3,36.06,21.9243,3629478
2009-10-20,35.91,36.72,35.73,35.99,21.8817,4143414
2009-10-21,35.86,36.349,34.9606,35.04,21.3042,3901156
2009-10-22,35.26,36.09,34.61,35.98,21.8759,3098039
2009-10-23,36.03,36.03,34.92,35.07,21.3223,2711849
2009-10-26,35,36.11,34.75,35.01,21.2862,3308911
2009-10-27,35.02,35.41,34.15,34.38,20.9026,3303388
2009-10-28,34.28,34.76,33.25,33.25,20.2158,4378643
2009-10-29,33.6,34.48,33.52,34.28,20.8423,4354554
2009-10-30,33.9,34.09,32.26,32.51,19.766,5796012
2009-11-02,32.58,33.19,32.05,32.86,19.9789,3542886
2009-11-03,31.89,31.95,31.06,31.7,19.2735,6041640
2009-11-04,32.16,32.45,31.7,31.77,19.3161,3759293
2009-11-05,32.15,32.96,32.01,32.88,19.9909,3084157
2009-11-06,32.74,33.36,32.51,32.86,19.9789,2598465
2009-11-09,33.01,33.79,33.01,33.47,20.3497,3725573
2009-11-10,33.19,33.8099,32.81,33.03,20.082,3563166
2009-11-11,33.3,34.13,33.26,33.64,20.4533,3029626
2009-11-12,33.61,33.93,32.93,32.98,20.1415,2381364
2009-11-13,33.03,33.57,32.83,33.21,20.2821,2775274
2009-11-16,33.44,34.13,33.21,33.8,20.6425,2801558
2009-11-17,33.58,33.94,33.47,33.8,20.6425,1780073
2009-11-18,33.65,33.83,33.08,33.22,20.288,1639489
2009-11-19,32.81,32.82,31.88,32.14,19.6284,3198528
2009-11-20,31.83,32.09,31.64,31.89,19.4758,2893957
2009-11-23,32.2,32.7,32,32.16,19.6406,2039745
2009-11-24,32.07,32.42,31.66,32.27,19.7081,2931021
2009-11-25,32.41,32.67,32.28,32.57,19.8911,1753101
2009-11-27,31.55,32.28,31.45,31.92,19.4941,1105156
2009-11-30,31.81,32.13,31.13,31.24,19.0789,4973967
2009-12-01,31.33,31.86,31.33,31.71,19.3659,6147454
2009-12-02,31.76,32.83,31.76,32.76,20.0072,4819947
2009-12-03,32.97,34.78,32.89,34.6,21.1309,9008714
2009-12-04,35.09,36.07,34.71,35.69,21.7965,8926965
2009-12-07,35.54,36.24,35.46,36.05,22.0164,4389798
2009-12-08,35.72,36.13,35.34,35.82,21.8762,3555826
2009-12-09,35.77,36.27,35.44,36.02,21.9982,3339442
2009-12-10,36.14,36.5,35.88,35.91,21.9308,2320507
2009-12-11,36.13,36.35,35.6,35.75,21.833,1798007
2009-12-14,35.95,36.25,35.7,36.09,22.0409,2410440
2009-12-15,35.9,36.55,35.87,36.16,22.0839,3037563
2009-12-16,36.25,37,36.16,36.48,22.2791,2762252
2009-12-17,36.39,36.42,35.67,35.73,21.821,2038665
2009-12-18,35.77,36.2,35.54,36.19,22.102,3435705
2009-12-21,36.3,37.26,36.3,37.03,22.615,2555240
2009-12-22,37.18,37.49,37.02,37.07,22.6392,1786358
2009-12-23,37.22,37.25,36.69,36.79,22.4683,1363930
2009-12-24,36.84,37.42,36.68,37.4,22.8408,745971
2009-12-28,37.45,37.49,36.59,36.79,22.4683,1808076
2009-12-29,36.82,36.89,36.24,36.3,22.1693,1928332
2009-12-30,36.26,36.915,36.22,36.83,22.493,1189292
2009-12-31,36.83,37.03,36.16,36.16,22.0839,1734347
2010-01-04,36.6,37.37,36.57,36.92,22.5481,2826978
2010-01-05,36.85,36.93,36.27,36.51,22.2974,2136132
2010-01-06,36.4,36.83,36.27,36.37,22.2119,2379342
2010-01-07,36.21,36.64,35.73,36.57,22.3342,2311892
2010-01-08,36.47,37.18,36.34,37.12,22.6699,2379528
2010-01-11,37.23,37.41,36.35,36.96,22.5722,1961397
2010-01-12,36.7,36.757,35.3,35.67,21.7843,3002111
2010-01-13,35.89,36.27,34.95,36.09,22.0409,3977395
2010-01-14,35.73,35.95,34.81,35,21.3751,5868142
2010-01-15,34.93,35.24,33.27,33.34,20.3613,6721567
2010-01-19,33.48,33.77,33.2,33.64,20.5446,4374410
2010-01-20,33.3,33.34,32.62,33.23,20.2942,4605811
2010-01-21,33.35,33.9,32.76,32.85,20.0622,3852332
2010-01-22,32.23,32.38,30.72,30.86,18.8468,7991240
2010-01-25,30.79,31.4,30.78,30.96,18.908,4021217
2010-01-26,30.72,31.32,30.66,30.67,18.7309,3843348
2010-01-27,30.56,31.2,30.16,30.85,18.8405,4557504
2010-01-28,30.9,30.98,28.93,29.38,17.9428,8676526
2010-01-29,29.73,29.75,27.8,28.2,17.2222,10519597
2010-02-01,28.45,29.2,28.3,29.19,17.8269,6984860
2010-02-02,29.14,29.39,28.69,29.1,17.7718,5245701
2010-02-03,28.95,29.41,28.715,29.29,17.888,6157872
2010-02-04,29.24,29.44,28.12,28.31,17.2896,5891131
2010-02-05,28.47,28.96,28.06,28.79,17.5827,5902058
2010-02-08,28.79,29.31,28.3,28.72,17.54,3299771
2010-02-09,29.11,29.54,28.76,29.17,17.8147,3539885
