Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,53,53.9,52.58,53.65,35.1463,2365838
2009-01-05,53.51,53.74,52.6,52.98,34.7075,2316640
2009-01-06,53.18,53.9,52.25,52.75,34.5566,2432678
2009-01-07,52.01,52.73,51.35,51.62,33.8162,3781728
2009-01-08,51.49,51.71,50.65,51.16,33.5147,2762896
2009-01-09,50.87,51.45,49.99,50.45,33.0499,3659840
2009-01-12,50.46,50.76,49.88,50.56,33.1221,2324652
2009-01-13,51.78,52.67,51.3,52.23,34.2158,4485573
2009-01-14,51.51,52.04,51,51.36,33.6459,2656336
2009-01-15,51.18,52.64,50.81,52.39,34.3213,3097719
2009-01-16,52.98,53.5,52.76,53.22,34.8645,4994945
2009-01-20,53.22,53.9,51.98,52.04,34.0915,3392805
2009-01-21,52.32,52.86,51.29,52.76,34.5632,2837838
2009-01-22,52.21,53.48,51.58,53.31,34.9233,3779783
2009-01-23,53,53.08,51.51,51.99,34.0587,4119668
2009-01-26,50.96,52.59,50.77,51.66,33.8425,5170529
2009-01-27,51.86,52.5,51.38,52.09,34.1244,3024366
2009-01-28,52.84,52.84,51.56,52.17,34.1768,3804814
2009-01-29,51.98,53,51.9,52.34,34.2881,2934645
2009-01-30,52.33,52.67,50.94,51.47,33.718,3514029
2009-02-02,51.06,51.42,50.37,50.98,33.397,2780391
2009-02-03,51.05,51.73,50.1,51.52,33.7509,3547990
2009-02-04,51.87,51.87,50.29,50.56,33.1221,2477239
2009-02-05,50.64,51.56,49.28,51.29,33.6,3583017
2009-02-06,51.13,52,50,51.48,33.7246,4604158
2009-02-09,51.22,51.64,50.52,50.98,33.397,2477474
2009-02-10,50.68,51.028,49.02,49.32,32.3098,3348478
2009-02-11,49.67,50.35,49.44,50.25,32.9189,2455637
2009-02-12,50.11,50.44,49,50.44,33.0435,2814286
2009-02-13,50.25,50.97,49.69,49.76,32.5975,2392041
2009-02-17,48.92,49.96,48.5,48.8,31.9692,3179600
2009-02-18,49.02,49.3,48.12,48.43,31.7264,2454457
2009-02-19,48.41,49.16,48.41,48.77,31.9493,2882351
2009-02-20,48.03,48.64,47.53,47.99,31.4384,2949967
2009-02-23,48.34,48.41,46.92,47.01,30.7962,2806381
2009-02-24,47.29,48.38,47.01,48.17,31.5564,3775390
2009-02-25,48.03,48.37,46.97,47.54,31.1435,3115652
2009-02-26,47.91,47.97,46.65,46.66,30.5668,2961875
2009-02-27,46.43,47.52,46.03,47.11,30.862,3495741
2009-03-02,46.88,46.96,45.8,45.87,30.0495,3265400
2009-03-03,45.96,46.481,45.15,46.1,30.2004,4711762
2009-03-04,46.02,46.69,45.11,46.1,30.5985,3106660
2009-03-05,45.81,45.81,43.73,44.17,29.3177,3704952
2009-03-06,44.48,44.99,43.05,43.92,29.1515,3664837
2009-03-09,43.52,43.98,43.06,43.41,28.8132,2760416
2009-03-10,44.06,44.54,43.58,44.32,29.417,3450738
2009-03-11,44.76,45.09,43.953,44.26,29.3772,3446571
2009-03-12,44.27,45.11,43.78,45.02,29.8817,3133582
2009-03-13,45.29,46.3,45.02,46.02,30.5451,2700451
2009-03-16,46.46,47.59,46.35,46.78,31.05,2884608
2009-03-17,46.9,47.24,46.37,46.87,31.1095,2687951
2009-03-18,46.68,47.84,46.34,47.04,31.2225,2853509
2009-03-19,47.45,47.55,46.12,46.5,30.8639,2615818
2009-03-20,46.54,46.99,45.81,45.98,30.519,3439452
2009-03-23,46.82,46.83,45.65,46.83,31.0831,5176086
