Date,Open,High,Low,Close,Adjusted_close,Volume
2011-02-11,31.7,32.14,30.75,31.05,22.1309,50613513
2011-02-14,31.05,31.3,30.7,30.7,21.882,6276284
2011-02-15,30.9,31.15,30.73,30.94,22.053,4337802
2011-02-16,31.05,31.44,30.66,30.72,21.896,4627489
2011-02-17,30.68,31.09,30.51,30.55,21.7748,3290633
2011-02-18,30.65,31.39,30.4,31.37,22.3593,6936545
2011-02-22,31.14,31.43,30.71,30.72,21.896,2454261
2011-02-23,30.76,30.9,30.25,30.42,21.6823,2671118
2011-02-24,30.55,30.65,30.3,30.46,21.7108,1697998
2011-02-25,30.53,30.75,30.3,30.5,21.7395,2225823
2011-02-28,30.57,30.79,30.42,30.5,21.7395,2380311
2011-03-01,30.65,30.78,30.23,30.45,21.7037,1907921
2011-03-02,30.57,30.69,30.26,30.57,21.7893,2196962
2011-03-03,30.68,30.77,30.53,30.77,21.9318,1901777
2011-03-04,30.8,30.9392,30.66,30.85,21.9891,892281
2011-03-07,30.94,31.04,30.7,30.9,22.0244,1049574
2011-03-08,30.8,31.04,30.8,30.97,22.0745,827311
2011-03-09,30.9,30.98,30.74,30.75,21.9173,294086
2011-03-10,30.71,30.71,29.75,30.1,21.4544,2715286
2011-03-11,30.1,30.48,29.97,30.1,21.4544,1896844
2011-03-14,30,30.22,29.8,29.99,21.3758,1967678
2011-03-15,29.81,30.2,29.6,29.88,21.2972,1968393
2011-03-16,29.89,30.16,29.76,30.05,21.4185,2062105
2011-03-17,30.2,30.41,30.06,30.15,21.4897,1511338
2011-03-18,30.21,30.5,30.08,30.5,21.7395,1906733
2011-03-21,30.53,31,30.4,30.82,21.9675,1252929
2011-03-22,30.9,30.98,30.57,30.7,21.882,1014614
2011-03-23,30.53,30.67,29.95,30.02,21.3972,2570690
2011-03-24,30.1,30.25,29.9,30.05,21.4185,1411599
2011-03-25,30.01,30.0899,29.5,29.52,21.0405,2687019
2011-03-28,29.74,29.93,29.56,29.62,21.112,1552829
2011-03-29,29.75,29.8846,29.54,29.79,21.2333,1313702
2011-03-30,29.87,29.89,29.58,29.69,21.1623,770023
2011-03-31,29.8,29.87,29.51,29.64,21.1263,884315
2011-04-01,29.79,29.85,29.49,29.5,21.0264,1869198
2011-04-04,29.44,29.7,29.25,29.44,20.984,1177852
2011-04-05,29.49,29.64,29,29.44,20.984,1021281
2011-04-06,29.46,29.49,29.21,29.46,20.9981,725080
2011-04-07,29.52,29.56,29.13,29.22,20.8271,1226045
2011-04-08,29.22,29.42,29.12,29.33,20.9054,934705
2011-04-11,29.3,29.41,29.07,29.25,20.8485,1160858
2011-04-12,29.1,29.24,28.27,28.73,20.4778,1278060
2011-04-13,28.74,29.02,28.66,28.83,20.5489,2766808
2011-04-14,28.79,29.16,28.57,29.12,20.7559,785748
2011-04-15,29.11,29.15,28.69,28.88,20.5847,863864
2011-04-18,28.79,28.8399,28.23,28.52,20.3281,882325
2011-04-19,28.59,28.86,28.53,28.78,20.5134,1122101
2011-04-20,28.98,29.6,28.79,29.45,20.9909,2053961
2011-04-21,29.32,29.93,29.07,29.63,21.1193,1516820
2011-04-25,29.81,29.81,29.07,29.36,20.9269,604089
