Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,38.6,40.41,37.71,40.3,31.4126,891516
2009-01-05,40.26,40.58,39.38,39.87,31.0773,906120
2009-01-06,40.16,40.95,39.64,40.63,31.6698,929424
2009-01-07,40.04,40.04,38.72,39.2,30.5547,977436
2009-01-08,39.21,39.39,38.43,39.37,30.6872,753213
2009-01-09,39.45,39.63,38.34,38.66,30.1342,644184
2009-01-12,38.9,39.05,38.03,38.32,29.8689,766880
2009-01-13,38.33,39.13,38.1,38.98,30.3833,1214440
2009-01-14,38.5,38.63,37,37.6,29.3081,1590284
2009-01-15,37.61,41.25,37.15,40.96,31.9272,2856874
2009-01-16,41.85,41.85,40.64,41.54,32.3788,2036148
2009-01-20,41.69,41.7,39.97,40.31,31.4201,1980198
2009-01-21,40.56,42.38,40.47,42.2,32.8932,1763659
2009-01-22,41.85,42.5,40.71,42.03,32.7608,1507015
2009-01-23,41.01,42.98,40.31,42.81,33.3686,1426846
2009-01-26,42.95,44,42.76,43.66,34.0312,1250363
2009-01-27,43.63,44.1,43.146,43.98,34.2804,759052
2009-01-28,44.7,45,44.12,44.76,34.8888,1325953
2009-01-29,44.3,44.46,42.97,43.48,33.8911,984340
2009-01-30,43.75,44.42,42.88,43.29,33.7429,1277377
2009-02-02,42.98,43.99,41.83,42.7,33.2828,2222854
2009-02-03,42.7,43,41.58,42.55,33.1661,1979875
2009-02-04,42.95,43.82,42.65,42.94,33.47,1694267
2009-02-05,41.89,43.71,41.51,43.37,33.8052,1538675
2009-02-06,43.31,45.03,43.26,44.86,34.9665,2494928
2009-02-09,44.77,45.25,43.56,44.01,34.3039,1807530
2009-02-10,43.77,44.24,42.79,42.95,33.4778,1544401
2009-02-11,43,43.29,42.08,42.6,33.2051,1305625
2009-02-12,42.39,42.76,41.36,42.22,32.9089,2749040
2009-02-13,42.34,43.03,41.97,42.29,32.9633,2444537
2009-02-17,40.61,41.97,40,40.74,31.7553,2566703
2009-02-18,40.78,41.59,40.11,41.14,32.067,2224454
2009-02-19,41.41,41.53,39.73,39.89,31.0926,1664062
2009-02-20,39.23,39.74,38.7101,39.14,30.5081,1997629
2009-02-23,39.48,39.7,37.76,37.9,29.5416,2110487
2009-02-24,38.29,39.4,37.64,39.2,30.5547,2137077
2009-02-25,39.22,39.4,38.27,38.74,30.1961,2179042
2009-02-26,39.22,39.25,37.41,37.43,29.1751,2235725
2009-02-27,37.18,38.04,36.8,37.28,29.0581,2397272
2009-03-02,34.99,36.18,33.29,33.37,26.0105,3526707
2009-03-03,33.89,33.98,32.38,33.17,25.8548,3233953
2009-03-04,33.76,34.57,33.24,34.03,26.5252,1941957
2009-03-05,33.22,33.8,31.6,31.85,24.9724,2215791
2009-03-06,32.1,32.43,30.86,31.41,24.6277,1666121
2009-03-09,31.11,31.39,29.96,30.09,23.5927,1622593
2009-03-10,30.59,30.59,29.88,30.18,23.6634,3499117
2009-03-11,30.51,30.95,30.2,30.68,24.055,1418737
2009-03-12,30.54,31.86,30.26,31.81,24.9411,1476794
2009-03-13,32.01,32.01,31.25,31.46,24.667,1426078
2009-03-16,31.82,32.14,31.3,31.33,24.5649,1999724
2009-03-17,31.3,32.44,31.3,32.43,25.4273,1456374
2009-03-18,32.29,33.488,32.05,32.99,25.8665,1291568
2009-03-19,33.18,33.21,32.39,32.51,25.49,1291913
2009-03-20,32.67,32.67,30.7,30.8,24.1492,2062887
2009-03-23,30.18,30.9,27.5201,28.12,22.0478,5068317
2009-03-24,28.02,29.32,28,28.26,22.1579,4388879
2009-03-25,28.45,29.1,27.91,28.41,22.2757,3362284
2009-03-26,28.71,29.83,28.69,29.69,23.279,2991904
2009-03-27,29.56,29.56,28.81,29.22,22.9106,1910902
2009-03-30,28.38,28.48,27.38,27.88,21.8598,2266389
2009-03-31,28.17,29.44,28.07,28.94,22.6915,2565760
2009-04-01,28.64,29.37,28.25,29.3,22.9737,1633751
2009-04-02,29.9,30.79,29.61,30.24,23.7105,1380929
2009-04-03,30.34,30.54,29.9,30.49,23.9062,1781452
2009-04-06,30.41,30.41,29.34,30.05,23.5613,1976873
2009-04-07,29.71,29.71,28.12,28.38,22.2519,1950500
2009-04-08,28.8,29.67,28.64,29.51,23.1381,1152446
2009-04-09,31,31.25,30.49,31.17,24.4395,1477553
2009-04-13,30.92,31.01,29.85,30.4,23.8361,1143357
2009-04-14,30.19,30.25,29.7902,29.91,23.4513,854861
2009-04-15,29.94,29.99,28.61,29.02,22.7537,2111071
2009-04-16,29.4,29.4,27.22,28.2,22.1109,5030116
2009-04-17,28.23,29.43,27.7,28.78,22.5655,2900720
2009-04-20,28.59,28.59,27.36,27.8,21.7973,1971355
2009-04-21,27.94,28.8,27.72,28.68,22.4872,1324772
2009-04-22,28.86,29.85,28.5,29.07,22.7932,1845295
2009-04-23,29.3,29.83,28.43,29.15,22.8559,1452592
2009-04-24,29.32,30.06,28.97,29.99,23.5143,1432423
2009-04-27,29.5,30.07,29.31,29.46,23.0985,1764118
2009-04-28,29.36,29.775,29.01,29.62,23.2242,1399707
2009-04-29,29.44,30.46,29.44,30.38,23.8199,2776247
2009-04-30,30.64,31.24,30.35,30.58,23.9771,1728795
2009-05-01,30.61,31.27,30.04,31.17,24.4395,1142320
2009-05-04,31.56,31.99,31.42,31.86,24.9804,1569323
2009-05-05,31.93,32.22,31.58,32.18,25.2314,1783934
2009-05-06,30.72,31.72,28.96,29.6,23.2086,5306705
2009-05-07,29.75,30.1,28.42,28.58,22.4087,2719230
2009-05-08,28.75,29.05,28.34,28.88,22.644,2542616
2009-05-11,28.1,29.07,27.81,28.61,22.4322,2024188
2009-05-12,28.68,29.49,28.32,29.27,22.9496,2476216
2009-05-13,28.79,29.1716,28.62,28.85,22.6204,1715245
2009-05-14,28.73,29.3,28.59,29.17,22.8713,1781698
2009-05-15,29.19,30.27,29.04,29.68,23.271,1669587
2009-05-18,29.62,30.4,29.51,30.27,23.7338,1726422
