Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,40.38,40.78,39.3,40.57,27.0237,6022900
2009-01-05,40.55,40.56,39.07,39.46,26.2843,6854500
2009-01-06,39.64,39.76,38.51,39.57,26.3576,8975000
2009-01-07,39.06,39.46,38.39,38.62,25.7248,6365600
2009-01-08,38.44,38.91,37.9,38.81,25.8514,5627000
2009-01-09,38.81,38.81,38.03,38.48,25.6315,5937400
2009-01-12,38.46,38.75,37.91,38.13,25.3984,5199200
2009-01-13,38.25,38.68,37.91,38.52,25.6582,5301400
2009-01-14,38.34,38.37,37.1,37.47,24.9588,6557100
2009-01-15,37.42,37.63,36.28,37.55,25.0121,4957200
2009-01-16,38.04,38.41,37.29,38.13,25.3984,5443900
2009-01-20,37.92,38.76,37.23,37.39,24.9055,9442300
2009-01-21,37.88,38.7,37.23,38.24,25.4717,6836000
2009-01-22,37.63,38.34,37.16,37.8,25.1786,5547800
2009-01-23,37.2,37.64,36.84,37.42,24.9255,6228600
2009-01-26,37.65,38.49,37.25,37.57,25.0254,6766000
2009-01-27,37.84,38.9,37.69,38.61,25.7181,5403700
2009-01-28,39,39.2,38.38,39.09,26.0379,5368700
2009-01-29,38.64,39.15,37.74,37.97,25.2918,6473900
2009-01-30,38.71,38.71,36.27,36.82,24.5258,9599100
2009-02-02,36.53,37.61,36.2,37.27,24.8256,5505000
2009-02-03,37.69,39.15,36.87,38.69,25.7714,9611300
2009-02-04,39.22,39.25,37.8,38.01,25.3185,7416500
2009-02-05,37.79,38.3,37.25,38.16,25.4184,5051300
2009-02-06,37.83,38.74,37.83,38.18,25.4317,4978300
2009-02-09,38.22,38.23,37.4,38.12,25.3917,4132900
2009-02-10,38,38.4,36.76,36.94,24.6057,5721900
2009-02-11,37.13,37.2,36.46,36.72,24.788,4244400
2009-02-12,36.18,36.61,35.38,36.34,24.5315,6098300
2009-02-13,36.15,36.48,35.38,35.43,23.9172,6020700
2009-02-17,34.72,35.11,34.27,34.58,23.3434,7399900
2009-02-18,34.76,34.76,34.11,34.4,23.2219,5916800
2009-02-19,34.65,34.86,34.32,34.48,23.2759,4240600
2009-02-20,33.88,34.13,32.93,33.24,22.4388,8361100
2009-02-23,33.66,33.83,32.26,32.31,21.811,5545100
2009-02-24,32.41,32.98,32.06,32.91,22.216,7345600
2009-02-25,32.79,33.04,32.11,32.56,21.9798,6943800
2009-02-26,32.98,32.98,31,31.04,20.9537,12135600
2009-02-27,30.37,30.73,29.38,29.38,19.8331,9522900
2009-03-02,28.55,28.85,27.66,27.75,18.7328,13436000
2009-03-03,28.08,28.51,27.22,27.49,18.5572,9488100
2009-03-04,28.2,28.87,27.27,28.5,19.2391,8865100
2009-03-05,27.89,28.39,27.21,27.47,18.5437,9028200
2009-03-06,27.65,28.23,27.45,27.98,18.888,8700000
2009-03-09,27.73,28.67,27.47,27.97,18.8813,8635800
2009-03-10,28.63,29.76,28.33,29.72,20.0626,10124700
2009-03-11,30.01,30.09,28.67,28.85,19.4753,9624700
2009-03-12,28.85,30.13,28.75,30.03,20.2719,6359600
2009-03-13,30.23,31.05,30.09,30.64,20.6837,6790500
2009-03-16,30.84,31.74,30.74,30.81,20.7984,6624300
2009-03-17,30.96,31.76,30.52,31.76,21.4397,5031600
2009-03-18,32.45,33.1,31.95,32.5,21.9393,6519000
2009-03-19,32.62,32.77,31.52,31.83,21.487,5170900
2009-03-20,31.9,32.91,31.9,32.55,21.973,10262000
2009-03-23,33.28,34.09,33.02,34.09,23.0126,6611700
2009-03-24,33.61,34.31,33.17,33.17,22.3916,8487800
2009-03-25,33.36,33.87,32.86,33.53,22.6346,7747900
2009-03-26,33.74,34.29,33.39,34.22,23.1004,7407000
2009-03-27,33.83,34.16,33.56,33.75,22.7831,5461800
2009-03-30,32.03,32.98,32.03,32.84,22.1688,7106400
2009-03-31,33.2,33.88,32.6,33.41,22.5536,6702000
2009-04-01,33.03,33.93,32.59,33.78,22.8033,5483400
2009-04-02,34.41,34.41,33.56,33.9,22.8844,6665800
2009-04-03,33.53,33.75,32.52,33.01,22.2836,7122500
2009-04-06,32.75,33.34,32.39,32.84,22.1688,6618900
2009-04-07,31.82,32.14,30.91,31.88,21.5207,6031800
2009-04-08,31.96,32.53,31.6,32.34,21.8313,5226900
2009-04-09,33.02,33.8,32.36,32.64,22.0338,4984200
2009-04-13,32.33,32.8,32.27,32.57,21.9865,3405300
2009-04-14,32.75,32.75,31.98,32.15,21.703,5248600
2009-04-15,32.09,32.96,32,32.81,22.1485,6155300
2009-04-16,32.97,33.46,32.43,33.27,22.4591,4967300
2009-04-17,33.26,34.05,33.19,33.75,22.7831,6670400
2009-04-20,33.68,34.43,32.92,32.99,22.2701,9799300
2009-04-21,33.42,33.68,32.74,33.34,22.5063,6409700
2009-04-22,33.11,33.34,32.46,32.74,22.1013,11129900
2009-04-23,32.53,32.95,32.03,32.88,22.1958,8591400
2009-04-24,33,33.66,32.85,33.01,22.2836,8328100
2009-04-27,32.99,33.5,32.75,33.13,22.3646,4168700
2009-04-28,33.07,33.69,32.96,33.2,22.4118,7663500
2009-04-29,33.45,33.73,32.96,33.36,22.5198,6750000
2009-04-30,33.86,33.89,32.83,32.92,22.2228,8283200
2009-05-01,32.92,33.58,32.62,33.49,22.6076,5411900
2009-05-04,33.42,33.99,33.27,33.81,22.8236,5363100
2009-05-05,34.5,34.79,33.95,34.54,23.3164,8330900
2009-05-06,35.01,35.23,34.06,34.43,23.2421,5696700
2009-05-07,34.73,35.96,34.53,35.85,24.2007,11236400
2009-05-08,36.32,36.65,35.75,35.95,24.2682,7172300
2009-05-11,35.62,35.89,35.04,35.35,23.8632,6339100
2009-05-12,35.6,36.27,35.31,35.9,24.2345,6427600
2009-05-13,35.08,36.05,34.81,35.15,24.0565,6042000
2009-05-14,35.22,35.44,35,35.12,24.036,4647400
2009-05-15,35.1,35.17,34.05,34.17,23.3858,6176500
2009-05-18,34.42,34.75,34.01,34.67,23.728,5553400
2009-05-19,34.81,34.85,34.34,34.53,23.6322,4369900
2009-05-20,34.86,35.23,34.5,34.73,23.7691,4780800
2009-05-21,35.12,35.12,34.18,34.62,23.6938,5217100
2009-05-22,34.63,34.77,34.14,34.34,23.5022,3339200
2009-05-26,34.23,34.92,34.05,34.85,23.8512,3952900
2009-05-27,34.84,35.03,33.58,33.67,23.0436,5193700
2009-05-28,33.67,34.12,33.57,33.78,23.1189,4498700
2009-05-29,33.85,34.6,33.6,34.57,23.6596,4873200
2009-06-01,34.89,35.06,34.28,34.65,23.7143,5319700
2009-06-02,34.5,35.34,34.4,35.05,23.9881,5291500
2009-06-03,34.75,34.87,34.3,34.6,23.6801,5278000
2009-06-04,34.65,34.84,34,34.38,23.5295,4666600
2009-06-05,34.54,34.81,33.97,34.77,23.7964,5526000
2009-06-08,34.8,34.81,33.7,34.1,23.3379,5648700
2009-06-09,33.95,34.37,33.51,33.91,23.2079,4052000
2009-06-10,34.12,34.22,33.6,33.91,23.2079,4738700
2009-06-11,33.94,34.9,33.94,34.38,23.5295,6347400
2009-06-12,34.39,34.84,34.07,34.29,23.4679,5266200
2009-06-15,33.99,33.99,32.94,32.96,22.5577,7087900
2009-06-16,33.14,33.53,32.78,32.98,22.5714,6471600
2009-06-17,32.99,33.81,32.99,33.43,22.8794,5062500
2009-06-18,33.44,34.18,33.3,33.85,23.1668,4871900
2009-06-19,34.08,34.28,33.6,33.71,23.071,6932400
2009-06-22,33.4,33.4,32.78,33.22,22.7356,7991300
2009-06-23,33.25,33.76,33.15,33.56,22.9683,5840100
2009-06-24,33.68,33.97,33.36,33.61,23.0025,6134000
2009-06-25,33.38,35.41,33.25,35.33,24.1797,12777400
2009-06-26,35.2,35.47,34.02,35.28,24.1455,18743900
2009-06-29,35.3,35.3,34.53,35.03,23.9744,6993100
2009-06-30,35.03,35.22,34.32,34.64,23.7075,6700100
2009-07-01,34.76,35.24,34.64,34.96,23.9265,5269200
2009-07-02,34.71,34.71,33.9,33.9,23.201,4492900
2009-07-06,33.68,33.97,33.27,33.57,22.9752,6241500
2009-07-07,33.56,33.88,33.3,33.49,22.9204,6003900
2009-07-08,33.04,33.93,33.04,33.42,22.8725,5880000
