Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,84.34,85.9,82.01,85.55,59.3754,1696714
2009-01-05,85.29,85.35,82.84,83.85,58.1956,2472722
2009-01-06,85.21,85.22,83.28,84.1,58.3692,2860452
2009-01-07,83.33,83.33,81.21,81.83,56.7935,2860416
2009-01-08,81.31,81.45,79.79,80.81,56.086,2966054
2009-01-09,81.26,81.88,79.69,80.76,56.051,2868747
2009-01-12,80.75,81.08,79.1,79.66,55.2874,2183610
2009-01-13,79.34,80.65,77.69,80.25,55.6971,3246641
2009-01-14,79.45,80.84,77.88,78.8,54.6908,3673866
2009-01-15,78.56,79.53,77.33,79.48,55.1624,3103673
2009-01-16,80.73,82.57,79.97,82.16,57.0225,3449340
2009-01-20,81.64,82.36,78.04,78.63,54.5725,2957282
2009-01-21,79.61,80.18,78.002,80.03,55.5439,2758079
2009-01-22,77.95,85.59,76.7,85.08,59.049,6176358
2009-01-23,83.55,84.09,80.19,80.98,56.2032,5824267
2009-01-26,80.72,83.19,80.27,82.52,57.2725,3279485
2009-01-27,83.12,83.6,80.45,82.48,57.2448,2894149
2009-01-28,83.72,84,81.35,82.57,57.3072,2569744
2009-01-29,82.47,83.72,81.81,83.11,57.6818,2505284
2009-01-30,82.91,83.99,81.44,82.04,56.9392,2438412
2009-02-02,81,81,77.84,79.18,54.9542,3852882
2009-02-03,79.89,80.58,76.84,79.9,55.4537,4093388
2009-02-04,79.97,82.394,79.86,81.06,56.2591,2541965
2009-02-05,80.4,82.46,79.1,81.62,56.6477,2781920
2009-02-06,81.13,81.37,77.55,79.37,55.0862,6036573
2009-02-09,79.37,81.62,79.1,81.5,56.5645,3751526
2009-02-10,80.81,81.75,77.43,77.99,54.1286,3957660
2009-02-11,78.88,79.12,77.11,77.49,53.7814,2779778
2009-02-12,77.04,77.42,75,77.38,53.705,3804027
2009-02-13,76.98,79.44,76.26,78.47,54.4618,3045778
2009-02-17,76.81,76.81,74.53,75.64,52.4974,2848731
2009-02-18,75.99,78.42,74.98,77.03,53.462,3980802
