Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,18.79,20.18,18.33,19.95,16.9823,2757137
2009-01-05,19.59,22,19.59,21.81,18.5659,5041851
2009-01-06,22.02,25.59,22.02,25.01,21.2895,7006239
2009-01-07,24.24,24.53,21.06,21.22,18.2163,6386980
2009-01-08,21.05,21.63,19.9,20.08,17.2378,6258175
2009-01-09,20.87,21.27,19.8,20.1,17.2549,3577707
2009-01-12,20.03,20.04,17.2,17.49,15.0144,5343362
2009-01-13,17.22,20.21,17.19,20.05,17.2121,7084002
2009-01-14,19.22,19.22,17.37,18,15.4522,7160139
2009-01-15,17.7,19.2,16.16,17.88,15.3493,5888316
2009-01-16,18.57,19.53,17.52,18.21,15.6323,6144570
2009-01-20,17.5,18,14.48,14.68,12.6023,7177531
2009-01-21,15.7,16.9,15.17,16.67,14.3105,8033971
2009-01-22,16.18,16.18,14.67,14.98,12.8595,6566090
2009-01-23,14.35,16.76,13.18,16.26,13.9584,5403707
2009-01-26,16.57,17.11,15.33,15.93,13.6754,4310978
2009-01-27,16.31,17,15.98,16.95,14.5506,3949468
2009-01-28,18.75,20.88,18.53,20.64,17.7181,6504767
2009-01-29,19.9,19.9,16.54,16.84,14.4566,7178803
2009-01-30,17.1,17.25,14.9,15.13,12.9886,5516984
2009-02-02,14.71,16.48,14.55,16.18,13.8898,5197251
2009-02-03,16.45,16.45,14.81,15.96,13.7008,4375411
2009-02-04,16.15,16.75,15.61,15.81,13.5723,3223196
2009-02-05,15.56,17.86,15.09,17.15,14.7227,5020822
2009-02-06,16.39,16.74,15.25,16.52,14.1816,5808963
2009-02-09,18.1,18.89,17.28,17.77,15.2546,5932942
2009-02-10,16.72,17.77,14.22,14.42,12.379,8568782
2009-02-11,14.7,15.44,14,14.79,12.6959,5850372
2009-02-12,14.46,14.97,13.5,14.77,12.679,7281801
2009-02-13,14.64,14.94,13.85,14.18,12.1732,4416443
2009-02-17,13.06,13.74,12.7,12.78,10.9711,8817885
2009-02-18,13.1,13.69,12.41,13.38,11.4861,6402348
2009-02-19,13.64,13.77,11.56,11.67,10.0182,7167074
2009-02-20,11.4,12.11,10.51,11.44,9.8207,10193283
2009-02-23,11.7,12.21,10.36,10.36,8.8935,6652390
2009-02-24,10.74,13.27,10.2,13.04,11.1947,10977373
2009-02-25,12.85,13.3,10.14,11.21,9.6233,14032380
2009-02-26,11.62,12.54,10.67,10.75,9.2282,9702666
2009-02-27,9.5,9.74,8.41,8.59,7.374,13214297
2009-03-02,8.28,8.7,7.68,7.71,6.6185,8935300
2009-03-03,8.03,8.19,6.19,6.56,5.6314,12591232
2009-03-04,7.05,7.43,6.29,7.16,6.1466,11955658
2009-03-05,6.61,7.07,5.56,5.85,5.0217,10662347
2009-03-06,5.95,6.23,5,5.4,4.6358,11697780
2009-03-09,5.2,6.14,4.9,5.01,4.3007,10415057
2009-03-10,5.68,6.71,5.67,6.38,5.4769,11198697
2009-03-11,6.83,7.59,6.39,7.19,6.1725,13831247
2009-03-12,7.1,8.55,6.8,8.26,7.0909,12371290
2009-03-13,8.61,9.91,8.39,9.03,7.7519,10573401
2009-03-16,8.84,9.58,8.05,8.13,6.9793,11041457
2009-03-17,8.28,8.71,6.93,8.15,6.9962,16110844
2009-03-18,7.71,9.86,7.21,9.45,8.1123,20927920
2009-03-19,9.71,10.05,7.5,8.04,6.9021,18391299
2009-03-20,7.61,8.26,7.13,7.31,6.2753,10093761
2009-03-23,8.15,9.7,8,9.7,8.3273,10849329
2009-03-24,9.14,10.21,8.81,9.18,7.8807,11998418
2009-03-25,9.44,10.05,8.41,9.18,7.8807,10354896
2009-03-26,9.4,9.66,8.8,9.57,8.2154,8309529
2009-03-27,9.15,10.915,8.85,10.37,8.9021,10319705
2009-03-30,8.5,8.51,6.21,6.41,5.5026,32355622
2009-03-31,6.56,7.74,6.56,6.69,5.743,32028492
2009-04-01,6.65,7.13,6.37,7.07,6.0694,15078236
2009-04-02,7.4,7.51,6.3,6.49,5.5714,22593695
2009-04-03,6.3,6.9,5.52,6.9,5.9231,21125280
2009-04-06,6.35,6.85,6.16,6.38,5.4769,12265453
2009-04-07,6.85,7.51,6.35,6.89,5.9238,24406285
2009-04-08,9.03,10,8.6,9.15,7.8671,40302242
2009-04-09,9.64,10.43,9.22,10.4,8.9419,21260010
2009-04-13,10.12,10.4,9.25,10.24,8.8043,14162481
2009-04-14,10.22,10.39,9.25,9.28,7.9789,10023870
2009-04-15,9.03,10.08,8.75,10.08,8.6666,7885089
2009-04-16,9.94,10.1,9.26,9.62,8.2712,11656797
2009-04-17,9.39,10.32,9.12,10.07,8.6579,12180402
2009-04-20,9.75,9.75,8.75,8.78,7.5489,10633501
2009-04-21,8.93,10.56,8.66,10.56,9.0795,16445673
2009-04-22,9.91,10.91,9.82,10.37,8.9161,15082376
2009-04-23,10.7,10.7,9.81,10.16,8.7354,9516383
2009-04-24,10.41,10.49,9.65,10.16,8.7354,14025288
2009-04-27,9.73,10.13,9.73,9.9,8.5117,6407711
2009-04-28,9.53,10.24,9.53,9.75,8.3833,6967023
2009-04-29,10.18,11.37,10.17,11.29,9.7069,11789931
2009-04-30,11.6,12.02,11.18,11.24,9.6642,12333824
2009-05-01,10.83,11.71,10.61,11.39,9.7932,8141189
2009-05-04,11.58,12.04,10.87,11.96,10.2834,13616599
2009-05-05,11.95,13.04,11.4,11.71,10.068,16999200
2009-05-06,13.44,16.2,13.03,15.5725,13.3892,41634276
2009-05-07,16.6,17.4,15.32,15.9,13.671,23427704
2009-05-08,16.41,18.56,16.25,18.24,15.6829,15910713
2009-05-11,18.13,18.14,16.45,16.58,14.2554,15300380
2009-05-12,16.87,17,15.23,16.14,13.8772,14967788
2009-05-13,15.63,16.03,14.32,14.42,12.3983,12931278
2009-05-14,14.09,16.77,13.83,16.24,13.9633,15407372
2009-05-15,18.19,18.25,15.44,16.12,13.8597,22697716
2009-05-18,16.59,17.79,16.34,17.65,15.1757,12131446
2009-05-19,17.61,18.33,16.93,17.6,15.1325,12277806
2009-05-20,18,18.71,16.69,16.84,14.4791,11830108
2009-05-21,17,17.66,16.44,17.08,14.6853,12032381
2009-05-22,17.2,17.45,16.75,17.03,14.6426,6061588
2009-05-26,16.84,17.78,16.18,17.7,15.2184,10855941
2009-05-27,17.78,18.4,16.97,17.08,14.6853,8902168
2009-05-28,17.39,18.12,17.22,18.01,15.4853,9248974
2009-05-29,18.15,19,17.83,18.95,16.2931,14997003
