Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,15.27,16.08,15.27,16.07,12.2591,597931
2009-01-05,15.88,16.4,15.76,16.11,12.2895,919512
2009-01-06,15.3399,15.43,14.16,15.16,11.5648,2811257
2009-01-07,15.2,15.29,14.5,14.77,11.2673,815897
2009-01-08,14.59,14.79,14.32,14.68,11.1985,742387
2009-01-09,14.42,14.44,13.87,14.03,10.7028,857402
2009-01-12,13.73,13.8,13.33,13.55,10.3367,659594
2009-01-13,13.41,13.67,13.26,13.6,10.3749,822674
2009-01-14,13.51,13.59,13.05,13.32,10.1612,1657453
2009-01-15,13.2,13.91,13.01,13.75,10.4892,1498098
2009-01-16,13.41,13.5855,12.76,13.21,10.0773,1189904
2009-01-20,11.59,11.69,11,11.02,8.4067,2617989
2009-01-21,11.03,11.5,10.94,11.48,8.7574,1474154
2009-01-22,10.5,10.9,10.28,10.85,8.2768,1643562
2009-01-23,9.85,10.61,9.85,10.37,7.9107,1540149
2009-01-26,10.1,10.3,9.59,9.73,7.4225,1804257
2009-01-27,9.75,9.97,9.73,9.84,7.5062,687649
2009-01-28,10.01,10.15,9.89,10.01,7.6361,1000136
2009-01-29,9.87,10.11,9.73,9.79,7.4684,774932
2009-01-30,9.87,9.87,9.54,9.59,7.3158,1131616
2009-02-02,9.49,9.62,9.3101,9.45,7.2089,844493
2009-02-03,9.5,9.68,9.35,9.65,7.3614,794694
2009-02-04,9.64,10.05,9.64,9.82,7.4913,1039901
2009-02-05,9.46,9.62,9.2,9.46,7.2165,1212697
2009-02-06,9.76,10.35,9.73,10.24,7.8115,1794808
2009-02-09,10.34,10.4,10.14,10.18,7.7657,765470
2009-02-10,10.02,10.18,9.46,9.47,7.2242,1119106
2009-02-11,9.92,9.97,9.44,9.64,7.3538,1160222
2009-02-12,9.64,9.9,9.56,9.86,7.5217,1063576
2009-02-13,9.89,9.99,9.71,9.73,7.4225,622318
2009-02-17,9.37,9.41,9.14,9.14,6.9725,960045
2009-02-18,8.94,8.96,8.7,8.87,6.7665,978454
2009-02-19,9.02,9.08,8.63,8.64,6.591,584299
2009-02-20,8.46,8.67,8.41,8.59,6.5528,981334
2009-02-23,8.45,8.45,7.85,7.88,6.0112,734321
2009-02-24,7.85,8.44,7.83,8.4,6.4078,1487177
2009-02-25,8.57,8.79,8.44,8.63,6.5834,1680268
2009-02-26,8.71,8.8101,8.6,8.6,6.5606,1478099
2009-02-27,8.49,8.67,8.49,8.56,6.53,1092884
2009-03-02,8.27,8.42,8.2,8.22,6.2705,1554694
2009-03-03,8.19,8.32,8.08,8.18,6.2402,1658452
2009-03-04,8.21,8.49,8.16,8.36,6.3774,1755576
2009-03-05,7.97,8.12,7.92,7.93,6.0494,1144571
2009-03-06,7.95,8.1,7.85,8.01,6.1104,1990438
2009-03-09,7.57,7.99,7.55,7.64,5.8282,1235209
2009-03-10,7.78,8.16,7.78,8.15,6.2173,1179642
2009-03-11,8.21,8.3193,8.08,8.23,6.2783,898305
2009-03-12,8.19,8.35,8.05,8.3,6.3316,1429843
2009-03-13,8.8,9.34,8.69,9.18,7.0029,2072593
2009-03-16,9.25,9.35,8.93,8.97,6.8426,982121
2009-03-17,8.89,9.51,8.83,9.42,7.186,963312
2009-03-18,9.45,9.84,9.44,9.76,7.4453,925694
2009-03-19,10.12,10.19,9.93,10.06,7.6742,786329
2009-03-20,10.1,10.15,9.56,9.68,7.3843,1041840
2009-03-23,9.91,10.58,9.89,10.58,8.071,805730
2009-03-24,10.58,10.75,10.24,10.37,7.9107,654327
2009-03-25,10.51,11.03,10.22,10.6,8.0861,1266608
2009-03-26,10.92,11.26,10.68,11.23,8.5668,1063798
2009-03-27,10.71,10.91,10.51,10.6,8.0861,837206
2009-03-30,10.3,10.32,9.81,10.15,7.743,860226
2009-03-31,10.31,10.52,10.14,10.28,7.8422,617476
2009-04-01,10.41,10.7,10.27,10.64,8.1167,683381
2009-04-02,11.04,11.52,10.98,11.18,8.5287,1337149
2009-04-03,11.22,11.35,11,11.35,8.6584,510697
2009-04-06,11.39,11.74,11.22,11.65,8.8873,1123167
2009-04-07,11.25,11.42,11.0402,11.05,8.4295,1027261
2009-04-08,11.06,11.33,10.82,11.25,8.5821,733116
2009-04-09,11.69,12.06,11.57,12.01,9.1619,961441
2009-04-13,11.64,11.79,11.07,11.4,8.6964,1596729
2009-04-14,11.78,11.82,11.41,11.47,8.7498,999672
2009-04-15,11.55,11.91,11.4,11.73,8.9483,1090600
2009-04-16,12.28,12.3,11.96,12.11,9.2381,1528205
2009-04-17,12.3,12.37,12.13,12.27,9.3602,894272
2009-04-20,11.9,11.91,11.41,11.49,8.7652,1220878
2009-04-21,11.44,11.91,11.41,11.78,8.9863,1010907
2009-04-22,11.49,12,11.45,11.74,8.9557,1416146
2009-04-23,10.38,11.32,10.32,11.1,8.4677,4118034
2009-04-24,11.79,12.46,11.3,12.4,9.4594,2450605
2009-04-27,11.93,12.24,11.83,11.97,9.1313,1048735
2009-04-28,11.85,12.3,11.79,12.18,9.2915,767027
2009-04-29,12.6,13.3401,12.53,13.06,9.9628,1213021
2009-04-30,13.47,13.78,13.18,13.32,10.1612,1014695
2009-05-01,13.78,14.3,13.61,13.67,10.4282,1188938
2009-05-04,14.25,14.42,14.06,14.31,10.9166,2318670
2009-05-05,14.97,15,14.2,14.33,10.9317,1667309
2009-05-06,15.01,15.01,14.55,14.76,11.2597,1608320
2009-05-07,15.57,15.65,14.305,14.4,10.985,2317384
2009-05-08,14.71,15.06,14.37,14.62,11.1528,1203580
2009-05-11,14.64,14.65,14.16,14.21,10.8401,1085442
2009-05-12,14.18,14.18,13.6,13.79,10.5197,1107563
2009-05-13,13.25,13.31,12.9,12.96,9.8865,849299
2009-05-14,13.27,13.43,13.1,13.19,10.0621,1235649
2009-05-15,13.37,13.58,13.16,13.25,10.1077,605630
2009-05-18,13.73,13.98,13.68,13.92,10.6188,670701
2009-05-19,14.33,14.65,14.25,14.48,11.0459,883972
2009-05-20,14.41,14.65,14.09,14.18,10.8172,762441
2009-05-21,14.03,14.2,13.55,13.83,10.5501,878271
2009-05-22,14.2899,14.3,13.72,13.78,10.512,972660
2009-05-26,13.89,14.53,13.83,14.42,11.0004,627173
2009-05-27,14.45,14.49,13.95,14.01,10.6875,649680
2009-05-28,14.15,14.26,13.81,14.16,10.8019,648040
2009-05-29,14.37,14.4,13.87,14.03,10.7028,913608
2009-06-01,14.24,14.58,14.12,14.37,10.9621,968041
2009-06-02,14.36,14.64,14.36,14.45,11.0232,663632
2009-06-03,14.91,15.14,14.57,15.06,11.4887,1543251
2009-06-04,15.09,15.4,14.95,15.19,11.5878,1030464
2009-06-05,15.45,15.45,14.89,15.06,11.4887,684087
2009-06-08,14.77,14.81,14.37,14.48,11.0459,939181
2009-06-09,14.75,14.78,14.23,14.31,10.9166,1227141
2009-06-10,14.85,15.03,14.16,14.6,11.1375,2386901
2009-06-11,14.91,15.05,14.67,14.74,11.2444,1224083
2009-06-12,14.84,14.9,14.5,14.66,11.1833,846779
2009-06-15,14.4,14.43,13.9,13.99,10.6722,885501
2009-06-16,13.95,14.01,13.6,13.67,10.4282,756488
2009-06-17,13.57,13.78,13.35,13.62,10.39,559322
2009-06-18,13.63,13.66,13.41,13.6,10.3749,531709
2009-06-19,13.7001,13.8,13.55,13.64,10.4052,706891
2009-06-22,13.37,13.38,12.83,12.9,9.8407,732062
2009-06-23,13.26,13.32,13.04,13.18,10.0543,675962
2009-06-24,13.35,13.59,13.08,13.21,10.0773,688169
2009-06-25,13.02,13.43,12.97,13.38,10.2068,591327
2009-06-26,13.68,14.23,13.65,14.2,10.8325,1214888
2009-06-29,14.02,14.09,13.87,14.02,10.6951,702176
2009-06-30,13.96,14.0838,13.7,14.03,10.7028,765438
2009-07-01,14.05,14.23,13.96,13.99,10.6722,720556
2009-07-02,13.89,14.09,13.72,14.03,10.7028,1068452
2009-07-06,14.05,14.25,13.93,14.23,10.8554,758279
2009-07-07,14.4,14.48,13.82,13.85,10.5655,1143530
2009-07-08,13.8,13.8,13.28,13.45,10.2602,964121
2009-07-09,13.75,13.76,13.37,13.38,10.2068,443637
2009-07-10,13.18,13.36,13.09,13.32,10.1612,512771
2009-07-13,13.56,13.89,13.36,13.83,10.5501,541568
2009-07-14,13.69,13.93,13.57,13.75,10.4892,869791
2009-07-15,14.38,14.85,14.38,14.84,11.3207,599840
2009-07-16,14.73,15.29,14.7,15.25,11.6335,1046686
2009-07-17,14.91,15.39,14.86,15.39,11.7403,1719365
2009-07-20,15.68,16.24,15.68,16.23,12.3811,1205139
2009-07-21,16.57,16.9,16.09,16.56,12.6328,2103160
2009-07-22,16.07,16.65,15.9,16.53,12.6098,1409151
2009-07-23,15.3,15.81,14.99,15.29,11.664,2634039
2009-07-24,15.28,15.5,15.01,15.45,11.7861,861935
2009-07-27,15.73,16.03,15.53,16.02,12.2208,1042264
