Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,22.79,22.9,21.72,21.72,12.335,1733132
2009-01-05,21.5,22.2,21.16,21.16,12.0171,2123611
2009-01-06,21.33,22.78,22.54,22.54,12.8007,2341742
2009-01-07,22.17,22.17,21.37,21.37,12.1363,1989773
2009-01-08,21.12,21.89,21.64,21.64,12.2897,1799330
2009-01-09,21.75,21.75,20.41,20.41,11.5914,1923046
2009-01-12,20.61,20.61,18.89,18.89,10.7281,1745052
2009-01-13,18.67,20.01,19.76,19.76,11.2216,1980217
2009-01-14,19.15,19.15,18.32,18.32,10.4041,1802676
2009-01-15,18.3,19.91,18.99,18.99,10.7848,2218574
2009-01-16,19.23,20.1,20,20,11.3582,2571817
2009-01-20,19.56,19.68,17.49,17.49,9.933,3150375
2009-01-21,17.67,20.2,20,20,11.3582,3468171
2009-01-22,19.63,20.07,19.08,19.08,10.8356,2671177
2009-01-23,18.54,20.01,19.96,19.96,11.336,1442382
2009-01-26,19.95,20.6,19.93,19.93,11.3187,1441694
2009-01-27,20.19,20.8,20.34,20.34,11.5516,1079768
2009-01-28,21.27,22.88,22.73,22.73,12.9086,2772837
2009-01-29,22.33,22.33,20.65,20.65,11.7276,2549785
2009-01-30,21.18,21.45,20,20,11.3582,2809344
2009-02-02,19.76,20.41,20.4,20.4,11.5856,2082108
2009-02-03,20.47,21.92,20.8,20.8,11.8125,2447001
2009-02-04,22.35,22.35,20.7,20.7,11.7558,2586044
2009-02-05,20.55,21.42,20.74,20.74,11.7783,3243949
2009-02-06,20.96,22.91,22.79,22.79,12.9432,2351032
2009-02-09,22.89,23.6,23.32,23.32,13.2439,1959950
2009-02-10,22.9,23.18,21.36,21.36,12.1308,4262014
2009-02-11,21.63,21.86,21.7,21.7,12.3237,3480584
2009-02-12,21.09,21.37,21.07,21.07,11.966,3924276
2009-02-13,20.86,21.06,19.86,19.86,11.2788,3331430
2009-02-17,19.13,19.85,18.74,18.74,10.6428,2797561
2009-02-18,18.89,19.38,18.72,18.72,10.6311,2237268
2009-02-19,19.09,19.17,17.85,17.85,10.1376,2284418
2009-02-20,17.11,19.34,19.16,19.16,10.8813,3225061
2009-02-23,19.21,19.5,17.59,17.59,9.9895,3014075
2009-02-24,18.14,19.69,19.46,19.46,11.0517,3103463
2009-02-25,19.18,20.39,19.36,19.36,10.9948,2863160
2009-02-26,19.95,20.16,18.75,18.75,10.6486,3193717
2009-02-27,18.12,19.17,18.27,18.27,10.3758,2331861
2009-03-02,17.6,17.95,16.98,16.98,9.6432,3036486
2009-03-03,17.54,18.56,18.06,18.06,10.2566,3950017
2009-03-04,18.57,18.98,18.52,18.52,10.5179,3119075
2009-03-05,17.76,18.3,17.37,17.37,9.8646,2935398
2009-03-06,17.7,17.94,16.95,16.95,9.6263,3713025
2009-03-09,16.58,17.11,16.9,16.9,9.5977,2477554
2009-03-10,17.53,19.19,19.19,19.19,10.8982,5387420
2009-03-11,19.07,19.92,19.37,19.37,11.0006,3110267
2009-03-12,19.03,20.83,20.65,20.65,11.7276,3273131
2009-03-13,20.86,21.12,20.24,20.24,11.4945,2120884
2009-03-16,20.5,20.51,18.17,18.17,10.3189,2823919
2009-03-17,18.35,19.9,19.84,19.84,11.2672,2774995
2009-03-18,19.66,20.8,20.32,20.32,11.5399,3322168
2009-03-19,20.67,20.88,19.32,19.32,10.9723,3209037
2009-03-20,19.44,19.44,17.77,17.77,10.0915,3158436
2009-03-23,18.5,21.04,20.95,20.95,11.8978,4542263
2009-03-24,20.34,20.67,18.74,18.74,10.6428,3547762
2009-03-25,19.06,19.65,19.22,19.22,10.9153,3441541
2009-03-26,19.33,20.15,20,20,11.3582,3393206
2009-03-27,19.34,19.94,19.4,19.4,11.0178,2763909
2009-03-30,18.35,18.53,17.59,17.59,10.2668,2573993
2009-03-31,17.94,19.16,18.94,18.94,11.055,3867526
2009-04-01,18.19,19.16,18.93,18.93,11.0489,2818655
2009-04-02,19.58,20.69,20.31,20.31,11.8546,4843649
2009-04-03,20.14,21.85,21.83,21.83,12.7416,3559606
2009-04-06,20.93,22.5,22.01,22.01,12.8466,3330445
2009-04-07,21.39,21.72,19.43,19.43,11.3408,3383912
2009-04-08,19.73,20.14,19.62,19.62,11.4515,2571330
2009-04-09,20.3,22.13,22.04,22.04,12.8641,4524585
2009-04-13,21.83,23.32,22.9,22.9,13.3662,2641982
2009-04-14,22.58,23.12,21.28,21.28,12.4206,5093094
2009-04-15,21.07,23.39,23.24,23.24,13.5648,4027023
2009-04-16,23.49,25.6,24.4,24.4,14.2417,3736590
2009-04-17,24.29,25.59,24.92,24.92,14.5451,3527472
2009-04-20,24.15,24.22,21.98,21.98,12.8292,3465195
2009-04-21,21.64,24.17,23.85,23.85,13.9205,4459648
2009-04-22,23.49,24.29,23.03,23.03,13.4421,4027504
2009-04-23,23.69,24.03,23.98,23.98,13.9969,2836680
2009-04-24,23.93,25.94,25.32,25.32,14.7789,3175653
2009-04-27,24.85,24.87,23.53,23.53,13.7341,2731744
2009-04-28,22.14,23.22,22.6,22.6,13.1914,3826141
2009-04-29,22.82,23.98,23.62,23.62,13.7866,3080406
2009-04-30,23.81,24.81,24.34,24.34,14.2069,2851032
2009-05-01,23.7,24.48,23.73,23.73,13.851,2356008
2009-05-04,24.04,25.62,25.48,25.48,14.8724,3520481
2009-05-05,24.63,25.37,24.57,24.57,14.3411,2340737
2009-05-06,24.89,25.9,25.61,25.61,14.9482,2816740
2009-05-07,25.85,26.05,23.74,23.74,13.8566,2893426
2009-05-08,24.02,25.8,25.6,25.6,14.942,3433324
2009-05-11,24.61,25.26,24.5,24.5,14.3002,2355928
2009-05-12,24.66,25.07,24.2,24.2,14.1253,1510800
2009-05-13,23.4,23.6,22.5,22.5,13.133,1768727
2009-05-14,22.42,23.8,23.61,23.61,13.7805,1964275
2009-05-15,23.46,23.55,22.4,22.4,13.0744,2103382
2009-05-18,22.67,24.73,24.55,24.55,14.3292,2685462
2009-05-19,23.99,24.62,23.89,23.89,13.9441,1502766
2009-05-20,24.15,25.15,23.39,23.39,13.6522,1807836
2009-05-21,23.03,23.6,23.33,23.33,13.617,1441725
2009-05-22,23.43,23.64,22.62,22.62,13.2028,1264638
2009-05-26,22.62,24.4,24.06,24.06,14.0433,2431183
2009-05-27,24.1,24.1,22.43,22.43,13.0918,3032942
2009-05-28,22.82,23.4,22.55,22.55,13.1621,2776713
2009-05-29,22.88,23.4,23.28,23.28,13.5879,3652814
2009-06-01,23.81,25.28,24.38,24.38,14.2302,2849681
2009-06-02,24.56,24.72,23.91,23.91,13.9557,2264581
2009-06-03,23.66,23.85,23.62,23.62,13.7866,1951844
2009-06-04,23.75,25,24.78,24.78,14.4635,2110045
2009-06-05,25.25,25.25,24.25,24.25,14.154,1950625
2009-06-08,24.01,24.41,24.1,24.1,14.0666,1448033
2009-06-09,24.15,24.39,24.2,24.2,14.1253,1409736
2009-06-10,24.47,24.47,23.69,23.69,13.8272,2606919
2009-06-11,23.87,23.94,23.32,23.32,13.6112,1661333
2009-06-12,23.54,24.5,24.39,24.39,14.2359,1974146
2009-06-15,24.06,24.09,23.22,23.22,13.5527,2199377
2009-06-16,23.34,23.72,22.9,22.9,13.3662,1359774
2009-06-17,22.86,23.21,22.54,22.54,13.156,1646806
2009-06-18,22.84,23.1,22.86,22.86,13.3431,1435988
2009-06-19,23.04,23.27,22.91,22.91,13.3719,1879314
2009-06-22,22.64,22.72,21.54,21.54,12.5725,2153074
2009-06-23,21.57,22.25,21.81,21.81,12.7301,2038163
2009-06-24,21.85,22.6,22.3,22.3,13.016,1670768
2009-06-25,22.17,22.74,22.72,22.72,13.2609,1830195
2009-06-26,22.63,23.39,23.3,23.3,13.5996,1917245
2009-06-29,23.04,23.23,22.77,22.77,13.5737,1664003
2009-06-30,22.71,23.11,23.04,23.04,13.7345,1793800
2009-07-01,23.14,23.29,23.19,23.19,13.8242,5740212
2009-07-02,22.86,22.94,21.91,21.91,13.0606,1979647
