Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,7.95,8.09,7.5,7.79,3.895,294023
2009-01-05,7.85,8.48,7.59,8.26,4.13,374455
2009-01-06,8.43,8.49,7.92,8.26,4.13,642029
2009-01-07,8.18,8.3,7.79,8.17,4.085,283817
2009-01-08,7.86,8.09,7.68,7.99,3.995,675780
2009-01-09,8.16,8.3,7.37,7.59,3.795,605554
2009-01-12,7.55,7.74,7.06,7.08,3.54,222795
2009-01-13,7,7.13,6.65,6.73,3.365,547597
2009-01-14,6.55,6.72,6.07,6.22,3.11,713975
2009-01-15,6.24,7.28,5.91,7.03,3.515,994522
2009-01-16,7.14,7.23,6.56,6.9,3.45,431182
2009-01-20,7.06,7.07,6.53,6.63,3.315,455265
2009-01-21,6.82,6.91,6.35,6.79,3.395,379217
2009-01-22,6.59,7.37,6.46,7.21,3.605,508441
2009-01-23,7.03,7.42,7.02,7.22,3.61,408464
2009-01-26,7.15,7.41,6.94,6.98,3.49,656301
2009-01-27,7.03,7.2,6.97,7.03,3.515,181832
2009-01-28,7.1,7.42,7.08,7.36,3.68,276739
2009-01-29,7.23,7.23,6.75,6.76,3.38,227862
2009-01-30,7,7.14,6.57,6.8,3.4,417784
2009-02-02,6.82,6.85,6.47,6.64,3.32,236845
2009-02-03,6.69,7.14,6.6,7.11,3.555,306733
2009-02-04,7.13,7.54,6.91,7.35,3.675,650215
2009-02-05,7.3,7.54,7.21,7.51,3.755,369095
2009-02-06,7.47,7.96,7.38,7.82,3.91,376613
2009-02-09,7.76,8,7.53,7.67,3.835,344385
2009-02-10,7.63,7.902,7.05,7.05,3.525,276782
2009-02-11,7.09,7.3296,6.73,6.9,3.45,184537
2009-02-12,6.75,6.8202,6.405,6.58,3.29,390932
2009-02-13,6.57,6.73,6.35,6.46,3.23,383705
2009-02-17,6.33,6.49,5.96,5.99,2.995,631522
2009-02-18,6.1,6.3205,5.97,6.26,3.13,411481
2009-02-19,6.34,6.38,6,6,3,308670
2009-02-20,5.97,6.13,5.295,5.46,2.73,910046
2009-02-23,5.56,5.62,5.34,5.588,2.794,437571
2009-02-24,5.66,5.81,5.46,5.79,2.895,452933
2009-02-25,5.76,5.8,5.35,5.56,2.78,524638
2009-02-26,5.64,5.84,5.39,5.49,2.745,287318
2009-02-27,5.37,5.76,5.29,5.72,2.86,456440
2009-03-02,5.62,5.62,5.17,5.19,2.595,313468
2009-03-03,5.25,5.39,4.79,4.85,2.425,703629
2009-03-04,5.03,5.32,4.86,5.24,2.62,415766
2009-03-05,5.12,5.41,4.86,4.93,2.465,224993
2009-03-06,4.99,5.12,4.33,4.5,2.25,514729
2009-03-09,4.57,4.7,4.4,4.49,2.245,249029
2009-03-10,4.62,5.13,4.58,5.03,2.515,708768
2009-03-11,5.07,5.65,4.94,5.37,2.685,598915
2009-03-12,5.45,6.39,5.22,6.2,3.1,684452
2009-03-13,6.28,6.5,6.07,6.36,3.18,381814
2009-03-16,6.46,6.52,5.99,6.01,3.005,265956
2009-03-17,6.02,6.18,5.8,5.95,2.975,437150
2009-03-18,6.07,6.55,5.95,6.48,3.24,287082
2009-03-19,6.5,6.88,6.5,6.76,3.38,376794
2009-03-20,6.84,6.87,6.1301,6.42,3.21,537508
2009-03-23,6.55,6.63,6.15,6.37,3.185,760955
2009-03-24,6.26,6.63,6.13,6.53,3.265,913502
2009-03-25,6.68,6.75,6.4,6.66,3.33,696326
2009-03-26,6.9,7.73,6.9,7.67,3.835,1280324
2009-03-27,7.9,8.8788,7.75,8.37,4.185,1967709
2009-03-30,8.25,8.6,7.96,8.28,4.14,727850
2009-03-31,8.59,9.21,8.25,8.66,4.33,570903
2009-04-01,8.88,9.5,8.88,9.33,4.665,1150372
2009-04-02,9.67,10.08,9.41,10.03,5.015,1024468
2009-04-03,9.55,10.45,9.55,10.2,5.1,493021
2009-04-06,10.12,10.12,9.72,9.87,4.935,301882
2009-04-07,9.66,9.75,8.99,9.11,4.555,514300
2009-04-08,9.08,10.4795,8.99,9.73,4.865,1001810
2009-04-09,10,11.14,9.9801,10.84,5.42,647138
2009-04-13,11.62,12.01,11.3,11.79,5.895,1373850
2009-04-14,11.74,12.75,11.28,12.4,6.2,1147094
2009-04-15,12.18,12.78,11.98,12.33,6.165,1394183
2009-04-16,12.39,13.33,12.3501,13.18,6.59,1284385
2009-04-17,13.2,14.27,12.97,14.26,7.13,1702894
2009-04-20,14.06,14.08,12.2,12.48,6.24,1245587
2009-04-21,12.39,13.69,12.27,13.59,6.795,1636456
2009-04-22,13.35,14.55,13.25,13.53,6.765,1362996
2009-04-23,13.64,13.88,13.15,13.69,6.845,865694
2009-04-24,13.79,14.8,13.52,14.35,7.175,1524396
2009-04-27,13.96,14.36,13.64,14.25,7.125,1107709
2009-04-28,13.97,14.79,13.91,14.45,7.225,758603
2009-04-29,14.55,14.97,14.28,14.47,7.235,994148
2009-04-30,14.59,14.94,13.93,13.95,6.975,782271
2009-05-01,14.01,14.27,13.75,14.05,7.025,866043
2009-05-04,14.1,14.95,14.03,14.93,7.465,834490
2009-05-05,14.8,15.21,14.67,15,7.5,854963
2009-05-06,15.13,15.37,14.6036,15.17,7.585,500047
2009-05-07,15.26,15.64,14.25,14.35,7.175,694323
2009-05-08,14.56,14.92,14.4,14.8,7.4,475112
2009-05-11,14.45,14.474,13.68,13.72,6.86,551266
