Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,8.61,9.03,8.5,8.97,8.3615,7945300
2009-01-05,8.91,8.91,8.5,8.68,8.0912,8158900
2009-01-06,8.75,9.2,8.69,9.14,8.52,10760800
2009-01-07,9.04,9.21,8.8,8.94,8.3335,9230600
2009-01-08,8.92,9.03,8.7,8.99,8.3802,8033300
2009-01-09,8.94,8.94,8.51,8.56,7.9793,7572600
2009-01-12,8.55,8.69,8.48,8.62,8.0353,10444700
2009-01-13,8.6,8.77,8.32,8.34,7.7742,11722700
2009-01-14,8.27,8.35,7.87,7.99,7.448,12025600
2009-01-15,7.99,8.49,7.77,8.28,7.7183,13826300
2009-01-16,8.37,8.74,8.27,8.61,8.0259,10165200
2009-01-20,8.64,8.8,8.11,8.14,7.5878,11061400
2009-01-21,8.26,8.42,7.82,8.38,7.8115,16305100
2009-01-22,8.86,9.95,8.58,9.81,9.1445,25819100
2009-01-23,9.23,9.23,7.78,8,7.4573,29740600
2009-01-26,8.15,8.15,7.78,7.88,7.3455,13290000
2009-01-27,7.94,8,7.15,7.33,6.8328,19329700
2009-01-28,7.7,7.71,7.44,7.66,7.1404,14707100
2009-01-29,7.66,7.8,7.2,7.25,6.7582,12601000
2009-01-30,7.22,7.45,6.97,7.03,6.5531,13934500
2009-02-02,7.08,7.08,6.61,6.75,6.2921,14062100
2009-02-03,6.91,6.91,6.57,6.82,6.3574,13711800
2009-02-04,6.85,6.94,6.56,6.63,6.1802,11858200
2009-02-05,6.61,7.01,6.49,6.89,6.4226,17767900
2009-02-06,6.96,7.4,6.94,7.33,6.8328,12699000
2009-02-09,7.38,7.38,7.01,7.18,6.6929,12277600
2009-02-10,7.13,7.33,7.09,7.2,6.7116,18463300
2009-02-11,7.22,7.35,7.04,7.2,6.7116,14225800
2009-02-12,7.21,7.34,7.01,7.33,6.8328,11737600
2009-02-13,7.33,7.48,7.19,7.29,6.7955,9569200
2009-02-17,7.05,7.11,6.93,6.95,6.4785,12702400
2009-02-18,7.02,7.05,6.6,6.69,6.2362,13973500
2009-02-19,6.76,7.1,6.65,6.68,6.2269,12580500
2009-02-20,6.47,6.65,6.1,6.52,6.0777,12550200
2009-02-23,6.59,6.73,6.42,6.45,6.0125,9420600
2009-02-24,6.51,6.61,6.35,6.57,6.1286,9055200
2009-02-25,6.55,6.55,5.83,6.07,5.6622,19449800
2009-02-26,6.2,6.25,6,6.12,5.7088,11610200
2009-02-27,6.03,6.1,5.73,5.89,5.4943,11046700
2009-03-02,5.75,5.78,5.41,5.52,5.1491,12357800
2009-03-03,5.4,5.58,5.08,5.23,4.8786,23128100
2009-03-04,5.31,5.35,5.12,5.22,4.8693,16963300
2009-03-05,5.13,5.14,4.95,5.01,4.6734,16517500
2009-03-06,5,5.25,5,5.13,4.7853,13932100
2009-03-09,5.13,5.39,5.06,5.17,4.8227,11106400
2009-03-10,5.29,5.49,5.17,5.46,5.0932,17806200
2009-03-11,5.54,5.65,5.3,5.45,5.0838,9667300
2009-03-12,5.45,5.62,5.25,5.59,5.2144,10017300
2009-03-13,5.66,5.85,5.6,5.72,5.3357,10378900
2009-03-16,6.01,6.02,5.48,5.52,5.1491,9288300
2009-03-17,5.53,5.82,5.35,5.82,5.429,7383300
2009-03-18,5.82,6.12,5.65,5.88,5.485,11857100
2009-03-19,6.07,6.07,5.75,5.77,5.3823,9672800
2009-03-20,5.79,5.88,5.57,5.6,5.2238,7681800
2009-03-23,5.79,6.04,5.61,6.04,5.6342,6859500
2009-03-24,5.98,6.05,5.78,5.92,5.5223,7969600
2009-03-25,5.97,6.47,5.92,6.14,5.7275,10265500
2009-03-26,6.31,6.58,6.17,6.45,6.0167,8106200
2009-03-27,6.41,6.46,6.21,6.23,5.8114,6365900
2009-03-30,6.07,6.2,6.01,6.17,5.7555,9853600
2009-03-31,6.23,6.53,6.17,6.33,5.9047,11128400
2009-04-01,6.27,6.45,6.02,6.43,5.998,8836000
2009-04-02,6.56,7.14,6.45,7.05,6.5763,11432300
2009-04-03,7.05,7.16,6.7,6.86,6.3991,9624800
2009-04-06,6.82,7.48,6.73,7.34,6.8469,12171300
2009-04-07,7.28,7.28,6.71,6.75,6.2965,10614600
2009-04-08,6.83,7.09,6.76,7.01,6.539,8959300
2009-04-09,7.18,7.38,7.09,7.38,6.8842,9064300
2009-04-13,7.38,7.4,7.18,7.35,6.8562,7244800
2009-04-14,7.35,7.55,7.2,7.27,6.7816,10393700
2009-04-15,7.29,7.68,7.11,7.64,7.1267,11175000
2009-04-16,7.45,7.45,6.58,7.1,6.623,24036300
2009-04-17,7.11,7.43,6.91,7.2,6.7163,12306500
2009-04-20,7.12,7.15,6.86,7.01,6.539,8298500
2009-04-21,6.97,7.59,6.92,7.53,7.0241,10529100
2009-04-22,7.49,7.75,7.35,7.47,6.9681,11402700
2009-04-23,7.47,7.51,7.17,7.43,6.9308,7136700
2009-04-24,7.49,7.74,7.45,7.59,7.0801,7750400
2009-04-27,6.97,7.06,6.55,6.88,6.4178,19875000
2009-04-28,6.88,7.41,6.65,6.95,6.4831,16073900
2009-04-29,7.19,7.35,7.08,7.2,6.7163,9166900
2009-04-30,7.3,7.34,6.96,6.98,6.511,11281200
2009-05-01,7.08,7.15,6.91,7.06,6.5857,8811400
2009-05-04,7.18,7.38,7.06,7.38,6.8842,8550400
2009-05-05,7.34,7.57,7.3,7.45,6.9495,10210600
2009-05-06,7.55,7.7,7.3,7.52,7.0148,6889800
2009-05-07,7.56,7.62,7.13,7.22,6.7349,7769800
2009-05-08,7.39,7.39,7.12,7.36,6.8655,11115600
2009-05-11,7.25,7.3,7.1,7.16,6.679,7069800
2009-05-12,7.18,7.26,7,7.13,6.651,6957600
2009-05-13,7.06,7.07,6.81,6.9,6.4364,6446700
2009-05-14,6.91,7.16,6.8,6.95,6.4831,8335600
2009-05-15,6.99,7.06,6.82,6.89,6.4271,7463500
2009-05-18,6.94,7.13,6.9,7.12,6.6416,5453100
2009-05-19,7.18,7.25,7.01,7.08,6.6043,7676800
2009-05-20,7.14,7.25,6.91,6.93,6.4644,7342000
2009-05-21,6.96,6.96,6.7,6.76,6.3058,8985800
2009-05-22,6.78,6.82,6.62,6.7,6.2499,5242600
2009-05-26,6.75,6.91,6.62,6.91,6.4457,6432400
2009-05-27,6.91,6.94,6.6,6.6,6.1566,7851300
2009-05-28,6.75,6.75,6.58,6.67,6.2219,8166300
2009-05-29,6.7,6.74,6.58,6.74,6.2872,7248300
2009-06-01,6.83,6.98,6.71,6.88,6.4178,13342500
2009-06-02,6.9,7.22,6.88,7.04,6.567,12595600
2009-06-03,6.99,7.07,6.86,6.97,6.5017,8178700
2009-06-04,7,7.01,6.81,6.86,6.3991,8896100
2009-06-05,6.99,7.01,6.79,6.89,6.4271,10326700
2009-06-08,6.91,6.91,6.75,6.82,6.366,5123500
2009-06-09,6.83,6.91,6.7,6.81,6.3566,6825400
2009-06-10,6.81,6.85,6.57,6.65,6.2073,7876900
2009-06-11,6.65,6.81,6.55,6.64,6.1979,8881600
2009-06-12,6.63,6.73,6.53,6.61,6.1699,8957900
2009-06-15,6.56,6.56,6.4,6.48,6.0486,7932800
2009-06-16,6.5,6.62,6.4,6.43,6.0019,5936900
2009-06-17,6.46,6.72,6.39,6.62,6.1793,11485400
2009-06-18,6.68,6.7,6.48,6.64,6.1979,8941100
2009-06-19,6.69,6.71,6.55,6.64,6.1979,6944200
2009-06-22,6.55,6.58,6.35,6.36,5.9366,5761200
2009-06-23,6.35,6.39,6.14,6.25,5.8339,9709200
2009-06-24,6.31,6.4,6.22,6.31,5.8899,8308100
2009-06-25,6.3,6.62,6.21,6.62,6.1793,6661300
2009-06-26,6.6,6.69,6.42,6.56,6.1233,9573900
2009-06-29,6.6,6.73,6.5,6.67,6.2259,4164500
2009-06-30,6.67,6.74,6.47,6.73,6.2819,8532200
2009-07-01,6.75,6.94,6.74,6.8,6.3473,7274300
2009-07-02,6.55,6.59,6.4,6.5,6.0673,11100300
2009-07-06,6.47,6.64,6.43,6.6,6.1606,9311200
2009-07-07,6.59,6.6,6.43,6.48,6.0486,7993200
2009-07-08,6.51,6.7,6.45,6.61,6.1699,13076900
2009-07-09,6.64,6.69,6.46,6.5,6.0673,8444900
2009-07-10,6.45,6.65,6.43,6.59,6.1513,6601500
2009-07-13,6.62,6.81,6.55,6.8,6.3473,8137600
2009-07-14,6.8,6.89,6.72,6.82,6.366,7493600
2009-07-15,6.9,7.09,6.78,7.07,6.5993,5529400
2009-07-16,7.05,7.09,6.85,7.07,6.5993,5539100
2009-07-17,7.03,7.09,6.92,7.02,6.5526,4730500
2009-07-20,7.04,7.32,7,7.3,6.814,8421100
2009-07-21,7.35,7.35,6.61,6.87,6.4126,18406000
2009-07-22,6.9,7.25,6.81,6.92,6.4593,13702800
2009-07-23,6.91,7.13,6.77,7.13,6.6553,8804700
2009-07-24,7.03,7.55,7.03,7.45,6.954,13481000
2009-07-27,7.47,7.5,7.26,7.42,6.926,7945600
2009-07-28,7.38,7.58,7.34,7.51,7.01,6254500
2009-07-29,7.44,7.71,7.41,7.67,7.1594,7504800
2009-07-30,7.76,7.89,7.65,7.73,7.2154,8408700
2009-07-31,7.74,7.89,7.67,7.85,7.3274,7634400
2009-08-03,7.98,8.38,7.85,8.36,7.8034,13909200
2009-08-04,8.34,8.75,8.3,8.72,8.1395,12610600
2009-08-05,8.66,9.08,8.57,9.03,8.4288,10690800
2009-08-06,9.04,9.19,8.77,9.15,8.5408,10219500
2009-08-07,9.23,9.34,9.05,9.11,8.5035,8933900
2009-08-10,9.09,9.12,8.83,8.87,8.2795,7143200
2009-08-11,8.91,9.04,8.76,8.91,8.3168,7569500
2009-08-12,8.92,9.14,8.87,9.01,8.4102,6991600
2009-08-13,9.01,9.26,8.87,9.24,8.6248,7821300
2009-08-14,9.1,9.11,8.82,9.08,8.4755,14224600
2009-08-17,8.95,8.95,8.65,8.7,8.1208,10842800
2009-08-18,8.74,8.89,8.69,8.82,8.2328,13566700
2009-08-19,8.52,8.61,8.32,8.46,7.8968,13166400
2009-08-20,8.45,8.56,8.42,8.49,7.9248,8058700
2009-08-21,8.55,8.82,8.55,8.68,8.1021,15447700
2009-08-24,8.77,8.88,8.46,8.47,7.9061,12373500
2009-08-25,8.51,8.76,8.51,8.68,8.1021,9842800
2009-08-26,8.67,8.78,8.55,8.6,8.0274,7620000
2009-08-27,8.65,8.66,8.3,8.45,7.8874,6805000
2009-08-28,8.48,8.61,8.42,8.51,7.9434,6243200
2009-08-31,8.47,8.52,8.17,8.18,7.6354,8388300
2009-09-01,8.18,8.33,7.91,8.02,7.4902,10709600
2009-09-02,7.94,8.17,7.86,8.13,7.5929,10651300
2009-09-03,8.18,8.43,8.05,8.41,7.8544,9879700
2009-09-04,8.41,8.61,8.13,8.6,8.0319,7310300
2009-09-08,8.69,8.74,8.5,8.65,8.0786,5432600
2009-09-09,8.63,8.83,8.51,8.81,8.228,6323500
2009-09-10,8.78,9.25,8.76,9.25,8.6389,7890200
2009-09-11,9.32,9.49,9.25,9.34,8.723,9815200
2009-09-14,9.14,9.54,9.05,9.54,8.9098,5678800
2009-09-15,9.51,9.86,9.38,9.7,9.0592,6414000
2009-09-16,9.85,10.2,9.66,9.88,9.2273,11744400
2009-09-17,9.94,10.13,9.52,9.7,9.0592,11891700
2009-09-18,9.85,9.86,9.55,9.68,9.0405,9068800
2009-09-21,9.61,9.84,9.46,9.77,9.1246,7445500
2009-09-22,9.84,9.92,9.48,9.5,8.8724,7929500
2009-09-23,9.83,9.88,9.59,9.68,9.0405,11431300
2009-09-24,9.71,9.78,9.48,9.49,8.8631,10325700
2009-09-25,9.47,9.74,9.46,9.65,9.0125,7545600
2009-09-28,9.73,9.86,9.65,9.78,9.1339,7140400
2009-09-29,9.8,9.96,9.62,9.66,9.0218,6116000
2009-09-30,9.66,9.73,9.44,9.6,8.9658,7022200
2009-10-01,9.55,9.55,8.97,8.99,8.3961,9370600
2009-10-02,8.81,9.3,8.79,9.2,8.5922,8953000
2009-10-05,8.74,9.18,8.52,9.08,8.4802,10858200
2009-10-06,9.11,9.29,9,9.16,8.5549,7816200
2009-10-07,9.26,9.32,9.12,9.2,8.5922,6881700
2009-10-08,9.3,9.73,9.24,9.72,9.0779,11587300
2009-10-09,9.71,9.73,9.19,9.61,8.9751,8113600
2009-10-12,9.63,9.72,9.5,9.54,8.9098,6357600
2009-10-13,9.54,9.64,9.35,9.58,8.9471,4800500
2009-10-14,9.69,10.1,9.62,10.04,9.3767,12494700
2009-10-15,9.97,10,9.36,9.47,8.8444,14950200
2009-10-16,9.42,9.47,9.17,9.25,8.6389,11141100
2009-10-19,9.01,9.23,8.97,9.19,8.5829,9716200
2009-10-20,9.32,9.32,9.13,9.26,8.6483,6957100
2009-10-21,9.23,9.31,8.84,8.85,8.2654,12319500
2009-10-22,8.93,9.09,8.74,8.95,8.3587,9932200
2009-10-23,8.96,9.06,8.8,8.84,8.256,11230600
2009-10-26,8.9,9.08,8.75,8.8,8.2187,9847500
2009-10-27,8.79,8.89,8.59,8.65,8.0786,9042400
2009-10-28,8.71,8.71,8.47,8.49,7.9291,11889300
2009-10-29,8.53,8.61,8.45,8.47,7.9105,8357400
2009-10-30,8.44,8.57,8.29,8.4,7.8451,12284400
2009-11-02,8.44,8.49,8.17,8.29,7.7423,11270000
2009-11-03,8.19,8.43,8.1,8.28,7.733,7160500
2009-11-04,8.31,8.46,8.15,8.2,7.6583,8316200
2009-11-05,8.26,8.45,8.24,8.36,7.8077,8411800
2009-11-06,8.37,8.68,8.3,8.65,8.0786,13938200
2009-11-09,8.78,9.08,8.7,9.06,8.4615,9786100
2009-11-10,9.01,9.04,8.75,8.95,8.3587,6552900
2009-11-11,8.98,9.5,8.98,9.43,8.807,15572500
2009-11-12,9.41,9.41,9.04,9.05,8.4521,11938700
2009-11-13,9.07,9.4,9.07,9.16,8.5549,9165500
2009-11-16,9.23,9.55,9.22,9.33,8.7136,9393400
2009-11-17,9.32,9.34,9.16,9.16,8.5549,6968500
2009-11-18,9.18,9.26,9.02,9.07,8.4708,5797900
2009-11-19,9.02,9.04,8.81,8.91,8.3214,4363000
2009-11-20,8.87,9.1,8.84,9,8.4054,5549900
2009-11-23,9.1,9.22,9.1,9.14,8.5362,6066100
2009-11-24,9.1,9.15,8.82,8.94,8.3494,6342400
2009-11-25,9.02,9.18,8.91,9.1,8.4988,5536300
2009-11-27,8.83,9.07,8.76,8.99,8.3961,3684200
2009-11-30,9.1,9.26,8.9,9.2,8.5922,11170500
2009-12-01,9.26,9.39,9.1,9.35,8.7323,11216200
2009-12-02,9.37,9.5,9.25,9.41,8.7884,10963700
2009-12-03,9.49,9.57,9.3,9.51,8.8818,8600100
2009-12-04,9.61,10.27,9.61,10.23,9.5542,33017900
2009-12-07,10,10.13,9.92,10.1,9.4328,10669100
2009-12-08,10.14,10.31,9.96,10.1,9.437,9842100
2009-12-09,10.08,10.24,9.94,10.23,9.5584,9447900
2009-12-10,10.25,10.4,10.2,10.22,9.5491,8728100
2009-12-11,10.26,10.97,10.25,10.9,10.1845,14455500
2009-12-14,11.01,11.05,10.63,10.91,10.1938,11143000
2009-12-15,10.81,10.96,10.68,10.75,10.0443,8522700
2009-12-16,10.76,11.25,10.76,11.2,10.4648,9920200
2009-12-17,11.08,11.39,11.05,11.29,10.5489,15478700
2009-12-18,11.29,11.33,10.99,11.24,10.5021,11156800
2009-12-21,11.23,11.39,11.19,11.31,10.5675,8626600
2009-12-22,11.33,11.78,11.33,11.45,10.6984,9119800
2009-12-23,11.49,11.66,11.32,11.61,10.8479,6170700
2009-12-24,11.62,11.71,11.42,11.55,10.7918,2324600
2009-12-28,11.33,11.6,11.28,11.45,10.6984,4789100
2009-12-29,11.5,11.51,11.33,11.43,10.6797,4369600
2009-12-30,11.39,11.4,11.26,11.38,10.633,4210500
2009-12-31,11.38,11.53,11.3,11.43,10.6797,5805400
2010-01-04,11.4,11.46,11.09,11.18,10.4461,9625000
2010-01-05,11.25,11.79,11.2,11.77,10.9973,13355100
2010-01-06,11.76,11.79,11.38,11.42,10.6703,10523900
2010-01-07,11.39,11.74,11.27,11.59,10.8292,10055100
2010-01-08,11.54,11.64,11.23,11.33,10.5862,7894500
2010-01-11,11.35,11.57,11.23,11.46,10.7077,5987200
2010-01-12,11.37,11.58,11.26,11.33,10.5862,6162800
2010-01-13,11.32,11.65,11.26,11.53,10.7731,5798800
2010-01-14,11.5,11.59,11.37,11.46,10.7077,4768700
2010-01-15,11.49,11.54,11.2,11.28,10.5395,6296700
2010-01-19,11.26,11.5,11.21,11.3,10.5582,6703200
2010-01-20,11.24,11.38,10.91,11.33,10.5862,12862100
2010-01-21,11.51,11.76,11.12,11.68,10.9133,23729200
2010-01-22,11.78,11.97,11.53,11.68,10.9133,14307800
2010-01-25,11.63,11.94,11.15,11.32,10.5769,15228900
2010-01-26,11.18,11.95,11.1,11.61,10.8479,12293100
2010-01-27,11.6,11.6,10.98,11.39,10.6423,14414100
2010-01-28,11.46,11.74,11.36,11.45,10.6984,12265800
2010-01-29,11.49,11.75,11.3,11.33,10.5862,10968500
2010-02-01,11.37,11.64,11.31,11.57,10.8105,7690200
2010-02-02,11.62,11.74,11.46,11.55,10.7918,11319700
2010-02-03,11.51,11.63,11.39,11.47,10.717,8359700
2010-02-04,11.38,11.53,11.03,11.03,10.3059,12613300
2010-02-05,11.04,11.34,11.02,11.29,10.5489,12133600
2010-02-08,11.31,11.39,11.1,11.25,10.5115,7988800
2010-02-09,11.35,11.85,11.35,11.65,10.8852,13597100
2010-02-10,11.61,11.77,11.37,11.54,10.7825,11550400
2010-02-11,11.51,12,11.51,11.88,11.1001,14928300
2010-02-12,11.89,12.04,11.81,12.04,11.2496,13841000
2010-02-16,12.1,12.45,12.02,12.45,11.6327,10677900
2010-02-17,12.45,12.45,12.07,12.29,11.4832,8076000
2010-02-18,12.3,12.49,12.29,12.44,11.6234,9945300
2010-02-19,12.38,12.69,12.34,12.43,11.614,11230200
2010-02-22,12.45,12.73,12.45,12.5,11.6794,10156200
2010-02-23,12.51,12.61,12.34,12.4,11.586,11993800
2010-02-24,12.42,12.62,12.34,12.44,11.6234,11230000
2010-02-25,12.37,12.5,12.2,12.43,11.614,6476800
2010-02-26,12.4,12.7,12.4,12.58,11.7542,7985500
2010-03-01,12.59,12.89,12.59,12.71,11.8756,10934300
2010-03-02,12.81,12.85,12.62,12.63,11.8051,8712700
2010-03-03,12.66,12.74,12.55,12.55,11.7303,9701900
2010-03-04,12.6,12.69,12.54,12.6,11.777,9861300
2010-03-05,12.61,12.75,12.55,12.68,11.8518,10028900
2010-03-08,12.68,12.84,12.5,12.55,11.7303,9748300
2010-03-09,12.6,12.85,12.55,12.68,11.8518,12231800
2010-03-10,12.7,13.08,12.66,12.82,11.9827,11039700
2010-03-11,12.75,12.94,12.66,12.84,12.0014,8684200
2010-03-12,12.88,13.06,12.76,13,12.1509,9520500
2010-03-15,12.99,13.08,12.77,13,12.1509,10012400
2010-03-16,13.01,13.34,13.01,13.18,12.3192,9229900
2010-03-17,13.18,13.25,12.96,13.03,12.179,7235200
2010-03-18,13.02,13.28,13.02,13.06,12.207,7053800
2010-03-19,12.81,13.21,12.73,12.81,11.9733,10408300
2010-03-22,12.75,13.06,12.71,12.93,12.0855,7060300
2010-03-23,12.96,13.08,12.8,13.03,12.179,6042500
2010-03-24,13.03,13.1,12.84,13,12.1509,5795900
2010-03-25,13.05,13.3,13.03,13.07,12.2163,6766100
2010-03-26,13.08,13.22,12.84,13.05,12.1976,9135200
2010-03-29,13.11,13.26,13.09,13.18,12.3192,7169500
2010-03-30,13.22,13.26,12.92,13.09,12.235,5799800
2010-03-31,13.06,13.42,13.06,13.22,12.3565,8113800
2010-04-01,13.37,13.43,13.1,13.21,12.3472,7826300
2010-04-05,13.28,13.37,13.08,13.16,12.3005,7981900
2010-04-06,13.11,13.45,13.1,13.45,12.5715,9833100
2010-04-07,13.41,13.47,13.18,13.3,12.4313,14908500
2010-04-08,13.43,13.55,13.37,13.4,12.5248,10384500
2010-04-09,13.44,13.44,13.21,13.3,12.4313,10548100
2010-04-12,13.34,13.48,13.26,13.35,12.4781,8588000
2010-04-13,13.38,13.43,13.14,13.34,12.4687,6900100
2010-04-14,13.32,13.58,13.3,13.5,12.6183,7695800
2010-04-15,13.43,13.56,13.36,13.54,12.6556,9572700
2010-04-16,13.5,13.53,13.21,13.38,12.5061,9006800
2010-04-19,13.58,13.95,13.5,13.75,12.8519,15923800
