Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,144.1,150.7,142.73,149.78,14.3965,2232118
2009-01-05,149.55,156.84,149.03,153.26,14.731,2471986
2009-01-06,156.26,165,155.29,162.02,15.573,4335617
2009-01-07,158.1,160.61,149.11,152.07,14.618,3953606
2009-01-08,150.96,152.96,148.36,152.78,14.6863,2284038
2009-01-09,153.5,153.65,147.29,150.04,14.4228,2003515
2009-01-12,147.73,151.62,145.89,148.04,14.2306,2068692
2009-01-13,146.38,151.31,145.5,150.44,14.4613,1931247
2009-01-14,147.57,148.5,139.07,145.3,13.9672,4846824
2009-01-15,144.02,144.75,128.56,130.3,12.5253,8054885
2009-01-16,129.95,131,120.16,128.22,12.3254,7131836
2009-01-20,126.19,127.4,117.06,119.18,11.4564,5560815
2009-01-21,121,132.38,121,132.1,12.6983,5300641
2009-01-22,128.04,131.5,125.43,128.85,12.3859,2251063
2009-01-23,121.89,127.55,120.14,125.45,12.0591,3438553
2009-01-26,124.44,128.67,121.56,123.12,11.8351,2388676
2009-01-27,126.01,129.49,125.46,126.76,12.185,2177212
2009-01-28,132.56,135.05,131.33,133.66,12.8483,2734155
2009-01-29,130.78,132.13,128.5,129.09,12.409,1778439
2009-01-30,132.36,139.55,132.13,135.78,13.0521,3733844
2009-02-02,133.61,138.57,130.27,136.98,13.1675,1996141
2009-02-03,138.01,141.66,136.6,139.7,13.4289,2890318
2009-02-04,141.49,143.48,139,140.15,13.4721,2943206
2009-02-05,147.19,160.39,145.73,159.84,15.3649,9489430
2009-02-06,160.56,164.63,156.57,162.5,15.6206,6429814
2009-02-09,162.24,163.26,157.5,162.02,15.5744,3326330
2009-02-10,161.5,165.77,157.15,157.97,15.1851,2711373
2009-02-11,159.99,164,156.73,163.98,15.7629,2705601
2009-02-12,161.22,162.15,155.15,161.8,15.5533,3954580
2009-02-13,163.49,168.88,161.86,161.9,15.5629,4452485
2009-02-17,158,159.46,152.66,155.09,14.9083,4649821
2009-02-18,157.04,160.5,153.7,159.04,15.288,3137325
2009-02-19,160.75,162,154.23,154.55,14.8564,2985284
2009-02-20,151.36,159.38,150.43,158.01,15.189,3307709
2009-02-23,160.5,162.41,151.22,152.58,14.667,2936158
2009-02-24,153,161.75,151.43,161.27,15.5024,4590834
2009-02-25,159.75,165.96,157.43,162.57,15.6274,5282939
2009-02-26,164.5,164.5,155,155.7,14.9669,4694652
2009-02-27,152.38,162.53,151.76,158.03,15.1909,4545053
2009-03-02,154.77,158.7,149.1,150.63,14.4796,4141381
2009-03-03,152.8,154.97,147.79,151.01,14.5161,3733083
2009-03-04,154.1,155.8,146.4,150.48,14.4651,3955454
2009-03-05,147.77,154.14,145.18,146.92,14.1229,3880643
2009-03-06,148,148.29,139.16,142.44,13.6923,3759581
2009-03-09,140.25,146,139.56,142.44,13.6923,2272382
2009-03-10,144.1,149.04,143.51,148.48,14.2729,3908623
2009-03-11,150.23,150.23,142.82,147.84,14.2114,2450598
2009-03-12,147.91,157.96,145.43,157.07,15.0986,3368244
2009-03-13,158,160.23,154.5,158.31,15.2178,2933435
2009-03-16,160,161.82,153.32,153.69,14.7737,2205472
2009-03-17,153.39,162.47,152.51,162.38,15.609,2973677
