Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,37.24,37.48,34.78,34.87,21.9177,405935
2009-01-05,34.49,35.14,33.37,33.44,21.019,646853
2009-01-06,33.76,34.3,31.99,33.94,21.3332,793512
2009-01-07,33.03,33.64,32.56,32.73,20.573,821994
2009-01-08,32.9,32.9,31.9,32.09,20.1706,614698
2009-01-09,32.45,32.49,31.02,31.17,19.5922,726937
2009-01-12,31.18,31.43,29.53,29.9,18.7938,933504
2009-01-13,29.49,30.07,28.62,29.87,19.1694,1103170
2009-01-14,28.75,29.85,28.68,29.28,18.7906,905272
2009-01-15,29.27,30.88,28.29,30.13,19.3362,734386
2009-01-16,30.65,31.49,29.8,31.25,20.0549,864348
2009-01-20,30.37,30.81,27.26,27.68,17.7637,784371
2009-01-21,27.92,30.54,27.64,30.5,19.5738,844580
2009-01-22,29.65,30.81,28.95,29.32,18.8161,629016
2009-01-23,28.71,30.11,28.21,30.02,19.2657,352896
2009-01-26,30.23,30.67,28.99,29.97,19.2336,217980
2009-01-27,30.27,31.01,29.9,30.95,19.8625,240286
2009-01-28,31.69,33.68,31.58,33.38,21.4218,697339
2009-01-29,32.65,32.97,30.13,30.44,19.5353,581013
2009-01-30,30.8,31.21,29.06,29.54,18.9577,587220
2009-02-02,29.04,30.58,28.32,30.51,19.58,622371
2009-02-03,30.78,31.04,29.2875,29.46,18.9064,704576
2009-02-04,29.38,30.14,28.07,28.2,18.0976,674151
2009-02-05,27.79,28.06,26.01,27.05,17.3596,740803
2009-02-06,25.93,29.66,25.69,29.31,18.8099,750471
2009-02-09,29.02,29.8,28.33,29.76,19.0986,430989
2009-02-10,29.4,29.8,27.64,28.2,18.0976,941264
2009-02-11,28.42,29.89,27.11,29.61,19.0025,939338
2009-02-12,28.3,29.3,27.11,28.88,18.5341,913413
2009-02-13,28.59,29.24,27.48,27.55,17.6805,886082
2009-02-17,26.42,27.28,25.93,26.06,16.7239,951195
2009-02-18,26.43,26.89,25.45,26.05,16.7178,630999
2009-02-19,26.59,26.92,24.51,24.73,15.8707,852359
2009-02-20,24.06,26.98,23.86,26.92,17.2761,945666
2009-02-23,27.23,27.23,24.84,25.02,16.0569,887334
2009-02-24,25.32,27.74,24.86,27.59,17.7059,936257
2009-02-25,27.03,29.2497,26.45,28.04,17.9949,1116648
2009-02-26,28.95,28.95,26.97,27.25,17.4877,1090886
2009-02-27,26.8,27.89,25.73,25.85,16.5896,932194
2009-03-02,25.65,26.01,24,24.14,15.4917,970545
2009-03-03,24.68,24.92,23.01,23.37,14.9976,990605
2009-03-04,23.86,24.81,23.19,24.25,15.5628,750817
2009-03-05,23.85,24.04,22.78,22.99,14.7541,808868
2009-03-06,23.31,23.99,22.22,23.71,15.2162,928415
2009-03-09,23.28,24.11,22.72,24.03,15.4218,595171
2009-03-10,24.81,27.74,24.45,27.68,17.7637,1224481
2009-03-11,27.99,28.44,26.98,27.45,17.6163,1097336
2009-03-12,27.17,30.02,26.42,29.88,19.1759,974622
2009-03-13,30,30.09,28.72,29.76,19.0986,653774
2009-03-16,30.24,31.15,28.56,29.29,18.797,1347457
2009-03-17,29.35,30.62,28.98,30.6,19.6381,1252510
2009-03-18,30.3,31.7,29.03,31.68,20.3311,1298644
2009-03-19,32,32.28,29.01,29.04,18.6367,898452
2009-03-20,29.105,29.88,27.53,27.6,17.7127,980539
2009-03-23,28.63,32.23,28.63,32.16,20.6393,1529189
2009-03-24,31.1,31.99,28.79,28.99,18.6047,1180431
2009-03-25,29.7,30.39,27.43,29.69,19.0539,1101497
2009-03-26,30.22,30.9,29.01,30.84,19.7916,1135790
2009-03-27,29.85,30.27,29.08,29.15,18.7073,790085
2009-03-30,27.97,28.98,27.62,28.46,18.2645,906498
2009-03-31,29.11,30.98,28.79,30.83,19.7857,1401257
2009-04-01,29.92,30.53,29.34,30.23,19.4004,1033002
2009-04-02,30.56,31.74,30.17,31.31,20.0933,1241846
2009-04-03,31.17,33.82,30.47,33.76,21.6657,1204619
2009-04-06,33.2,33.5,31.63,33.02,21.1911,920522
2009-04-07,32.25,32.57,30.39,30.49,19.5674,992237
2009-04-08,30.71,31.65,30.4,31.36,20.1255,653194
2009-04-09,32.48,34.84,32.31,34.75,22.3012,1240793
2009-04-13,33.67,34.6,32.31,33.78,22.0805,735669
2009-04-14,32.74,33.45,31.13,31.16,20.3676,1168814
2009-04-15,31,33.71,30.68,33.61,21.9693,993341
2009-04-16,33.97,36.97,32.27,35.55,23.2376,1203635
2009-04-17,35.49,36.92,34.14,35.95,23.4992,831853
2009-04-20,34.76,35.37,32.64,32.72,21.3878,1148116
2009-04-21,30.7,36.89,30,36.82,24.068,1953502
2009-04-22,35.89,37.86,35.36,35.79,23.3943,1188688
2009-04-23,35.95,37.1,34.55,36.79,24.0483,765539
2009-04-24,36.9,39.51,36.22,38.55,25.1986,1043802
2009-04-27,37.35,37.86,35,35.97,23.5122,885762
2009-04-28,35.33,38.33,35.23,37.74,24.6693,793646
2009-04-29,38.15,39.41,37.76,39.11,25.5645,908869
2009-04-30,39.35,39.44,36.45,36.99,24.179,1180450
2009-05-01,36.94,37.04,35.85,36.13,23.6169,791614
2009-05-04,36.87,39.71,36.35,39.57,25.8652,874530
2009-05-05,38.89,39.37,37.5,38.08,24.8912,772331
2009-05-06,38.72,39.27,36.79,39.25,25.656,862653
2009-05-07,39.85,39.85,36.05,36.55,23.8916,856385
2009-05-08,37.47,39.35,37.15,39.2,25.6235,1210725
2009-05-11,38.19,38.81,37.52,37.62,24.5907,994936
2009-05-12,37.61,39.37,36.82,38.29,25.0286,1136559
2009-05-13,37.38,37.7,35.33,35.61,23.2771,868062
2009-05-14,35.9,38.27,35.47,37.6,24.5775,951980
2009-05-15,36.13,36.55,34.3,34.62,22.6297,1129127
2009-05-18,35.19,37.47,34.7,37.23,24.3356,1110809
2009-05-19,37.11,37.23,35.94,36.47,23.8391,786011
2009-05-20,37,37.74,35.28,35.56,23.244,749764
2009-05-21,34.84,36.31,34.51,35.59,23.2636,607465
2009-05-22,35.8,36.44,34.59,34.75,22.7146,524050
2009-05-26,34.64,36.38,34.64,36.11,23.604,916540
2009-05-27,35.91,36.04,34.81,35,22.8779,969233
2009-05-28,35.66,35.68,33.67,35.03,22.8974,850133
