Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,11.23,11.45,10.91,11.37,8.2382,2489997
2009-01-05,11.28,11.96,11.06,11.73,8.4989,4334317
2009-01-06,11.8,12.04,11.46,11.91,8.6295,3682369
2009-01-07,11.5,11.54,10.93,11.11,8.1921,6584339
2009-01-08,11.04,11.62,10.79,11.52,8.4946,5124944
2009-01-09,11.56,11.56,10.99,11.3,8.3321,5498758
2009-01-12,11.22,11.29,10.7,10.82,7.9784,4245369
2009-01-13,10.75,10.98,10.635,10.84,7.9931,4191258
2009-01-14,10.63,10.74,10.12,10.24,7.5505,5699113
2009-01-15,10.31,10.5,9.71,10.24,7.5505,7264629
2009-01-16,10.28,10.49,9.85,10.36,7.6388,4977379
2009-01-20,10.41,10.5,9.26,9.41,6.9384,6039527
2009-01-21,9.45,9.65,9.08,9.6,7.0787,6360789
2009-01-22,9.29,9.5,8.82,9,6.6361,9263261
2009-01-23,8.84,9.13,8.75,9.04,6.6655,8667056
2009-01-26,8.93,9.27,8.75,8.93,6.5847,6108105
2009-01-27,9.14,9.14,8.59,8.64,6.3707,8254312
2009-01-28,8.8,9.67,8.75,9.4,6.9312,7547834
2009-01-29,9.19,9.2,8.35,8.36,6.1645,7190366
2009-01-30,8.23,8.4,7.75,7.82,5.7662,6698318
2009-02-02,7.6,7.93,7.54,7.86,5.7959,8815402
2009-02-03,8.03,8.17,7.7601,8.09,5.9655,8082319
2009-02-04,8.13,8.34,7.85,8.01,5.9063,7109697
2009-02-05,7.96,8.29,7.83,7.98,5.8839,6725360
2009-02-06,7.87,8.3,7.87,8.13,5.9947,7541757
2009-02-09,8.22,8.22,7.98,8.03,5.9211,6148562
2009-02-10,8.05,8.22,7.52,7.57,5.5817,7998057
2009-02-11,7.63,7.74,7.26,7.45,5.4935,8169315
2009-02-12,6.87,7.09,6.51,6.9,5.0877,19323866
2009-02-13,6.86,6.95,6.27,6.44,4.7487,13654572
2009-02-17,6.25,6.265,5.87,5.96,4.3946,12706289
2009-02-18,6.02,6.14,5.58,5.89,4.343,8641077
2009-02-19,5.66,6.12,5.56,5.65,4.1659,10294020
2009-02-20,5.54,5.8725,5.25,5.66,4.1734,9665871
2009-02-23,5.95,5.95,5.43,5.45,4.0185,6684591
2009-02-24,5.5,5.82,5.19,5.7,4.203,8033913
2009-02-25,5.66,5.78,5.34,5.6,4.1294,7944515
2009-02-26,5.68,5.73,5.42,5.44,4.011,5299658
2009-02-27,5.28,5.42,5.13,5.15,3.7976,6515204
2009-03-02,5,5.12,4.86,4.87,3.5911,5133548
2009-03-03,4.93,5.02,4.66,4.67,3.4435,6185386
2009-03-04,4.74,4.89,4.65,4.72,3.4803,6220926
2009-03-05,4.56,4.63,3.95,4.01,2.9569,9990515
2009-03-06,4.04,4.17,3.86,3.9,2.8756,9543634
2009-03-09,3.8,3.9,3.64,3.67,2.7062,6647208
2009-03-10,3.75,4.36,3.68,4.34,3.2003,10530882
2009-03-11,4.68,4.93,4.51,4.67,3.4435,8924624
2009-03-12,4.68,5.25,4.59,5.17,3.812,6993243
2009-03-13,5.1,5.39,4.89,5.09,3.7533,7106065
2009-03-16,5.23,5.55,5.11,5.21,3.8417,6188466
2009-03-17,5.13,5.45,5.11,5.4,3.9818,5572929
2009-03-18,5.36,6.19,5.21,6.08,4.4831,9714361
2009-03-19,6.02,6.85,6.02,6.52,4.8076,13837119
2009-03-20,6.65,6.84,6.3,6.6,4.8667,14755724
2009-03-23,6.77,7.5,6.6,7.49,5.523,10177174
2009-03-24,7.38,7.5,6.85,7.18,5.2944,6619722
2009-03-25,7.16,7.86,6.91,7.35,5.4196,8255668
2009-03-26,7.46,7.85,7.37,7.75,5.7145,5262161
2009-03-27,7.48,7.69,7.25,7.4,5.4564,3478651
2009-03-30,7.21,7.31,6.34,6.7,4.9404,6427341
2009-03-31,6.62,7.15,6.43,6.98,5.147,6750819
2009-04-01,6.89,7.23,6.5,6.99,5.1544,6046025
2009-04-02,7.2,7.99,7.18,7.83,5.7736,5298792
2009-04-03,7.83,7.92,7.56,7.66,5.6481,6386113
2009-04-06,7.53,7.91,7.38,7.83,5.7736,5939333
2009-04-07,7.63,7.63,7.12,7.3,5.4285,3871638
2009-04-08,7.33,7.46,7.08,7.22,5.3692,5748492
2009-04-09,7.55,8.24,7.48,8.11,6.0308,6161325
2009-04-13,7.99,8.01,7.37,7.68,5.7109,5754529
2009-04-14,7.72,7.78,7.1,7.36,5.4729,6127255
2009-04-15,7.3,8.11,7.21,7.92,5.8895,7732545
2009-04-16,8.11,8.54,7.78,8.42,6.2612,5348007
2009-04-17,8.57,8.78,8.44,8.65,6.432,3895308
2009-04-20,8.59,8.59,7.59,7.67,5.7037,4799014
2009-04-21,7.63,8.28,7.53,8.24,6.1273,5587619
2009-04-22,7.95,9.1925,7.91,8.98,6.6777,7039291
2009-04-23,8.99,9.1,8.33,8.68,6.4547,6454506
2009-04-24,8.82,10.16,8.79,10.09,7.5032,11069399
2009-04-27,9.96,10.1,9.56,9.75,7.2505,9152809
2009-04-28,9.3,9.5,8.315,8.4,6.2461,9737641
2009-04-29,8.49,9.25,8.38,9,6.6925,6819925
2009-04-30,9.22,9.49,8.77,8.86,6.5885,4553588
2009-05-01,8.73,9.05,8.62,8.99,6.6851,4389200
2009-05-04,8.99,9.945,8.99,9.87,7.3395,4858920
2009-05-05,9.85,10.59,9.81,10.49,7.8004,7325038
2009-05-06,10.58,10.81,10.015,10.5,7.8079,6187262
2009-05-07,10.53,10.84,9.87,10,7.4362,7990659
2009-05-08,10.12,10.89,10.04,10.84,8.061,6595421
2009-05-11,10.64,10.74,10.07,10.2,7.5848,5159309
2009-05-12,10.37,10.74,9.56,10.02,7.4508,8033588
2009-05-13,9.72,9.76,9.1,9.24,6.8709,7318108
2009-05-14,9.25,9.76,8.94,9.46,7.0344,4821395
2009-05-15,9.46,9.92,9.34,9.54,7.094,6396536
2009-05-18,9.68,10.3,9.656,10.25,7.6221,5015479
2009-05-19,10.26,10.435,10,10.24,7.6145,6202495
2009-05-20,10.35,10.86,10.06,10.12,7.5257,3740806
2009-05-21,9.97,10.015,9.69,9.93,7.3842,5959757
2009-05-22,9.98,10.08,9.6,9.96,7.4064,3007585
2009-05-26,9.72,10.575,9.72,10.48,7.7932,3755426
2009-05-27,10.5,10.72,9.96,10.02,7.4508,7654504
2009-05-28,10.05,10.315,9.61,10.09,7.5032,6103846
2009-05-29,10.42,10.45,10.04,10.36,7.7036,4343591
2009-06-01,10.54,11.18,10.37,11.05,8.217,4617078
2009-06-02,11,11.46,10.87,11.29,8.3954,4623103
2009-06-03,11.18,11.22,10.57,10.83,8.0533,4713355
2009-06-04,10.89,11.16,10.8,11.06,8.2243,3188057
2009-06-05,11.22,11.29,10.58,10.71,7.964,3805947
2009-06-08,10.51,10.91,10.51,10.75,7.9938,3673483
2009-06-09,10.17,10.32,9.83,10.18,7.5698,7164525
2009-06-10,10.33,10.54,9.89,10.04,7.466,5495265
2009-06-11,10.09,10.22,9.95,10.01,7.4437,3927432
2009-06-12,9.96,10.06,9.64,9.93,7.3842,3661376
2009-06-15,9.77,9.94,9.53,9.68,7.1982,4624942
2009-06-16,9.75,10.04,9.3,9.3,6.9158,5107881
2009-06-17,9.27,9.43,8.66,9.06,6.7371,7316631
2009-06-18,9.11,9.15,8.84,8.97,6.6704,3970236
2009-06-19,9.08,9.32,9.04,9.07,6.7444,6382724
2009-06-22,8.99,8.99,8.66,8.66,6.44,3396605
2009-06-23,8.65,8.97,8.48,8.81,6.5516,4709056
2009-06-24,8.9,9.215,8.66,8.77,6.5214,4829929
2009-06-25,8.71,9.47,8.64,9.42,7.005,4698942
2009-06-26,9.29,9.6,9.09,9.41,6.9974,6194091
2009-06-29,9.45,9.63,9.19,9.54,7.094,4155750
2009-06-30,9.48,9.68,9.35,9.58,7.1236,3799036
2009-07-01,9.66,9.74,9.36,9.38,6.9753,2591985
2009-07-02,9.2,9.29,9.04,9.1,6.7671,4306388
2009-07-06,9.03,9.26,8.64,8.72,6.4846,5129760
2009-07-07,8.69,8.77,8.26,8.28,6.1573,4787791
2009-07-08,8.43,8.43,8.15,8.24,6.1762,5693124
2009-07-09,8.34,8.73,8.2925,8.58,6.4313,4153573
2009-07-10,8.5,8.62,8.27,8.35,6.2591,3077052
2009-07-13,8.4,8.62,8.17,8.57,6.424,5288254
2009-07-14,8.22,8.7,8.17,8.68,6.5062,7053447
2009-07-15,8.79,9.23,8.68,9.19,6.8887,5403241
2009-07-16,9.17,9.64,9.08,9.53,7.1435,5743914
