Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,62.38,64.13,62.2,63.75,45.5943,8652700
2009-01-05,63.26,63.84,62.89,63.56,45.4584,7692900
2009-01-06,63.99,64.46,61.83,62.14,44.4428,10855700
2009-01-07,61.93,62.57,60.84,61.24,43.7992,7910400
2009-01-08,60.83,60.83,59.7,60.52,43.2842,9382300
2009-01-09,60.71,60.95,59.85,60.07,42.9624,7150700
2009-01-12,60.1,61.23,59.75,60.16,43.0267,8682900
2009-01-13,60.31,60.8,58.82,59.32,42.426,9082600
2009-01-14,58.51,58.62,56.41,57.33,41.0027,15340200
2009-01-15,57.2,58.59,56.55,57.98,41.4676,12166300
2009-01-16,58.74,59.98,58.54,59.67,42.6763,12445800
2009-01-20,59.59,59.8,56.91,57.07,40.8168,11930300
2009-01-21,57.98,58.94,57.16,58.7,41.9825,10261400
2009-01-22,58.07,59.47,57.69,58.72,41.9968,10969400
2009-01-23,57.24,58.72,56.75,58.02,41.4962,10266100
2009-01-26,57.23,58.67,56.45,58.4,41.768,14106700
2009-01-27,58.8,59.22,58.3,58.52,41.8538,9992800
2009-01-28,59.7,59.7,58.31,59.2,42.3401,11110700
2009-01-29,58.78,59.06,58.02,58.14,41.582,9559400
2009-01-30,58.5,58.73,57.37,58.02,41.4962,9660800
2009-02-02,57.62,58.44,57.45,57.9,41.4104,7652100
2009-02-03,58.29,59.15,57.19,58.88,42.1113,8104300
2009-02-04,59.17,59.77,57.5,57.86,41.3818,9266600
2009-02-05,57.5,58.58,57.07,58.36,41.7394,11066500
2009-02-06,58.12,59.33,58.12,58.46,41.8109,10788700
2009-02-09,59.03,59.43,58.05,59.02,42.2114,12359600
2009-02-10,59,59.02,56.88,57.28,40.9669,13322500
2009-02-11,57.49,57.85,56.63,57.08,40.8239,9579700
2009-02-12,56.79,57.05,55.63,56.96,40.7381,12798000
2009-02-13,57.06,57.59,56.69,56.81,40.6308,6976700
2009-02-17,55.9,56.41,55.26,55.68,39.8226,9744100
2009-02-18,56,56.56,55.55,56.41,40.3447,9489500
2009-02-19,55.92,57.11,55.31,55.31,39.558,9524500
2009-02-20,54.88,55.23,54.05,54.57,39.0287,13541100
2009-02-23,54.75,55.39,53.69,53.87,38.5281,10856700
2009-02-24,54.22,54.94,53.92,54.76,39.1646,10903500
2009-02-25,54.4,55.15,53.92,54.29,38.8285,11531100
2009-02-26,54.52,54.69,52.06,52.2,37.6807,10170800
2009-02-27,51.57,52.92,51.5,52.25,37.7168,13381500
2009-03-02,51.8,52.63,51.28,51.85,37.4281,13245200
2009-03-03,52.14,53.57,52.14,52.43,37.8468,14878300
2009-03-04,53.1,53.7,52.29,53.15,38.3665,11618400
2009-03-05,52.36,52.5,50.44,50.86,36.7134,15550300
2009-03-06,51.24,52.19,50.9,52.12,37.623,18185800
2009-03-09,51.69,53.46,51.31,52.32,37.7673,17924500
2009-03-10,52.83,53.5,52.07,52.6,37.9695,17334300
2009-03-11,52.51,52.94,50.69,51.03,36.8362,16622700
2009-03-12,51.39,52.43,50.51,52.17,37.6591,15302200
2009-03-13,52.67,52.97,51.87,52.38,37.8107,11354900
2009-03-16,52.65,52.93,51.55,51.69,37.3126,9883400
2009-03-17,51.7,53.7,51.36,53.64,38.7202,13657500
2009-03-18,53.44,55.55,53.42,55.42,40.0051,12896800
2009-03-19,55.58,55.84,54.3,54.71,39.4926,10356000
2009-03-20,54.48,55.23,52.94,53.2,38.4026,13789400
2009-03-23,53.97,55.17,53.1,55.16,39.8174,10846700
2009-03-24,55,55,53.38,53.56,38.6625,9836100
2009-03-25,54.06,55.04,53.25,55.01,39.7091,10880900
2009-03-26,55.49,56.09,54.78,56.06,40.4671,11095700
2009-03-27,55.46,55.9,54.84,55.01,39.7091,6636500
2009-03-30,54,54.17,53.03,53.92,38.9223,8702800
2009-03-31,54.3,55.35,54.27,54.57,39.3915,9044500
2009-04-01,54.3,55.33,53.87,55.24,39.8752,8279200
2009-04-02,55.94,57.06,55.63,56.35,40.6764,8797600
2009-04-03,56.2,56.64,55.56,56.64,40.8857,7175700
2009-04-06,56.47,56.61,55.6,55.94,40.3805,6494800
2009-04-07,55.64,55.77,54.6,55.4,39.9907,7128900
2009-04-08,55.46,55.83,55.05,55.56,40.1062,5825800
2009-04-09,56.29,57.27,56.16,56.67,40.9074,7291800
2009-04-13,56.34,56.66,55.9,56.11,40.5032,5506400
2009-04-14,55.8,55.9,54.52,54.82,39.572,8601200
2009-04-15,54.05,54.18,53.03,53.95,38.944,12180300
2009-04-16,54.15,54.85,53.8,54.7,39.4854,8563500
2009-04-17,55.09,56.41,54.8,56.09,40.4888,11687400
2009-04-20,55.51,55.79,55.14,55.33,39.9401,7181800
2009-04-21,55.55,56.15,54.95,55.63,40.1567,8925900
2009-04-22,55.78,56.51,54.2,54.25,39.1605,12701000
2009-04-23,54.75,55.5,54.01,55.3,39.9185,9877400
2009-04-24,55.17,55.45,54.05,54.31,39.2038,9941100
2009-04-27,53.9,54.89,53.77,54.49,39.3338,8146900
2009-04-28,54.05,55.33,54,54.53,39.3626,7438000
2009-04-29,55.09,55.18,54.2,54.41,39.276,8888000
2009-04-30,54.71,55.24,53.1,53.29,38.4675,11167400
2009-05-01,53.21,53.21,51.76,52.4,37.8251,11163900
2009-05-04,52.89,53.97,52.5,52.77,38.0922,12988600
2009-05-05,53,53.65,52.97,53.16,38.3737,12381900
2009-05-06,53.55,54.6,53.39,53.69,38.7563,12329300
2009-05-07,54.02,54.37,52.94,53.39,38.5397,11227100
2009-05-08,55.1,55.45,54.51,54.92,39.6442,13643700
2009-05-11,54.83,54.83,54.04,54.4,39.2688,9664600
2009-05-12,54.74,54.81,53.25,53.97,38.9584,8466800
2009-05-13,53.52,53.92,53.14,53.49,38.6119,8666900
2009-05-14,53.36,54.12,53.24,53.57,38.6697,8224700
2009-05-15,53.47,54.54,53.04,53.46,38.5903,8267800
2009-05-18,53.51,54.27,53.04,54.2,39.1245,8250700
2009-05-19,54.34,54.46,53.72,53.87,38.8862,6328800
2009-05-20,55.18,57,55.02,56.25,40.6042,15246900
2009-05-21,55.68,56.25,55.22,55.69,40.2,10264600
2009-05-22,55.92,57.69,55.69,57.08,41.2034,10726600
2009-05-26,56.97,58.92,56.78,58.84,42.4738,12256200
2009-05-27,58.68,58.95,57.77,57.82,41.7376,10434900
2009-05-28,57.89,58.6,57.4,58.13,41.9613,8402400
2009-05-29,58.28,59.03,57.69,58.99,42.5821,8060100
2009-06-01,59.18,59.99,58.92,59.85,43.2029,7746100
2009-06-02,59.57,60.77,59.48,60.38,43.5855,9332000
2009-06-03,59.85,61.01,59.75,60.99,44.0258,10424500
2009-06-04,60.65,60.65,59.8,60.24,43.8439,10236900
2009-06-05,60.4,60.49,59.35,59.87,43.5746,10285700
2009-06-08,58.58,59.18,57.75,58.72,42.7376,14756100
2009-06-09,59.02,59.55,58.75,59.08,42.9996,7947200
2009-06-10,59.6,59.62,57.87,58.36,42.4756,9999800
2009-06-11,58.32,58.71,57.63,57.67,41.9734,9316200
2009-06-12,57.72,58.48,57.5,58.36,42.4756,7063000
2009-06-15,58.1,58.15,57.24,57.78,42.0534,7538200
2009-06-16,57.91,57.91,56.82,57.07,41.5367,8714200
2009-06-17,57.21,58.12,57.21,57.37,41.755,7216600
2009-06-18,57.55,58.82,57.21,58.16,42.33,6944300
2009-06-19,58.41,58.83,58,58.17,42.3373,9602400
2009-06-22,57.8,58.02,57.13,57.2,41.6313,7651100
2009-06-23,57.54,57.61,56.64,56.76,41.3111,7329300
2009-06-24,57.07,57.1,56.04,56.3,40.9763,7297500
2009-06-25,56.21,57.7,56.15,57.46,41.8205,7841400
2009-06-26,57.39,57.4,56.75,57,41.4857,8195100
2009-06-29,57.19,57.35,56.6,57.23,41.6531,6641600
2009-06-30,57.3,58.14,57.21,57.49,41.8424,7334500
2009-07-01,57.65,58.55,57.65,58.22,42.3737,5733500
2009-07-02,57.69,57.83,57.25,57.45,41.8133,6970800
2009-07-06,57.08,58.24,56.8,57.99,42.2063,7533100
2009-07-07,58,58,56.75,56.8,41.3402,8192600
2009-07-08,57.1,57.19,56.44,57.04,41.5149,10771500
2009-07-09,57.25,57.29,56.28,56.77,41.3183,7793600
2009-07-10,56.56,57.72,56.56,57.05,41.5221,6739400
2009-07-13,57.07,57.53,56.56,57.27,41.6822,7057400
2009-07-14,57.24,57.52,56.86,57.46,41.8205,6670400
2009-07-15,57.48,57.49,56.71,57.08,41.544,11899500
2009-07-16,57.19,57.33,56.92,57.22,41.6459,10080300
2009-07-17,57.34,58.05,57.26,57.84,42.0971,9767400
2009-07-20,58.22,58.5,57.98,58.28,42.4173,8093200
2009-07-21,58.52,58.67,57.91,58.63,42.6721,7748400
2009-07-22,58.53,59.59,58.48,58.82,42.8104,9146200
2009-07-23,56.99,57.19,55.62,56.09,40.8234,34243500
2009-07-24,56.39,56.47,55.75,56.08,40.8161,12337100
2009-07-27,56.22,56.31,55.7,55.97,40.7361,7792100
2009-07-28,55.9,56.7,55.8,56.47,41.1,8744700
2009-07-29,56.25,56.96,56.2,56.41,41.0563,8002500
2009-07-30,56.61,56.69,55.55,55.59,40.4595,13845700
2009-07-31,55.5,55.79,54.92,55.06,40.0738,13519700
2009-08-03,55.11,55.39,54.68,55.13,40.1247,10607000
2009-08-04,55.32,55.49,54.91,55.01,40.0374,11782200
2009-08-05,55.13,55.24,54.8,55.09,40.0956,9426200
2009-08-06,55.2,55.25,54.67,54.84,39.9136,10248700
2009-08-07,55.08,55.4,54.79,55.2,40.1757,8137200
2009-08-10,55.8,56.49,55.75,56.27,40.9544,11008600
2009-08-11,56.06,56.37,55.85,56.02,40.7725,8713800
2009-08-12,55.91,56.63,55.76,56.26,40.9472,7223000
2009-08-13,56.45,56.65,55.56,55.78,40.5978,9925900
2009-08-14,55.69,55.8,54.83,55.27,40.2266,7705200
2009-08-17,54.77,55.24,54.5,54.5,39.6662,10440700
2009-08-18,54.57,55.27,54.43,55.26,40.2193,10305500
2009-08-19,55.21,55.99,55.11,55.65,40.5032,7963800
2009-08-20,55.76,56.25,55.65,56.14,40.8598,5522000
2009-08-21,56.5,56.62,56.05,56.27,40.9544,7671200
2009-08-24,56.38,56.38,55.7,55.91,40.6924,6638900
2009-08-25,56.18,56.75,56.15,56.45,41.0854,7442300
2009-08-26,56.47,57.22,56.3,57,41.4857,8253300
2009-08-27,57.06,57.18,56.59,57.16,41.6022,8462900
2009-08-28,57.02,57.05,55.76,56.07,41.169,8683600
2009-08-31,55.75,56.24,55.65,56.24,41.2938,7888500
2009-09-01,56.05,56.4,55.46,55.64,40.8533,7785000
2009-09-02,55.64,55.7,54.69,55.37,40.655,6959000
2009-09-03,55.55,55.6,55.06,55.57,40.8019,5680000
2009-09-04,55.6,56.24,55.4,56.14,41.2204,4877700
2009-09-08,56.4,56.62,56,56.22,41.2791,7479600
2009-09-09,55.12,55.52,54.69,55.09,40.4494,17822200
2009-09-10,55.25,55.39,54.75,54.85,40.2732,12450400
2009-09-11,55.11,55.12,54.23,54.39,39.9355,12205600
2009-09-14,54.1,54.34,53.88,54.23,39.818,10273400
2009-09-15,54.59,55.29,54.17,54.98,40.3687,14272000
2009-09-16,55.29,56.64,55,56.47,41.4627,17384000
2009-09-17,56.41,56.73,56.05,56.46,41.4553,9719900
2009-09-18,56.6,57,56.3,57,41.8518,14364400
2009-09-21,56.54,56.75,55.83,56.14,41.2204,9820100
2009-09-22,56.5,56.5,55.58,55.81,40.9781,8013300
2009-09-23,55.88,56.27,55.5,55.54,40.7798,8589400
2009-09-24,55.68,56.39,55.54,56.12,41.2057,9271400
2009-09-25,56.48,57.46,56.42,56.95,41.8151,11279900
2009-09-28,57.24,57.67,57.08,57.17,41.9767,7784200
2009-09-29,57.18,57.66,57.05,57.17,41.9767,7542100
2009-09-30,56.96,57.33,56.22,57.07,41.9032,9826300
2009-10-01,56.99,57.14,56.46,56.74,41.6609,10006000
2009-10-02,56.27,57.18,56.09,56.71,41.6389,8862000
2009-10-05,56.9,57,56.29,56.61,41.5655,8040800
2009-10-06,56.72,57.64,56.72,57.44,42.1749,7164800
2009-10-07,57.23,57.56,56.72,57.14,41.9546,7284400
2009-10-08,57.47,57.62,56.81,56.87,41.7564,8713600
2009-10-09,56.54,56.77,56.03,56.7,41.6316,10227800
2009-10-12,56.93,57.54,56.57,56.68,41.6169,8550100
2009-10-13,56.71,57.3,56.68,57.05,41.8885,6164500
2009-10-14,57.4,57.93,57.39,57.5,42.2189,7580200
2009-10-15,57.27,58.25,57.27,58.2,42.7329,8141000
2009-10-16,58.08,59.23,58.06,58.78,43.1588,9980400
2009-10-19,58.97,59.45,58.82,59.28,43.5259,7560600
2009-10-20,59.6,59.65,58.62,58.92,43.2616,7608600
2009-10-21,58.8,59.11,58,58.33,42.8284,9619500
2009-10-22,59.87,60.6,59.09,59.5,43.6874,24641000
2009-10-23,59.5,59.61,59.02,59.43,43.636,7629500
2009-10-26,59.51,59.96,59.12,59.2,43.4672,9020300
2009-10-27,59.22,59.28,58.44,59.02,43.335,8336600
2009-10-28,58.65,59.32,58.6,58.64,43.056,8752500
2009-10-29,58.98,59.22,58.6,59.14,43.4231,6950800
2009-10-30,59.09,59.5,58.56,58.61,43.034,9878800
2009-11-02,58.84,59.54,58.6,59.16,43.4378,7583300
2009-11-03,58.82,59.54,58.82,59.24,43.4965,6562000
2009-11-04,59.5,60.85,59.2,60.29,44.2675,12294800
2009-11-05,60.46,61.5,60.29,61.48,45.1412,11000400
2009-11-06,61.05,62.18,61.03,61.72,45.3175,10795100
2009-11-09,62.27,62.88,62.13,62.64,45.993,10517300
2009-11-10,62.49,62.76,61.98,62.28,45.7286,7408400
2009-11-11,62.68,63.1,62.45,62.83,46.1325,6643100
2009-11-12,62.72,62.81,61.99,62.17,45.6479,6417500
2009-11-13,62.23,63.8,62.17,63.58,46.6831,9692300
