Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,38.85,39.23,38.4,39.02,35.623,1522254
2009-01-05,38.87,40.08,38.49,39.91,36.4355,2096048
2009-01-06,39.93,40.67,39.04,39.53,36.0885,1510773
2009-01-07,39.32,41.11,39.02,40.75,37.2023,2451658
2009-01-08,39.75,40.89,38.8,40.83,37.2751,2848300
2009-01-09,40.82,40.91,39.55,40.21,36.7093,1470824
2009-01-12,40.21,40.21,38.6,39.72,36.2616,2275689
2009-01-13,39.69,42.33,39.52,42.06,38.3982,4324970
2009-01-14,41.38,42.3,40.69,41.08,37.5034,4068968
2009-01-15,41.02,41.32,39.49,41.16,37.5767,2783760
2009-01-16,41.67,41.7,40.65,41.21,37.6225,3591578
2009-01-20,41.14,42.34,40.1,40.17,36.6729,3071636
2009-01-21,40.42,40.59,39.42,40.35,36.8368,2239407
2009-01-22,39.74,40.19,39.17,39.88,36.4077,3335610
2009-01-23,39.19,40.24,38.73,39.64,36.1885,3265504
2009-01-26,39.68,40.64,39.51,40.4,36.8825,3827147
2009-01-27,43.26,46.08,43.15,45.22,41.2827,8718320
2009-01-28,45.35,45.72,44.57,45.19,41.256,3837384
2009-01-29,44.6,45.32,44.43,44.84,40.9361,3001634
2009-01-30,44.72,45.14,43.78,44.2,40.3521,3105877
2009-02-02,43.56,45.4,43.56,45.01,41.0914,4388622
2009-02-03,44.94,45.31,43.81,44.93,41.0181,4250059
2009-02-04,45.16,46.22,44.79,45.46,41.5022,3763301
2009-02-05,45,46.47,45,45.1,41.1735,5366462
2009-02-06,45.05,46.49,45.05,45.68,41.7028,3416277
2009-02-09,45.71,45.71,44.57,45.06,41.1374,2989404
2009-02-10,44.76,46.11,44.49,44.76,40.863,3445063
2009-02-11,44.89,45.65,44.78,45.52,41.5567,2756827
2009-02-12,44.63,45.87,44.43,45.8,41.8123,2320513
2009-02-13,45.19,46.14,45.12,45.38,41.4288,2341750
2009-02-17,44.64,45.18,43.02,44.5,40.6257,3573476
2009-02-18,45.06,45.24,44.03,44.59,40.7078,3635567
2009-02-19,44.97,45.46,44.78,44.89,40.9817,2961312
2009-02-20,44.35,45.6,43.91,45,41.082,3259137
2009-02-23,45.51,45.51,43.54,43.6,39.8042,2843042
2009-02-24,43.85,45.12,43.6,44.92,41.0091,3127784
2009-02-25,44.79,45,43.52,43.7,39.8956,3008173
2009-02-26,44.13,44.21,40.77,41.14,37.6617,5100615
2009-02-27,40.16,41.92,40.16,41.02,37.552,4681420
2009-03-02,40.45,41.31,39.65,39.71,36.3528,3329448
2009-03-03,40.12,40.92,39.26,39.6,36.2514,2959065
2009-03-04,40.22,41.18,39.02,40.65,37.213,3258277
2009-03-05,39.73,40.36,39.16,39.47,36.1329,3468884
2009-03-06,39.88,40.45,38.45,39.38,36.0505,2707380
2009-03-09,38.93,39.32,38.35,38.88,35.5929,3208328
2009-03-10,39.6,41.94,38.66,41.92,38.3758,5126703
2009-03-11,41.79,41.99,34.43,34.77,31.8305,13824323
2009-03-12,35.35,36.03,33.39,35.15,32.1782,8883913
2009-03-13,35.36,36.32,34.87,35.9,32.8648,6004459
2009-03-16,35.85,36.6,35.1,35.23,32.2513,3096702
2009-03-17,35.77,36.03,34.72,35.66,32.6449,3959794
2009-03-18,35.66,36.76,35.24,35.97,32.9289,4639772
2009-03-19,36,36.37,35.75,35.93,32.8921,3236229
2009-03-20,36.09,36.09,34.96,35.03,32.0682,3038554
2009-03-23,35.71,36.28,35.055,36.24,33.176,2801420
2009-03-24,35.85,36.73,35.85,36.27,33.2036,2164814
2009-03-25,36.64,37.09,35.81,36.79,33.6795,2900554
2009-03-26,37.13,37.25,36.15,36.64,33.5422,3658178
2009-03-27,36.44,36.9,35.89,36.48,33.3958,2870361
2009-03-30,36.42,36.42,35.4,36.12,33.066,2558752
2009-03-31,35.85,35.91,34.51,35.04,32.077,4883561
2009-04-01,34.24,34.94,33.69,34.71,31.7752,3468626
2009-04-02,35.23,35.76,35.07,35.41,32.4161,3782991
2009-04-03,35.49,35.5,33.4,33.89,31.0246,4925991
2009-04-06,33.69,34.35,33.63,34.04,31.1618,6806681
2009-04-07,33.65,34.2,33.13,33.87,31.0064,3948814
2009-04-08,34.18,34.54,33.76,34.15,31.2625,2578214
2009-04-09,35.52,35.56,34.23,35.27,32.2878,3231383
2009-04-13,35.02,35.37,34.63,35.21,32.2331,1947590
2009-04-14,34.88,35.86,34.41,35.65,32.6359,2508751
2009-04-15,35.52,36.06,35.06,35.7,32.6815,4161562
2009-04-16,35.8,36.63,35.8,36.28,33.2127,3188809
2009-04-17,36.63,37,35.7518,36.29,33.2215,4108945
2009-04-20,35.78,36.58,35.58,35.73,32.7094,2343501
2009-04-21,35.79,35.94,35.06,35.49,32.4893,2602798
2009-04-22,35.12,36.2,35.07,35.65,32.6359,2919420
2009-04-23,35.86,36.25,34.86,35.25,32.2697,3642746
2009-04-24,35.43,36,35.24,35.85,32.8188,2074762
2009-04-27,35.83,37.18,35.45,36.9,33.7803,2472231
2009-04-28,36.83,37.36,36.36,36.46,33.3774,2154220
2009-04-29,34.72,38.25,34.53,37.79,34.5946,4645763
2009-04-30,37.5,38.59,36.7,37,33.8719,2459247
2009-05-01,37.25,38.045,36.79,37.93,34.7226,2693652
2009-05-04,38.7,39.11,37.87,39.11,35.8035,4196188
2009-05-05,38.75,40.79,38,38.18,34.9521,7858347
2009-05-06,38.46,38.77,37.52,37.76,34.5677,3904426
2009-05-07,37.97,40.14,37.56,39.58,36.2337,6005436
2009-05-08,40.03,41.57,39.37,41.3,37.8082,4252062
2009-05-11,40.78,41.01,40.37,40.55,37.1217,4070130
2009-05-12,41.1,41.48,40.2,40.67,37.2313,3528758
2009-05-13,40.04,40.78,39.79,39.94,36.5631,3319459
2009-05-14,39.63,40.3,39.09,39.47,36.1329,3538567
2009-05-15,39.47,39.51,38.33,38.46,35.2081,3902987
2009-05-18,38.74,39.43,38.27,39.3,35.9773,3963827
2009-05-19,39.3,39.52,38.85,38.94,35.6476,3267748
2009-05-20,39.15,40.94,38.98,40.81,37.3596,4922125
2009-05-21,40.65,40.748,39.72,40.31,36.902,3136311
2009-05-22,40.31,41.13,40.04,40.89,37.4327,2321184
2009-05-26,40.53,40.93,39.37,40.46,37.0392,4109264
2009-05-27,40.51,41,40.27,40.29,36.8833,2606572
2009-05-28,40.46,40.96,40.03,40.49,37.0669,2189016
2009-05-29,40.56,41.27,40.41,41.15,37.6706,2073471
2009-06-01,41.42,41.96,41,41.86,38.3209,3444770
2009-06-02,41.87,41.94,40.65,41.32,37.8264,4421116
2009-06-03,40.65,40.81,39.73,40.3,36.8928,5059775
2009-06-04,40.49,40.82,39.71,40.62,37.1857,2749277
2009-06-05,40.61,41.82,40.45,41.62,38.1011,2953502
2009-06-08,41.63,41.83,40.72,41.41,38.0192,2713087
2009-06-09,41.65,41.65,40.71,41.4,38.0099,2664226
2009-06-10,41.76,42.46,41.5,42.33,38.8636,4109909
2009-06-11,42.53,43.57,42.33,43.05,39.5246,3535876
2009-06-12,42.93,43.16,42.24,42.98,39.4605,2482313
2009-06-15,42.52,42.6,41.455,41.51,38.1111,2450752
2009-06-16,41.7,42.48,41.25,41.81,38.3863,1910669
2009-06-17,41.76,43.45,41.62,43.11,39.5794,3063723
2009-06-18,43.09,44.17,42.75,44,40.3969,2970176
2009-06-19,44.5,45,44.25,44.61,40.9571,3796981
2009-06-22,44.17,44.54,43.38,43.49,39.929,3594186
2009-06-23,43.41,43.59,42.94,43.38,39.8278,2116398
2009-06-24,43.6,44,43.11,43.79,40.2041,2142900
2009-06-25,43.55,45.27,43.46,44.77,41.1036,2812440
2009-06-26,44.71,44.93,44.14,44.67,41.0121,2284071
2009-06-29,44.93,44.93,43.86,44.47,40.8286,2027713
2009-06-30,44.41,44.71,43.7,44,40.3969,1829826
2009-07-01,44.11,44.24,43.7,44.03,40.4241,3419248
2009-07-02,43.58,44.03,42.61,43.12,39.5887,2718747
2009-07-06,42.91,43.87,42.8,43.52,39.9559,2866698
2009-07-07,44.17,44.98,43.81,44.43,40.7916,5705207
2009-07-08,44.48,44.7589,43.29,43.71,40.1309,3238409
2009-07-09,43.9,44.2,43.39,43.65,40.0754,1997969
2009-07-10,43.54,44.15,43.02,43.23,39.69,1412423
2009-07-13,43.25,44.36,43.16,43.9,40.3053,2371419
2009-07-14,43.86,43.96,43.58,43.9,40.3053,2454725
2009-07-15,44,44.37,43.68,44.37,40.7368,4122611
2009-07-16,44.46,45.155,44.19,44.91,41.2324,2560458
2009-07-17,44.99,45.72,44.7,45.65,41.9116,2037445
2009-07-20,45.92,46.02,45.02,45.62,41.8843,1521838
2009-07-21,45.77,46.14,45.53,45.93,42.1686,981526
2009-07-22,45.84,46.1,45.44,45.67,41.9304,1429830
2009-07-23,45.77,46.43,45.38,46.28,42.4902,2014086
2009-07-24,46.09,46.74,45.7,46.71,42.885,1428064
2009-07-27,46.88,46.96,45.96,46.82,42.9862,1096340
2009-07-28,46.67,47.14,46,46.83,42.9954,2372683
2009-07-29,50.69,52.17,50.19,51.01,46.833,8179958
2009-07-30,51.33,51.61,50.78,51.08,46.897,2737574
2009-07-31,51.12,51.79,50.6,51.15,46.9616,2514260
2009-08-03,51.4,53,50.8,52.87,48.5406,4408303
2009-08-04,52.78,54.47,52.5,54.35,49.8998,4890739
2009-08-05,54.47,54.74,52.65,53.3,48.9358,3295978
2009-08-06,53.28,53.71,52.18,52.56,48.2561,2888760
2009-08-07,52.93,53.38,52.6,53.11,48.7611,2316037
2009-08-10,53.27,54.38,52.95,54.33,49.8806,2575525
2009-08-11,54.33,54.47,53.71,53.92,49.5048,1718131
2009-08-12,54.12,54.75,53.57,54.3,49.8535,1941207
2009-08-13,54.3,55.61,53.83,55.57,51.0195,3178125
2009-08-14,55.4,55.74,54.14,55,50.4964,2382663
2009-08-17,54.17,54.85,53.75,54.57,50.1015,2769273
2009-08-18,54.56,54.89,54,54.47,50.0096,2222557
2009-08-19,54.05,55.34,54.05,54.97,50.4687,2006930
2009-08-20,55.13,55.57,54.96,55.45,50.9093,2030995
2009-08-21,55.89,56.365,55.57,56.24,51.6345,2279098
2009-08-24,56.51,56.67,56.04,56.37,51.7537,1895473
2009-08-25,56.6,57.05,56.37,56.6,51.965,2155999
2009-08-26,56.62,57.18,56.0406,56.51,51.8828,1822632
2009-08-27,56.42,57.21,56.17,56.99,52.3234,1490897
2009-08-28,57.12,57.38,55.84,56.22,51.7251,2146634
2009-08-31,56.01,56.96,55.83,56.86,52.3142,1883179
2009-09-01,56.63,57.43,55.57,55.74,51.2836,2163607
2009-09-02,55.5,56.24,55.46,55.72,51.265,2237633
2009-09-03,55.6,55.72,54.6,55.49,51.054,2699337
2009-09-04,55.63,56.19,55.37,56.13,51.6426,1635818
2009-09-08,56.45,56.57,55.4,56.01,51.5319,1673886
2009-09-09,55.96,57.8,55.8,57.25,52.6727,2345062
2009-09-10,56.97,57.25,56.62,57.13,52.5624,2318097
2009-09-11,57.23,58.11,56.92,57.56,52.9581,2969065
2009-09-14,57.61,58.33,57.3,58.23,53.5746,2137950
2009-09-15,58.6,58.83,57.19,57.69,53.0777,1526858
2009-09-16,58.15,58.15,56.96,57.66,53.0498,2198251
2009-09-17,57.68,58.39,57.51,58.15,53.5008,2402234
2009-09-18,58.3,58.59,57.694,58.46,53.7861,2744214
2009-09-21,58.2,59.69,58.02,59.33,54.5862,1831019
2009-09-22,59.55,59.55,58.11,58.41,53.7398,1897181
2009-09-23,58.39,58.95,58.01,58.12,53.4734,1332388
2009-09-24,58.18,58.6,57.57,58.07,53.4272,1299519
2009-09-25,58.02,58.51,57.58,57.79,53.1697,2177538
2009-09-28,58.06,59.73,57.8,59.3,54.5593,1609766
2009-09-29,59.31,59.68,58.55,58.78,54.0807,1917184
2009-09-30,59.16,59.95,58.75,59.55,54.7887,2891575
2009-10-01,59.61,59.86,58.32,58.37,53.7033,2060907
2009-10-02,58.02,58.5,57.53,57.7,53.087,1609377
2009-10-05,57.86,57.86,57.34,57.55,52.9488,1574340
2009-10-06,57.96,58.71,57.44,58.04,53.3996,2000102
2009-10-07,58.11,59.48,58.03,59.3,54.5593,2867372
2009-10-08,59.67,59.995,59.5,59.54,54.7795,2350109
2009-10-09,59.37,60.86,59.37,60.49,55.6539,2876697
2009-10-12,61.74,61.82,60.58,61.12,56.2332,2704806
2009-10-13,61.1,61.1,60.235,60.5,55.6632,1753081
2009-10-14,60.89,61.77,60.81,61.57,56.6474,1900099
2009-10-15,61.42,61.95,61.07,61.29,56.3898,2342716
2009-10-16,60.8,61.29,60.38,61.07,56.1876,2311230
2009-10-19,61.2,61.48,60.62,61.26,56.3621,1867945
2009-10-20,61.26,62.34,60.53,61.91,56.96,3089213
2009-10-21,61.74,61.9091,60.76,60.87,56.0035,2836728
2009-10-22,60.85,61.21,60.46,60.77,55.9115,2175405
2009-10-23,60.99,61.27,60.07,60.31,55.4882,2364681
2009-10-26,60.36,61.75,60.22,60.42,55.5895,2491153
2009-10-27,60.49,60.68,59.43,59.62,54.8535,3553327
2009-10-28,60.51,60.51,55.82,58.48,53.8045,5928259
2009-10-29,57.54,59.07,57.54,58.9,54.191,2776794
2009-10-30,58.78,59.41,58.47,58.73,54.0345,2732387
2009-11-02,59.02,59.54,58.74,59.54,54.7795,2504209
2009-11-03,59.45,60.45,59.1,60.25,55.433,3328280
2009-11-04,60.6,61.35,60.2,60.74,55.8839,2948467
2009-11-05,60.88,62.06,60.88,61.97,57.0158,2575397
