Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,26.93,27.44,26.56,27.34,20.8004,7794183
2009-01-05,27.23,27.76,27.22,27.62,21.0133,10196353
2009-01-06,27.63,28.06,27.4059,27.78,21.1353,10245682
2009-01-07,27.44,27.97,27.44,27.76,21.1196,11029103
2009-01-08,27.69,28.12,27.68,27.99,21.295,13669676
2009-01-09,28.08,28.25,27.72,27.78,21.1353,8161422
2009-01-12,27.78,28.61,27.56,28.53,21.7058,13797909
2009-01-13,28.57,29.05,28.57,28.82,21.9266,12475052
2009-01-14,28.43,28.54,27.75,27.99,21.295,13733676
2009-01-15,28.12,28.16,27.38,28.07,21.3559,13851431
2009-01-16,28.4,28.79,28.17,28.64,21.7894,12432727
2009-01-20,28.64,28.93,28.165,28.22,21.4698,11162998
2009-01-21,28.44,28.57,27.84,28.33,21.5537,23904426
2009-01-22,28,28.91,27.88,28.91,21.9945,16888422
2009-01-23,28.5,28.77,28.1075,28.67,21.8122,11483374
2009-01-26,28.94,29.19,28.59,28.85,21.9489,9172899
2009-01-27,28.81,29.3,28.725,29.15,22.1777,10557228
2009-01-28,29.54,29.84,29.21,29.57,22.4967,10587672
2009-01-29,29.39,29.82,29.187,29.28,22.276,9664734
2009-01-30,29.21,29.28,27.88,28.05,21.3404,17533625
2009-02-02,27.67,28.4025,27.62,28.24,21.4847,11928617
2009-02-03,28.47,28.87,28,28.74,21.8653,8648107
2009-02-04,26.09,26.79,25.9,26.11,19.8647,26375121
2009-02-05,26.01,26.22,25.62,26,19.7808,14236361
2009-02-06,26.08,26.47,25.92,26.34,20.0394,11156788
2009-02-09,26.31,26.34,25.82,25.88,19.6896,8687323
2009-02-10,25.72,25.88,24.83,24.98,19.0049,13997573
2009-02-11,25.18,25.29,24.85,25.11,19.1036,10631508
2009-02-12,24.77,25.5,24.61,25.47,19.3775,18134003
2009-02-13,25.44,25.47,25.16,25.2,19.1722,10227901
2009-02-17,24.49,25.03,24.31,24.72,18.8072,13848639
2009-02-18,24.84,24.9,24.19,24.32,18.5026,11157094
2009-02-19,24.47,24.9,24.26,24.33,18.5104,9212525
2009-02-20,23.85,23.997,23.28,23.51,17.8865,15247717
2009-02-23,23.62,24.09,22.92,22.96,17.4679,11432035
2009-02-24,23.15,23.75,22.91,23.72,18.0461,15886711
2009-02-25,23.64,24.2,23.58,23.84,18.1374,17611721
2009-02-26,24.09,24.09,22.86,22.87,17.3995,11646820
2009-02-27,22.49,23,22.45,22.78,17.3312,14642718
2009-03-02,22.43,22.63,22.03,22.12,16.829,12797404
2009-03-03,22.16,22.26,21.75,21.94,16.6918,14105829
2009-03-04,22.22,22.33,21.53,21.95,16.6999,12724567
2009-03-05,21.35,21.6,20.81,21,15.9768,13955605
2009-03-06,21.2,21.69,21.13,21.62,16.4486,14208918
2009-03-09,21.44,21.62,21.16,21.23,16.1522,10011990
2009-03-10,21.35,21.8,21.3,21.8,16.5856,12396407
2009-03-11,21.9,21.9,21.09,21.32,16.2204,14382200
2009-03-12,21.31,22.31,21.13,22.26,16.9352,12476029
2009-03-13,22.4,22.58,22.25,22.53,17.141,8384796
2009-03-16,22.75,23.34,22.75,22.87,17.3995,8528898
2009-03-17,22.93,23.31,22.66,23.31,17.7343,7722009
2009-03-18,23.19,23.24,22.1,22.29,16.9583,19888953
2009-03-19,22.49,22.71,22.07,22.16,16.8595,9747062
2009-03-20,22.18,22.4,22.1,22.14,16.8443,15551676
2009-03-23,22.28,23.15,22.15,23.15,17.836,13593597
2009-03-24,22.88,23.38,22.8,23.17,17.8511,10849164
2009-03-25,23.32,23.58,22.72,23.05,17.759,11340122
2009-03-26,23.28,23.35,22.78,23.07,17.7743,11717879
2009-03-27,22.84,23.3,22.81,22.89,17.6357,10604552
2009-03-30,22.63,22.72,21.71,21.84,16.8268,15358496
2009-03-31,22,22.5,21.85,22.29,17.1735,14567681
2009-04-01,22.13,22.89,21.94,22.81,17.5738,10373537
2009-04-02,23.34,23.45,22.89,22.97,17.6975,10912612
2009-04-03,23.02,23.4,22.65,23,17.7206,8333922
2009-04-06,22.96,23.12,22.55,22.6,17.4125,9432066
2009-04-07,22.31,22.6,22.23,22.46,17.3044,12938177
2009-04-08,22.58,22.6,21.97,22.05,16.9888,15250592
2009-04-09,22.48,22.51,22.03,22.35,17.2196,11460870
2009-04-13,22.23,22.54,22.23,22.46,17.3044,6926087
2009-04-14,22.31,22.55,22.06,22.41,17.2659,7991255
2009-04-15,22.35,22.88,22.35,22.87,17.6203,7130111
2009-04-16,22.78,22.83,22.35,22.65,17.4508,12310648
2009-04-17,22.72,22.82,22.28,22.67,17.4661,13609880
2009-04-20,22.46,22.93,22.45,22.47,17.3124,10907032
2009-04-21,22.41,22.86,22.41,22.75,17.5276,9887219
2009-04-22,22.65,22.79,22.39,22.44,17.2889,8564990
2009-04-23,22.43,22.5,22.07,22.27,17.158,11580924
2009-04-24,22.37,22.39,22.16,22.26,17.1502,9029924
2009-04-27,22.11,22.7,22,22.38,17.2427,10118692
2009-04-28,22.32,23,22.16,22.8,17.5666,7935375
2009-04-29,22.91,23.55,22.82,23.27,17.9285,9467445
2009-04-30,23.38,23.71,23.11,23.4,18.0286,11743312
2009-05-01,23.45,23.5,23.16,23.49,18.098,5939134
2009-05-04,23.69,24.26,23.55,24.26,18.6914,11022834
2009-05-05,25.58,26.44,25.14,25.22,19.4308,28945242
2009-05-06,25.6,25.67,24.93,25,19.2613,15545845
2009-05-07,25.16,25.52,24.82,25.04,19.2919,15645467
2009-05-08,25.33,25.69,25.1,25.53,19.6695,13016690
2009-05-11,25.32,25.45,25,25.2,19.4156,7662835
2009-05-12,25.22,25.69,25.22,25.41,19.5775,8205898
2009-05-13,25.2,25.2,24.67,24.89,19.1767,12130252
2009-05-14,24.96,25.18,24.78,25.1,19.3388,8177824
2009-05-15,25.03,25.1,24.68,24.8,19.1071,8430335
2009-05-18,24.9,25.09,24.71,25.06,19.3075,8658563
2009-05-19,24.93,25.15,24.81,25.06,19.3075,7295510
2009-05-20,25.13,25.33,24.79,24.85,19.1462,8922922
2009-05-21,24.64,24.93,24.4,24.93,19.2071,8897908
2009-05-22,24.98,25.77,24.9,25.46,19.6159,9739237
2009-05-26,25.39,25.91,25.17,25.86,19.924,9068824
2009-05-27,25.82,25.87,25.36,25.46,19.6159,8475222
2009-05-28,25.53,25.898,25.22,25.82,19.8931,9944617
2009-05-29,25.8,26.12,25.65,26.11,20.1164,9636622
2009-06-01,26.28,26.67,26.19,26.64,20.5247,11968012
2009-06-02,26.56,27.14,26.56,27,20.8021,11696645
2009-06-03,26.9,26.91,26.43,26.81,20.6558,10994393
2009-06-04,26.9,27.23,26.635,27.04,20.833,11081953
2009-06-05,27.24,27.24,26.46,26.63,20.5176,10510590
2009-06-08,26.66,26.86,26.43,26.59,20.4862,7818513
2009-06-09,26.73,26.8,26.11,26.21,20.1934,9316355
2009-06-10,26.32,26.485,25.63,25.85,19.916,13487024
2009-06-11,25.97,26.42,25.92,25.95,19.9934,10828240
2009-06-12,25.9,26.18,25.71,25.94,19.9854,6588418
2009-06-15,25.85,25.85,25.23,25.26,19.4617,9899972
2009-06-16,25.39,25.39,24.81,24.81,19.1152,11823272
2009-06-17,24.88,25.34,24.8,24.88,19.169,13226524
2009-06-18,24.95,25.98,24.87,25.85,19.916,11605959
2009-06-19,26.09,26.09,25.29,25.41,19.5775,12740626
2009-06-22,25.3,25.51,25.168,25.25,19.4534,10227995
2009-06-23,25.34,25.72,25.2,25.63,19.7469,11278778
2009-06-24,25.82,26,25.65,25.74,19.8315,10982201
2009-06-25,25.81,26.2,25.5,25.97,20.0088,11883608
2009-06-26,25.73,25.77,25.26,25.56,19.9151,11065930
2009-06-29,25.57,25.76,25.4,25.58,19.9309,6782430
2009-06-30,25.71,25.83,25.08,25.34,19.7439,10316337
2009-07-01,25.51,26.76,25.49,26.61,20.7332,16294569
2009-07-02,26.26,26.39,25.87,25.96,20.2268,10720753
2009-07-06,25.96,26.48,25.8,26.44,20.6009,11413229
2009-07-07,26.4,26.43,25.72,25.75,20.0635,11955230
2009-07-08,25.89,25.95,25.4099,25.7,20.0242,12384400
2009-07-09,25.65,25.95,25.45,25.8,20.1023,8532820
2009-07-10,25.9,26.18,25.51,26.08,20.3204,8514391
2009-07-13,26.42,27,26.31,26.88,20.9433,11298768
2009-07-14,27.01,27.09,26.71,27,21.0372,7945934
2009-07-15,27.16,27.57,27,27.53,21.4501,8660945
2009-07-16,27.48,27.78,27.4121,27.73,21.6061,8567883
2009-07-17,27.81,27.94,27.27,27.43,21.3721,7977648
2009-07-20,27.6,27.6425,27.21,27.6,21.5047,6040911
2009-07-21,27.8,27.92,27.23,27.58,21.4893,6511041
2009-07-22,27.92,28.05,27.73,27.92,21.7538,10155882
2009-07-23,27.95,28.8,27.84,28.37,22.1047,13309689
2009-07-24,28.4,28.45,27.96,28.12,21.9102,12195192
2009-07-27,28.14,28.29,27.79,28.26,22.0185,7649490
2009-07-28,28.2,28.53,28.13,28.47,22.1824,7325275
2009-07-29,28.36,28.65,28.26,28.54,22.2371,6515460
2009-07-30,28.87,29.11,28.51,28.57,22.2605,9800506
2009-07-31,28.58,28.76,28.33,28.34,22.0811,9371678
2009-08-03,28.55,28.59,28.05,28.2,21.9723,10950678
