Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,31.51,32.74,31.175,32.61,25.7155,5336214
2009-01-05,32.62,32.94,32.07,32.58,25.6917,8281461
2009-01-06,32.2,32.8,31.11,31.23,24.6272,9702616
2009-01-07,31,31.91,30.69,31.72,25.0137,9387325
2009-01-08,31.67,32.28,31.36,32.22,25.4078,7873228
2009-01-09,32.56,32.99,31.936,32.57,25.684,8788748
2009-01-12,32.57,32.74,32.15,32.45,25.5895,8030854
2009-01-13,32.44,32.6,32.02,32.45,25.5895,8137848
2009-01-14,32.05,32.48,31.93,32.41,25.5577,9254809
2009-01-15,32.48,32.5617,31.34,32.02,25.2502,10302318
2009-01-16,32.22,32.85,32.09,32.72,25.8022,9080292
2009-01-20,32.7,33.15,31.71,31.85,25.1164,8787615
2009-01-21,32.3,33.09,31.85,32.95,25.9838,8689766
2009-01-22,32.26,33.18,32.08,33.03,26.0466,8054643
2009-01-23,32.2,32.57,31.28,32.33,25.4948,8064907
2009-01-26,32.82,33.3,32.4,33.02,26.0388,6108521
2009-01-27,33.14,34.28,32.89,34.07,26.867,8049135
2009-01-28,34.61,34.65,33.575,34.53,27.2296,7709876
2009-01-29,34.07,34.5,33.34,33.43,26.3623,7261356
2009-01-30,33.39,33.86,33.24,33.49,26.4094,7314564
2009-02-02,32.93,33.95,32.93,33.74,26.6065,5391992
2009-02-03,34.08,34.09,33.25,33.97,26.7881,6300980
2009-02-04,34.13,35.1,33.68,33.85,26.6933,5253804
2009-02-05,33.88,34.3,33.38,34.14,26.9218,6305093
2009-02-06,34.1,34.48,33.04,33.39,26.3304,9864713
2009-02-09,33.41,33.79,32.87,33.13,26.1254,6829627
2009-02-10,32.94,33.13,31.97,32.14,25.3447,9490886
2009-02-11,32.36,32.91,32.05,32.5,25.6287,7337643
2009-02-12,32.1,32.92,31.66,32.8,25.8652,10027553
2009-02-13,31.81,33.13,31.81,32.81,25.8731,9325513
2009-02-17,33.61,35.39,33.53,34.56,27.2531,16077041
2009-02-18,34.71,35.14,34.1,34.33,27.0716,8710925
2009-02-19,34.54,34.94,34.01,34.13,26.9143,8695076
2009-02-20,32.68,34.37,32.68,34,26.8118,11692748
2009-02-23,34.23,34.97,33.54,34.02,26.8275,9356479
2009-02-24,34.15,34.61,33.87,34.52,27.2215,9376254
2009-02-25,34.42,34.5,33.68,33.86,26.701,9440416
2009-02-26,34.09,34.48,31.78,31.8,25.0766,11725407
2009-02-27,31.23,31.55,29.52,29.59,23.3338,15777465
2009-03-02,29.26,29.26,27.15,27.22,21.4649,16859008
2009-03-03,27.57,27.59,26.68,26.88,21.1967,12311321
2009-03-04,27.42,27.42,26.39,26.46,20.8656,14382041
2009-03-05,26.14,26.32,25.51,25.76,20.3139,10962506
2009-03-06,25.92,26.03,24.8,24.92,19.651,14750219
2009-03-09,24.46,24.75,24.06,24.38,19.2255,15649900
2009-03-10,24.6,25.17,24.2,24.93,19.6591,14841912
2009-03-11,25.14,26.85,25.03,25.8,20.3452,15768653
2009-03-12,25.81,27.27,25.68,27.16,21.4176,10099598
2009-03-13,27.47,28.64,27.3,28.58,22.5376,11440642
2009-03-16,28,29.08,27.95,28.32,22.3324,8326587
2009-03-17,28.39,28.78,27.78,28.47,22.4508,11179546
2009-03-18,28.38,29.81,28.32,29.23,23.05,9934435
2009-03-19,29.52,29.52,27.51,27.87,21.9778,9147013
2009-03-20,27.99,28.06,27.43,27.76,21.8905,10582428
2009-03-23,28.17,29.72,27.91,29.69,23.413,9509997
2009-03-24,29.43,30.23,29.26,29.41,23.1922,6013086
2009-03-25,29.65,29.68,28,28.42,22.4114,10677004
2009-03-26,28.68,29.26,28.14,29.23,23.05,10033230
2009-03-27,28.89,29.19,28.67,28.78,22.6952,5736534
2009-03-30,28.38,29.23,28,29.03,22.8927,6419929
2009-03-31,29.24,29.98,28.97,29.47,23.2392,7248197
2009-04-01,28.89,29.69,28.77,29.58,23.4757,6821365
2009-04-02,29.73,30.31,29.57,29.76,23.6187,8242370
2009-04-03,29.83,30.09,29.11,29.83,23.6742,9276445
2009-04-06,29.79,30.41,29.47,29.81,23.6584,7199298
2009-04-07,29.48,29.92,29.26,29.31,23.2615,6182627
2009-04-08,29.42,30.45,29.34,30.22,23.9838,5896577
2009-04-09,30.47,31.6,30.4,31.04,24.6345,7480504
2009-04-13,30.88,31.25,30.74,30.98,24.587,5101300
2009-04-14,30.88,31.81,30.64,31.36,24.8885,6010848
2009-04-15,31.3,31.7,31.03,31.44,24.9517,4851932
2009-04-16,31.63,32.05,31.41,31.71,25.1663,6347113
2009-04-17,31.73,32.45,31.63,32.3,25.6347,6776731
2009-04-20,32.09,32.1,31.03,31.18,24.7458,5387315
2009-04-21,31.32,31.59,30.46,30.56,24.2537,7737745
2009-04-22,30.4,30.48,29.95,29.98,23.7933,7245456
2009-04-23,29.9,29.9,29.08,29.72,23.5871,7047868
2009-04-24,29.86,30.15,29.38,29.58,23.4757,7187153
2009-04-27,29.28,30.15,29.22,29.96,23.7771,5498878
2009-04-28,29.95,30.88,29.7228,30.64,24.3171,6762930
2009-04-29,30.83,31.94,30.53,31.7,25.1581,9330541
2009-04-30,32.05,32.48,31.8,32,25.3963,9004259
2009-05-01,32.17,32.21,31.63,32.16,25.5234,5245631
2009-05-04,32.23,33.11,32.21,33.1,26.2696,6653474
2009-05-05,33.07,33.2,32.15,32.38,25.698,6247724
2009-05-06,32.46,32.62,31.86,32.17,25.5312,5939299
2009-05-07,32.45,33.93,31.74,33.84,26.8565,11433554
2009-05-08,34.08,34.58,33.25,34.22,27.1584,8119899
2009-05-11,34.1,34.11,33.27,33.49,26.5791,5864740
2009-05-12,33.69,34.09,33.07,34.05,27.0232,6363792
2009-05-13,34.11,34.11,33.08,33.25,26.3883,6247147
2009-05-14,33.66,33.93,33.25,33.59,26.6585,4962238
2009-05-15,33.51,33.635,32.93,33.4,26.5076,6150935
2009-05-18,34.14,34.21,33.135,33.96,26.9518,7134899
2009-05-19,33.47,33.5,31.02,31.76,25.206,25042058
2009-05-20,31.99,32.84,31.72,32.19,25.5471,12849234
2009-05-21,32,32.18,31.76,31.99,25.3883,9391393
2009-05-22,32.11,32.6,31.99,32.14,25.5074,5755191
2009-05-26,32.19,33.57,31.82,33.55,26.6267,12780115
2009-05-27,33.47,34.05,33.27,33.76,26.7935,13542606
2009-05-28,33.73,34.5,33.52,34,26.9838,12685240
2009-05-29,34.08,34.41,33.59,34.35,27.2618,6808787
2009-06-01,34.66,34.99,34.19,34.9,27.698,10236686
2009-06-02,35,36.05,34.56,35.83,28.4359,11098709
2009-06-03,35.75,35.75,35,35.19,27.928,8978772
2009-06-04,35.29,35.29,33.84,34.12,27.0788,10836624
2009-06-05,34.2,34.53,33.67,33.95,26.944,8270746
2009-06-08,34,34.13,33.265,33.72,26.7617,5874483
2009-06-09,33.9,34.22,33.81,34.08,27.0473,5038023
2009-06-10,34.23,34.5,33.3,33.65,26.7059,8020208
2009-06-11,33.62,34.02,33.22,33.74,26.7775,8864542
2009-06-12,33.62,33.825,33.23,33.62,26.6823,6295951
2009-06-15,33.29,33.29,32.07,32.17,25.5312,8308581
2009-06-16,32.32,33.07,32.13,32.39,25.7061,5821868
2009-06-17,32.37,33.4,32.32,32.93,26.1346,4732272
2009-06-18,32.92,33.71,32.78,33.35,26.4678,6731327
2009-06-19,33.65,34.42,33.61,33.96,26.9518,8906249
2009-06-22,33.75,33.75,33.15,33.19,26.3409,7862807
2009-06-23,33.75,34.19,33.13,33.37,26.4838,9525523
2009-06-24,33.51,33.87,33.29,33.61,26.674,6014730
2009-06-25,33.6,34.92,33.44,34.72,27.5548,6447721
2009-06-26,34.66,35.11,33.83,34.97,27.7537,8489332
2009-06-29,34.97,35.02,34.3145,34.79,27.6106,6579492
2009-06-30,34.68,34.9,34.4,34.89,27.6899,7273826
2009-07-01,34.97,34.97,34.36,34.71,27.5471,5031290
2009-07-02,34.78,34.91,33.84,34.26,27.1899,5998910
2009-07-06,34.28,34.5,33.71,33.96,26.9518,4506139
2009-07-07,33.97,34.085,33.25,33.35,26.4678,4463785
2009-07-08,33.29,33.52,32.7,32.82,26.2085,6425533
2009-07-09,32.99,32.99,32.38,32.73,26.1365,4275126
2009-07-10,32.7,33.16,32.45,32.8,26.1925,5144263
2009-07-13,32.93,33.535,32.68,33.44,26.7029,4142790
2009-07-14,33.42,33.82,33.24,33.75,26.9509,4857968
2009-07-15,33.93,34.56,33.63,34.54,27.5819,6027068
2009-07-16,34.43,34.82,34.3,34.64,27.6619,5041352
2009-07-17,34.57,34.89,34.5,34.67,27.6855,5230841
2009-07-20,34.74,35.11,34.4,34.75,27.7497,5662112
2009-07-21,34.96,35.35,34.68,35.01,27.9571,3577459
2009-07-22,34.91,35.14,33.93,34.09,27.2224,6159008
2009-07-23,34.13,34.8699,34.11,34.38,27.454,7247319
2009-07-24,34.29,35.08,34.24,35.05,27.9891,4612366
