Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,35.27,36.24,33.39,35.97,23.9651,6082598
2009-01-05,36.14,36.67,34.81,35.49,23.6453,6262930
2009-01-06,36,37.39,35.25,35.61,23.7253,9389118
2009-01-07,34.8,34.8,31.9,32.44,21.6134,7820338
2009-01-08,32.93,33.34,32.09,33.14,22.0795,6393905
2009-01-09,33.07,33.25,31.6,31.87,21.2336,5623634
2009-01-12,31.63,31.85,28.5,29.06,19.3614,8598934
2009-01-13,29.3,30.61,28.73,29.32,19.5346,7235274
2009-01-14,28.38,29,26.66,27.55,18.3551,11316751
2009-01-15,27.58,29.67,26.31,28.04,18.6817,10892254
2009-01-16,28.92,29.88,27.51,28.44,18.9484,8667642
2009-01-20,27.03,27.64,23.75,23.82,15.8701,16911182
2009-01-21,24.52,28.76,24.45,28.25,18.8217,12699235
2009-01-22,26.33,27.4,24.54,25.5,16.9894,13289005
2009-01-23,24.6,27.39,23.35,26.63,17.7423,8102500
2009-01-26,27.17,28.98,25.79,26.72,17.8023,9102758
2009-01-27,27.01,27.75,26.27,27.68,18.4419,7355551
2009-01-28,29.61,34.08,29.61,33.27,22.1661,14005546
2009-01-29,31.41,31.87,29.87,30.03,20.0076,9958550
2009-01-30,30.2,31.01,28.23,28.73,19.1412,9050294
2009-02-02,28.25,29.74,27.74,29.06,19.3614,7001795
2009-02-03,29.56,29.91,28.35,28.52,19.0015,8801623
2009-02-04,29.66,30.72,28.64,29.6,19.7211,10845082
2009-02-05,29.16,31.94,28.82,30.74,20.4808,9972998
2009-02-06,30.01,31.65,30.01,31.24,20.8139,11145117
2009-02-09,31.59,32.37,30.42,31.28,20.8405,9042313
2009-02-10,29.87,30.65,27.3,27.53,18.342,13511610
2009-02-11,28.55,28.61,26.83,27.86,18.5619,7222733
2009-02-12,27.28,28.35,26.36,28.09,18.7151,8167481
2009-02-13,27.69,28.46,26.77,26.8,17.8554,6693494
2009-02-17,25.63,25.69,24.07,24.09,16.05,10608647
2009-02-18,24.94,25.23,23.43,24.2,16.1232,9193936
2009-02-19,24.65,25,22.06,22.22,14.804,12188118
2009-02-20,21.28,21.92,19.43,21.43,14.2776,17559525
2009-02-23,22.24,22.48,20.27,20.34,13.5515,11044422
2009-02-24,20.35,23.41,19.51,23.3,15.5238,14714062
2009-02-25,23.05,23.05,20.48,22.05,14.691,11530264
2009-02-26,23.1,24.5,22.02,23.99,15.9834,18337250
2009-02-27,20.75,21.4,17.68,18.46,12.299,29642289
2009-03-02,17.24,18.86,16.38,16.51,10.9997,18547960
2009-03-03,17.05,17.37,13.41,13.72,9.1414,34320350
2009-03-04,14.48,15.49,12.78,14.72,9.8073,33752942
2009-03-05,13.9,14,11.4422,12.1,8.0617,29936556
2009-03-06,12.35,12.96,11.37,12.22,8.1414,25096321
2009-03-09,11.76,13.07,11.52,12.48,8.3146,17538477
2009-03-10,13.24,15.34,12.91,15.27,10.1736,26806429
2009-03-11,15.51,16.83,13.93,15.27,10.1736,23127393
2009-03-12,14.99,17.48,14.32,17.3,11.5263,24743878
2009-03-13,17.49,18.12,16.07,17.74,11.8193,19592828
2009-03-16,18.26,21.8,17.75,19.17,12.772,29713939
2009-03-17,19.24,21.25,18.7,21.19,14.1178,18631438
2009-03-18,21.91,26.73,21.25,25.56,17.0296,31198408
2009-03-19,25.81,26.49,22.21,22.39,14.9175,25025542
2009-03-20,22.54,22.91,20.42,20.78,13.8448,24878993
2009-03-23,22.63,24.8,21.71,24.51,16.3299,20076026
2009-03-24,23.03,24.59,22.7,23,15.3239,17228907
2009-03-25,23.82,24.66,22.47,24.6,16.3897,19058485
2009-03-26,24.4,25.5,23.77,25.2,16.7896,19592057
2009-03-27,24.21,25.34,24.2,24.49,16.3165,11798179
2009-03-30,23.1,23.15,21.26,21.5,14.3244,13148688
2009-03-31,21.92,23.28,21.77,22.77,15.1706,17696150
2009-04-01,21.73,23.6,21.25,23.43,15.6102,13477277
2009-04-02,24.98,25.44,24.43,24.69,16.4498,15123877
2009-04-03,24.69,25.75,24.26,25.34,16.8827,13240379
2009-04-06,24.72,25.58,24.38,25.1,16.7231,10747355
2009-04-07,24.51,24.75,24.07,24.16,16.0966,10263384
2009-04-08,26.3,26.98,23.78,24.73,16.4764,15416011
2009-04-09,25.89,27.55,25.55,27.02,18.0022,17835176
2009-04-13,26.3,29.34,26.01,28.79,19.1816,12003197
2009-04-14,28.55,29.41,26.25,26.44,17.6158,15694746
2009-04-15,26.09,28.33,25.2,28.17,18.7682,12481026
2009-04-16,28.75,28.92,26.89,27.77,18.5017,10615857
2009-04-17,27.73,28.85,26.99,28.22,18.8015,13379076
2009-04-20,27.5,27.63,25.23,25.27,16.8363,10277060
2009-04-21,24.15,27.43,23.75,27.26,18.1621,11999524
2009-04-22,26.47,27.45,24.91,25.81,17.1959,14513594
2009-04-23,26.16,28.36,25.84,28.2,18.7886,11100133
2009-04-24,28.49,29.98,27.96,29.25,19.4881,13460194
2009-04-27,28.18,28.73,27.76,28.12,18.7351,9533003
2009-04-28,27.51,28.28,27.17,27.55,18.3551,6912883
2009-04-29,28.29,30.12,27.85,29.68,19.7743,10371072
2009-04-30,30.21,31.28,29.48,29.75,19.8213,12045107
2009-05-01,28.81,28.94,27.01,27.45,18.2886,15330903
2009-05-04,27.76,29.02,27.13,28.94,19.2812,19328385
2009-05-05,28.18,29.07,27.28,27.71,18.4617,13622039
2009-05-06,28.41,32.54,28.41,32.35,21.5529,21371307
2009-05-07,33.52,34.1,31.19,31.75,21.1535,18659082
2009-05-08,32.7,35.59,32.48,35.5,23.652,14905775
2009-05-11,34.06,34.63,32.18,32.32,21.5332,16793985
2009-05-12,33.3,33.45,31.17,32.26,21.4935,11879323
2009-05-13,31.28,31.6,28.51,28.78,19.1746,17023168
2009-05-14,28.65,31.06,28.49,30.49,20.3141,14172601
2009-05-15,31.08,31.18,29.29,29.39,19.5813,11200222
2009-05-18,30.04,31.45,29.8,31.29,20.8471,12868645
2009-05-19,31.08,32.27,30.58,31.46,20.9603,10329382
2009-05-20,32.24,32.9,30.25,30.43,20.2741,10161770
2009-05-21,29.62,30.83,29.62,30.37,20.234,7463483
2009-05-22,30.58,30.99,29.83,30.15,20.0873,5238494
2009-05-26,29.83,30.76,29.45,30.7,20.454,8917859
2009-05-27,31.34,31.48,29.58,29.62,19.7344,8888887
2009-05-28,29.9,31.16,29.68,31.12,20.7338,7097280
2009-05-29,31.35,31.69,30.27,31.5,20.9869,7873964
2009-06-01,31.94,32.29,31.06,31.51,20.9933,8995669
2009-06-02,31.32,32.74,31.32,31.96,21.2936,7783074
2009-06-03,31.5,31.6,29.61,30.2,20.1209,9319229
2009-06-04,30.51,32.03,30.42,32.03,21.3401,8892052
2009-06-05,33.09,33.09,31.02,31.45,20.9538,8423885
2009-06-08,32.13,33.18,31.37,32.78,21.8398,10823901
2009-06-09,32.78,33.16,32.02,33.03,22.0064,7897997
2009-06-10,33.31,33.69,32.02,32.27,21.5,8349454
2009-06-11,32.33,32.7,31.67,32.02,21.3334,7572820
2009-06-12,31.95,32.09,30.5,31.08,20.707,6122305
2009-06-15,30.84,30.93,29.82,29.9,19.921,5699504
2009-06-16,30.25,30.58,29.29,29.41,19.5945,7464095
2009-06-17,29.41,29.65,28.12,29.03,19.3414,8520939
2009-06-18,29.18,30.64,29.06,30.26,20.1608,7015535
2009-06-19,30.69,31.35,30.44,31.2,20.787,8725711
2009-06-22,30.79,30.98,28.81,28.85,19.2214,9026644
2009-06-23,29.04,29.53,28.85,29.39,19.5813,8488718
2009-06-24,29.66,30.43,29.6,29.93,19.9408,4753367
2009-06-25,29.78,30.14,29.1618,29.98,19.9743,7104467
2009-06-26,29.84,30,29.49,29.85,19.8875,8545706
2009-06-29,30.16,30.28,29.53,30.06,20.0277,6120498
2009-06-30,29.92,30.18,29.07,30.01,19.9943,6898432
2009-07-01,30.07,30.2,29.53,29.76,19.8276,6181868
2009-07-02,29.49,29.49,28.04,28.04,18.6817,6173587
2009-07-06,28.18,28.88,27.54,28.86,19.228,5839698
2009-07-07,28.54,28.75,27.3,27.34,18.2152,6820509
2009-07-08,27.54,28.04,26,26.9,17.9223,11393048
2009-07-09,27.33,28.04,27.16,27.63,18.4087,5458342
