Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,32.18,32.29,31.58,32.23,25.6751,619705
2009-01-05,32.2,32.24,31.67,32,25.4919,736576
2009-01-06,32.21,32.39,31.64,31.89,25.4041,426186
2009-01-07,31.53,31.72,31.16,31.32,24.95,538123
2009-01-08,31.25,31.42,31.03,31.31,24.942,555452
2009-01-09,31.25,31.31,30.56,30.86,24.5834,509649
2009-01-12,30.87,31.2,30.66,31.05,24.7347,384428
2009-01-13,31.05,31.36,30.75,30.94,24.6474,604150
2009-01-14,30.6,31.12,30.18,30.3,24.1378,968568
2009-01-15,30.45,30.45,29.785,30.14,24.0101,1076488
2009-01-16,30.52,31.12,30.45,31.01,24.7032,772511
2009-01-20,31.04,31.4212,30.46,30.52,24.3128,705281
2009-01-21,30.83,30.83,29.9,30.48,24.2807,1064986
2009-01-22,30.13,30.86,29.94,30.78,24.52,871058
2009-01-23,30.52,30.71,29.98,30.44,24.2492,646121
2009-01-26,30.58,31.47,30.58,31.3,24.9345,708356
2009-01-27,31.42,31.75,31.04,31.04,24.7271,881509
2009-01-28,32.33,33.08,31.11,31.7,25.2528,2118586
2009-01-29,32.24,32.51,31.95,32.17,25.6275,1211999
2009-01-30,32.17,32.49,31.85,32.04,25.5239,1403888
2009-02-02,31.75,32.28,31.7,32.1,25.5716,1231479
2009-02-03,32.16,33.44,32.01,33.23,26.4718,1207533
2009-02-04,33.33,33.33,32.67,32.87,26.1848,954360
2009-02-05,32.69,33.1,32.52,32.95,26.2489,779753
2009-02-06,33.01,33.22,32.68,33.11,26.376,827271
2009-02-09,33.15,33.27,32.47,32.68,26.0333,520070
2009-02-10,32.54,32.79,31.7,31.86,25.3803,723846
2009-02-11,32.09,32.2296,31.72,32.13,25.5953,557675
2009-02-12,31.78,32.2,31.48,32.2,25.6509,727149
2009-02-13,32.23,32.47,31.94,31.97,25.468,564006
2009-02-17,31.31,31.54,30.9,31.17,24.8305,1001903
2009-02-18,31.35,31.35,30.6,30.8,24.5359,731881
2009-02-19,31,31.78,31,31.48,25.0772,738763
2009-02-20,31.14,31.14,30.06,30.15,24.018,1172913
2009-02-23,30.37,30.54,29.61,29.72,23.6757,798857
2009-02-24,29.9,30.29,29.71,30.14,24.0101,748224
2009-02-25,30.02,30.87,30.01,30.58,24.3608,1068355
2009-02-26,30.85,31,29.85,29.85,23.7791,869201
2009-02-27,30.49,32,30.19,31.35,24.9741,1630627
2009-03-02,30.85,31.35,30.81,31.09,24.7668,1146271
2009-03-03,31.49,31.655,30.88,31.16,24.8226,1499398
2009-03-04,31.4,31.72,30.76,31.33,24.9581,1221931
2009-03-05,30.73,31.02,30.09,30.28,24.1218,969677
2009-03-06,30.47,30.79,29.76,30.32,24.1534,1083703
2009-03-09,29.89,30.22,29.5,29.66,23.6279,865295
2009-03-10,30.08,30.9,29.4,30.81,24.5437,1254157
2009-03-11,30.94,31.18,30.34,30.37,24.1933,765545
2009-03-12,30.28,31.37,30.28,31.32,24.95,928262
2009-03-13,31.36,31.87,31.03,31.81,25.3403,978445
2009-03-16,32.16,33.02,32,32.67,26.0257,1121211
2009-03-17,32.6,33.05,32.31,32.95,26.2489,810503
2009-03-18,32.82,32.82,32.02,32.3,25.7308,812039
2009-03-19,32.69,32.69,31.9,32.25,25.6909,850404
2009-03-20,32.44,32.95,32.4,32.48,25.8741,1518717
2009-03-23,33,33.44,32.59,33.44,26.6389,1175857
2009-03-24,31.75,31.79,30,30.26,24.1057,4471713
2009-03-25,30.15,30.49,29.32,29.89,23.8108,2110301
2009-03-26,30.03,30.22,28.53,29.32,23.3568,2658684
2009-03-27,29.24,29.46,29.08,29.34,23.3729,1479812
2009-03-30,29,29.54,28.64,29.36,23.3888,1877256
2009-03-31,29.73,29.97,29.3482,29.57,23.5558,1527826
2009-04-01,29.6,29.75,29.03,29.67,23.6358,1117498
2009-04-02,29.75,29.97,29.19,29.32,23.5474,1330639
2009-04-03,29.2,29.34,28.77,29.28,23.515,1302613
2009-04-06,28.93,29.4,28.93,29.31,23.5394,1125581
2009-04-07,29.1,29.3,28.87,28.93,23.234,1054160
2009-04-08,29.08,29.28,28.75,28.91,23.2181,908686
2009-04-09,29.27,29.4,28.75,28.96,23.2578,1015820
2009-04-13,28.97,29.09,28.675,28.68,23.0333,862531
2009-04-14,28.66,28.8,28.27,28.56,22.9371,918052
2009-04-15,28.49,28.87,28.35,28.53,22.9128,1011212
2009-04-16,28.71,28.73,28.08,28.65,23.0092,1449754
2009-04-17,28.77,29.11,28.5,29.06,23.3386,1399848
2009-04-20,28.75,29.17,28.67,28.79,23.1218,1146310
2009-04-21,28.87,29.27,28.65,28.91,23.2181,905139
2009-04-22,28.75,29.09,28.66,28.77,23.1056,946054
2009-04-23,28.75,28.94,28.66,28.86,23.1779,940450
2009-04-24,28.86,29.1,28.59,28.92,23.2263,915079
2009-04-27,28.78,29.2,28.67,28.94,23.2424,1018795
2009-04-28,28.73,29.14,28.58,28.92,23.2263,910418
2009-04-29,29.08,29.22,28.93,29.04,23.3227,945413
2009-04-30,29.3,29.6,29.04,29.45,23.6519,1331814
2009-05-01,29.51,29.54,29.22,29.5,23.6919,556811
2009-05-04,29.65,30.66,29.34,30.44,24.4468,1252202
2009-05-05,30.29,30.49,30,30.06,24.1417,636349
2009-05-06,30.26,30.26,29.67,30.06,24.1417,899325
2009-05-07,30.23,30.6,29.99,30.6,24.5754,1301527
2009-05-08,30.62,31.11,30.5,30.89,24.8081,1099452
2009-05-11,30.53,30.96,30.53,30.68,24.6396,585143
2009-05-12,30.99,31.51,30.76,31.49,25.2903,902662
2009-05-13,31.29,31.59,31.17,31.31,25.1456,774201
2009-05-14,31.29,31.56,31.08,31.4,25.2177,1087962
2009-05-15,31.3,31.38,30.9,31.17,25.0328,749210
2009-05-18,31.36,31.37,30.99,31.35,25.1777,633429
2009-05-19,31.23,31.23,30.53,30.95,24.8565,956172
2009-05-20,30.97,31.02,30.59,30.71,24.6632,894182
2009-05-21,30.42,30.54,30.1,30.48,24.479,784631
2009-05-22,30.48,31.11,30.47,30.88,24.8003,593625
2009-05-26,30.78,31.15,30.57,30.95,24.8565,769959
2009-05-27,30.87,30.95,30.29,30.29,24.3266,667235
2009-05-28,30.42,30.68,29.99,30.19,24.246,1083468
2009-05-29,30.45,30.52,30.17,30.52,24.5112,984398
2009-06-01,30.64,30.87,30.41,30.49,24.4869,1106715
2009-06-02,30.38,30.97,30.38,30.74,24.6874,1145074
2009-06-03,30.6,30.78,30.54,30.75,24.6958,622226
2009-06-04,30.63,30.99,30.49,30.91,24.8244,580475
2009-06-05,31.09,31.14,30.76,30.84,24.7679,653491
2009-06-08,30.88,31.21,30.78,31.05,24.9371,587888
2009-06-09,31.07,31.16,30.76,30.87,24.792,388155
2009-06-10,31.07,31.19,30.51,30.84,24.7679,408962
2009-06-11,30.85,31.47,30.81,31.2,25.057,709775
2009-06-12,31.15,32,31.02,31.97,25.6756,833622
2009-06-15,31.75,31.75,31.27,31.4,25.2177,596057
2009-06-16,31.42,31.63,30.85,31.06,24.9444,573661
2009-06-17,31.01,31.68,31.01,31.29,25.1293,516904
2009-06-18,31.29,32.22,31.29,32.14,25.8121,601325
2009-06-19,32.24,32.54,32.05,32.2,25.8604,1032691
2009-06-22,32.06,33.06,32,32.8,26.3421,934438
2009-06-23,32.85,33.21,32.6,32.74,26.2938,786240
2009-06-24,32.97,32.97,32.08,32.33,25.9648,1328782
2009-06-25,32.05,32.6,31.65,32.31,25.9483,1622888
2009-06-26,32.31,32.75,32.12,32.55,26.1414,2889126
2009-06-29,32.67,32.88,32.38,32.76,26.3099,885513
2009-06-30,32.81,32.94,32.36,32.53,26.1252,935757
2009-07-01,32.7,33.38,32.51,33.25,26.9022,881154
2009-07-02,32.98,33.35,32.68,32.8,26.5377,1101871
2009-07-06,32.68,33.33,32.58,33.31,26.9506,1251819
2009-07-07,33.13,33.34,32.55,32.59,26.3681,911526
2009-07-08,32.53,32.88,32.34,32.77,26.5142,1172001
2009-07-09,32.69,32.79,32.23,32.49,26.2874,720310
2009-07-10,32.4,32.68,32.31,32.46,26.2629,464270
2009-07-13,32.43,32.76,32.26,32.67,26.4325,624347
2009-07-14,32.7,32.87,32.62,32.87,26.5947,546376
2009-07-15,32.96,33.27,32.81,33.27,26.9183,660224
2009-07-16,33.21,33.37,33.05,33.32,26.9587,431345
2009-07-17,33.3,33.3,32.61,32.76,26.5054,810199
2009-07-20,32.76,32.85,32.2,32.67,26.4325,915739
2009-07-21,32.89,33.03,32.46,32.69,26.449,575168
2009-07-22,32.72,33.03,32.51,32.87,26.5947,485595
2009-07-23,32.94,33.55,32.78,33.05,26.7403,654949
2009-07-24,32.98,33.22,32.6,32.99,26.6918,492065
2009-07-27,33,33.12,32.3,32.69,26.449,589398
2009-07-28,32.77,32.86,32.56,32.83,26.5624,454805
2009-07-29,32.73,32.89,32.46,32.64,26.4086,416817
2009-07-30,32.76,33.02,32.59,32.68,26.4408,549245
2009-07-31,32.81,32.86,32.18,32.22,26.0683,681809
2009-08-03,32.5,32.5,31.95,32.35,26.1739,856815
2009-08-04,32.23,32.49,32.1,32.28,26.1168,568355
2009-08-05,32.22,32.45,32.05,32.11,25.9798,551447
2009-08-06,32.27,32.32,31.62,31.77,25.7046,761971
2009-08-07,31.98,32.07,31.63,31.67,25.6237,547119
2009-08-10,31.63,31.89,31.5,31.85,25.7692,514015
2009-08-11,31.74,32.12,31.61,31.98,25.8744,808390
2009-08-12,31.76,32.18,31.66,31.79,25.7205,781449
2009-08-13,31.96,31.96,31.35,31.56,25.5345,656327
2009-08-14,31.71,31.81,31.43,31.79,25.7205,640608
2009-08-17,31.71,31.71,31.32,31.39,25.3971,655146
2009-08-18,31.475,31.55,31.3,31.42,25.4212,406069
2009-08-19,31.31,31.88,31.27,31.78,25.7127,350177
2009-08-20,31.73,32.11,31.57,32.04,25.9229,406918
2009-08-21,32.21,32.62,31.94,32.54,26.3274,450161
2009-08-24,32.74,32.74,32.25,32.54,26.3274,317590
2009-08-25,32.57,32.78,32.38,32.47,26.271,458563
2009-08-26,32.48,32.7,32.34,32.5,26.295,326032
2009-08-27,32.28,32.51,32.21,32.43,26.2384,347690
2009-08-28,32.48,32.71,32.08,32.33,26.1578,435065
2009-08-31,32.28,32.6,32.22,32.57,26.352,599674
2009-09-01,32.46,32.72,32.4,32.57,26.352,852079
