Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,8.22,9.06,8.015,8.68,7.4506,42466
2009-01-05,8.71,8.92,7.99,8.5,7.296,36894
2009-01-06,8.65,8.89,8.46,8.7,7.4668,63115
2009-01-07,8.48,8.86,8,8.16,7.0037,49661
2009-01-08,8,8.2,7.88,8.02,6.8837,41818
2009-01-09,8,8,7.06,7.1,6.0941,121570
2009-01-12,7.09,7.44,7.09,7.29,6.2573,50317
2009-01-13,7.22,8.17,7.1,8.1,6.9523,31772
2009-01-14,7.83,8.36,7.29,7.35,6.3089,48118
2009-01-15,7.28,8.0475,7.14,7.94,6.815,83342
2009-01-16,7.95,7.95,7.4,7.71,6.6175,92026
2009-01-20,7.56,7.56,7.4,7.4,6.3517,105699
2009-01-21,7.55,9.02,7.41,8.73,7.4932,52794
2009-01-22,8.42,8.55,7.75,8.1,6.9523,23904
2009-01-23,7.78,8.34,7.5894,8,6.8666,39544
2009-01-26,8,8.74,8,8.53,7.3212,34134
2009-01-27,8.56,8.99,8.56,8.76,7.519,43725
2009-01-28,8.97,9.06,8.092,9.02,7.7422,72216
2009-01-29,8.83,9.03,8.23,8.25,7.081,50327
2009-01-30,8.41,8.41,7.71,7.72,6.6265,32682
2009-02-02,7.57,8.1,7.52,8.09,6.9437,107885
2009-02-03,8.18,8.41,7.75,8.02,6.8837,62169
2009-02-04,7.98,8.45,7.62,8.03,6.8922,95915
2009-02-05,8.13,8.72,8.13,8.24,7.0729,55350
2009-02-06,8.2,8.77,8.2,8.73,7.4932,69859
2009-02-09,8.65,8.82,8.31,8.46,7.2616,51465
2009-02-10,8.35,8.61,7.75,7.93,6.8066,103539
2009-02-11,7.97,8.28,7.9,8.02,6.8837,44718
2009-02-12,7.82,8.47,7.82,8.31,7.1321,46377
2009-02-13,8.35,8.53,8.01,8.41,7.2187,163489
2009-02-17,7.92,8.28,7.9,7.9,6.7806,45847
2009-02-18,7.99,8.14,7.85,7.93,6.8066,25881
2009-02-19,8.06,8.06,7.89,7.9,6.7806,36481
2009-02-20,7.71,8,7.58,7.85,6.7378,85185
2009-02-23,7.94,8.13,7.52,7.56,6.4888,71215
2009-02-24,7.71,8.25,7.56,8.17,7.0124,82017
2009-02-25,8.09,8.58,7.78,8,6.8666,74020
2009-02-26,8.14,8.14,7.9,7.93,6.8066,52502
2009-02-27,7.71,8.1,7.56,7.89,6.7721,61362
2009-03-02,7.66,8.01,7.5,7.54,6.4717,50532
2009-03-03,7.73,7.83,6.54,6.57,5.6396,79671
2009-03-04,6.74,6.83,5.88,6.56,5.6306,61404
2009-03-05,6.32,6.48,6.12,6.13,5.2613,66041
2009-03-06,6.23,7.12,6.09,7.05,6.0508,92983
2009-03-09,6.91,7.035,6.43,6.49,5.5703,48126
2009-03-10,6.73,6.92,6.5,6.84,5.871,75335
2009-03-11,6.93,7.27,6.69,7.11,6.1025,66610
2009-03-12,7.03,7.75,6.824,7.7,6.609,92650
2009-03-13,7.89,7.89,7,7.48,6.4198,61564
2009-03-16,7.58,8.0736,7.27,7.4,6.3517,64923
2009-03-17,7.41,8.19,7.2,8.19,7.0299,77418
2009-03-18,8.15,8.55,7.88,8.15,6.9951,97789
2009-03-19,8.32,8.48,7.32,7.95,6.8238,42639
2009-03-20,8.09,8.21,7.32,7.32,6.2831,99671
2009-03-23,7.66,8.5,7.55,8.48,7.2783,123783
2009-03-24,8.25,8.5,7.23,7.28,6.2487,66541
2009-03-25,7.4,8.13,6.65,7.3,6.2657,77959
2009-03-26,7.49,8.23,7.46,8.18,7.0214,100940
2009-03-27,7.91,7.91,7.08,7.09,6.0856,67144
2009-03-30,6.82,7.17,6.48,6.85,5.8796,128530
2009-03-31,7.01,8.15,6.9,7.64,6.5573,98597
2009-04-01,7.41,7.79,7.18,7.74,6.6435,91026
2009-04-02,8.04,8.5,7.8338,8.24,7.0729,92918
2009-04-03,8.23,8.4,7.89,8.39,7.2012,43730
2009-04-06,8.24,8.55,7.79,8.41,7.2187,79568
2009-04-07,8.19,8.55,8.16,8.22,7.0554,94130
2009-04-08,8.3,8.65,8.3,8.64,7.4159,56028
2009-04-09,8.7,9.02,8.55,8.95,7.6822,117386
2009-04-13,8.74,9.56,8.74,9.56,8.2056,46498
2009-04-14,9.29,9.41,8.61,8.65,7.4244,64303
2009-04-15,8.58,9.66,8.58,9.66,8.2913,110164
2009-04-16,8.98,9.86,8.6,9.84,8.446,155564
2009-04-17,9.88,9.88,9.26,9.38,8.0507,140448
2009-04-20,9.01,9.01,8.6,8.64,7.4159,81276
2009-04-21,8.4,9.4395,8.36,9.36,8.034,60859
2009-04-22,9.09,9.44,8.54,9.13,7.8367,64438
2009-04-23,9.12,9.29,8.55,8.94,7.6729,66383
2009-04-24,9.06,9.67,8.6329,9.34,8.0168,90674
