Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,30.4,32.84,30.4,32.51,9.3623,278486
2009-01-05,32.63,35.18,32.63,33.43,9.6273,695421
2009-01-06,33.85,34.98,33.83,34.52,9.9412,453466
2009-01-07,33.81,34.603,33.35,33.41,9.6215,379097
2009-01-08,33.54,33.54,32.1,32.93,9.4835,416023
2009-01-09,32.57,33.2,32.21,32.92,9.4805,320121
2009-01-12,32.92,33.17,31.64,32.09,9.2415,224485
2009-01-13,31.75,32.9,31.66,32.69,9.4142,300997
2009-01-14,32.57,32.78,32.02,32.42,9.3365,212327
2009-01-15,32.7,32.79,30.6641,31.95,9.2012,484831
2009-01-16,32.13,32.7225,31.5,31.92,9.1925,349702
2009-01-20,31.96,32.43,31.15,31.39,9.0398,370781
2009-01-21,31.3,33.29,31.3,33.09,9.5294,364797
2009-01-22,32.51,33.17,31.97,32.75,9.4315,231557
2009-01-23,32.11,33.1,32.05,32.76,9.4344,451559
2009-01-26,33.1,34.21,33,33.97,9.7829,233875
2009-01-27,33.81,34.43,33.75,34.32,9.8836,230750
2009-01-28,35.14,35.45,34.67,35.11,10.1111,254337
2009-01-29,35.1,35.36,34.42,34.8,10.0219,469332
2009-01-30,35,35.1,34.41,34.68,9.9874,313661
2009-02-02,34.5,34.58,33.75,34.24,9.8605,431691
2009-02-03,33.9,35.6,32.57,35.32,10.1717,476501
2009-02-04,34.94,34.94,33.47,33.77,9.9247,324096
2009-02-05,34.15,34.45,33.631,34.15,10.0364,465164
2009-02-06,34.14,34.92,33.95,34.58,10.1628,281082
2009-02-09,34.87,35,34.14,34.78,10.2215,420401
2009-02-10,35,35.37,33.5,33.65,9.8897,385384
2009-02-11,33.55,34.56,33.55,33.88,9.9571,263939
2009-02-12,33.88,35.2,33.52,35.2,10.3451,262720
2009-02-13,34.78,36,34.78,35.49,10.4302,275079
2009-02-17,34.9,35.74,34.35,34.58,10.1628,238771
2009-02-18,34.99,34.99,33.96,34.08,10.0157,266815
2009-02-19,34.18,34.754,32.6,32.78,9.634,385425
2009-02-20,32.5,32.51,30.55,31.26,9.1871,463325
2009-02-23,31.38,31.71,29.29,29.46,8.6582,492748
2009-02-24,29.5,30.48,28.22,30.23,8.8844,401516
2009-02-25,30.36,31.11,29.56,30.75,9.0372,283628
2009-02-26,31.55,32.02,31.06,31.18,9.1636,370487
2009-02-27,31.54,32.49,30.33,31.8,9.3458,305813
2009-03-02,31.35,31.4399,29.05,29.65,8.7139,427266
2009-03-03,29.78,30.11,28.37,28.97,8.5142,481168
2009-03-04,28.25,28.25,26.59,27.5,8.0819,2826315
2009-03-05,27.25,28.2,26.55,26.81,7.8793,942101
2009-03-06,26.89,27.52,25.3588,26.35,7.7441,541143
2009-03-09,25.86,26.85,25.48,25.8,7.5826,598030
2009-03-10,26.22,27.48,25.82,26.97,7.9264,652479
2009-03-11,27.63,27.91,26.98,27.62,8.1173,733908
2009-03-12,27.39,30.72,27.33,30.3,8.9049,663777
2009-03-13,30.5,31,29,29.44,8.6522,554775
2009-03-16,29.78,31.06,29.72,30.22,8.8814,306753
2009-03-17,30.63,31.2,29.54,30.07,8.8373,455434
2009-03-18,30.32,30.81,29.32,30.51,8.9667,332747
2009-03-19,32.27,32.27,30.7025,31.13,9.149,396313
2009-03-20,31.45,31.45,29.33,29.39,8.6374,736432
2009-03-23,30.39,30.55,29.93,30.55,8.9784,394901
2009-03-24,30.8,31.24,30.11,30.73,9.0313,642756
2009-03-25,31.62,31.62,29.8,30.18,8.8698,539381
2009-03-26,31.27,31.27,29.79,30.14,8.8579,427506
2009-03-27,30.15,30.15,29.23,29.47,8.661,350255
2009-03-30,29,29.06,28.52,28.8,8.464,364136
2009-03-31,29.01,30.27,28.75,29.37,8.6317,329209
2009-04-01,29.4,30.2875,28.93,30.02,8.8227,228963
2009-04-02,30.69,30.8696,29.59,29.82,8.7639,479224
2009-04-03,30.4,30.4,29.22,30,8.8168,247463
2009-04-06,29.76,29.97,29.21,29.61,8.7021,371764
2009-04-07,29.43,30.168,29.03,29.88,8.7814,256506
2009-04-08,29.79,30.35,29.5,30.15,8.8607,316496
2009-04-09,30.5,31,30.29,30.89,9.0784,425257
2009-04-13,30.75,31,30.3,30.8,9.0519,403828
2009-04-14,30.85,31.29,30.31,31.2,9.1696,619147
2009-04-15,31.83,32,30.61,31.16,9.1577,379552
2009-04-16,32.55,32.55,30.9,31.73,9.3251,456794
2009-04-17,31.98,32.6,31.62,32.47,9.5427,385387
2009-04-20,32.9,33.15,31.34,31.44,9.2399,350821
2009-04-21,31.15,31.88,31,31.61,9.2899,313472
2009-04-22,31.61,31.82,31.11,31.15,9.1547,202445
2009-04-23,31.37,31.66,30.99,31.25,9.1842,254492
2009-04-24,31.4,31.8674,31,31.45,9.243,261022
2009-04-27,31.5,32.59,31.25,32.28,9.4868,495769
2009-04-28,33.01,34.5,32.18,33.35,9.8013,311750
2009-04-29,34,35.66,33.39,34.85,10.242,607058
2009-04-30,35.35,35.35,33.33,33.4,9.8161,439282
2009-05-01,33.11,33.51,32.37,32.92,9.885,349502
2009-05-04,33.93,33.93,32.9101,33.23,9.9782,443229
2009-05-05,33.92,33.92,32.8601,32.99,9.9061,280314
2009-05-06,32.25,32.47,31.2901,32.3,9.6989,625272
2009-05-07,32.59,32.87,31.4,31.9,9.5789,377758
2009-05-08,32.31,33.34,31.9,32.9,9.8791,301597
2009-05-11,32.85,33,31.79,32.64,9.801,293165
2009-05-12,32.85,33.35,31.5216,32.2,9.6688,261067
2009-05-13,32.04,32.55,31.51,31.6,9.4888,247084
2009-05-14,32.02,32.14,31.31,32.07,9.6299,212157
2009-05-15,32.99,32.99,31.97,32.43,9.738,146946
2009-05-18,32.95,33.4,32.9,33.05,9.924,155291
2009-05-19,33.4,33.4,32.87,33.08,9.9332,197190
2009-05-20,33.5,34.18,33.21,33.67,10.1104,258804
2009-05-21,33.91,33.97,33.03,33.21,9.9721,159570
2009-05-22,33.25,33.73,33,33.39,10.0261,209177
2009-05-26,33.48,34.34,33.48,33.9,10.1794,230901
2009-05-27,34.3,34.3,33.4,33.71,10.1223,208831
2009-05-28,33.93,34.326,33.78,34.06,10.2275,174540
2009-05-29,34.35,34.95,34.1975,34.95,10.4946,241076
2009-06-01,34.99,35.9,34.71,35.76,10.7379,386979
2009-06-02,36,36.55,35.1,36.52,10.966,313241
2009-06-03,36.14,36.235,34.49,35.19,10.5667,327429
2009-06-04,35.6,35.6,34.74,35.47,10.6508,168330
2009-06-05,35.4,36.39,34.8,36.27,10.8909,226496
2009-06-08,36.5,36.75,35.35,35.6,10.6898,174384
2009-06-09,35.75,35.75,34.92,35.2,10.5698,193264
2009-06-10,35.15,36,34.34,34.76,10.4375,118000
2009-06-11,34.66,35,34.38,34.71,10.4226,155351
2009-06-12,34.6,35.26,34.3573,35.26,10.5878,123730
2009-06-15,35,35.15,34.41,34.45,10.3447,160624
2009-06-16,35,35.2,33.6,33.68,10.1132,175318
2009-06-17,33.45,33.45,32.46,33.25,9.9841,219577
2009-06-18,33.26,33.49,33,33.39,10.0261,162685
2009-06-19,33.45,33.68,33.03,33.5,10.0593,159149
