Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,24.07,24.35,23.44,24.21,18.0529,217217
2009-01-05,24.11,24.45,23.45,23.99,17.889,165401
2009-01-06,24.13,24.26,23.63,23.89,17.814,171872
2009-01-07,23.44,23.74,22.85,23.27,17.3516,172632
2009-01-08,22.92,23.27,22.29,22.5,16.7777,235140
2009-01-09,22.41,22.5,21.45,21.53,16.0541,175792
2009-01-12,21.22,21.42,20.63,20.82,15.5253,227076
2009-01-13,20.83,21.22,20.26,20.83,15.5325,302280
2009-01-14,20.67,20.82,19.93,20.39,15.2042,200337
2009-01-15,20.47,20.71,19.29,20.25,15.1002,264719
2009-01-16,20.55,20.8,19.91,20.64,15.3908,242283
2009-01-20,20.73,20.73,19.44,19.52,14.5555,224575
2009-01-21,19.7,20.79,19.4,20.65,15.3979,170468
2009-01-22,19.9,20.22,19.12,19.8,14.7644,172094
2009-01-23,19.29,20.2,19,19.8,14.7644,229428
2009-01-26,19.67,20.52,19.42,19.88,14.824,120944
2009-01-27,19.88,20.38,19.66,20.15,15.0254,185266
2009-01-28,20.39,21.29,20.22,21.21,15.8158,242477
2009-01-29,20.96,20.99,20.12,20.25,15.1002,147512
2009-01-30,20.41,20.55,19.41,19.62,14.63,180468
2009-02-02,19.21,20.04,19.03,19.85,14.8018,231294
2009-02-03,20,20.2,19.4,19.97,14.8912,136285
2009-02-04,19.92,20.635,19.76,19.98,14.8983,186056
2009-02-05,19.95,20.83,19.82,20.36,15.182,330867
2009-02-06,20.25,21.46,20.19,20.84,15.5398,246652
2009-02-09,20.77,20.8,19.99,20.16,15.0326,186310
2009-02-10,20.06,21.06,19.51,19.51,14.5483,213910
2009-02-11,19.59,20.06,19.5,19.86,14.9939,154065
2009-02-12,19.7,19.84,19.05,19.76,14.9183,134836
2009-02-13,19.9,20.43,19.65,19.88,15.0087,126419
2009-02-17,19.5,19.5,18.98,19,14.3443,161271
2009-02-18,19.06,19.23,18.46,18.87,14.2463,179694
2009-02-19,18.95,19.11,18.12,18.14,13.6951,241369
2009-02-20,17.85,19.14,17.85,18.77,14.1709,267663
2009-02-23,18.81,19.03,17.79,17.83,13.461,146840
2009-02-24,18.1,18.62,17.87,18.43,13.914,224339
2009-02-25,18.37,18.37,16.67,17.15,12.9476,315377
2009-02-26,17.41,19.06,17.22,18.31,13.8235,378904
2009-02-27,18,19.16,17.63,18.25,13.7781,407351
2009-03-02,17.66,17.73,16.52,16.66,12.5775,512366
2009-03-03,16.73,16.91,15.9001,16.19,12.2229,346279
2009-03-04,16.35,17.32,15.82,16.99,12.8271,330219
2009-03-05,16.84,16.95,16.17,16.34,12.3362,284130
2009-03-06,16.5,16.96,16.05,16.55,12.4947,292050
2009-03-09,16.21,16.88,15.84,15.97,12.0568,232453
2009-03-10,16.39,16.86,16.25,16.57,12.5098,427456
2009-03-11,16.62,16.89,16.19,16.57,12.5098,281469
2009-03-12,16.43,17.32,16.03,17.12,12.9249,468774
2009-03-13,17.21,17.92,17,17.79,13.4311,198546
2009-03-16,18,18.72,17.74,17.99,13.5819,179996
2009-03-17,17.92,18.83,17.83,18.83,14.2158,182871
2009-03-18,18.71,19.68,18.5,19.44,14.6765,215295
2009-03-19,19.56,19.76,19,19.13,14.4423,172162
2009-03-20,19.16,19.69,18.9,18.9,14.2689,296884
2009-03-23,19.3,20.56,19.03,20.56,15.5223,282531
2009-03-24,20.26,20.51,19.41,19.41,14.6537,352898
2009-03-25,19.63,20.74,19.4,20.19,15.2431,263250
2009-03-26,20.66,21.22,20.16,21.21,16.0126,223596
2009-03-27,20.83,20.97,20.26,20.33,15.3485,185013
2009-03-30,19.92,20.29,19.09,19.3,14.5707,245559
2009-03-31,19.56,20.6,19.21,20.02,15.1146,199576
2009-04-01,19.59,20.17,19.18,20.06,15.1445,166201
2009-04-02,20.39,22.09,20.25,21.79,16.4507,281472
2009-04-03,21.69,21.83,21.1,21.63,16.33,371124
2009-04-06,21.44,21.8,21.215,21.52,16.2467,309330
2009-04-07,21.25,21.84,21.08,21.1,15.9294,331722
2009-04-08,21.34,22.12,21.2,21.69,16.3748,458880
2009-04-09,22.26,23.71,21.95,23.52,17.7566,560976
2009-04-13,23.16,23.16,22.27,22.58,17.0471,315785
2009-04-14,22.2,22.64,21.94,22.27,16.813,141607
2009-04-15,22.06,23.08,22.06,23.01,17.3716,135140
2009-04-16,23,23.57,22.78,23.39,17.6585,147802
2009-04-17,23.46,24.06,23.37,23.97,18.0964,121259
2009-04-20,23.42,23.66,22.72,22.94,17.3188,284815
2009-04-21,22.92,24.35,22.92,24.14,18.2248,188209
2009-04-22,23.84,24.8,23.84,24.05,18.1566,223344
2009-04-23,24.18,24.32,23.31,23.64,17.8472,239265
2009-04-24,23.82,24.82,23.54,24.59,18.5646,193258
2009-04-27,24.15,24.91,24.02,24.41,18.4287,267303
2009-04-28,24.12,25.34,24.12,24.8,18.7231,150806
2009-04-29,25.11,26,24.7,25.36,19.146,268356
2009-04-30,25.48,26,24.65,24.65,18.6098,233968
2009-05-01,24.4,24.55,23.32,23.6,17.8172,239177
2009-05-04,23.88,24.15,23.37,23.98,18.1041,422600
2009-05-05,23.85,24.13,22.99,23.25,17.5532,169908
2009-05-06,23.38,23.795,22.85,23.22,17.5306,415421
2009-05-07,23.53,23.83,22.69,22.9,17.2887,343974
2009-05-08,23.28,23.52,22.85,23.34,17.6209,226261
2009-05-11,22.94,22.98,22.43,22.64,17.0923,124944
2009-05-12,22.71,22.97,22.27,22.67,17.1154,137086
2009-05-13,22.44,22.45,21.54,21.61,16.3146,151026
2009-05-14,21.71,22.27,21.68,21.94,16.5642,112067
2009-05-15,21.88,22.03,21.54,21.71,16.3901,165581
2009-05-18,22.05,22.48,21.66,22.43,16.9337,95993
2009-05-19,22.25,22.82,22.25,22.48,16.9717,140535
2009-05-20,22.58,23,22.15,22.21,16.9487,158548
2009-05-21,21.83,22.12,21.38,21.71,16.5672,137787
2009-05-22,21.77,21.9484,21.38,21.41,16.3381,91686
2009-05-26,21.2,23.116,21.09,23.03,17.5744,386096
2009-05-27,23.01,23.32,22.49,22.94,17.5055,212352
2009-05-28,23.37,23.41,22.47,23.24,17.7347,191806
2009-05-29,23.17,23.48,22.96,23.42,17.8722,196216
2009-06-01,23.88,24.15,23.85,24.11,18.3985,298476
2009-06-02,24.05,24.55,23.78,24.4,18.62,207064
2009-06-03,24.25,24.41,23.67,24.03,18.3376,121024
2009-06-04,23.86,24.26,23.72,24.25,18.5054,93971
2009-06-05,24.25,24.44,23.93,24.28,18.5286,117568
2009-06-08,24.29,24.65,23.83,24.37,18.5971,138126
2009-06-09,24.36,24.56,24.19,24.29,18.5358,121094
2009-06-10,24.45,24.62,23.31,23.77,18.139,144021
2009-06-11,23.84,24.55,23.84,24.26,18.5131,130010
2009-06-12,24.06,24.29,23.84,24.28,18.5286,72652
2009-06-15,24.04,24.04,22.99,23.46,17.9022,122485
2009-06-16,23.68,24.08,23.04,23.13,17.6508,100227
2009-06-17,23.22,23.95,23,23.55,17.9715,122867
2009-06-18,23.51,23.56,23.15,23.39,17.8491,65961
2009-06-19,23.6,24,23.38,23.38,17.8417,187807
2009-06-22,23.16,23.21,22.415,22.92,17.4905,169339
2009-06-23,22.96,23,22.17,22.31,17.0251,93389
2009-06-24,22.37,23.07,22.21,22.63,17.2691,95070
2009-06-25,22.45,23.19,22.3,23.06,17.5976,132207
2009-06-26,22.99,23.08,22.52,22.69,17.3152,761685
2009-06-29,23.01,24.02,22.67,23.88,18.2231,279540
2009-06-30,23.9,24.14,23.77,24.1,18.391,218183
2009-07-01,24.37,25.02,24.31,24.66,18.8183,204999
2009-07-02,24.25,24.29,23.22,23.53,17.9559,188552
2009-07-06,23.41,23.75,23.09,23.7,18.0857,117417
2009-07-07,23.7,23.79,23.22,23.22,17.7194,70501
2009-07-08,23.24,23.39,22.28,22.66,17.2919,354652
2009-07-09,22.87,22.87,22.04,22.15,16.9029,148185
2009-07-10,21.95,22.21,21.79,22.04,16.8191,103641
2009-07-13,22.16,22.72,21.75,22.66,17.2919,118223
2009-07-14,22.59,23.16,22.43,23.1,17.6279,136161
2009-07-15,23.25,24.15,22.82,24.03,18.3376,154575
2009-07-16,23.89,24.64,23.89,24.55,18.7342,80888
2009-07-17,24.5,24.6212,23.55,23.72,18.1009,180936
2009-07-20,23.94,24.13,23.4,24.03,18.3376,102307
2009-07-21,24.26,24.27,23.4,23.72,18.1009,130895
2009-07-22,23.67,24.62,23.54,24.31,18.5511,97346
2009-07-23,24.23,25.52,23.99,25.22,19.2457,148454
2009-07-24,24.99,25.86,24.82,25.85,19.7264,119636
2009-07-27,25.72,25.89,25.32,25.39,19.3754,68104
2009-07-28,25.74,27.85,25.17,27.61,21.0692,394942
2009-07-29,27.57,28.61,27.45,28.43,21.6954,235566
2009-07-30,28.72,29.26,28.35,28.62,21.8406,163808
2009-07-31,28.66,29.26,28.08,28.09,21.4356,163215
2009-08-03,28.23,28.76,28.05,28.7,21.9012,106924
2009-08-04,28.63,29.55,28.5,29.54,22.5422,242968
2009-08-05,29.59,29.59,28.57,28.69,21.8934,102188
2009-08-06,28.88,29.05,28.22,28.4,21.6725,125891
2009-08-07,28.91,29.6,28.72,28.98,22.1148,93229
2009-08-10,28.73,29.03,28.26,28.56,21.7946,68404
2009-08-11,28.56,28.81,27.82,27.87,21.2677,70913
2009-08-12,27.74,29.07,27.74,28.59,21.8179,107807
2009-08-13,28.6,28.89,28.23,28.34,21.6268,98714
2009-08-14,28.15,28.17,26.44,26.98,20.7648,155240
2009-08-17,26.55,26.71,26.26,26.56,20.4414,69532
2009-08-18,26.73,27.23,26.5,26.96,20.7492,66619
2009-08-19,26.63,27.28,26.54,27.26,20.9799,61439
2009-08-20,27.15,27.5,27,27.4,21.0879,53518
2009-08-21,27.7,28.39,27.38,28.23,21.7264,118099
2009-08-24,28.25,28.41,27.73,27.87,21.4497,58906
2009-08-25,28.09,28.2,27.86,27.98,21.5337,133355
2009-08-26,27.98,28.33,27.56,27.81,21.4031,67855
2009-08-27,27.81,27.86,27,27.72,21.3342,49856
2009-08-28,27.88,27.88,26.38,26.83,20.6491,108836
2009-08-31,26.57,26.8,26.26,26.73,20.5722,111529
2009-09-01,26.58,27.54,26.52,26.86,20.6723,214029
2009-09-02,26.73,26.84,26.42,26.44,20.3488,245361
2009-09-03,26.45,26.7,25.95,26.46,20.3641,134368
2009-09-04,26.5,27.09,26.12,27.05,20.8186,104156
2009-09-08,27.19,27.25,26.54,26.97,20.7566,107654
2009-09-09,27.04,27.7399,26.77,27.51,21.1723,87253
2009-09-10,27.51,27.58,27.09,27.54,21.1953,120240
2009-09-11,27.31,27.52,26.91,27.14,20.8877,111121
2009-09-14,27.01,27.38,26.81,27.37,21.0647,105610
2009-09-15,27.3,27.95,27.2,27.65,21.2803,152481
2009-09-16,27.64,28.17,27.38,28.16,21.6728,98473
2009-09-17,28,28.51,27.88,28.19,21.6959,135321
2009-09-18,28.2,28.2,27.52,27.57,21.2187,214272
2009-09-21,27.43,27.85,27.13,27.74,21.3494,53095
2009-09-22,27.84,27.98,27.47,27.61,21.2497,56589
2009-09-23,27.59,28.09,27.5,27.59,21.234,58404
2009-09-24,27.69,27.79,26.9,27.15,20.8951,55958
2009-09-25,27.03,27.17,26.58,26.87,20.6799,36283
2009-09-28,26.91,28.09,26.91,27.8,21.3956,67171
2009-09-29,27.92,28.24,27.47,27.81,21.4031,66987
2009-09-30,27.83,27.83,26.9,27.51,21.1723,91306
2009-10-01,27.47,27.49,26.06,26.09,20.0799,109641
2009-10-02,25.9,26.23,25.6,25.82,19.8717,55610
2009-10-05,25.82,26.22,25.52,26.22,20.1794,97567
2009-10-06,26.34,26.67,25.946,26.5,20.3953,130315
2009-10-07,26.47,26.6,25.92,26.59,20.4643,87951
2009-10-08,26.67,27.4,26.46,27.07,20.8337,160929
2009-10-09,27.08,27.23,26.9,27.16,20.9029,37791
2009-10-12,27.17,27.53,26.6,26.8,20.626,48315
2009-10-13,26.8,26.8,26.26,26.5,20.3953,56698
2009-10-14,26.94,26.95,26.03,26.81,20.6338,141104
2009-10-15,26.5,26.648,26.42,26.53,20.4182,72984
2009-10-16,26.33,26.33,25.94,26.07,20.0641,90859
2009-10-19,26.18,26.57,25.84,26.44,20.3488,87061
2009-10-20,26.4,26.41,25.21,25.54,19.6564,111356
2009-10-21,25.51,26.6,25.455,25.81,19.8643,215353
2009-10-22,25.78,26.94,25.41,26.88,20.6876,136999
2009-10-23,26.88,26.88,25.9,26.27,20.2182,88128
2009-10-26,26.21,27.29,26.21,26.74,20.5799,174016
2009-10-27,26.78,27.45,26.65,27.1,20.8566,108171
2009-10-28,27.14,27.27,26.23,26.25,20.2029,201718
2009-10-29,25.37,26.54,24.9,26.33,20.2639,255597
2009-10-30,26.2,26.2,25.17,25.49,19.6182,220563
2009-11-02,25.53,25.76,24.19,24.56,18.9018,457583
2009-11-03,24.36,24.99,24.23,24.92,19.1791,165593
2009-11-04,25.1,25.1,23.62,23.71,18.2481,313759
2009-11-05,23.9,24.855,23.79,24.64,18.9636,162021
2009-11-06,24.33,24.89,24.33,24.81,19.0942,96027
2009-11-09,24.9,25.21,24.84,25.21,19.4026,78033
2009-11-10,25.03,25.26,24.61,24.85,19.1253,80969
2009-11-11,25.02,25.58,25.02,25.54,19.6564,125082
2009-11-12,25.6,25.89,24.83,24.89,19.1562,69041
2009-11-13,25.06,25.96,24.97,25.84,19.887,195942
2009-11-16,25.96,27.27,25.93,26.84,20.8432,189481
2009-11-17,26.72,27.04,26.68,26.76,20.7811,80540
2009-11-18,26.84,26.84,26.27,26.5,20.5792,53582
2009-11-19,26.27,26.37,25.45,26.01,20.1982,108115
2009-11-20,25.74,26.0599,25.38,25.62,19.896,66915
2009-11-23,26.05,27.13,26.05,26.35,20.4627,73807
2009-11-24,26.41,26.48,25.7,26.25,20.3851,76022
2009-11-25,26.39,26.39,25.8,25.89,20.1055,38555
2009-11-27,25.02,25.34,24.79,25,19.4142,81727
2009-11-30,25,25,23.87,24.74,19.2125,213732
2009-12-01,24.9,25.68,24.9,25.33,19.6706,189736
2009-12-02,25.23,26.4,25.23,26.12,20.2843,79260
2009-12-03,26.21,26.79,25.92,25.97,20.1678,66671
2009-12-04,26.3,27.35,26.23,26.65,20.6959,113072
2009-12-07,26.65,27.28,26.65,26.98,20.9519,63227
2009-12-08,26.68,26.84,26.3,26.33,20.4472,50501
2009-12-09,26.22,26.29,25.72,25.99,20.1832,94990
2009-12-10,26.16,26.46,25.99,26.46,20.5482,201272
2009-12-11,26.68,26.71,25.9,26.43,20.5248,56839
2009-12-14,26.62,26.69,26.13,26.68,20.719,63592
2009-12-15,26.55,27.07,26.3,26.53,20.6025,75990
2009-12-16,26.54,26.81,26.32,26.53,20.6025,53791
2009-12-17,26.44,26.48,25.61,26.07,20.2451,53463
2009-12-18,26.44,26.96,26.14,26.52,20.5946,298107
2009-12-21,26.52,27.33,26.52,26.85,20.8509,78266
2009-12-22,26.84,27.075,26.65,26.93,20.9131,37123
2009-12-23,27,27.79,26.8925,27.68,21.4954,71486
2009-12-24,27.7,27.85,27.6,27.85,21.6278,23590
2009-12-28,27.99,27.99,27.1,27.22,21.1383,76457
2009-12-29,27.31,27.56,27.07,27.11,21.053,42454
2009-12-30,26.75,27.24,26.74,27.06,21.0141,64829
2009-12-31,27.05,27.53,26.53,26.53,20.6025,91486
2010-01-04,26.88,27.26,26.49,27.03,20.9908,105877
2010-01-05,26.92,26.98,26.54,26.77,20.789,83643
2010-01-06,26.69,26.86,26.49,26.64,20.688,71738
2010-01-07,26.51,26.83,26.22,26.78,20.7965,40121
2010-01-08,26.63,26.91,26.63,26.83,20.8355,64629
2010-01-11,26.85,27,26.28,26.59,20.649,52843
2010-01-12,26.33,26.56,26.08,26.29,20.4161,44611
2010-01-13,26.45,26.77,26.14,26.69,20.7265,37897
2010-01-14,26.53,26.73,26.2819,26.67,20.7116,52828
2010-01-15,26.68,26.74,25.51,26.07,20.2451,105991
2010-01-19,26.04,26.91,26.04,26.9,20.89,68974
2010-01-20,26.61,26.67,25.54,26.31,20.4315,64366
2010-01-21,26.31,26.38,25.26,25.65,19.919,83761
2010-01-22,25.72,26.02,25,25.04,19.4456,77442
2010-01-25,25.03,25.36,24.77,25.14,19.5231,63372
2010-01-26,25.03,25.06,24.58,24.63,19.1272,52273
2010-01-27,24.57,25.22,24.28,25.09,19.484,68627
2010-01-28,25.08,25.08,23.98,24.09,18.7073,108938
2010-01-29,24.16,24.52,23.74,24.09,18.7073,241640
2010-02-01,24.08,24.22,23.66,23.91,18.5676,61375
2010-02-02,23.9,24.19,23.64,23.94,18.5907,100761
2010-02-03,23.82,24.12,23.54,23.87,18.5368,102497
2010-02-04,23.74,23.88,23.18,23.28,18.0787,110641
2010-02-05,23.27,23.49,22.7901,23.44,18.2027,130802
2010-02-08,23.42,23.51,23.07,23.13,17.9622,91293
2010-02-09,23.47,23.54,23.09,23.34,18.1253,80270
2010-02-10,23.33,23.47,22.938,23.4,18.1721,94453
