Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,17.92,18.81,17.44,18.65,17.5047,344035
2009-01-05,18.5,18.5,16.6,16.62,15.5993,537570
2009-01-06,16.98,17.5,16.52,17.46,16.3875,495326
2009-01-07,17.06,17.56,16.65,17.5,16.4253,819503
2009-01-08,17.54,18.71,17.19,18.43,17.2981,1173001
2009-01-09,17.4,18.39,15.45,16.62,15.5993,2360243
2009-01-12,15.92,16.35,15.45,15.62,14.6608,785187
2009-01-13,15.16,16.6,15.16,16.21,15.2145,1183076
2009-01-14,16.21,16.61,15.94,16.19,15.1958,858099
2009-01-15,16.24,17.05,16.06,16.74,15.712,573578
2009-01-16,16.92,17.19,16.42,16.98,15.9371,522328
2009-01-20,16.81,17.24,16.26,16.33,15.3273,777523
2009-01-21,16.44,17.7,16.19,17.68,16.5943,783787
2009-01-22,17.04,17.51,16.59,16.77,15.7403,393809
2009-01-23,16.48,16.82,16.23,16.75,15.7216,353005
2009-01-26,16.97,17.66,16.74,17.23,16.1721,263466
2009-01-27,17.09,17.48,16.81,17.22,16.1626,417433
2009-01-28,17.59,18.45,17.31,18.44,17.3078,436468
2009-01-29,18.19,18.38,17.45,17.49,16.4158,446827
2009-01-30,17.4,17.78,17.06,17.36,16.2939,314207
2009-02-02,17.45,18.23,16.86,18.18,17.0636,272123
2009-02-03,18.18,18.2,17.27,17.57,16.4911,634474
2009-02-04,17.69,17.75,17.11,17.26,16.2,313876
2009-02-05,17.07,18.21,17,18.19,17.0729,393450
2009-02-06,18.09,18.59,16.08,17.1,16.0499,3295648
2009-02-09,17.31,17.91,17.1,17.4,16.3315,843526
2009-02-10,17.36,17.91,17,17,15.9562,596890
2009-02-11,17.22,17.43,17,17.27,16.2094,380732
2009-02-12,17.26,17.86,17,17.69,16.6039,372949
2009-02-13,17.8,18.71,17.8,17.96,16.8573,564798
2009-02-17,17.7,17.7,16.28,16.69,15.665,948711
2009-02-18,16.62,16.85,16.08,16.26,15.2615,560732
2009-02-19,16.15,16.59,16.03,16.15,15.1584,404972
2009-02-20,15.79,16.8,15.79,16.63,15.6089,561531
