Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,19.5328,20.4,19.37,20.33,15.6838,50121849
2009-01-05,20.2,20.67,20.06,20.52,15.8301,61476552
2009-01-06,20.75,21,20.61,20.76,16.015,58085878
2009-01-07,20.19,20.29,19.48,19.51,15.0512,72747158
2009-01-08,19.63,20.19,19.55,20.12,15.5209,70255018
2009-01-09,20.17,20.3,19.41,19.52,15.0586,49828297
2009-01-12,19.71,19.79,19.3,19.47,15.02,52204130
2009-01-13,19.52,19.99,19.52,19.82,15.29,65847793
2009-01-14,19.53,19.68,19.01,19.09,14.727,80341720
2009-01-15,19.07,19.3,18.52,19.24,14.8428,96222222
2009-01-16,19.63,19.91,19.15,19.71,15.2051,79640268
2009-01-20,19.46,19.62,18.37,18.48,14.2563,89891855
2009-01-21,18.87,19.45,18.46,19.38,14.9506,68358085
2009-01-22,18.05,18.18,17.07,17.11,13.1994,222435525
2009-01-23,16.97,17.49,16.75,17.2,13.2687,117020593
2009-01-26,17.29,17.81,17.23,17.63,13.6005,93115480
2009-01-27,17.78,17.97,17.43,17.66,13.6237,61707540
2009-01-28,17.8,18.31,17.76,18.04,13.917,64702531
2009-01-29,17.78,17.96,17.56,17.59,13.5696,49209360
2009-01-30,17.74,17.79,17.1,17.1,13.1919,62386468
2009-02-02,17.03,18.13,17,17.83,13.7547,88882500
2009-02-03,17.85,18.61,17.6,18.5,14.2715,86881249
2009-02-04,18.54,19,18.5,18.63,14.3718,75617853
2009-02-05,18.51,19.14,18.25,19.04,14.6884,75197935
2009-02-06,19.16,19.93,19.06,19.66,15.1664,86745927
2009-02-09,19.64,19.77,19.26,19.44,14.9971,52196149
2009-02-10,19.25,19.8,18.7,18.8,14.5033,83958715
2009-02-11,18.94,19.49,18.92,19.21,14.8197,58599423
2009-02-12,18.97,19.32,18.54,19.26,14.8578,75323479
2009-02-13,19.27,19.47,19.04,19.09,14.727,47419392
2009-02-17,18.49,18.5,17.89,18.09,14.0563,75853206
2009-02-18,18.22,18.45,18,18.12,14.0798,54955158
2009-02-19,18.3,18.38,17.81,17.91,13.9167,49197636
2009-02-20,17.77,18.19,17.66,18,13.9864,69416120
2009-02-23,18.02,18.15,17.16,17.21,13.3727,70803342
2009-02-24,17.03,17.35,16.36,17.17,13.3416,122673954
2009-02-25,17.01,17.24,16.46,16.96,13.1788,105894560
2009-02-26,17.05,17.08,16.42,16.42,12.759,83219416
2009-02-27,16.29,16.52,16.1,16.15,12.549,93434279
2009-03-02,15.96,16.25,15.72,15.79,12.2691,80597104
2009-03-03,16.03,16.24,15.64,15.88,12.3394,80476554
2009-03-04,16.12,16.4,15.89,16.12,12.5257,69290013
2009-03-05,15.86,15.88,15.2675,15.27,11.8652,89704742
2009-03-06,15.35,15.62,14.87,15.28,11.8732,92853699
