Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,17.9891,19.121,17.5849,18.8785,16.0171,3669500
2009-01-05,18.6763,18.8381,17.787,18.1104,15.3654,4884000
2009-01-06,18.6359,19.2019,18.1104,18.7572,15.9142,5692400
2009-01-07,18.3934,18.5955,17.7466,17.9083,15.1939,4797200
2009-01-08,17.504,18.3529,17.4636,18.3125,15.5369,3318800
2009-01-09,18.2721,18.7168,17.5849,18.0296,15.2968,2959700
2009-01-12,18.07,18.4742,17.8274,18.1912,15.434,4282200
2009-01-13,18.2317,18.3125,17.4232,17.4636,14.8166,4607700
2009-01-14,16.9785,17.2211,16.2913,16.6147,14.0964,4915200
2009-01-15,16.9785,18.0296,16.3317,17.9083,15.1939,9008400
2009-01-16,18.1508,19.2019,17.6657,18.3529,15.5712,5987100
2009-01-20,19.4444,19.6061,17.2615,17.4232,14.7823,6779300
2009-01-21,17.7466,18.2317,16.9785,18.2317,15.4683,4703500
2009-01-22,17.4636,18.2317,17.1402,17.9083,15.1939,3822900
2009-01-23,17.5445,18.7976,17.0593,18.5955,15.777,4053700
2009-01-26,18.5955,19.0402,17.787,18.2317,15.4683,2999000
2009-01-27,18.07,19.2827,17.9891,19.0402,16.1543,3388900
2009-01-28,19.3232,20.0104,19.0402,19.9295,16.9088,3347300
2009-01-29,19.6061,19.7678,18.4742,18.8381,15.9828,2799300
2009-01-30,18.9189,18.9998,17.8274,17.9083,15.1939,3955300
2009-02-02,17.6253,18.7572,17.4636,18.3529,15.5712,4783200
2009-02-03,16.6551,17.0593,15.6445,16.3317,13.8563,10722000
2009-02-04,16.17,16.17,14.9977,15.1594,12.8617,10268300
2009-02-05,14.8764,15.4019,13.9062,14.8764,12.6216,11556200
2009-02-06,15.1594,15.9679,14.7956,15.6849,13.3075,7667200
2009-02-09,16.2913,17.0189,16.17,16.7764,14.2336,7687100
2009-02-10,16.8976,16.8976,15.6445,15.7657,13.3761,8888300
2009-02-11,15.9275,16.0891,15.5636,15.7657,13.3761,6524400
2009-02-12,15.7657,15.7657,14.7956,15.6849,13.3075,4952400
2009-02-13,15.5636,16.17,15.3615,15.6445,13.2732,4623500
2009-02-17,14.9168,15.3211,14.6339,14.9572,12.6902,5828000
2009-02-18,15.1189,15.2402,14.3509,14.6743,12.4501,4797200
