Date,Open,High,Low,Close,Adjusted_close,Volume
2015-11-18,12,12,12,12,11.4211,0
2015-11-19,13.5,14.89,12.63,14.74,14.029,26921614
2015-11-20,15.28,16.17,14.37,15.2,14.4668,7389560
2015-11-23,15.96,15.98,14.06,14.37,13.6768,3233534
2015-11-24,14.29,15.1,13.62,14.22,13.534,2253886
2015-11-25,14.05,14.64,14.05,14.41,13.7149,1109916
2015-11-27,14.6,14.8,14.32,14.62,13.9147,507185
2015-11-30,14.93,14.9305,14,14.48,13.7815,1492227
2015-12-01,14.53,14.53,13.9,14.23,13.5436,915357
2015-12-02,14.02,14.1999,14,14.1,13.4198,461838
2015-12-03,13.99,14.12,13,13.05,12.4205,1674764
2015-12-04,13.05,13.26,12.82,13.11,12.4776,1414753
2015-12-07,13.39,13.48,13,13.25,12.6108,663556
2015-12-08,13,13.4,13,13.38,12.7346,629984
2015-12-09,13.3,13.84,13.14,13.55,12.8964,715622
2015-12-10,13.93,14,13.45,13.92,13.2485,1247018
2015-12-11,13.65,13.99,13.53,13.84,13.1724,1020404
2015-12-14,13.52,13.87,13.38,13.63,12.9725,1582890
2015-12-15,13.76,14.5,13.57,14.08,13.4008,1208575
2015-12-16,14.5,14.74,14.205,14.68,13.9718,1351642
2015-12-17,14.83,14.95,14.23,14.28,13.5911,737646
2015-12-18,14.28,14.58,13.96,14.33,13.6387,3261785
2015-12-21,14.42,14.4499,13.48,13.9,13.2295,851868
2015-12-22,13.59,14.18,13.56,13.91,13.239,388415
2015-12-23,14.16,14.16,13.64,14.03,13.3532,636125
2015-12-24,13.97,14.295,13.72,14.09,13.4103,346245
2015-12-28,14.19,14.37,13.55,13.73,13.0677,655092
2015-12-29,13.94,13.97,13.5,13.77,13.1057,772712
2015-12-30,13.81,13.89,13.54,13.6,12.9439,736298
2015-12-31,13.67,13.74,13.52,13.55,12.8964,411306
2016-01-04,13.43,13.49,13.04,13.36,12.7155,1771433
2016-01-05,13.44,13.98,13.36,13.67,13.0106,1307220
2016-01-06,13.6,14.25,13.58,13.92,13.2485,1661583
2016-01-07,13.62,13.911,13.16,13.51,12.8583,1210668
2016-01-08,13.55,13.85,13.55,13.59,12.9344,512197
2016-01-11,13.6,14.13,13.49,13.73,13.0677,597140
2016-01-12,13.84,14.14,13.25,13.56,12.9059,844904
2016-01-13,13.78,13.83,13,13.295,12.6537,972470
2016-01-14,13.49,13.6,12.75,13.06,12.43,1792287
2016-01-15,12.75,13.09,12.13,12.96,12.3348,1589684
2016-01-19,13,13.33,12.11,12.51,11.9065,1457834
2016-01-20,12.21,12.25,11.45,11.95,11.3735,1526663
2016-01-21,12.06,12.2499,11.64,11.94,11.364,600851
2016-01-22,12.46,12.46,11.88,12.22,11.6305,1130506
2016-01-25,12.57,12.77,11.83,11.97,11.3926,546374
2016-01-26,11.99,12.47,11.81,12.14,11.5544,495785
2016-01-27,12.27,12.5,11.83,11.96,11.3831,462224
2016-01-28,11.87,12.61,11.5,12.47,11.8685,1065110
2016-01-29,12.28,12.69,12.11,12.55,11.9446,934978
2016-02-01,12.11,12.95,12.03,12.79,12.173,1062579
2016-02-02,12.72,12.825,12,12.19,11.602,2017304
2016-02-03,9.98,10.82,9.17,10.66,10.1458,6600425
2016-02-04,10.21,10.55,8.75,9.76,9.2892,5495462
2016-02-05,9.78,9.99,9.29,9.3,8.8514,1426001
2016-02-08,9.03,9.75,9,9.19,8.7467,885935
2016-02-09,9,9.26,8.41,9.12,8.6801,1866588
2016-02-10,9.1,9.47,8.84,9.4,8.9466,636059
2016-02-11,9.21,9.95,9.0501,9.7,9.2321,1255085
2016-02-12,9.6,10,9.44,9.82,9.3463,1044865
2016-02-16,10.11,10.5,9.85,10.19,9.6984,1029744
2016-02-17,10.18,10.71,10.06,10.11,9.6223,1216382
2016-02-18,10.18,10.77,9.93,10.44,9.9364,964679
2016-02-19,10.42,10.62,10.17,10.5,9.9935,682695
2016-02-22,10.49,10.73,10.38,10.47,9.9649,801012
2016-02-23,10.26,10.69,10.26,10.35,9.8507,759946
2016-02-24,10.49,10.65,10.115,10.58,10.0696,558567
2016-02-25,10.63,10.75,10.51,10.64,10.1267,374535
2016-02-26,10.65,10.7,10.5,10.61,10.0982,407016
2016-02-29,10.74,11.07,10.56,10.89,10.3647,1029909
2016-03-01,11.06,11.66,10.81,11.39,10.8406,1073267
2016-03-02,11.63,11.97,11.39,11.74,11.1737,923162
2016-03-03,11.81,12.3,11.72,11.97,11.3926,1099689
2016-03-04,12.15,12.18,11.49,11.52,10.9643,619971
2016-03-07,11.55,12,11.5,12,11.4211,955001
2016-03-08,11.93,12.05,11.38,11.53,10.9738,856429
2016-03-09,11.58,11.72,10.81,11.45,10.8977,819651
2016-03-10,11.54,11.71,11.185,11.29,10.7454,405385
2016-03-11,11.43,11.62,11.21,11.43,10.8786,553366
2016-03-14,11.45,11.68,11.18,11.24,10.6978,1053719
2016-03-15,11.14,11.31,10.7401,11.16,10.6216,640386
2016-03-16,11.12,11.38,10.92,11.34,10.793,647498
2016-03-17,11.33,11.48,11.01,11.2,10.6597,1141595
2016-03-18,11.29,11.4,10.48,10.66,10.1458,3545333
2016-03-21,10.69,10.92,10.537,10.9,10.3742,745683
2016-03-22,10.82,11.07,10.57,10.94,10.4123,557245
2016-03-23,10.9,11,10.56,10.72,10.2029,445082
2016-03-24,10.76,11.15,10.64,11.03,10.4979,906561
2016-03-28,11.13,11.18,10.75,10.87,10.3456,546260
2016-03-29,10.82,10.93,10.58,10.86,10.3361,413780
2016-03-30,11,11.22,10.81,10.93,10.4027,738205
2016-03-31,10.94,11.38,10.81,11.06,10.5265,675094
2016-04-01,11.02,11.64,10.84,11.58,11.0214,1630245
