Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,11.48,12.315,11.415,12.28,8.3847,3426749
2009-01-05,12.15,12.17,11.69,11.8,8.057,2452417
2009-01-06,12.01,12.74,11.65,12.68,8.6578,4469300
2009-01-07,12.4,12.44,11.81,12.23,8.3508,2802357
2009-01-08,12.18,12.21,11.92,12.16,8.3029,4387378
2009-01-09,12.31,12.32,11.91,12.15,8.2961,2385363
2009-01-12,12.15,12.23,11.81,12.12,8.2757,3846442
2009-01-13,12.21,12.49,11.99,12.29,8.3913,3830237
2009-01-14,12,12.1,11.76,11.79,8.0502,2903400
2009-01-15,11.77,12.22,11.58,11.84,8.0847,2373473
2009-01-16,11.95,12.33,11.88,12.26,8.3709,4114364
2009-01-20,11.91,12.39,11.38,11.38,7.7701,2262817
2009-01-21,11.52,11.69,11.21,11.69,7.982,2628354
2009-01-22,11.51,12.26,11.25,11.87,8.1047,4929826
2009-01-23,11.67,13.14,11.6,12.94,8.8352,6951632
2009-01-26,12.93,13.86,12.93,13.37,9.129,6725112
2009-01-27,13.31,13.84,13.31,13.66,9.3272,5441828
2009-01-28,13.21,13.66,13.15,13.56,9.2586,6836948
2009-01-29,13.5,13.57,12.78,12.87,8.7877,5720714
2009-01-30,12.6,13.42,12.15,13.23,9.0331,7959529
2009-02-02,13.05,13.23,12.595,12.94,8.8352,5507097
2009-02-03,13.01,13.46,12.77,13.44,9.1765,3614854
2009-02-04,13.44,13.915,13.06,13.23,9.0331,3652900
2009-02-05,12.8,13.71,12.8,13.66,9.3272,6005775
2009-02-06,13.72,14.04,13.47,13.87,9.4703,3709464
2009-02-09,13.89,13.98,13.65,13.78,9.4091,3684718
2009-02-10,13.81,13.87,13.28,13.28,9.0673,4773025
2009-02-11,13.59,13.69,12.97,13.19,9.006,3846646
2009-02-12,13.09,13.46,12.88,13.34,9.1085,4088526
2009-02-13,13.37,13.7,12.99,13.44,9.1765,4092978
2009-02-17,13.07,13.17,12.77,12.82,8.7534,3653289
2009-02-18,12.63,12.81,12.3,12.5,8.6701,3777037
2009-02-19,12.6,12.75,12.08,12.08,8.3788,3407570
2009-02-20,12.18,12.41,12.04,12.23,8.483,3871025
2009-02-23,12.19,12.28,11.88,11.91,8.2609,3337511
2009-02-24,12,12.2,11.94,12.14,8.4206,4362856
2009-02-25,12.12,12.28,11.81,12.01,8.3304,5877078
2009-02-26,12.09,12.25,11.94,12,8.3234,5766304
2009-02-27,12.25,12.4,11.95,12.1,8.3925,3972455
2009-03-02,12.18,12.27,11.325,11.5,7.9766,4639604
2009-03-03,11.65,11.7399,11.01,11.15,7.7338,7542239
2009-03-04,11.23,11.71,11.14,11.48,7.9628,5658795
2009-03-05,11.5,11.69,11.23,11.33,7.8587,3223480
2009-03-06,11.58,11.86,11.31,11.49,7.9694,6310177
2009-03-09,11.53,11.83,11.12,11.12,7.7129,5528945
2009-03-10,11.24,11.83,11.12,11.78,8.171,4582870
2009-03-11,11.8,12.18,11.69,11.87,8.2331,4290334
2009-03-12,11.86,12.45,11.79,12.2,8.4624,6171441
2009-03-13,12.41,12.79,12.06,12.49,8.6633,9653579
2009-03-16,12.9,12.9,12.4,12.46,8.6423,5536703
2009-03-17,12.46,12.83,12.4,12.76,8.8503,4677818
2009-03-18,12.39,13.19,12.32,13.14,9.1143,6633931
2009-03-19,13.2,13.57,13.09,13.56,9.4051,8263367
2009-03-20,13.61,13.86,12.985,13.15,9.1209,7926474
2009-03-23,13.56,13.83,13.18,13.79,9.565,7793500
2009-03-24,13.63,13.79,13.37,13.39,9.2874,3686330
2009-03-25,13.42,13.86,13.16,13.48,9.3499,5126365
2009-03-26,13.57,14.19,13.53,14.11,9.7868,8616767
2009-03-27,13.79,14.03,13.56,13.57,9.4124,5845786
2009-03-30,13.37,13.48,13.14,13.3,9.2251,5331452
2009-03-31,13.34,13.37,12.94,13.21,9.1627,7077311
2009-04-01,13.19,13.71,12.89,13.52,9.3779,16487317
2009-04-02,13.77,13.92,13.415,13.62,9.4472,12475321
2009-04-03,13.36,13.71,13.04,13.57,9.4124,8060246
2009-04-06,13.45,13.55,13.01,13.55,9.3986,7510585
2009-04-07,13.49,13.5,13.11,13.34,9.253,6871765
2009-04-08,13.48,13.54,13.16,13.51,9.3705,6980772
2009-04-09,13.6,14.445,13.6,14.25,9.8842,13766940
2009-04-13,14.01,14.19,13.78,14.11,9.7868,6026935
2009-04-14,14.25,14.46,13.95,14.05,9.7455,9801456
2009-04-15,13.97,14.43,13.85,14.12,9.7937,12952874
2009-04-16,14.36,14.51,14.18,14.42,10.002,9641684
2009-04-17,14.41,14.73,14.05,14.61,10.1341,6983408
2009-04-20,14.14,14.44,13.89,13.96,9.6828,6098609
2009-04-21,13.9,14.12,13.61,13.86,9.6135,8153753
2009-04-22,13.78,14.21,13.53,13.94,9.6688,12170945
2009-04-23,13.7,13.9,13.39,13.84,9.5996,8581842
2009-04-24,13.9,14.27,13.82,14.02,9.7246,7062524
2009-04-27,13.74,14.17,13.4998,13.7,9.5028,5280075
2009-04-28,13.52,13.78,13.36,13.41,9.3013,6553279
2009-04-29,13.5,13.755,13.43,13.47,9.3429,7631167
2009-04-30,13.61,13.86,13.5,13.55,9.3986,11306205
2009-05-01,14.09,14.86,13.76,14.64,10.1544,14330782
2009-05-04,14.85,15.45,14.71,15.31,10.6193,8557687
2009-05-05,15.27,15.27,14.72,14.97,10.3834,4004105
2009-05-06,15.08,15.25,14.47,14.95,10.3695,6261876
2009-05-07,15.01,15.13,14.06,14.33,9.9399,4463738
2009-05-08,14.39,14.4,13.7,14.02,9.7246,5905556
2009-05-11,13.95,14.02,13.71,13.97,9.6898,6478353
2009-05-12,13.85,13.89,13.35,13.58,9.4195,9857342
2009-05-13,13.46,13.76,13.38,13.64,9.4608,7176753
2009-05-14,13.9,14.27,13.68,14.19,9.8423,6422805
2009-05-15,14.2,14.51,13.84,14.06,9.7524,7523917
2009-05-18,14.01,14.41,13.85,14.41,9.9949,4117352
2009-05-19,14.57,15.04,14.36,14.92,10.3486,8842375
2009-05-20,15.2,15.56,14.85,14.96,10.5174,6039310
2009-05-21,14.92,15.31,14.42,14.68,10.3208,5632013
2009-05-22,14.76,15.41,14.68,15.25,10.7216,5505841
2009-05-26,14.66,16.05,14.66,16.05,11.2836,10931821
2009-05-27,15.9,16.01,15.48,15.58,10.9532,6367109
2009-05-28,15.9,16.14,15.43,16.1,11.3189,8085176
2009-05-29,16.12,16.32,15.72,16.23,11.4104,23326160
2009-06-01,16.1,16.76,16.01,16.68,11.7264,7695163
2009-06-02,16.66,16.77,15.97,16.16,11.361,5981124
2009-06-03,16.14,16.19,15.58,15.75,11.0727,6145001
2009-06-04,15.74,16.18,15.69,16.06,11.2908,5413959
2009-06-05,16.05,16.15,15.48,15.67,11.0168,7343135
2009-06-08,15.72,16.24,15.5,16.07,11.2978,5405203
2009-06-09,16.45,16.82,16.35,16.74,11.7688,5689189
2009-06-10,16.7,16.74,16.17,16.54,11.6284,3728081
2009-06-11,16.48,16.94,16.475,16.6,11.6703,3481950
2009-06-12,16.49,16.62,16.26,16.51,11.6072,4515517
2009-06-15,16.42,16.54,15.76,16.31,11.4666,3238844
2009-06-16,16.53,16.53,15.84,15.97,11.2277,4693030
2009-06-17,16.08,16.18,15.6,15.99,11.2418,6520346
2009-06-18,15.96,16.05,15.57,15.76,11.0801,5062256
2009-06-19,15.82,16.17,15.7,16.1,11.3189,4536222
2009-06-22,15.48,15.91,15.35,15.57,10.9465,3984152
2009-06-23,15.5,15.8,15.26,15.7,11.0378,4534077
2009-06-24,15.8,16.2201,15.71,16.14,11.3471,5624567
2009-06-25,16.04,16.72,15.91,16.6,11.6703,8973695
2009-06-26,16.55,16.68,15.61,16.12,11.3328,40232527
2009-06-29,16.13,16.18,15.66,15.8,11.108,5770370
2009-06-30,15.95,16.06,15.54,15.69,11.0303,4547218
2009-07-01,15.98,16.34,15.89,16.09,11.3118,6157398
2009-07-02,15.89,15.9,15.44,15.62,10.9814,5137912
2009-07-06,15.58,15.83,15.36,15.71,11.045,4633184
2009-07-07,15.76,15.97,15.37,15.41,10.8338,4195140
2009-07-08,15.38,15.4597,14.96,15.17,10.6653,4158350
2009-07-09,15.28,15.809,15.21,15.75,11.0727,5232927
2009-07-10,15.75,16.05,15.56,15.89,11.1713,3740368
2009-07-13,16,16.4,15.65,16.28,11.4452,4970121
2009-07-14,16.26,16.53,16.2,16.43,11.5506,4511761
2009-07-15,16.91,17.03,16.69,16.91,11.8883,3838901
2009-07-16,16.81,17.3,16.72,17.25,12.1274,3851086
2009-07-17,17.33,17.41,16.95,17.38,12.2186,3221424
2009-07-20,17.49,17.79,17.16,17.76,12.4858,4905121
2009-07-21,17.77,17.77,16.96,17.23,12.1133,6008090
2009-07-22,17.19,17.81,17.1,17.67,12.4227,5881514
2009-07-23,17.88,18.1,17.57,17.95,12.6194,3992977
2009-07-24,17.7,17.75,17.35,17.68,12.4298,3602916
2009-07-27,17.6,17.88,17.52,17.68,12.4298,2638767
2009-07-28,17.5,17.82,17.485,17.74,12.4718,4181045
2009-07-29,17.67,17.94,17.57,17.82,12.5283,3011023
2009-07-30,18.09,18.5,17.82,17.94,12.6124,4128534
2009-07-31,17.92,18.11,17.67,17.72,12.4578,3217335
2009-08-03,18.03,18.4,17.74,18.34,12.8937,4245778
2009-08-04,18.16,18.25,17.92,18.04,12.6829,3785256
2009-08-05,17.89,18.02,17.35,17.62,12.3875,5084414
2009-08-06,17.6,17.85,17.23,17.26,12.1346,4904802
2009-08-07,17.71,17.89,17,17.3,12.1626,6347457
2009-08-10,17.41,17.7,17.29,17.61,12.3805,5215039
2009-08-11,17.43,17.82,17.35,17.71,12.451,6046387
2009-08-12,17.61,18.63,17.51,18.43,12.9568,7684473
2009-08-13,18.63,19.25,18.39,19.23,13.5195,7338836
2009-08-14,19.18,19.24,18.5,18.71,13.1538,3431878
2009-08-17,18.26,18.42,17.95,18.14,12.753,3991572
2009-08-18,18.15,18.72,18.15,18.64,13.1045,4086475
2009-08-19,18.12,18.6,18.02,18.53,13.1688,4531446
2009-08-20,18.35,18.48,18.09,18.36,13.0474,9695722
2009-08-21,18.54,18.67,18.18,18.55,13.1827,5287296
2009-08-24,18.41,18.69,18.26,18.34,13.0334,2358446
2009-08-25,18.5,18.69,18.28,18.53,13.1688,3386592
2009-08-26,18.45,18.71,18.31,18.45,13.112,2502761
2009-08-27,18.45,18.59,18.06,18.58,13.204,2759550
2009-08-28,18.84,19.18,18.68,19.07,13.5522,3254743
2009-08-31,18.85,19.01,18.5,18.78,13.3463,3344697
2009-09-01,18.81,19.09,18.15,18.29,12.9979,5860335
2009-09-02,18.24,18.45,18.11,18.12,12.8775,2160514
2009-09-03,18.18,18.32,18.05,18.25,12.9695,1784848
2009-09-04,18.21,18.73,18.2,18.7,13.2894,2677909
2009-09-08,18.94,19.26,18.89,19.08,13.5596,4212976
2009-09-09,18.96,19.08,18.7,19.03,13.5239,2306370
2009-09-10,19.08,19.25,18.8801,19.25,13.6798,1722448
2009-09-11,19.21,19.28,18.78,19.01,13.5095,2459699
2009-09-14,18.91,19.11,18.83,19.08,13.5596,2423856
2009-09-15,19,19.35,18.98,19.23,13.6662,2520880
2009-09-16,19.2,19.43,19.06,19.31,13.7227,4336610
2009-09-17,19.01,19.02,18,18.06,12.8346,8158316
2009-09-18,18.26,18.5,18.08,18.4,13.076,5415828
2009-09-21,18.32,18.54,18.11,18.41,13.0833,2832033
2009-09-22,18.58,18.77,18.1,18.14,12.8914,4163617
2009-09-23,18.28,18.58,18.28,18.35,13.0407,3709210
2009-09-24,18.37,18.45,17.82,17.87,12.6994,3447978
2009-09-25,17.79,18.09,17.56,17.96,12.7635,4757765
2009-09-28,17.99,18.46,17.99,18.2,12.9341,1677881
2009-09-29,18.12,18.27,17.575,17.75,12.6143,4649311
2009-09-30,18.01,18.56,17.63,18.14,12.8914,5079176
2009-10-01,18.32,18.32,17.28,17.28,12.2803,8352786
2009-10-02,17.195,17.68,17.09,17.17,12.2024,4279628
2009-10-05,17.32,17.65,16.97,17.58,12.4936,4902240
2009-10-06,17.82,18.18,17.68,18.14,12.8914,4990598
2009-10-07,18.13,18.13,17.79,18,12.792,3875068
2009-10-08,18.02,18.17,17.44,17.59,12.5005,4714029
2009-10-09,17.5,18.19,17.49,18.16,12.9057,3689407
2009-10-12,18.23,18.65,18,18.5,13.1471,3279473
2009-10-13,18.5,18.62,18.39,18.53,13.1688,3608081
2009-10-14,18.81,19.03,18.6,18.89,13.4242,4646435
2009-10-15,18.76,18.96,18.59,18.9,13.4314,7254017
2009-10-16,18.85,18.85,18.3,18.66,13.2611,5547952
2009-10-19,18.78,19.02,18.66,18.91,13.4391,4486313
2009-10-20,19.13,19.13,18.73,18.92,13.4457,3999276
2009-10-21,18.86,19.12,18.66,18.71,13.2965,4466544
2009-10-22,18.66,18.88,18.51,18.78,13.3463,4941751
2009-10-23,18.61,18.74,18.29,18.41,13.0833,3600329
2009-10-26,18.53,19,18.275,18.34,13.0334,4527831
2009-10-27,18.34,18.53,17.92,17.97,12.7706,3947246
2009-10-28,17.91,18.14,17.21,17.21,12.2307,7352998
2009-10-29,17.49,17.9,17.27,17.86,12.6925,5711057
2009-10-30,16.88,17.62,16.65,16.67,11.8466,13866326
2009-11-02,16.74,16.95,16.5,16.75,11.9036,5045341
2009-11-03,16.87,17.2,16.57,17.04,12.1098,5481549
2009-11-04,17.23,17.62,17.05,17.09,12.1454,3983997
2009-11-05,17.37,17.37,16.99,17.29,12.2873,5857482
2009-11-06,17.4,17.66,17.17,17.47,12.4156,3851259
2009-11-09,17.74,18.16,17.68,17.85,12.6853,3611549
2009-11-10,17.85,18.03,17.66,17.85,12.6853,3372452
2009-11-11,18,18.23,17.94,18.1,12.863,6383460
2009-11-12,18.17,18.44,17.73,17.77,12.6287,3020435
2009-11-13,17.85,18.05,17.71,18.02,12.8063,1776678
2009-11-16,18.07,18.49,18.05,18.46,13.1188,2777868
2009-11-17,18.26,18.75,18.26,18.72,13.3035,2586916
2009-11-18,18.4,18.54,18.14,18.23,13.0952,1560837
2009-11-19,17.52,17.6,17,17.56,12.6139,5568825
2009-11-20,17.26,17.47,17.15,17.31,12.4343,2707405
2009-11-23,17.51,17.65,17.37,17.61,12.65,4124057
2009-11-24,17.61,18.05,17.61,18.02,12.9445,3326698
2009-11-25,17.97,18.13,17.87,17.93,12.8794,2352854
2009-11-27,17.33,18.03,17.33,17.79,12.7794,1059052
2009-11-30,17.52,17.79,17.41,17.6,12.6429,3092581
2009-12-01,17.77,18.14,17.69,18.11,13.0088,2886690
2009-12-02,17.99,18.58,17.99,18.29,13.1384,2881566
2009-12-03,18.31,18.75,18.26,18.52,13.3035,2509195
2009-12-04,18.74,18.97,18.44,18.66,13.4041,2899401
2009-12-07,18.49,18.99,18.49,18.83,13.5263,1927749
2009-12-08,18.76,19.06,18.49,18.99,13.6414,2759174
2009-12-09,18.9,18.98,18.51,18.94,13.6056,1825537
2009-12-10,18.95,19.2,18.91,18.97,13.627,2604379
2009-12-11,18.97,19.15,18.78,18.91,13.5838,1944929
2009-12-14,18.99,19.55,18.99,19.33,13.8853,3522460
2009-12-15,19.29,19.63,19.19,19.43,13.9574,2492665
2009-12-16,19.48,20.235,19.42,19.98,14.3525,4432181
2009-12-17,19.96,20.04,19.49,19.56,14.0503,4726956
2009-12-18,19.6,20.163,19.57,20.14,14.4674,5595775
2009-12-21,20.25,20.5,20.17,20.43,14.6757,2683340
2009-12-22,20.45,20.78,20.42,20.64,14.8265,2416223
2009-12-23,20.62,20.82,20.45,20.51,14.7332,1993166
2009-12-24,20.63,20.87,20.52,20.87,14.9919,661626
2009-12-28,20.93,21,20.35,20.45,14.6904,2471880
