Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,24.48,26.3,23.85,26.13,22.8107,1924505
2009-01-05,25.74,27.3925,25.18,26.74,23.3431,3283202
2009-01-06,27.06,27.38,25.37,25.82,22.5403,3909941
2009-01-07,25.41,25.52,24.1,24.23,21.152,2315605
2009-01-08,24.04,24.2094,22.23,22.44,19.5895,6891952
2009-01-09,22.74,22.8,21.39,22,19.2053,4566530
2009-01-12,21.87,22.1,20.81,21.05,18.3759,2528341
2009-01-13,20.93,22.28,20.42,22.14,19.3274,3839829
2009-01-14,21.57,21.57,20.43,20.75,18.1144,3113448
2009-01-15,20.75,21.27,19.46,20.36,17.7737,5183025
2009-01-16,20.96,21.51,20.05,21.17,18.4811,4090778
2009-01-20,21.43,21.43,18.77,18.79,16.4031,4232189
2009-01-21,19.18,21.16,18.66,21.16,18.472,4657324
2009-01-22,20.57,21.59,19.82,20.54,17.9308,3106384
2009-01-23,19.83,22.12,19.3,21.98,19.1881,4878653
2009-01-26,21.88,22.78,20.83,21.39,18.6728,3169269
2009-01-27,21.77,22.0012,21.05,21.82,19.0482,2100515
2009-01-28,22.69,23.71,22.4,23.62,20.6196,2960787
2009-01-29,23.13,23.288,22.05,22.11,19.3013,2659691
2009-01-30,22.4,23.06,21.48,21.82,19.0482,2653420
2009-02-02,20.7,20.78,19.89,20.47,17.8696,3609807
2009-02-03,20.75,21.83,20.25,21.43,18.7077,4519169
2009-02-04,21.47,22.48,21.08,22.08,19.2754,3345333
2009-02-05,21.98,23.83,21.57,23.38,20.41,4215090
2009-02-06,23.61,25.07,23.46,24.9,21.737,3745485
2009-02-09,24.49,24.52,23.01,23.34,20.3752,3493908
2009-02-10,23.11,23.55,21.88,22.17,19.3536,5361755
2009-02-11,22,22.42,21.31,21.89,19.1095,2544694
2009-02-12,21.22,22.24,21.02,22.05,19.2489,3386866
2009-02-13,21.49,22.22,21.17,21.39,18.6728,3711370
2009-02-17,20.28,20.56,19.73,20.02,17.4768,3579796
2009-02-18,20.2,20.97,19.6,20.61,17.9917,4232873
2009-02-19,21.11,21.32,20.26,20.3,17.7214,3613890
2009-02-20,19.77,21.14,19.5,20.7,18.0702,5376517
2009-02-23,20.5,21.18,19.73,19.77,17.2586,3803460
2009-02-24,19.61,21.12,19.27,21.12,18.4371,4445160
2009-02-25,20.99,21.65,20.08,20.96,18.2972,3930891
2009-02-26,22.51,23.25,21.02,21.86,19.0832,6930307
2009-02-27,21.29,21.82,20.88,20.9,18.2452,3624773
2009-03-02,20.28,21.2,19.69,19.86,17.3371,3860252
2009-03-03,20.24,20.5,18.49,18.67,16.2987,6663822
2009-03-04,18.97,20.5,18.84,19.95,17.4158,3084978
2009-03-05,19.4,19.73,18.47,18.79,16.4031,3675201
2009-03-06,18.96,19.4,18.43,19.29,16.8394,5287193
2009-03-09,19.53,20.19,18.95,19.77,17.2586,3606809
2009-03-10,20.53,22.54,20.11,22.54,19.6768,5478476
2009-03-11,21.95,23.87,21.52,23.57,20.5759,4709181
2009-03-12,22.79,23.96,21.95,23.93,20.8903,5024821
2009-03-13,23.8,23.8,22.1,22.27,19.4412,4493374
2009-03-16,22.68,22.8,20.92,21.07,18.3934,4198658
2009-03-17,21.06,22.5,20.76,22.48,19.6244,4277591
2009-03-18,22,22.81,21.58,22.53,19.6681,6495351
2009-03-19,22.57,22.82,21.09,21.11,18.4285,4420005
2009-03-20,21.98,21.98,21.01,21.1,18.4198,3266481
2009-03-23,21.74,24,21.51,23.82,20.794,4567928
2009-03-24,23.28,23.5199,21.05,21.1,18.4198,5605666
2009-03-25,21.47,21.73,19.9,20.97,18.3062,5235313
2009-03-26,21.3,21.3,20.32,20.76,18.1226,5521492
2009-03-27,20.33,20.67,19.79,19.8,17.285,3571393
2009-03-30,19.36,19.68,18.35,18.35,16.0189,3865552
2009-03-31,18.8,19.84,18.5,19.58,17.0928,3911465
2009-04-01,18.45,19.28,18.45,18.95,16.5427,4175835
2009-04-02,19.47,20.25,19.47,19.96,17.4242,3524858
2009-04-03,20.3,21.39,19.38,21.31,18.6031,4419335
2009-04-06,20.6,20.97,20.25,20.76,18.1226,3377282
2009-04-07,20.32,20.59,19.8,19.8,17.285,3199139
2009-04-08,19.75,20.4,19.75,20.4,17.8086,3100025
2009-04-09,20.8,21.99,20.46,21.99,19.1967,3768953
2009-04-13,21.32,22.61,21.26,22.53,19.6681,4090926
2009-04-14,21.34,21.66,20.32,20.34,17.7565,4159233
2009-04-15,19.96,20.21,18.96,19.62,17.1277,6642610
2009-04-16,20,20.12,18.91,19.79,17.2761,6052525
2009-04-17,19.06,20.05,19.06,19.8,17.285,3496996
2009-04-20,19.48,19.6,18.08,18.08,15.7835,3638321
2009-04-21,18,18.55,17.61,18.49,16.1414,5592214
2009-04-22,18.17,18.94,18.02,18.34,16.0103,4637356
2009-04-23,18.65,19.16,18.29,18.94,16.5341,3726430
2009-04-24,18.75,19.41,18.41,19.1,16.6735,4262202
2009-04-27,18.65,19.13,18.54,18.72,16.3423,2218454
2009-04-28,18.42,18.71,18.12,18.16,15.8532,3180496
2009-04-29,18.51,18.78,18.22,18.76,16.377,2874295
2009-04-30,19,19.8,19,19.23,16.7873,4542100
2009-05-01,19.04,19.8,19.01,19.36,16.9008,2989601
2009-05-04,19.5,20.52,19.37,20.36,17.7737,3509492
2009-05-05,20.13,20.69,19.88,20.1,17.5467,3073089
2009-05-06,20.2,21.8,20.2,21.61,18.865,5686144
2009-05-07,21.64,21.64,19.17,20.04,17.4942,7933508
2009-05-08,20.08,20.45,19.59,20.38,17.7909,6416484
2009-05-11,19.88,20.15,19.27,19.3,16.8483,4065373
2009-05-12,19.44,19.5,18.29,18.58,16.2201,5561946
2009-05-13,18.28,18.3,17.6,17.63,15.3906,5728539
2009-05-14,17.65,18.22,17.51,17.95,15.6699,4256294
2009-05-15,18.19,18.37,17.76,17.88,15.6087,4587695
2009-05-18,18.05,18.8,18.05,18.79,16.4031,6685868
2009-05-19,19,19.04,17.76,17.91,15.6349,5588625
2009-05-20,18.38,18.58,17.8,17.85,15.5827,5299952
2009-05-21,17.63,18.88,17.62,18.78,16.3945,5391257
2009-05-22,18.92,19.69,18.7,19.39,16.927,3739628
2009-05-26,19.06,20.88,18.98,20.83,18.1839,5129578
2009-05-27,20.53,20.82,19.92,20.01,17.4682,5171882
2009-05-28,20.1,20.86,19.93,20.76,18.1226,3108177
2009-05-29,20.53,21.1129,20.29,21.11,18.4285,2404154
2009-06-01,21.4,21.93,20.63,20.8,18.1578,5324443
2009-06-02,20.83,21.76,20.67,21.43,18.7077,2775297
2009-06-03,21.11,21.85,20.86,21.19,18.4983,2557123
2009-06-04,21.34,22.35,21.32,22.23,19.4059,4171238
2009-06-05,22.5,22.93,21.9,22,19.2053,3351676
2009-06-08,22.14,22.15,21.1401,21.42,18.699,3318012
2009-06-09,21.31,22.16,21.31,22.05,19.2489,2419268
2009-06-10,22.33,22.44,21.47,21.82,19.0482,2417608
2009-06-11,21.86,22.18,21.72,22,19.2053,1513637
2009-06-12,21.65,21.77,21.32,21.75,18.9871,1410336
2009-06-15,21.53,21.66,21.02,21.13,18.446,2623319
2009-06-16,21.39,21.44,20.9101,21.09,18.4107,1627556
2009-06-17,21.09,21.21,20.21,20.44,17.8438,2572733
2009-06-18,20.44,20.99,20.33,20.84,18.1927,2002875
2009-06-19,21.07,21.37,20.8,21.17,18.4811,2593219
2009-06-22,20.99,21.07,19.78,19.86,17.3371,2622540
2009-06-23,19.84,20.55,19.84,20.2,17.6336,2181312
2009-06-24,20.34,20.9918,20.17,20.76,18.1226,1592393
2009-06-25,20.61,21.15,20.54,21.11,18.4285,1856919
2009-06-26,20.97,21.32,20.82,21.15,18.4632,2155688
2009-06-29,21.2,21.62,21.12,21.45,18.7251,1379308
2009-06-30,21.65,21.7,21.05,21.31,18.6031,1906413
2009-07-01,21,21.15,20.57,20.69,18.0617,2910076
2009-07-02,20.59,20.8,20.34,20.46,17.861,2366138
2009-07-06,20.16,20.24,19.61,19.92,17.3897,4088330
2009-07-07,19.82,20.01,18.87,18.93,16.5251,4753645
2009-07-08,19,19.38,18.74,19,16.5864,6209791
2009-07-09,19.25,19.5,19.01,19.1,16.6735,2160441
2009-07-10,19.01,19.17,18.71,18.92,16.5168,2082007
2009-07-13,19.13,19.92,18.81,19.85,17.3284,3258963
2009-07-14,19.9,20,19.435,19.52,17.0403,1500577
2009-07-15,19.74,20.51,19.68,20.38,17.7909,3228981
2009-07-16,20.15,20.36,19.82,20.1,17.5467,2247028
2009-07-17,20.04,20.23,19.73,20.06,17.5117,1667103
2009-07-20,20.25,20.4599,19.94,20.09,17.5378,1896542
2009-07-21,19.82,20.18,19.27,19.49,17.0141,1972286
2009-07-22,19.26,19.76,19.21,19.5,17.0232,1499042
2009-07-23,19.61,20.67,19.31,20.5,17.8958,2667941
2009-07-24,20.2,20.47,19.95,20.34,17.7565,1383745
2009-07-27,20.43,20.77,20.03,20.32,17.7388,1791745
2009-07-28,20.12,20.37,20,20.25,17.6778,1534342
2009-07-29,20.06,20.65,20.06,20.57,17.9568,1729768
2009-07-30,20.82,21.4674,20.61,21.18,18.4894,2339657
2009-07-31,21.04,21.38,20.92,21.13,18.446,2054627
2009-08-03,21.82,21.94,21.16,21.46,18.7339,1933718
