Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,50.26,51.98,50.11,51.66,36.4585,1822415
2009-01-05,51.53,52.63,51.25,51.94,36.6559,2482945
2009-01-06,52.05,53.31,50.82,51.21,36.1407,2598858
2009-01-07,50.77,50.77,49.6,50.65,35.7455,4558551
2009-01-08,50.66,51.2,50.37,51.1,36.0632,2331984
2009-01-09,51.17,51.35,49.8,50.02,35.3009,2187030
2009-01-12,50.15,50.52,49.5,49.72,35.089,2244313
2009-01-13,49.58,50.1,48.95,49.25,34.7576,2183792
2009-01-14,48.71,49.16,47.1,48.33,34.108,2430021
2009-01-15,48.18,48.66,47.1001,48.44,34.1859,2417967
2009-01-16,49.29,50.2,48.74,49.83,35.1671,3019450
2009-01-20,49.67,50.8,49.15,49.8,35.1456,3127631
2009-01-21,50.62,50.62,47.67,49.01,34.5884,3881048
2009-01-22,48.58,48.96,47.43,48.65,34.334,2590729
2009-01-23,47.75,48.07,46.75,47.95,33.8401,2825783
2009-01-26,48.15,49.48,48.04,48.94,34.5387,3331431
2009-01-27,49.31,51.617,49.09,50.78,35.8374,3615223
2009-01-28,51.61,52.26,50.56,51.48,36.3312,2654981
2009-01-29,51.06,52.63,50.58,51.17,36.1124,2057960
2009-01-30,51.3,52.25,51.14,51.55,36.3808,4025001
2009-02-02,51.03,51.38,49.75,50.86,35.8938,3217152
2009-02-03,50.9,52.63,50.66,52.2,36.8395,2859879
2009-02-04,52.53,53.99,52.53,52.95,37.3687,3912487
2009-02-05,52.79,53.25,52.14,52.71,37.1996,3794354
2009-02-06,52.89,52.89,51.71,52.36,36.9524,3331769
2009-02-09,52.28,52.66,51.4,52.06,36.7404,3012388
2009-02-10,51.65,52.06,49.81,50.51,35.6464,3073942
2009-02-11,50.63,51,49.86,50.82,35.8656,2335897
2009-02-12,50.5,50.68,49.14,50.62,35.7245,2414474
2009-02-13,50.35,51.44,50.35,50.91,35.9288,2476250
2009-02-17,49.78,49.99,48.63,48.81,34.4474,2550970
2009-02-18,49.05,49.1,48.05,48.4,34.1576,2385297
2009-02-19,48.51,50.33,48.51,49.89,35.2091,3952445
2009-02-20,48.75,49.715,48.34,48.99,34.5744,4024655
2009-02-23,49.03,49.95,47.65,47.87,33.7834,2691347
2009-02-24,48.18,49.25,47.94,49.1,34.6517,2720050
2009-02-25,48.45,48.75,47.4,47.42,33.7911,4098928
2009-02-26,47.81,47.91,45.87,45.97,32.7579,2468975
2009-02-27,45.22,46.05,44.4,45.33,32.3019,2855510
2009-03-02,44.6,46.27,44.11,44.42,31.6534,3627311
2009-03-03,45.1,45.66,43.16,43.3,30.8554,3332925
2009-03-04,43.95,45.25,43.73,44.62,31.796,2687580
2009-03-05,43.78,44.12,42.5,42.87,30.5488,2923598
2009-03-06,42.84,44.6,41.81,42.82,30.5133,3252004
2009-03-09,42.68,42.84,41.48,41.78,29.7723,2247414
2009-03-10,42.43,43.6,42.12,43.4,30.9268,2960108
2009-03-11,43.87,44.36,43.29,43.76,31.183,2469366
2009-03-12,43.77,44.83,43.25,44.54,31.7393,1882672
2009-03-13,44.82,45.57,44.82,45.21,32.2164,1848593
2009-03-16,45.66,47.3888,45.66,46.65,33.2426,2021414
2009-03-17,46.78,48.19,46.35,48.19,34.3398,2950422
2009-03-18,47.79,49.99,47.13,49.93,35.5801,3540736
2009-03-19,49.89,50.5,49.08,49.91,35.5656,3126358
2009-03-20,49.96,50.79,49.25,49.35,35.1667,2758993
2009-03-23,50.23,50.98,49.51,50.9,36.271,2371016
2009-03-24,50.42,51.65,50.02,51.1,36.4137,3304974
2009-03-25,51.14,52.23,51,51.72,36.8556,3226755
2009-03-26,52.05,52.25,51.01,51.77,36.8909,2808441
2009-03-27,51.24,51.35,50.11,50.49,35.9789,2437453
