Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,40.13,41.85,40.11,40.33,33.6173,6854888
2009-01-05,38.68,39.6,38.13,38.82,32.3588,8914104
2009-01-06,38.54,40.08,38.25,39.55,32.9671,8452327
2009-01-07,39.27,39.27,34.75,35.11,29.266,11640376
2009-01-08,36.29,37.8,35.66,37.75,31.4667,8331854
2009-01-09,37.14,38.57,36.61,37.04,30.8745,8376890
2009-01-12,35.88,36.71,35.52,35.91,29.9332,9419028
2009-01-13,35.65,36.8,35.06,36,30.0082,8504973
2009-01-14,35.52,36.9,34.81,35.51,29.5995,7691343
2009-01-15,35.61,37.41,34.4,37.12,30.9415,8701128
2009-01-16,38.17,38.8,36.05,37.83,31.5333,8958935
2009-01-20,38.49,41.3,38.22,39.33,32.7837,12048295
2009-01-21,39.13,40.61,37.95,40.43,33.7007,9156639
2009-01-22,40.16,41.7,39.3,40.9,34.0923,10031264
2009-01-23,41.75,44.7,41.4,44.44,37.043,12488753
2009-01-26,45.22,45.45,43.21,43.37,36.1512,10339749
2009-01-27,42.97,43.5,41.64,41.71,34.7677,8990419
2009-01-28,39.97,40.4,38.33,38.61,32.1832,17366704
2009-01-29,37.45,39.65,37.02,39.44,32.8754,42424689
2009-01-30,40.02,40.5,38.8,39.78,33.1589,13755497
2009-02-02,38.99,40.15,38.55,39.37,32.817,9930426
2009-02-03,39.8,39.95,38.16,38.87,32.4001,9041647
2009-02-04,39.93,40.88,39.27,39.99,33.3338,8700751
2009-02-05,41.24,41.33,40.22,40.91,34.1006,11709129
2009-02-06,40.13,41.75,40,41.53,34.6174,7912383
2009-02-09,40.45,41.43,39.865,40.36,33.6423,7482183
2009-02-10,41.1,41.59,38.92,39.35,32.8007,9516638
2009-02-11,39.9,42.83,39.65,42.35,35.3008,13779172
2009-02-12,42.11,42.83,41.53,42.75,35.6346,9440661
2009-02-13,42.18,42.68,41.26,41.58,34.6592,5878732
2009-02-17,43.09,43.37,42.15,42.66,35.5595,13823401
2009-02-18,42.49,43.08,41.28,42.76,35.6427,9768555
2009-02-19,42.52,43.25,40.64,40.79,34.0007,11528060
2009-02-20,42.18,45,41.7,43.73,36.4513,15000338
2009-02-23,42.77,44.05,42.33,42.39,35.3345,8877382
2009-02-24,42.28,42.49,39.66,40.23,33.5343,13234250
2009-02-25,40.08,42.65,39.87,40.07,33.4006,15910106
2009-02-26,39.41,41.2,39.03,40.68,33.9092,9560140
2009-02-27,41.44,42.41,40.64,41.63,34.7009,15801547
2009-03-02,41.42,41.7,37.62,37.88,31.5751,14153033
2009-03-03,38.35,39.27,37.16,38.7,32.2586,11068133
2009-03-04,39.13,39.73,37.96,38.79,32.417,9892868
2009-03-05,39.08,40.44,38.74,40.44,33.7965,10337663
2009-03-06,40.78,41.08,38.03,38.9,32.5093,12483198
2009-03-09,38.63,39.15,37.14,37.79,31.5817,8477468
2009-03-10,37.25,37.81,34.4,35.03,29.2751,12984955
2009-03-11,35.33,37.18,34.42,36.66,30.6376,9546510
2009-03-12,37.11,37.8,36.72,37.56,31.3894,7230383
2009-03-13,38.01,38.83,37.5,38.54,32.2083,6228634
2009-03-16,38.1,38.51,37.35,37.47,31.3144,8266050
2009-03-17,36.92,37.87,36.1,36.61,30.5954,9066885
2009-03-18,36,40.3,35.46,40.14,33.5455,18767127
2009-03-19,40.92,43.4,40.6,42.9,35.8518,14591840
2009-03-20,42.51,44.8,42.35,44.19,36.9302,14018258
2009-03-23,43.75,45.25,43.29,44.67,37.3311,9925698
2009-03-24,43.59,44.55,42.4,43.86,36.6544,7894865
2009-03-25,43.9,46.2,43.44,45.86,38.326,10590188
2009-03-26,46.09,47.31,45.7,46.9,39.1951,9242770
2009-03-27,46.07,46.23,45.07,45.65,38.1506,6442714
2009-03-30,44.82,46.52,44.4,45.3,37.8578,7145488
2009-03-31,45.88,45.88,44.2,44.76,37.4067,7216810
2009-04-01,45.22,47.45,44.57,47.4,39.6125,9109484
2009-04-02,46.53,46.53,45.16,46.24,38.6434,10072299
2009-04-03,46.18,46.72,43.22,43.89,36.6792,9756569
2009-04-06,42.66,42.95,41.06,42.8,35.7685,8947296
2009-04-07,43.35,43.69,42.4,42.62,35.6179,6431410
2009-04-08,43.31,43.31,41.2,41.9,35.0164,5560912
2009-04-09,42,42.47,41.5,41.78,34.916,4523427
2009-04-13,42.71,42.91,41.5,42.08,35.1667,5245053
2009-04-14,42.09,42.83,41.81,41.85,34.9745,5721290
2009-04-15,41.87,42.72,41.52,42.3,35.3506,5393405
2009-04-16,41.84,42.15,39.57,39.8,33.2613,7244897
