Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,31.42,32.52,31.26,32.36,23.9436,245200
2009-01-05,32.26,32.76,31.96,32.74,24.2248,455300
2009-01-06,33.24,33.42,32.26,32.45,24.0102,529000
2009-01-07,32.18,32.18,30.91,31.14,23.0409,362500
2009-01-08,30.8,31.62,30.45,31.6,23.3813,549600
2009-01-09,31.58,31.58,30.31,30.71,22.7228,394200
2009-01-12,30.64,30.86,29.7,30,22.1974,352300
2009-01-13,29.9,30.15,29.43,29.91,22.1308,610600
2009-01-14,29.62,29.74,28.4,28.66,21.2059,548600
2009-01-15,28.77,28.77,27.25,28.41,21.0209,923800
2009-01-16,28.66,29.53,28.53,29.11,21.5389,699700
2009-01-20,28.93,29.55,27.76,27.9,20.6436,614400
2009-01-21,28.14,29.29,27.81,29.19,21.5981,834200
2009-01-22,28.94,29.01,28,28.63,21.1837,635300
2009-01-23,28.2,29.3,27.88,29.2,21.6055,434900
2009-01-26,29.38,30.43,29.38,30.13,22.2936,490800
2009-01-27,30.12,30.91,29.81,30.58,22.6266,347700
2009-01-28,30.94,31.26,30.7,31.11,23.0187,394100
2009-01-29,30.72,31.04,30.1,30.37,22.4712,377000
2009-01-30,30.65,31.03,29.73,29.96,22.1678,498900
2009-02-02,29.64,30.42,29.39,30.25,22.3824,629300
2009-02-03,30.58,31.11,30.13,30.85,22.8263,628400
2009-02-04,30.93,31.47,30.64,31.04,22.9669,432600
2009-02-05,30.95,31.83,30.57,31.62,23.3961,550900
2009-02-06,32.46,33.95,31.95,33.46,24.7575,879800
2009-02-09,33.31,33.74,32.75,33.56,24.8315,642700
2009-02-10,33.73,34.34,32.92,33.07,24.4689,731100
2009-02-11,33.15,33.53,32.52,32.84,24.2988,521200
2009-02-12,32.62,33.43,32.11,33.34,24.6687,495000
2009-02-13,33.29,33.88,33.18,33.46,24.7575,470400
2009-02-17,32.43,32.71,31.95,32.08,23.7364,751800
2009-02-18,32.45,32.45,31.86,32.13,23.7734,888400
2009-02-19,32.58,32.89,32.25,32.34,23.9288,525300
2009-02-20,31.69,32.57,31.09,31.84,23.5589,818400
2009-02-23,32.19,32.44,30.58,30.67,22.6932,569600
2009-02-24,30.85,31.72,30.46,31.58,23.3665,631900
2009-02-25,31.37,31.71,30.83,31.17,23.0631,538800
2009-02-26,31.45,31.87,30.63,30.7,22.7154,476400
2009-02-27,29.89,31.34,29.52,30.31,22.4268,587600
2009-03-02,29.68,29.9,28.27,28.43,21.0358,554500
2009-03-03,28.76,28.89,27.61,27.85,20.6066,586600
2009-03-04,26.99,29.09,26.99,28.64,21.1911,548100
2009-03-05,28.14,28.34,27.19,27.42,20.2884,471800
2009-03-06,27.58,28.59,26.67,27.13,20.0739,666500
2009-03-09,26.96,27.69,26.69,27.06,20.0221,414600
2009-03-10,27.35,28.02,27.19,27.93,20.6658,511000
2009-03-11,27.98,28.13,27.06,27.39,20.2662,479200
2009-03-12,27.23,27.9,26.72,27.76,20.54,651400
2009-03-13,27.98,28.28,27.73,28.25,20.9026,483000
2009-03-16,28.42,29.21,28.17,28.54,21.1171,440900
2009-03-17,28.83,29.2,28,29.2,21.6055,512100
2009-03-18,29.2,29.84,28.21,29.56,21.8718,510000
2009-03-19,30.19,30.93,29.69,30.64,22.671,529300
2009-03-20,30.84,31.1,29.98,30.05,22.2344,524200
2009-03-23,30.63,31.59,30.52,31.58,23.3665,536100
2009-03-24,31.44,31.48,30.7,30.83,22.8115,466700
2009-03-25,30.98,31.69,30.72,31.47,23.2851,520300
2009-03-26,31.83,32.75,31.79,32.75,24.2322,841400
2009-03-27,32.25,32.49,31.88,32.11,23.9968,643200
2009-03-30,31.37,31.49,30.34,30.78,23.0028,819300
2009-03-31,31.01,31.17,30.57,30.67,22.9206,445600
2009-04-01,30.21,31.15,29.83,31,23.1672,634800
2009-04-02,31.55,32.39,31.24,31.64,23.6455,473400
2009-04-03,31.54,31.87,31.27,31.78,23.7501,306400
2009-04-06,31.43,31.82,30.6,31.12,23.2569,364900
2009-04-07,30.77,31.47,30.66,31.12,23.2569,389300
2009-04-08,31.34,31.43,30.66,31.31,23.3989,256000
2009-04-09,32.13,32.35,31.32,31.73,23.7128,318700
2009-04-13,31.57,31.8,31.11,31.71,23.6978,234200
2009-04-14,31.24,31.67,30.79,31.22,23.3316,290700
2009-04-15,31.37,32.07,31.3,32.05,23.9519,424800
2009-04-16,32.33,32.66,31.97,32.35,24.1761,382900
2009-04-17,32.33,32.65,32.13,32.57,24.3405,315600
2009-04-20,32.05,32.29,31.41,31.48,23.5259,302800
2009-04-21,31.44,32.38,31.44,32.27,24.1163,275800
2009-04-22,32.04,32.3,31.71,31.74,23.7202,290600
2009-04-23,31.91,31.98,31.31,31.75,23.7277,314300
2009-04-24,32.24,32.38,31.69,32.23,24.0864,280800
2009-04-27,31.96,32.97,31.96,32.7,24.4377,454000
2009-04-28,32.51,33.2,32.31,32.73,24.4601,399100
2009-04-29,33.06,33.66,32.81,33.09,24.7291,304600
