Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,11,11.23,11,11.14,3.3013,3442724
2009-01-05,11.14,11.25,11.09,11.17,3.3103,4199336
2009-01-06,11.26,11.4,11.1,11.15,3.3043,4305334
2009-01-07,11.1,11.12,10.74,10.79,3.1976,4222707
2009-01-08,10.76,10.99,10.75,10.94,3.2421,3538316
2009-01-09,10.95,11.215,10.85,11.08,3.2836,4186710
2009-01-12,11.1,11.17,10.91,10.99,3.2569,2739116
2009-01-13,10.99,11.04,10.75,10.83,3.2095,3045876
2009-01-14,10.77,10.83,10.46,10.67,3.162,3153365
2009-01-15,10.68,10.69,10.36,10.59,3.1383,4508915
2009-01-16,10.7,10.92,10.54,10.71,3.1739,3296444
2009-01-20,10.65,10.78,10.33,10.38,3.0761,3242922
2009-01-21,10.56,10.56,10.21,10.52,3.1177,4438905
2009-01-22,10.39,10.55,10.3,10.43,3.0908,3183328
2009-01-23,10.25,10.53,10.18,10.48,3.1057,2792413
2009-01-26,10.52,10.99,10.49,10.87,3.2213,4059710
2009-01-27,10.93,11.19,10.83,11.1,3.2895,3480852
2009-01-28,11.18,11.18,10.73,10.81,3.2298,3590341
2009-01-29,10.77,10.95,10.65,10.71,3.1999,2277990
2009-01-30,10.38,10.47,9.6,9.68,2.8922,10804770
2009-02-02,9.62,9.75,9.255,9.38,2.8025,10192423
2009-02-03,9.48,9.9701,9.39,9.75,2.9132,7109508
2009-02-04,10.12,10.725,10.05,10.63,3.176,11397905
2009-02-05,10.6,10.76,10.48,10.68,3.191,6872613
2009-02-06,10.64,10.88,10.41,10.77,3.2179,5591775
2009-02-09,10.84,10.84,10.64,10.79,3.2238,3490576
2009-02-10,10.75,10.84,10.33,10.53,3.1462,5881836
2009-02-11,10.53,10.57,10.2,10.37,3.0984,3855964
2009-02-12,10.19,10.36,9.91,10.21,3.0505,4516860
2009-02-13,10.25,10.32,10.06,10.17,3.0387,2529833
2009-02-17,9.95,9.95,9.48,9.49,2.8355,4213214
2009-02-18,9.53,9.59,8.85,8.92,2.6652,7592989
2009-02-19,8.95,9.1,8.79,8.8,2.6292,4631979
2009-02-20,8.73,8.885,8.47,8.7,2.5994,4899462
2009-02-23,8.7,8.88,8.47,8.5,2.5396,3716953
2009-02-24,8.77,9.21,8.7308,9.16,2.7369,7668541
2009-02-25,9.21,9.24,8.94,9.1,2.719,5110276
2009-02-26,9.18,9.3,8.9,8.92,2.6652,3042498
2009-02-27,8.85,9.01,8.6,8.75,2.6145,5591214
2009-03-02,8.61,8.73,8.295,8.31,2.4828,3847868
2009-03-03,8.39,8.51,7.96,7.99,2.3872,3572552
2009-03-04,8.09,8.52,8.01,8.42,2.5157,6207830
2009-03-05,8.27,8.42,7.79,7.86,2.3484,4433268
2009-03-06,7.83,8.38,7.83,8.17,2.4409,7031926
2009-03-09,8.19,8.52,8.06,8.33,2.4889,5610523
2009-03-10,8.32,8.75,8.32,8.72,2.6053,4451880
2009-03-11,8.85,8.865,8.5,8.54,2.5516,4728814
2009-03-12,8.57,8.87,8.41,8.84,2.6413,3499636
2009-03-13,8.93,9.06,8.81,9.02,2.695,2511059
2009-03-16,8.97,9.53,8.95,9.24,2.7607,3640509
2009-03-17,9.27,9.5,9.1,9.47,2.8295,2507784
2009-03-18,9.43,9.71,9.25,9.64,2.8802,4173520
2009-03-19,9.72,9.82,9.62,9.7,2.8982,2772321
2009-03-20,9.83,9.9,9.61,9.64,2.8802,3062863
2009-03-23,9.82,10.32,9.66,10.31,3.0804,4145979
2009-03-24,10.24,10.29,10,10,2.9877,2988997
2009-03-25,10.11,10.23,9.86,10.1,3.0176,3398777
2009-03-26,10.21,10.31,10.02,10.26,3.0654,2612246
2009-03-27,10.12,10.31,10.04,10.07,3.0088,2105315
2009-03-30,9.98,10.04,9.52,9.7,2.8982,3423682
2009-03-31,9.8,9.95,9.77,9.8,2.9282,3012155
2009-04-01,9.66,10.07,9.64,9.99,2.9849,3055701
2009-04-02,10.22,10.25,9.96,10.08,3.0117,3214346
2009-04-03,10.08,10.17,10,10.11,3.0207,2467657
2009-04-06,10.04,10.2,9.94,9.98,2.9818,2688602
2009-04-07,9.91,10.1,9.81,9.97,2.9788,1932870
2009-04-08,9.94,10.22,9.94,10.21,3.0505,2618616
2009-04-09,10.46,10.55,10.21,10.39,3.1042,4675149
2009-04-13,10.37,10.48,10.15,10.4,3.1074,2630867
2009-04-14,10.33,10.46,10.245,10.33,3.0863,3575287
2009-04-15,10.31,10.51,10.31,10.48,3.1312,2595221
2009-04-16,10.51,10.72,10.44,10.62,3.1732,2593278
2009-04-17,10.67,10.75,10.58,10.65,3.182,2428537
2009-04-20,10.6,10.6,10.31,10.37,3.0984,2600721
2009-04-21,10.36,10.65,10.36,10.57,3.1581,3455125
2009-04-22,10.53,10.71,10.32,10.52,3.1432,2926247
2009-04-23,10.51,10.7,10.46,10.66,3.185,3962699
2009-04-24,10.75,10.9,10.66,10.84,3.2387,3756604
2009-04-27,10.76,11.2,10.75,11.05,3.3015,3213484
2009-04-28,10.87,10.94,10.78,10.81,3.2564,3102080
2009-04-29,10.9,11.03,10.86,10.93,3.2926,3160434
2009-04-30,10.99,11.16,10.96,10.99,3.3108,4354054
2009-05-01,11.01,11.27,11.01,11.24,3.3859,3432348
2009-05-04,11.23,11.53,11.23,11.48,3.4583,4484387
2009-05-05,11.41,11.6,11.35,11.42,3.4402,3652511
2009-05-06,11.51,11.62,11.33,11.4,3.4343,4075408
2009-05-07,11.26,11.43,11.12,11.19,3.371,4425921
2009-05-08,11.35,11.62,11.24,11.4,3.4343,4902553
2009-05-11,11.29,11.46,11.13,11.17,3.3649,4034531
2009-05-12,11.24,11.34,11.09,11.13,3.3528,2726423
2009-05-13,11.05,11.3,10.77,10.78,3.2473,3314956
2009-05-14,10.78,10.91,10.7,10.87,3.2746,2831613
2009-05-15,10.83,10.98,10.58,10.64,3.2053,2940224
2009-05-18,10.72,10.81,10.63,10.68,3.2173,3642996
2009-05-19,10.72,10.94,10.67,10.7,3.2233,3714287
2009-05-20,10.79,10.99,10.6,10.63,3.2022,6881509
2009-05-21,10.58,10.62,10.42,10.48,3.1571,2288321
2009-05-22,10.51,10.63,10.44,10.47,3.1539,1816156
2009-05-26,10.46,10.91,10.39,10.84,3.2656,2244549
2009-05-27,10.85,10.92,10.5,10.5,3.163,3252354
2009-05-28,10.56,10.8,10.52,10.74,3.2354,2489187
2009-05-29,10.81,10.82,10.55,10.69,3.2204,3557497
2009-06-01,10.8,11.09,10.8,11.06,3.3317,2568732
2009-06-02,11.07,11.23,11,11.1,3.3438,2454233
2009-06-03,11.02,11.08,10.79,10.95,3.2985,2708656
2009-06-04,11,11.07,10.91,10.98,3.3076,1832700
2009-06-05,11.07,11.16,10.81,10.94,3.2956,3540954
2009-06-08,10.97,11.24,10.97,11.11,3.3469,3953996
2009-06-09,11.2,11.24,10.92,10.95,3.2985,2068773
2009-06-10,11.07,11.25,11.01,11.12,3.3498,6140130
2009-06-11,11.22,11.49,11.08,11.38,3.4282,2902698
2009-06-12,11.34,11.59,11.22,11.55,3.4794,1906498
2009-06-15,11.44,11.44,11.17,11.24,3.3859,2268571
2009-06-16,11.29,11.41,11.08,11.13,3.3528,1754533
2009-06-17,11.09,11.27,11.04,11.19,3.371,2521654
2009-06-18,11.22,11.5,11.2,11.46,3.4523,2054432
2009-06-19,11.6,11.6,11.3,11.37,3.4253,3286452
2009-06-22,11.24,11.59,11.24,11.48,3.4583,3306514
2009-06-23,11.4925,11.57,11.25,11.3,3.404,2352545
2009-06-24,11.38,11.39,11.22,11.28,3.3981,2541026
2009-06-25,11.22,11.53,11.18,11.48,3.4583,1582910
2009-06-26,11.46,11.5,11.34,11.46,3.4523,3300390
2009-06-29,11.48,11.82,11.48,11.66,3.5125,3724546
2009-06-30,11.68,11.79,11.52,11.66,3.5125,3330416
2009-07-01,11.73,12.2,11.72,12.14,3.6571,3731571
2009-07-02,12.01,12.02,11.74,11.74,3.5367,3365008
2009-07-06,11.68,12.06,11.55,11.98,3.609,3000295
2009-07-07,11.99,12.04,11.66,11.71,3.5276,2790498
2009-07-08,11.79,11.91,11.52,11.64,3.5064,3545528
2009-07-09,11.7,11.75,11.47,11.59,3.4916,3323889
2009-07-10,11.51,11.65,11.41,11.56,3.4824,3361029
2009-07-13,11.57,11.75,11.48,11.74,3.5367,3533148
2009-07-14,11.77,11.82,11.64,11.75,3.5395,2861427
2009-07-15,11.92,12.12,11.85,12.11,3.648,2183346
2009-07-16,12.08,12.26,12.03,12.22,3.6811,2653035
2009-07-17,12.21,12.33,12.12,12.28,3.6992,2504525
2009-07-20,12.36,12.6,12.28,12.59,3.7927,5376651
2009-07-21,12.68,12.81,12.57,12.72,3.8318,3858301
2009-07-22,12.7,12.83,12.63,12.76,3.8438,3124373
2009-07-23,12.69,13.2,12.69,13.13,3.9554,3581249
2009-07-24,13.05,13.32,13.04,13.3,4.0065,3097878
2009-07-27,13.36,13.39,13.209,13.35,4.0216,2388924
2009-07-28,12.81,13.17,12.77,13.15,3.9613,3929552
2009-07-29,12.89,13,12.55,12.79,3.8796,3393596
2009-07-30,12.85,13.02,12.77,12.96,3.9311,3205385
2009-07-31,12.92,13,12.8,12.89,3.9099,3646928
2009-08-03,12.94,13.21,12.85,13.11,3.9765,3393917
2009-08-04,13.31,13.35,12.85,13.35,4.0495,4059097
2009-08-05,13.38,13.39,12.9,12.97,3.9342,3886173
2009-08-06,12.96,13.05,12.79,12.8,3.8826,3713706
2009-08-07,12.94,13.17,12.82,13.09,3.9706,2171870
2009-08-10,13.1,13.27,13.03,13.24,4.0161,2303189
2009-08-11,13.22,13.29,13.13,13.24,4.0161,2122101
2009-08-12,13.24,13.335,13.08,13.15,3.9888,6211890
2009-08-13,13.2,13.23,13.05,13.22,4.0101,2743879
2009-08-14,13.18,13.34,12.98,13.1,3.9736,2496883
2009-08-17,12.99,13,12.83,12.91,3.916,2291126
2009-08-18,12.9,12.98,12.7999,12.95,3.9282,1512830
2009-08-19,12.87,13.2,12.87,13.1,3.9736,2311067
2009-08-20,13.12,13.22,13.03,13.19,4.0008,3010863
2009-08-21,13.38,13.58,13.23,13.57,4.1162,2628738
2009-08-24,13.68,13.68,13.45,13.58,4.1192,1651076
2009-08-25,13.67,13.78,13.58,13.62,4.1314,2356841
2009-08-26,13.5,13.63,13.35,13.56,4.1131,2452773
2009-08-27,13.51,13.61,13.36,13.48,4.0888,1398393
2009-08-28,13.53,13.59,13.28,13.44,4.0767,2319740
2009-08-31,13.34,13.37,13.17,13.21,4.007,1989631
2009-09-01,13.14,13.29,13.08,13.15,3.9888,3052006
2009-09-02,13.07,13.15,12.93,13,3.9432,2226799
2009-09-03,13.07,13.15,12.95,13.12,3.9798,2167595
2009-09-04,13.16,13.21,13.04,13.17,3.9949,1211766
2009-09-08,13.28,13.29,13.09,13.21,4.007,1408350
2009-09-09,13.2,13.34,13.16,13.3,4.0343,1722517
2009-09-10,13.27,13.43,13.17,13.37,4.0555,2031512
2009-09-11,13.41,13.46,13.13,13.13,3.9826,3578710
2009-09-14,13.15,13.29,13.09,13.28,4.0283,2013645
2009-09-15,13.37,13.59,13.21,13.57,4.1162,1956080
2009-09-16,13.64,13.77,13.52,13.71,4.1586,1953640
2009-09-17,13.69,13.75,13.51,13.54,4.107,1625853
2009-09-18,13.59,13.67,13.41,13.48,4.0888,2196508
2009-09-21,13.43,13.63,13.35,13.47,4.0859,1717483
2009-09-22,13.55,13.62,13.425,13.48,4.0888,2030990
2009-09-23,13.47,13.86,13.47,13.62,4.1314,3017962
2009-09-24,13.67,13.77,13.63,13.65,4.1405,2290488
2009-09-25,13.59,13.8,13.59,13.68,4.1495,4373394
2009-09-28,13.7,13.9,13.66,13.8,4.1859,1578990
2009-09-29,13.81,14.025,13.77,13.91,4.2193,2507997
2009-09-30,13.96,13.96,13.7,13.89,4.2132,3142695
2009-10-01,13.88,13.94,13.52,13.59,4.1222,2709042
2009-10-02,13.53,13.56,13.35,13.45,4.0798,1832709
2009-10-05,13.49,13.67,13.37,13.66,4.1435,2538128
2009-10-06,13.8,13.8,13.62,13.7,4.1557,1959851
2009-10-07,13.64,13.75,13.59,13.75,4.1708,2453764
2009-10-08,13.76,13.995,13.75,13.9,4.2163,2011354
2009-10-09,13.91,14.03,13.79,13.98,4.2406,1222388
2009-10-12,14.04,14.14,13.95,14.08,4.2709,1163464
2009-10-13,14.11,14.11,13.87,13.97,4.2375,1293620
2009-10-14,14.07,14.17,13.8,13.88,4.2103,2564547
2009-10-15,13.91,13.94,13.67,13.88,4.2103,2839067
2009-10-16,13.81,13.95,13.68,13.85,4.2011,2078080
2009-10-19,13.94,14.01,13.75,13.98,4.2406,2423898
2009-10-20,13.94,13.96,13.72,13.8,4.1859,2594110
2009-10-21,13.75,13.86,13.63,13.65,4.1405,3501497
2009-10-22,13.65,13.7246,13.5,13.69,4.1525,2509523
2009-10-23,13.7,13.7,13.29,13.36,4.0525,4688496
2009-10-26,13.42,13.57,13.2,13.32,4.0403,3476323
2009-10-27,13.34,13.58,13.32,13.47,4.0859,4250235
2009-10-28,13.34,13.4,13.09,13.09,3.9974,3829603
2009-10-29,13.15,13.35,13.1,13.31,4.0645,3772492
2009-10-30,13.25,13.32,12.84,12.92,3.9455,5700842
2009-11-02,12.97,13.2,12.83,12.97,3.9607,5150322
2009-11-03,12.95,13.07,12.86,13.05,3.9853,4579622
2009-11-04,13.02,13.27,12.99,13.06,3.9882,3945134
2009-11-05,13.16,13.44,13.11,13.37,4.0829,5936666
2009-11-06,13.31,13.5,13.29,13.37,4.0829,3915063
2009-11-09,13.48,13.55,13.4199,13.53,4.1318,2327376
2009-11-10,13.5,13.655,13.45,13.59,4.1501,3442411
2009-11-11,13.67,13.71,13.49,13.57,4.144,3139612
2009-11-12,13.57,13.7,13.52,13.58,4.147,4604848
2009-11-13,13.59,13.95,13.59,13.92,4.2509,4708655
2009-11-16,13.88,14.1,13.86,14.04,4.2873,2464420
2009-11-17,14.05,14.14,14,14.12,4.3119,2012816
2009-11-18,14.11,14.15,13.92,13.99,4.2723,1843188
2009-11-19,13.95,14.03,13.66,13.8,4.2141,2226924
2009-11-20,13.77,13.84,13.64,13.74,4.1959,2299623
2009-11-23,13.88,14.08,13.83,13.91,4.2478,2524508
2009-11-24,13.91,14.135,13.87,14.08,4.2998,3450973
2009-11-25,14.08,14.58,14.07,14.47,4.4188,5037973
2009-11-27,14.21,14.41,14.13,14.21,4.3395,1714070
2009-11-30,14.22,14.31,14.17,14.25,4.3516,2428144
2009-12-01,14.41,14.53,14.33,14.47,4.4188,2321173
2009-12-02,14.5,14.88,14.43,14.87,4.541,2988053
2009-12-03,14.92,15.13,14.82,14.96,4.5684,2144854
2009-12-04,15.13,15.18,14.75,14.97,4.5715,3657141
2009-12-07,14.94,15.25,14.94,15.1,4.6113,2301747
2009-12-08,15.07,15.31,14.86,15.12,4.6173,2585163
2009-12-09,15.1,15.17,14.96,15.07,4.602,1966464
2009-12-10,15.17,15.23,14.97,15.21,4.6446,2246440
2009-12-11,15.29,15.58,15.17,15.42,4.709,2507058
2009-12-14,15.55,15.63,15.44,15.55,4.7486,1739748
2009-12-15,15.53,15.58,15.32,15.52,4.7394,2118452
2009-12-16,15.53,15.66,15.48,15.53,4.7425,2312922
2009-12-17,15.46,15.55,15.32,15.43,4.7119,4467140
2009-12-18,15.5,15.7,15.42,15.46,4.721,3212878
2009-12-21,15.55,15.79,15.55,15.71,4.7975,1737535
2009-12-22,15.73,15.82,15.57,15.65,4.7791,1622992
2009-12-23,15.66,15.75,15.58,15.61,4.767,1191336
2009-12-24,15.74,15.79,15.58,15.64,4.7761,773301
2009-12-28,15.65,15.719,15.55,15.64,4.7761,1483521
2009-12-29,15.61,15.73,15.6,15.66,4.7822,903498
2009-12-30,15.56,15.68,15.52,15.64,4.7761,1154669
2009-12-31,15.72,15.72,15.38,15.38,4.6967,1562462
2010-01-04,15.56,15.69,15.43,15.51,4.7364,2713388
2010-01-05,15.55,15.63,15.32,15.47,4.7243,3451533
2010-01-06,15.48,15.52,15.195,15.29,4.6692,2900807
2010-01-07,15.25,15.3,15.01,15.1,4.6113,2910449
2010-01-08,15,15.13,14.87,15.02,4.5868,6184401
2010-01-11,15.04,15.24,14.95,15.21,4.6446,3124575
2010-01-12,15.17,15.42,15.1,15.26,4.6601,2560292
2010-01-13,15.38,15.52,15.225,15.5,4.7333,2582586
2010-01-14,15.51,15.57,15.45,15.52,4.7394,1279062
2010-01-15,15.43,15.48,15.11,15.29,4.6692,2058966
2010-01-19,15.32,15.52,15.22,15.52,4.7394,1159144
2010-01-20,15.43,15.46,15.27,15.46,4.721,1503715
2010-01-21,15.27,15.44,14.74,14.87,4.541,8910487
2010-01-22,14.86,15,14.56,14.58,4.4525,4670905
2010-01-25,14.71,14.82,14.51,14.67,4.4798,2987676
2010-01-26,14.68,14.88,14.59,14.81,4.5227,2434118
2010-01-27,14.62,14.66,14.3,14.45,4.4398,3532841
2010-01-28,14.48,14.56,14.24,14.31,4.3968,3874030
2010-01-29,14.39,14.5,14.25,14.25,4.3783,3474665
2010-02-01,14.32,14.99,14.25,14.85,4.5628,5688975
2010-02-02,14.83,15.18,14.71,15.17,4.6609,3443171
2010-02-03,14.99,15.2,14.99,15.11,4.6426,2422165
2010-02-04,15,15.02,14.73,14.73,4.5258,2412531
2010-02-05,14.71,14.76,14.43,14.68,4.5104,2835376
2010-02-08,14.64,14.76,14.56,14.58,4.4796,2253561
2010-02-09,14.71,15.01,14.66,14.81,4.5504,3503747
2010-02-10,14.84,14.86,14.62,14.72,4.5229,2394623
2010-02-11,14.6,14.81,14.5,14.79,4.5443,2901556
2010-02-12,14.68,14.6899,14.46,14.64,4.4982,3789269
2010-02-16,14.81,15.01,14.73,15.01,4.6119,3114994
2010-02-17,15.08,15.08,14.95,14.97,4.5996,2057591
2010-02-18,14.92,15.13,14.91,15,4.6088,3283952
2010-02-19,14.94,15.21,14.87,15.16,4.6579,2462431
2010-02-22,15.25,15.29,15.15,15.21,4.6733,2565465
2010-02-23,15.2,15.24,15,15.04,4.6212,2412300
2010-02-24,15.04,15.11,14.82,15.01,4.6119,2928121
2010-02-25,14.82,15.01,14.74,14.99,4.6057,1804900
2010-02-26,15.03,15.17,14.94,15.02,4.6149,9091413
2010-03-01,15.09,15.23,15.05,15.17,4.6609,2046634
2010-03-02,15.21,15.27,14.8616,15.14,4.6517,2513783
2010-03-03,15.14,15.23,15.06,15.15,4.6549,1762845
2010-03-04,15.2,15.24,15,15.14,4.6517,1979247
2010-03-05,15.2,15.38,15.13,15.38,4.7255,1450825
2010-03-08,15.35,15.45,15.34,15.44,4.744,1119210
2010-03-09,15.47,15.47,15.32,15.43,4.741,1243738
2010-03-10,15.47,15.55,15.38,15.55,4.7778,1677965
2010-03-11,15.48,15.58,15.38,15.57,4.7839,1442231
