Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,50.95,53.6,50.31,53.06,11.4866,3007276
2009-01-05,52.62,53.77,52.3,53.44,11.569,3228365
2009-01-06,53.8,54,51.8,52.36,11.3351,3822681
2009-01-07,51.61,52,50.3,50.46,10.9239,5041177
2009-01-08,50.29,51.4,49.72,51.39,11.1251,3932567
2009-01-09,51.45,51.78,49.37,49.61,10.7398,3311615
2009-01-12,49.4,50.47,48.96,50.12,10.8502,3432623
2009-01-13,49.81,50.95,49.11,49.5,10.716,3894834
2009-01-14,48.22,48.46,46.17,46.65,10.099,6851041
2009-01-15,46.65,47.37,45.72,46.96,10.1661,4108419
2009-01-16,47.38,47.4,45.87,46.8,10.1315,3529279
2009-01-20,46.13,46.94,44,44.14,9.5557,3686428
2009-01-21,44.69,45.74,43.54,45.66,9.8846,3485910
2009-01-22,45.03,46.86,44.18,45.63,9.8781,3592450
2009-01-23,44.77,46.27,44.04,45.68,9.8891,2844799
2009-01-26,45.79,47.08,45,45.67,9.8868,2001309
2009-01-27,45.92,46.16,44.85,45.51,9.8523,2422306
2009-01-28,46.32,48.35,46.3,47.6,10.3047,2977786
2009-01-29,47.13,47.68,45.82,45.99,9.9562,2184407
2009-01-30,46.295,46.49,44.94,45.25,9.7959,2667573
2009-02-02,44.57,45.3,43.82,44.43,9.6185,2504181
2009-02-03,44.68,46.49,44.11,46.3,10.0232,2774645
2009-02-04,46.42,46.43,45.26,45.78,9.9107,3763720
2009-02-05,45.78,47.43,45.33,47.2,10.2181,3613542
2009-02-06,47.32,49.12,46.8,48.68,10.5385,3466785
2009-02-09,48.74,48.74,47.14,47.77,10.3414,2845385
2009-02-10,47.27,47.77,44.76,45.05,9.7526,4504122
2009-02-11,45.38,45.39,43.37,44.31,9.5925,5995072
2009-02-12,43.69,44.61,42.9375,44.46,9.6249,3718228
2009-02-13,44.23,45.03,43.21,43.43,9.4019,3020656
2009-02-17,42.72,42.72,41.37,41.94,9.0794,5569585
2009-02-18,42.32,43.94,41.95,43.52,9.4215,5862627
2009-02-19,43.94,44.38,42.34,42.81,9.2677,3261139
2009-02-20,42.32,43.36,41.92,42.93,9.2937,3021023
2009-02-23,43.45,43.9,41.41,41.61,9.008,3229249
2009-02-24,41.64,43.12,40.49,42.94,9.2958,3464545
2009-02-25,42.64,43.16,41.56,42.15,9.1248,3971272
2009-02-26,42.5,42.53,41,41.03,8.8824,3162251
2009-02-27,40.23,42.18,40.08,41.53,8.9906,4684696
2009-03-02,40.83,41.29,39.63,39.76,8.6074,4355872
2009-03-03,40.37,41.25,40.02,40.05,8.6702,4276936
2009-03-04,40.74,43.32,40.74,42.55,9.2114,4173876
2009-03-05,41.37,41.94,39.44,39.94,8.6975,5919219
2009-03-06,40.25,40.91,39,39.94,8.6975,5991849
2009-03-09,39.35,40.08,38.24,38.57,8.3992,5173804
2009-03-10,38.97,42,38.97,41.61,9.0612,5738954
2009-03-11,41.98,43.94,41.75,43.43,9.4574,4812098
2009-03-12,43.43,44.84,42.41,44.59,9.71,4528177
2009-03-13,44.76,44.82,43.27,44.67,9.7275,4974968
