Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,17.11,17.52,16.36,16.5,9.4531,991504
2009-01-05,16.5,16.5,15.84,16.07,9.2068,1385491
2009-01-06,16.22,16.87,15.93,16.74,9.5907,2325510
2009-01-07,16.29,16.76,16.04,16.25,9.3097,1163625
2009-01-08,16.06,16.25,15.71,16.08,9.2124,1059222
2009-01-09,16.13,16.37,15.4,15.47,8.8631,1428274
2009-01-12,15.6,15.64,14.8,15.05,8.6224,1591224
2009-01-13,14.92,15.76,14.58,15.67,8.9776,1813429
2009-01-14,15.15,15.42,14.62,14.98,8.582,1597124
2009-01-15,14.79,15.92,14.45,15.46,8.8572,1704784
2009-01-16,15.8,15.89,14.67,15.71,9.0006,3093212
2009-01-20,15.39,15.59,13.84,14.02,8.0322,2715858
2009-01-21,14.3,15.36,13.8,15.27,8.7484,2410751
2009-01-22,14.84,15.4,14.32,14.65,8.3933,2900915
2009-01-23,14.27,15.09,13.9,14.92,8.548,2038967
2009-01-26,14.99,15.14,14.52,14.88,8.5251,1588592
2009-01-27,14.98,15.495,14.69,15.37,8.8058,1709917
2009-01-28,15.57,16.31,15.19,16.23,9.531,2184403
2009-01-29,15.93,16.02,15.05,15.18,8.9143,1743258
2009-01-30,15.45,15.6,14.17,14.43,8.4739,1831886
2009-02-02,14.2,15.14,14,15.09,8.8613,2313840
2009-02-03,15.09,15.44,14.7,15.18,8.9143,1169780
2009-02-04,15.18,16.1,15.18,15.46,9.0788,1941753
2009-02-05,15.37,15.93,14.96,15.41,9.0494,2396065
2009-02-06,15.31,16.53,15.29,16.34,9.5956,1817917
2009-02-09,16.21,16.41,15.91,16.38,9.6192,953248
2009-02-10,16.19,16.19,15.2,15.3,8.985,2707699
2009-02-11,15.45,15.63,14.76,15.48,9.0907,1748740
2009-02-12,15.2,15.54,14.29,15.41,9.0494,2033220
2009-02-13,15.37,15.42,14.64,14.71,8.6383,1656879
2009-02-17,14.24,14.54,14,14.05,8.2508,1968105
2009-02-18,14.26,14.6,13.76,14.48,8.503,1652307
2009-02-19,14.9,14.94,13.85,13.98,8.2097,2003322
2009-02-20,13.7,15.26,13.4,15.11,8.8733,2839484
2009-02-23,15.33,15.5,14.18,14.29,8.3914,2008776
2009-02-24,14.6,15.35,14.3,15.28,8.9731,2510714
2009-02-25,15.03,15.94,14.56,15.26,8.9612,2152248
2009-02-26,15.49,15.68,14.39,14.61,8.5797,2150087
2009-02-27,14.22,14.8,14.19,14.37,8.4388,2096998
2009-03-02,14.02,14.3225,13.46,13.55,7.957,2523517
2009-03-03,13.67,14.39,13.04,13.54,7.9511,2141352
2009-03-04,13.81,14.24,13.35,13.85,8.1333,1638223
2009-03-05,13.37,13.72,13,13.16,7.7279,2036992
2009-03-06,13.28,13.5,12.26,12.96,7.6107,2247145
2009-03-09,12.74,13.17,12.526,13.14,7.7164,1956089
2009-03-10,13.6,14.65,13.18,14.58,8.5618,3201028
2009-03-11,15.03,15.03,13.94,14.16,8.3153,2504960
2009-03-12,14.14,15.02,13.78,14.92,8.7616,2256070
2009-03-13,14.88,15.28,14.34,14.8,8.6908,1367495
2009-03-16,15.18,15.18,13.88,13.9,8.1625,1986181
2009-03-17,13.74,14.85,13.56,14.84,8.7147,1827076
2009-03-18,14.81,15.48,14.22,15.43,9.0612,2140849
2009-03-19,15.47,15.63,14.59,14.72,8.6443,1882166
2009-03-20,14.79,14.9,13.82,13.85,8.1333,2048354
2009-03-23,14.3,15.81,14.15,15.78,9.2667,3247118
2009-03-24,15.49,16.04,14.67,14.78,8.6793,2672746
2009-03-25,14.9,15.43,14.03,15.23,8.9437,2439132
2009-03-26,15.58,15.81,14.7,15.72,9.2314,2365116
2009-03-27,15.42,15.94,14.99,15.3,8.985,2207794
2009-03-30,14.83,15.08,14.58,14.71,8.6383,1792765
2009-03-31,14.9,15.95,14.5,15.84,9.3021,2831794
2009-04-01,15.49,16.3,15.25,16.14,9.4779,2600453
