Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,45.71,46.82,44.86,46.6,32.4516,1252146
2009-01-05,46.87,49.51,46.87,49.3,34.3317,3248832
2009-01-06,49.66,49.87,48.01,48.49,33.7678,2714559
2009-01-07,48.17,48.17,46.56,47.16,32.8416,1997160
2009-01-08,46.9,48.31,46.55,48.25,33.6006,2132518
2009-01-09,48.41,48.81,47.06,47.38,32.9946,2393591
2009-01-12,47.19,47.83,46.75,47.52,33.0924,2173252
2009-01-13,47.28,47.55,46.4,47.32,32.9529,2642643
2009-01-14,46.74,47.24,46.34,46.71,32.528,2282086
2009-01-15,46.71,46.93,45.46,46.75,32.5562,2137617
2009-01-16,47.46,48.98,47.01,48.63,33.8653,3681661
2009-01-20,48.53,48.85,46.85,46.96,32.7022,2865539
2009-01-21,47.31,48.16,46.46,47.98,33.4122,2080568
2009-01-22,46.11,48.71,45.17,48.08,33.4823,3399983
2009-01-23,47.5,47.67,46.19,47.11,32.8068,2573937
2009-01-26,46.98,49.06,46.98,48.31,33.6425,2248543
2009-01-27,48.64,49.11,47.9,48.92,34.0669,1694705
2009-01-28,50,50.09,48.83,49.72,34.6244,1815418
2009-01-29,49.29,49.69,48.14,48.45,33.7396,1804758
2009-01-30,48.61,48.94,47.59,48.12,33.5098,2216127
2009-02-02,46.69,47.6,45.75,46.61,32.4583,2288607
2009-02-03,47.32,49.19,46.57,48.58,33.8303,3346088
2009-02-04,47.06,48.74,47.06,47.91,33.3636,2164155
2009-02-05,47.78,48.46,47.42,47.92,33.3711,3338918
2009-02-06,47.91,48.75,45.9,46.18,32.1591,4221504
2009-02-09,46.87,46.89,45.77,46.4,32.3123,3144477
2009-02-10,45.8,46.4,44.11,44.54,31.0172,2828813
2009-02-11,44.5,45.69,44.45,45.06,31.379,2589283
2009-02-12,45.37,46.57,44.13,46.36,32.2844,3497693
2009-02-13,46.32,47.77,46.32,47.19,32.8623,2099772
2009-02-17,46,46.2,44.56,44.99,31.3303,2913000
2009-02-18,45.18,46.19,45.01,45.49,31.6788,2364337
2009-02-19,45.76,46.39,45.23,45.46,31.6576,2786317
2009-02-20,45.22,45.78,43.88,44.43,30.9405,3149797
2009-02-23,44.45,44.51,42.25,42.29,29.4498,2983902
2009-02-24,42.54,43.74,42.04,43.08,30.0001,3697780
2009-02-25,42.96,42.96,40.7,40.99,28.5445,4822123
2009-02-26,41.28,41.28,39.3,39.42,27.7222,3350814
2009-02-27,38.69,38.69,37.32,37.36,26.2733,4263090
2009-03-02,36.63,36.95,35.31,35.45,24.93,4894888
2009-03-03,35.8,35.89,34.94,35.23,24.7755,4179821
2009-03-04,35.49,36.82,35.49,36.33,25.5491,4186851
2009-03-05,35.7,35.73,34.73,34.99,24.6064,3938628
2009-03-06,35.22,35.79,33.81,34.54,24.2898,3187212
2009-03-09,34.72,35.6,34.11,34.35,24.1566,3217653
2009-03-10,34.98,35.76,34.23,35.64,25.0637,3659336
2009-03-11,35.94,36.17,34.61,34.92,24.5573,2904124
2009-03-12,34.94,36.55,34.5,36.45,25.6333,2581990
2009-03-13,36.68,36.88,35.64,36.57,25.7179,2444845
2009-03-16,36.64,39.14,36.64,38.25,26.899,3711380
2009-03-17,38.44,38.44,37.31,38.39,26.9977,3149848
2009-03-18,38.25,39.2985,37.14,38.82,27.3002,3055704
2009-03-19,39.27,39.29,38.41,38.81,27.2929,2072817
2009-03-20,38.67,39.38,38.11,38.32,26.9485,3923101
2009-03-23,39.11,40.88,38.83,40.88,28.7487,4234911
2009-03-24,40.53,42.93,40.53,42.02,29.5505,4497063
2009-03-25,42.24,43.7,42.11,43.45,30.556,5529342
2009-03-26,43.53,45.76,43.37,45.73,32.1596,3434321
2009-03-27,45.26,45.71,44.84,45.02,31.6602,2806004
2009-03-30,44.12,44.53,43.04,43.49,30.5841,2818227
2009-03-31,43.92,44.68,43.4,43.64,30.6895,3006842
2009-04-01,43.04,44.96,42.75,44.62,31.3789,3006418
2009-04-02,45.51,46.53,45.16,45.66,32.1104,3013636
2009-04-03,45.62,46.06,43.51,43.98,30.9286,4502750
2009-04-06,43.69,48.01,43.5,47.94,33.7136,5547179
2009-04-07,47.31,48.23,45.84,45.84,32.2371,4248714
2009-04-08,45.92,46.23,44.73,45.06,31.6881,3945776
2009-04-09,46.41,46.41,44.66,44.74,31.4634,3974778
2009-04-13,44.84,45.44,44.05,45.01,31.6532,1777465
2009-04-14,44.72,45.3,44.15,44.95,31.6109,1848312
2009-04-15,45.19,47.3,45,45.6,32.068,1744748
2009-04-16,45.76,47.35,45.36,47.19,33.1866,1856541
2009-04-17,47.35,48.25,46.95,47.81,33.6223,3681138
2009-04-20,47.2,47.93,46.49,47,33.0527,2475041
2009-04-21,46.88,47.95,46.72,47.88,33.6717,3427886
2009-04-22,47.6,48.96,47.16,47.78,33.6013,2567616
2009-04-23,48.02,48.92,47.81,48.87,34.3677,2275839
2009-04-24,49,49.6,48.35,48.86,34.3603,2091419
2009-04-27,48.49,49.69,48.14,48.79,34.3113,2589808
2009-04-28,48.4,49.27,47.85,48.27,33.9454,2465683
2009-04-29,48.46,48.84,48.28,48.63,34.1993,3389499
2009-04-30,48.92,49.52,47.87,48.35,34.002,2863594
2009-05-01,48.34,49.34,48.25,49.34,34.6982,1874784
2009-05-04,49.22,50,49.04,49.98,35.1482,1712194
