Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,46.91,49.44,46.59,49.07,37.3394,3024970
2009-01-05,48.86,49.34,47.86,48.5,36.9058,3456414
2009-01-06,48.06,50.14,48.06,49.9,37.9706,3420606
2009-01-07,49.5,50.16,47.26,47.58,36.2058,3008928
2009-01-08,47.31,48.11,46.25,47.64,36.251,2143259
2009-01-09,47.64,48.1,45.87,46.55,35.4218,2961191
2009-01-12,45.6,45.6,42.845,43.31,32.9561,5534351
2009-01-13,43.88,44.41,41.02,42.14,32.0658,6812247
2009-01-14,41.68,41.96,39.05,39.52,30.0724,8346855
2009-01-15,39.38,40.142,37.05,38.8,29.5242,8624605
2009-01-16,39.44,39.73,37.22,37.81,28.771,6229744
2009-01-20,37.34,38.12,35.08,35.28,26.8459,6562064
2009-01-21,35.8,36.74,33.45,35.4,26.9373,9152533
2009-01-22,34.94,36.16,34.3,35.57,27.0668,7575117
2009-01-23,34.67,35.01,33.47,34.15,25.9859,6201882
2009-01-26,34.16,35.68,34,35.3,26.8612,5492964
2009-01-27,35.62,38.27,34.87,37.65,28.6496,8491913
2009-01-28,39.5,40.7,38.16,39.86,30.331,7635117
2009-01-29,39.39,39.49,37.92,38.21,29.0753,3729552
2009-01-30,38.27,38.75,37.39,38.36,29.1896,4735928
2009-02-02,37.81,38.22,36.96,37.55,28.5732,4107109
2009-02-03,37.84,38.28,36.71,37.9,28.8394,5830959
2009-02-04,37.93,39.28,37.62,38.63,29.6614,4500656
2009-02-05,38.63,39.79,37.51,39.51,30.337,4073852
2009-02-06,39.55,42.34,39.3101,41.27,31.688,6433301
2009-02-09,41.13,41.61,39.86,41.22,31.6496,4153831
2009-02-10,40.94,41.22,37.74,38.4,29.4845,6707364
2009-02-11,38.71,39,37.4,38.02,29.1927,3510628
2009-02-12,37.47,37.47,35.36,36.81,28.2637,6126069
2009-02-13,36.76,38.41,36.5,37.73,28.9702,5102570
2009-02-17,36.95,37.51,35.13,35.67,27.3885,5640304
2009-02-18,35.68,36.4997,35.12,35.56,27.304,3450616
2009-02-19,34.38,35.55,33.85,34.04,26.1368,4393710
2009-02-20,33.78,34.58,33.11,33.97,26.0831,6483243
2009-02-23,34.26,34.63,32.1,32.22,24.7394,5093001
2009-02-24,32.35,33.89,32.14,33.47,25.6989,5621839
2009-02-25,33.35,33.35,31.85,32.56,25.0003,5753581
2009-02-26,32.86,33.15,32.18,32.37,24.8545,5702592
2009-02-27,31.66,32.52,30.77,31.72,24.3555,6066892
