Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,52,53.31,49.83,53.22,41.8053,2308298
2009-01-05,52.8,53.23,51.16,52.7,41.3967,2162554
2009-01-06,53.19,54.5,52.9,54.17,42.5518,2276798
2009-01-07,54.41,55.29,52.05,52.26,41.0513,2983767
2009-01-08,52.05,53.3,51.27,52.37,41.1376,2293809
2009-01-09,52.49,52.87,50.14,50.16,39.4021,1572359
2009-01-12,50.12,50.66,48.24,48.49,38.0898,1848092
2009-01-13,48.15,49.11,46.83,48.25,37.9011,2434696
2009-01-14,46.88,47.84,45.74,47.24,37.1078,2610746
2009-01-15,47.35,49.87,45.33,48.28,37.9249,3521456
2009-01-16,49.72,51.36,47.87,51.08,40.1241,4801499
2009-01-20,44.51,50.2,43.32,43.93,34.5076,12023043
2009-01-21,50.09,57.74,49.05,57.51,45.1749,10788991
2009-01-22,56.4,58.37,52.17,54.48,42.795,5632503
2009-01-23,53,57.42,52.5,56.55,44.4212,3175849
2009-01-26,55.64,57.69,54.14,55.21,43.3683,3116850
2009-01-27,56.53,57.3,54.55,56.12,44.0832,3265731
2009-01-28,58.24,61.33,57.54,61.22,48.0893,4883959
2009-01-29,59.98,60.89,56.53,56.83,44.641,3299725
2009-01-30,57.69,59.83,56.59,57.52,45.1832,3595186
2009-02-02,56.79,60.9,56.22,60.34,47.3984,3903536
2009-02-03,60.17,61.62,57.55,58.94,46.2983,4544630
2009-02-04,59.482,60.77,58.06,58.45,45.9135,3435976
2009-02-05,57.59,62.16,56.6,60.34,47.3984,4677011
2009-02-06,59.19,61.8,59.19,61.62,48.4039,3664166
2009-02-09,61.78,63.08,61.02,62.32,48.9533,2032082
2009-02-10,61.4,62.32,57.71,57.97,45.5364,3775565
2009-02-11,58.18,61.5,57.85,61.01,47.9242,3287966
2009-02-12,60.39,60.39,57.2,60.03,47.1543,4110463
2009-02-13,58.9,59.92,57.58,57.59,45.2377,2163167
2009-02-17,56.34,56.87,54.12,55.39,43.5098,3647327
2009-02-18,56.45,57.57,54.895,57.02,44.7903,3175935
2009-02-19,58.3277,58.58,55.07,55.07,43.2587,3424738
2009-02-20,54.05,57.72,53.25,56.49,44.3736,5195340
2009-02-23,57.81,58.16,54.6,54.68,42.9519,2685290
2009-02-24,55.57,60.8,55.07,60.79,47.7515,4908190
2009-02-25,59.64,59.99,56.14,58.14,45.67,4659082
2009-02-26,59.58,60.03,56,56.84,44.6488,4129461
2009-02-27,55.58,57.73,55.02,55.55,43.6355,3586029
2009-03-02,54.02,56.21,53.79,54.32,42.6692,3186227
2009-03-03,54.87,56.24,53.59,54.31,42.6615,4210561
2009-03-04,55.11,55.73,50.95,53.07,41.6876,5656228
2009-03-05,51.86,52.89,48.05,48.64,38.2076,6760439
2009-03-06,48.9,50.2495,45.78,47.38,37.4331,5008187
2009-03-09,47.48,49.43,45.78,47.88,37.8283,3794413
2009-03-10,49.23,53.76,48.78,53.76,42.4741,5570064
2009-03-11,53.97,56.03,52.05,55.06,43.501,3931047
