Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,46.95,48.59,46.84,48.3,34.4333,7091743
2009-01-05,47.57,49,46.52,47.32,33.735,9121750
2009-01-06,47.35,47.68,43.92,45.57,32.4873,10592128
2009-01-07,44.23,44.97,43.45,43.73,31.1753,7341707
2009-01-08,43.62,45.07,42.88,44.98,32.0667,6215422
2009-01-09,45.17,45.2,43.55,43.72,31.1684,4887120
2009-01-12,43.03,43.25,40.31,40.87,29.1366,6121681
2009-01-13,40.55,42.55,40.41,42.21,30.092,6544972
2009-01-14,41.12,41.21,39.2,39.47,28.1384,9262184
2009-01-15,39.74,41.59,37.23,40.78,29.0722,11873886
2009-01-16,41.72,42.97,40.5,42.1,30.0136,7341412
2009-01-20,41,42.64,39.72,40.05,28.5518,7021547
2009-01-21,40.86,41.19,38.73,40.8,29.0863,8387920
2009-01-22,40.25,41.2,39,39.43,28.11,6966242
2009-01-23,38.03,40.72,37.6,39.44,28.1173,7397404
2009-01-26,39.35,40.62,36.95,37.46,26.7055,8138337
2009-01-27,38.89,40.86,37.58,39.8,28.3735,10204446
2009-01-28,41.32,45.07,41,44.55,31.7602,11848278
2009-01-29,44,44.03,42.52,43.03,30.6764,6749905
2009-01-30,42.01,42.18,40.4,40.79,29.0796,7916841
2009-02-02,40.14,41.68,39.51,40.43,28.8232,7151766
2009-02-03,40.89,43,40.62,42.64,30.3981,6714985
2009-02-04,43.07,45,42.6,42.75,30.477,7832537
2009-02-05,42.55,44.97,42.35,44.25,31.5463,8482006
2009-02-06,44.77,46.31,44.6,45.89,32.7153,8493800
2009-02-09,46.86,46.86,44.34,45.37,32.3448,6073544
2009-02-10,44.79,45.97,41.93,42.35,30.1918,7461942
2009-02-11,43.23,43.98,41.9,43.07,30.7048,5675594
2009-02-12,42.32,44.05,41.6001,43.96,31.3394,6259357
2009-02-13,43.8,44.78,43.39,43.83,31.2471,4439040
2009-02-17,42.69,42.69,40.07,40.21,28.6657,7993089
2009-02-18,41.18,41.5,38.36,38.69,27.5823,9083984
2009-02-19,39.37,40.5,39,39.19,27.939,6726499
2009-02-20,38.31,40.49,37.88,39.98,28.502,10025307
2009-02-23,40.55,40.97,35.46,35.55,25.344,8942667
2009-02-24,35.73,37.9,35.11,37.75,26.9122,8610921
2009-02-25,37.48,37.75,35.67,36.01,25.6718,7265390
2009-02-26,36.74,36.87,35.01,35.13,25.0444,6755606
2009-02-27,34.02,35.96,33.52,33.65,23.9891,9019194
2009-03-02,32.59,33.65,29.84,30.74,21.915,11711717
2009-03-03,31.2,32.83,31,32.12,22.8984,9514799
2009-03-04,33.93,35.458,33.52,34.73,24.7593,11015936
2009-03-05,33.5,33.95,31.64,32.07,22.863,9427088
2009-03-06,32.54,33.7925,31.26,32.34,23.0555,6996235
2009-03-09,31.8,32.96,31.36,31.58,22.5138,6472146
2009-03-10,33.54,36.9,33.25,36.57,26.071,10622029
2009-03-11,37.77,38.25,35.88,36.9,26.3063,8845399
2009-03-12,35.24,37.09,35.05,36.96,26.3488,8105038
2009-03-13,37.38,38.64,36.17,37.38,26.6485,9225123
2009-03-16,37.64,38.44,36.56,36.95,26.3419,5909308
2009-03-17,33.15,33.89,31.54,33.55,23.9179,19617566
2009-03-18,32.71,35.73,32.55,35.51,25.3153,11149151
2009-03-19,35.83,39.35,35.74,38.08,27.1475,11781180
2009-03-20,38.69,39.2,37.03,37.47,26.7128,8430056
2009-03-23,38.54,40.2,37.96,40.2,28.6591,8246301
2009-03-24,39.46,41.06,38.78,40.03,28.5377,7442775
2009-03-25,41.4,41.67,37.75,39.08,27.8603,10293736
2009-03-26,39.78,41.45,39.78,41.09,29.2934,7163229
2009-03-27,40.12,41.5,39.8,40.54,29.1494,6155069
2009-03-30,39.12,39.15,37.51,38.09,27.3881,6125333
2009-03-31,38.67,39.19,37.31,38.17,27.4455,7078571
2009-04-01,37.46,40.5,37.28,40.02,28.7756,6869211
2009-04-02,41.39,43.34,41.24,42.61,30.6378,7788119
2009-04-03,42.34,44.25,41.82,43.7,31.4219,7561984
2009-04-06,42.92,43.08,41.86,42.81,30.7817,7216851
2009-04-07,41.6,42.09,40.3,40.6,29.1927,6650913
2009-04-08,41.24,41.25,39.02,40.68,29.2502,6701117
2009-04-09,41.93,42.979,41.66,42.76,30.7458,4587605
2009-04-13,42.23,44.1,41.76,43.6,31.3498,4656783
2009-04-14,43.02,43.77,42.37,42.69,30.6956,4223296
2009-04-15,42.16,42.53,41.5,42.47,30.5371,4186141
2009-04-16,42.43,43.83,41.78,43.48,31.2635,5138640
2009-04-17,43.63,44.5,43,44.16,31.7526,5333585
2009-04-20,42.4,42.81,41.42,41.7,29.9836,5453483
2009-04-21,41.37,43.19,41.07,43.06,30.9616,4142640
2009-04-22,42.35,45.56,42.17,44.07,31.6877,6420259
2009-04-23,42,42.74,38.8,40,28.7615,13728493
2009-04-24,40.42,42.43,39.52,40.54,29.1494,8486378
2009-04-27,39.55,40.75,38.5,38.95,28.0062,6233519
2009-04-28,38.07,39.13,37.4,37.5,26.9638,6901862
2009-04-29,37.95,39.36,37.54,38.62,27.7692,7080435
2009-04-30,39.41,41.12,39.17,40.69,29.2576,7437798
2009-05-01,40.78,42.27,40.31,41.43,29.7895,6787632
2009-05-04,42.11,45,42,44.88,32.2701,7845322
2009-05-05,44.5,45,43.05,43.95,31.6017,5801948
2009-05-06,44.62,45.38,43.39,44.31,31.8605,6806059
2009-05-07,45.17,45.5,42.11,42.78,30.7603,6962244
2009-05-08,43.63,44.6,42.86,43.59,31.3426,4990143
2009-05-11,42.72,43.7,41.99,42.75,30.7386,4726650
2009-05-12,43.11,43.3,41.5,42.73,30.7244,5166139
2009-05-13,41.59,42,38.79,39.58,28.4594,7021209
2009-05-14,39.05,40.04,38.51,39.4,28.33,6484921
2009-05-15,39.44,40.38,38.35,38.9,27.9704,5004125
2009-05-18,39.28,40.5,39.07,40.42,29.0635,4074538
2009-05-19,40.73,42.3,40.54,41.84,30.0842,5723362
2009-05-20,42.62,43.25,40.28,40.61,29.1997,6849411
2009-05-21,39.9,39.91,38.6,39.24,28.2145,5841799
2009-05-22,39.57,41.27,39.24,40.09,28.8258,5792030
2009-05-26,39.44,41.52,39.14,41.15,29.5881,5504300
2009-05-27,41.35,43.9,41.35,41.77,30.034,7210690
2009-05-28,42.57,43.3,41.84,42.82,30.789,5874761
2009-05-29,43.34,44,42.75,43.91,31.5725,4369612
2009-06-01,44.95,47.1,44.72,46.98,33.7802,9740605
2009-06-02,46.66,47.81,46.1,47.38,34.0677,6944552
2009-06-03,46.12,46.51,43.72,44.73,32.1625,8264546
2009-06-04,44.8,46.67,43.66,46.31,33.2985,8238132
2009-06-05,46.95,47.85,45.34,47.53,34.1755,6814841
2009-06-08,46.44,47.22,45.29,46.76,33.6218,5420526
2009-06-09,46.42,48.03,46.02,47.76,34.3406,6450580
2009-06-10,48.5,48.7,46.17,47.4,34.082,6892035
2009-06-11,47.4,49.82,47.07,48.97,35.2108,7180801
2009-06-12,48.2,48.29,47.06,47.5,34.1542,4133900
2009-06-15,46.5,46.74,45.06,45.75,32.8959,5068567
2009-06-16,47,48.4398,46.42,46.86,33.6939,10069834
2009-06-17,46.48,47.3,45.01,46.38,33.3487,7335386
2009-06-18,46.5,47.4,45.56,46.49,33.428,4594465
2009-06-19,47.3,47.62,46.21,46.68,33.5644,5306749
2009-06-22,45.81,45.86,43.33,43.42,31.2203,5585612
2009-06-23,44.06,44.48,42.47,43.98,31.6232,6513601
2009-06-24,44.75,45.54,43.52,44.18,31.7667,5064942
2009-06-25,43.62,45.26,43.46,45.06,32.3995,5278579
2009-06-26,44.63,46.17,44.3,45.15,32.7186,4622470
2009-06-29,45.34,46.07,45,45.25,32.7906,3316721
2009-06-30,45.25,45.74,44.18,44.43,32.1967,4471236
2009-07-01,45.33,45.38,43,43.46,31.4936,4408132
2009-07-02,42.81,42.96,42.19,42.22,30.5954,4887657
2009-07-06,41.34,41.61,40.26,41.31,29.936,5902298
2009-07-07,41.45,41.99,40.55,40.74,29.5222,5006850
2009-07-08,41.01,41.79,39.2,40.4,29.2763,6739315
2009-07-09,41.11,42.32,40.8,41.44,30.0299,5712790
2009-07-10,40.79,41.47,40.13,41.2,29.856,3900949
2009-07-13,41.21,42.63,40.84,42.58,30.856,5550662
2009-07-14,42.76,43.48,42.58,42.75,30.9793,4599119
2009-07-15,43.73,43.82,43.06,43.61,31.6026,6433943
2009-07-16,43.62,44.5,43.22,44.12,31.9721,6357435
2009-07-17,44.06,44.92,43.97,44.6,32.3198,4439799
2009-07-20,45.23,45.91,44.5,44.81,32.4718,6115914
2009-07-21,45.38,45.8,43.48,44.61,32.327,4379913
2009-07-22,43.76,44.63,43.5,44.28,32.0879,4978530
2009-07-23,43.85,44.71,43.51,44.35,32.1387,7782389
2009-07-24,44.16,45.09,44,44.83,32.4864,6887235
2009-07-27,44.99,45.5,44.5,45.1,32.6821,4550017
2009-07-28,44.43,45.48,44.01,45.3,32.8272,5856749
2009-07-29,44.34,44.39,42.86,43.21,31.3127,6085088
2009-07-30,44.27,44.73,43.78,43.93,31.8342,4429169
2009-07-31,43.77,45,43.5,44.47,32.2257,4240253
2009-08-03,45.62,47.44,45.53,47.26,34.2476,6403409
2009-08-04,46.8,47.57,46.54,47,34.0592,5424263
2009-08-05,47.38,48.2885,46.67,47.97,34.7619,6034666
2009-08-06,48.29,49,47.88,48.83,35.3851,6862172
2009-08-07,49.29,49.79,48.18,49.13,35.6027,5166873
2009-08-10,48.71,48.85,46.6409,47.1,34.1316,4573219
2009-08-11,46.89,47.21,45.66,45.94,33.2908,5243416
2009-08-12,45.65,47.08,45.65,46.62,33.784,4464959
2009-08-13,47.23,47.78,46.6,47.71,34.5735,4034212
2009-08-14,47.53,47.64,46.26,46.79,33.9068,3531843
2009-08-17,45.12,45.58,44,44.58,32.3053,5828699
2009-08-18,44.86,46.01,44.72,45.88,33.2477,4647678
2009-08-19,44.86,46.53,44.74,46.08,33.3924,3959916
2009-08-20,46.06,47.06,46.05,46.61,33.7766,3567852
2009-08-21,47.1,47.69,46.81,47.15,34.1677,4567954
2009-08-24,47.84,48.15,46.61,46.77,33.8926,4271278
2009-08-25,47.17,47.72,46.24,46.37,33.6027,3991486
2009-08-26,46.3,46.61,45.08,45.28,32.8128,4296073
2009-08-27,45.42,45.42,43.68,44.86,32.5081,6514507
2009-08-28,45.45,45.98,45.11,45.86,33.2333,3586503
2009-08-31,45.06,45.14,44.29,44.54,32.2765,3910756
2009-09-01,44.18,45.34,43.36,43.67,31.6461,4285081
2009-09-02,43.53,43.99,43.02,43.34,31.4067,4067637
2009-09-03,43.91,44.11,43.19,44.07,31.936,2915771
2009-09-04,44.06,44.42,43.55,44.17,32.0083,3177919
2009-09-08,45.09,45.51,44.61,45.39,32.8923,4226955
2009-09-09,45.48,45.96,45,45.63,33.0665,3942449
2009-09-10,45.53,47.09,45,47.03,34.0809,5405510
2009-09-11,47.81,47.81,46.17,46.37,33.6027,5897323
2009-09-14,45.67,46.83,45.53,46.81,33.9212,4378910
2009-09-15,45.75,48,45.75,47.79,34.6314,9011196
2009-09-16,48.07,48.39,47.35,48.11,34.8636,5672739
2009-09-17,48.84,51.08,48.56,49.84,36.1171,10297014
2009-09-18,50.06,50.4,49.14,49.7,36.0156,4875803
2009-09-21,48.89,49.67,48.5,49.27,35.7039,4205111
2009-09-22,49.87,50,49.15,49.72,36.0305,4111535
