Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,8.07,8.77,8.04,8.71,8.0268,12431207
2009-01-05,8.61,9.07,8.55,8.87,8.1744,17650524
2009-01-06,9.13,9.43,8.93,9.172,8.4525,16462864
2009-01-07,8.96,8.96,8.3075,8.62,7.9438,21753456
2009-01-08,8.51,8.51,7.88,8.4,7.7412,25364763
2009-01-09,8.4,8.4,7.91,7.93,7.3081,19034952
2009-01-12,7.93,7.97,7.5,7.61,7.013,16139494
2009-01-13,7.35,7.939,7.21,7.65,7.0499,45621551
2009-01-14,7.38,7.47,7.2,7.31,6.7366,24374542
2009-01-15,7.35,7.69,7.2,7.57,6.9763,24956500
2009-01-16,7.78,8.0599,7.53,7.99,7.3635,20783033
2009-01-20,7.97,8,7.15,7.21,6.6446,17649513
2009-01-21,7.35,7.61,7.08,7.56,6.9669,16218210
2009-01-22,7.32,7.62,7.15,7.42,6.8379,13693372
2009-01-23,7.21,7.94,7.2,7.71,7.1056,15840329
2009-01-26,7.745,8.2025,7.62,7.97,7.345,14545368
2009-01-27,8.1,8.5,8.07,8.44,7.7781,18134000
2009-01-28,8.74,8.93,8.46,8.79,8.1006,18094799
2009-01-29,8.5,8.6,8.24,8.28,7.6307,10329002
2009-01-30,8.22,8.44,7.85,7.95,7.3261,12668918
2009-02-02,7.83,8.47,7.79,8.38,7.7229,14450934
2009-02-03,8.4,8.55,8.17,8.48,7.8147,9923639
2009-02-04,8.5,9.15,8.5,8.72,8.0362,19485974
2009-02-05,8.49,9.46,8.4,9.36,8.6261,22986135
2009-02-06,9.39,9.93,9.23,9.87,9.0955,28952635
2009-02-09,9.83,9.97,9.47,9.74,8.976,17904324
2009-02-10,9.73,9.86,9.14,9.32,8.5891,28241442
2009-02-11,8.575,8.89,7.86,8.15,7.5106,49588399
2009-02-12,7.97,8.37,7.86,8.32,7.6674,25600670
2009-02-13,8.13,8.41,8.07,8.31,7.6581,19107779
2009-02-17,8,8.19,7.8,7.83,7.2161,19494354
2009-02-18,7.83,8.3,7.82,8.04,7.4095,16157315
2009-02-19,8.2,8.27,7.42,7.42,6.8379,18601684
2009-02-20,7.32,7.73,7.25,7.61,7.013,19251356
2009-02-23,7.74,7.78,7.21,7.26,6.6908,16989732
2009-02-24,7.3,7.92,7.29,7.91,7.2895,16488108
2009-02-25,7.89,8.24,7.62,8,7.3729,17559340
2009-02-26,8.28,8.54,8.16,8.26,7.6121,27939105
2009-02-27,8.05,8.47,7.99,8.28,7.6307,18886554
2009-03-02,8.08,8.25,7.55,7.58,6.9857,17501557
2009-03-03,7.72,8.18,7.47,7.88,7.2622,26037798
2009-03-04,8.09,8.7,8.02,8.46,7.7965,27716927
2009-03-05,8.34,8.68,8.22,8.26,7.6121,23881224
2009-03-06,8.26,8.6899,8.15,8.39,7.7321,24369991
2009-03-09,8.33,8.96,8.28,8.3,7.6491,17069181
2009-03-10,8.6,9.21,8.52,9.05,8.3401,31371435
2009-03-11,9.05,11.85,8.9,9.3,8.5705,21630363
2009-03-12,9.27,9.95,9.15,9.85,9.0774,40118080
2009-03-13,9.71,9.94,9.55,9.8,9.0314,29879831
2009-03-16,9.9,9.91,9.34,9.42,8.6811,17485326
2009-03-17,9.45,9.91,9.33,9.89,9.1143,25136943
2009-03-18,9.74,10.49,9.73,10.2,9.4001,33989479
2009-03-19,10.27,10.27,10.01,10.08,9.2896,20566203
2009-03-20,10.23,10.24,9.27,9.53,8.7826,27341975
2009-03-23,9.83,10.24,9.61,10.22,9.4183,20404754
2009-03-24,9.97,10.06,9.734,9.78,9.0131,27872505
2009-03-25,10.08,10.4,9.555,9.94,9.1604,31100123
2009-03-26,10.1,10.58,9.99,10.56,9.7318,33344651
2009-03-27,10.45,10.705,10.3,10.46,9.6396,18297541
2009-03-30,10.06,10.19,9.65,9.79,9.0222,19505229
2009-03-31,9.94,10.1,9.79,9.86,9.0868,20132366
2009-04-01,9.74,10.2,9.37,10.11,9.3171,22202395
2009-04-02,10.49,10.77,10.34,10.58,9.75,25075638
