Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,23.55,23.64,23.18,23.48,15.1739,279323
2009-01-05,23.43,23.8,23.23,23.63,15.2707,247488
2009-01-06,23.76,23.8804,23.15,23.46,15.161,234844
2009-01-07,23.12,23.37,22.68,22.96,14.838,319822
2009-01-08,22.99,22.99,22.03,22.25,14.379,547704
2009-01-09,22.3,22.42,21.71,22.02,14.2307,300190
2009-01-12,21.96,22.65,21.83,22.5,14.5406,225869
2009-01-13,22.53,22.69,22.24,22.56,14.5791,359178
2009-01-14,22.58,22.795,22.15,22.59,14.5988,345802
2009-01-15,22.53,23.1,22.09,23.03,14.8829,310681
2009-01-16,23.29,23.89,23.29,23.73,15.3352,528487
2009-01-20,23.83,23.83,23.08,23.13,14.9478,317143
2009-01-21,23.45,23.89,23.1,23.76,15.3546,266827
2009-01-22,23.36,24.08,23.25,23.81,15.387,369154
2009-01-23,23.4,24,23.22,23.93,15.4648,270996
2009-01-26,23.9,24.2,23.68,24.03,15.5294,422070
2009-01-27,24,24.25,23.84,24.13,15.5937,224757
2009-01-28,24.36,24.59,24.13,24.5,15.8332,246335
2009-01-29,24.28,24.85,24.17,24.4,15.7685,319232
2009-01-30,24.47,24.74,24.08,24.21,15.6455,310041
2009-02-02,23.87,24.62,23.84,24.53,15.8526,400864
2009-02-03,24.65,24.9,24.51,24.75,15.9945,433106
2009-02-04,24.68,24.98,24.64,24.94,16.1174,303457
2009-02-05,24.78,25.2,24.76,24.92,16.1046,403345
2009-02-06,24.9,25.39,24.41,24.61,15.9038,526965
2009-02-09,24.47,24.5,23.63,24.1,15.5749,379368
2009-02-10,24.02,24.07,23.28,23.45,15.1545,463770
2009-02-11,23.62,23.86,23.27,23.68,15.3032,273695
2009-02-12,23.31,24.1496,23.19,24.05,15.5423,389241
2009-02-13,24.52,24.6,23.8,24.06,15.5488,407592
2009-02-17,23.69,23.87,23.14,23.2,14.993,328011
2009-02-18,23.46,23.46,22.62,22.86,14.7734,486198
2009-02-19,22.9,23.04,22.63,22.89,14.7925,323951
2009-02-20,22.51,22.59,21.38,21.74,14.0492,466725
2009-02-23,21.87,21.87,20.83,20.88,13.4941,433410
2009-02-24,21.13,21.2,20.62,21.02,13.5841,414785
2009-02-25,21.08,21.08,20.42,20.78,13.4293,334975
2009-02-26,20.95,21.14,20.39,20.42,13.1964,393344
2009-02-27,20.15,20.88,19.31,20.49,13.2419,482095
2009-03-02,20.1,21.05,19.87,20,12.925,438390
2009-03-03,20.29,20.29,18.99,19.23,12.4273,600883
2009-03-04,19.65,20.29,19.35,20.04,12.951,392284
2009-03-05,19.58,19.98,19.14,19.22,12.4208,468635
2009-03-06,19.38,19.9,18.86,19.12,12.3562,300380
2009-03-09,18.97,19.3,18.48,18.49,11.9489,482391
2009-03-10,18.63,19.44,18.61,19.39,12.531,896568
2009-03-11,19.47,19.585,18.64,18.85,12.396,322906
2009-03-12,18.72,19.78,18.56,19.57,12.8693,360488
2009-03-13,19.56,19.8,19.19,19.75,12.9877,214690
2009-03-16,19.88,20.22,19.69,19.71,12.9617,247378
2009-03-17,19.71,20.46,19.62,20.46,13.4545,243728
2009-03-18,20.17,21.37,20.17,21.22,13.9547,262920
2009-03-19,21.24,21.46,20.86,21.18,13.9281,235656
2009-03-20,21.28,21.66,21,21,13.8096,254323
2009-03-23,21.52,21.73,21.09,21.72,14.2831,275319
2009-03-24,21.46,21.51,21.06,21.13,13.8954,294113
2009-03-25,21.25,21.92,20.82,21.13,13.8954,394318
2009-03-26,21.5,21.55,20.95,21.44,14.0992,281769
2009-03-27,21.12,21.56,21.11,21.35,14.0401,389194
2009-03-30,21.26,21.33,20.76,21.27,13.9872,248957
2009-03-31,21.43,21.98,21.22,21.48,14.1254,331736
2009-04-01,21.3,22.04,21.27,21.81,14.3422,397636
2009-04-02,22.24,22.5,21.86,22.06,14.507,471646
2009-04-03,22.07,22.28,21.93,22.26,14.6385,311622
2009-04-06,22.02,22.28,21.8,21.99,14.4612,160784
2009-04-07,21.65,21.97,21.19,21.38,14.0596,168762
2009-04-08,21.44,21.73,21.29,21.57,14.1848,106500
2009-04-09,22.02,22.04,21.62,21.71,14.2766,242958
2009-04-13,21.41,21.61,21.25,21.49,14.1319,149704
2009-04-14,21.11,21.26,20.78,20.81,13.6852,212818
2009-04-15,20.59,21.06,20.55,21.04,13.8363,347889
2009-04-16,21.19,21.45,20.88,21.32,14.0201,317064
2009-04-17,21.27,21.63,21.19,21.44,14.0992,249200
2009-04-20,21.01,21.31,20.8,20.87,13.7246,219865
2009-04-21,20.72,21.14,20.61,21.05,13.8427,163133
2009-04-22,20.77,21,20.63,20.68,13.5995,185671
2009-04-23,20.8,20.9,20.35,20.48,13.4676,263787
2009-04-24,20.62,20.69,20.32,20.49,13.4744,307153
2009-04-27,20.09,20.67,20,20.6,13.547,257650
2009-04-28,20.35,21.11,20.3,20.92,13.7572,248866
2009-04-29,21.11,21.53,20.82,21.39,14.0665,191661
2009-04-30,21.52,21.54,20.78,20.92,13.7572,294195
2009-05-01,20.93,21.24,20.92,21.09,13.8689,231674
