Date,Open,High,Low,Close,Adjusted_close,Volume
2012-04-12,41,42.55,40.62,42.39,26.602,7262541
2012-04-13,42.29,42.46,41.5,41.5,26.0435,1213655
2012-04-16,41.5,41.69,39.76,40,25.1018,1244211
2012-04-17,39.85,40.04,39.35,39.7,24.9137,362621
2012-04-18,39.7,40.35,39.7,39.95,25.0708,107630
2012-04-19,39.9,40.21,39.55,39.9,25.0393,324557
2012-04-20,39.9,39.9901,39.45,39.6,24.8512,175368
2012-04-23,39.55,39.55,39.3,39.49,24.7817,67095
2012-04-24,39.49,39.49,39.3,39.41,24.7317,85785
2012-04-25,39.45,40.19,39.35,39.35,24.6941,302825
2012-04-26,39.26,39.47,39.25,39.45,24.7567,179997
2012-04-27,39.45,40.229,39.45,39.8,24.9766,79744
2012-04-30,39.8,40.38,39.8,39.9,25.0393,65854
2012-05-01,39.95,40.63,39.65,40.45,25.3844,183182
2012-05-02,40,40.69,40,40.05,25.1333,40564
2012-05-03,40,41.62,39.85,41.55,26.0746,132995
2012-05-04,41.21,42.1062,41.21,41.66,26.1436,170188
2012-05-07,41.13,41.645,41.13,41.5,26.0435,318975
2012-05-08,41.06,41.55,40.76,41.01,25.7359,317999
2012-05-09,40.5,41.5,40.5,41.46,26.0182,125995
2012-05-10,41.51,41.7383,41.05,41.08,25.78,169429
2012-05-11,40.5,41.25,40.5,41,25.7296,115709
2012-05-14,40.45,40.6,39.5,39.75,24.945,38575
2012-05-15,39.15,40.25,39.11,39.995,25.0988,104762
2012-05-16,39.76,40.56,39.66,40.25,25.2591,106440
2012-05-17,40.2,40.2225,37.8211,38.34,24.3933,143020
2012-05-18,38.19,38.19,35,35.49,22.5803,294060
2012-05-21,36,36.9,35.62,36.8,23.4138,93555
2012-05-22,37.18,39.22,36.43,38.7,24.6225,392709
2012-05-23,38.6,40.73,38.43,38.8,24.6863,219497
2012-05-24,39.35,39.91,39,39.91,25.3923,93151
2012-05-25,39.8,40.37,39.11,39.74,25.2844,140497
2012-05-29,41,41,39.55,39.94,25.4115,71831
2012-05-30,39.9,39.9,38.51,38.82,24.6989,55122
2012-05-31,38.22,38.78,38,38.15,24.2725,48575
2012-06-01,37.57,38.26,37.01,37.06,23.5793,28188
2012-06-04,37.44,37.47,36,37,23.5409,93681
2012-06-05,37.24,37.49,37,37.31,23.7383,24958
2012-06-06,37.45,38.21,37.08,37.75,24.0182,71967
2012-06-07,38.43,38.89,38,38,24.1772,61502
2012-06-08,38.05,38.23,37.55,38.11,24.2474,44912
2012-06-11,38.77,38.77,36,36.5,23.2229,263971
2012-06-12,35.5,35.98,35.5,35.76,22.7519,285209
2012-06-13,35.7,36,35.57,35.79,22.7712,259861
2012-06-14,35.79,35.99,35.4,35.41,22.5295,264279
2012-06-15,34.69,35.7,34.59,34.82,22.154,881237
2012-06-18,34.51,35.612,34,34.94,22.2302,239379
2012-06-19,35.25,35.734,34.76,35.46,22.5612,165164
2012-06-20,35.5,35.62,35.01,35.4,22.523,168437
2012-06-21,35.58,35.73,35.26,35.52,22.5994,146381
2012-06-22,35.75,35.75,35.3,35.41,22.5295,150113
2012-06-25,35.2,35.43,34.98,35.01,22.2748,55757
2012-06-26,35.04,35.42,34.8,34.88,22.1921,116246
2012-06-27,35.21,35.2982,34.83,35.14,22.3576,112877
2012-06-28,35.05,35.39,34.82,35,22.2684,168121
2012-06-29,35.44,35.55,34.9001,35.35,22.4914,224376
2012-07-02,35.31,35.73,35.2,35.72,22.7267,193610
2012-07-03,35.75,37.25,35.58,36.75,23.3818,151402
2012-07-05,36.16,37.4,36.16,36.73,23.3694,75178
2012-07-06,36.21,36.75,35.75,36.72,23.3627,111835
2012-07-09,36.554,36.7,36.48,36.7,23.3502,17533
2012-07-10,36.7,37.16,36.18,36.52,23.2355,68441
2012-07-11,36.69,36.69,35.8,35.8,22.7774,56796
2012-07-12,35.95,36.03,35.55,35.67,22.6948,74601
2012-07-13,35.67,36.01,35.34,35.36,22.4976,264352
2012-07-16,35.6,36.14,34.98,35.99,22.8985,270240
2012-07-17,36.19,36.32,35.73,35.83,22.7967,58241
2012-07-18,35.97,36.51,35.82,36.29,23.0893,79539
2012-07-19,36.59,36.8196,36.29,36.51,23.2293,261860
2012-07-20,36.27,36.4936,35.64,35.95,22.8729,342863
2012-07-23,35.47,35.96,35.15,35.52,22.5994,155731
2012-07-24,35.65,36.23,35.21,36.1,22.9684,32121
2012-07-25,36.2,36.2,35.77,36.01,22.911,42005
2012-07-26,36.49,37,35.8334,36.185,23.0226,103431
2012-07-27,36.64,36.68,35.74,36.3,23.0955,187203
2012-07-30,36.44,36.655,36.08,36.29,23.0893,202566
2012-07-31,36.1,36.62,36.1,36.26,23.0703,135840
2012-08-01,36.5,36.54,36,36.12,22.9812,70548
2012-08-02,36.08,36.483,35.9,35.93,22.8604,53400
2012-08-03,36.39,36.49,36.15,36.49,23.2166,156179
2012-08-06,36.39,37.5,36.22,37,23.5409,246237
2012-08-07,38.2,38.5,36.75,37.52,23.8718,590211
2012-08-08,38.28,39.57,37.05,37.32,23.7447,368128
2012-08-09,37.2,38.246,37.2,37.66,23.9611,256940
2012-08-10,37.5,37.91,37.2203,37.45,23.8273,181717
2012-08-13,37.85,38.55,37.5,38,24.1772,224752
2012-08-14,38.08,39.2565,38,38.95,24.7814,334713
2012-08-15,38.42,39.4,38.42,39.08,25.3793,325452
2012-08-16,39,40.09,38.55,39.55,25.6844,160109
2012-08-17,39.6,39.98,39.14,39.7,25.7819,97252
2012-08-20,39.54,39.54,38.6501,39.11,25.3985,68027
2012-08-21,39.01,39.11,38.261,38.36,24.9117,181389
2012-08-22,38.31,38.75,37.9,38.33,24.892,476899
2012-08-23,38.48,38.5,37.5,37.84,24.5739,327446
2012-08-24,38,38.11,37.8,38.05,24.7101,90586
2012-08-27,37.99,38.36,37.93,38.04,24.7037,373040
2012-08-28,38.1,38.158,37.52,37.91,24.6192,174650
2012-08-29,38,38.37,37.7712,37.9,24.6128,205385
2012-08-30,37.73,37.75,37.26,37.62,24.4311,190209
2012-08-31,37.69,37.9899,37.52,37.61,24.4244,163189
2012-09-04,37.76,38.16,37.31,37.43,24.3076,130969
2012-09-05,37.38,37.57,37.12,37.26,24.1971,160743
2012-09-06,37.42,38.43,37.42,38.19,24.8012,143538
2012-09-07,38.15,39.2,37.74,38.74,25.1584,254088
2012-09-10,38.89,39.126,38,38.01,24.6842,138227
2012-09-11,38.37,38.4883,37.85,38,24.6777,327586
2012-09-12,38.5,39.6599,38.07,39.5,25.6519,239885
2012-09-13,39.75,39.85,39.16,39.48,25.639,216504
2012-09-14,39.5,39.7,38.35,38.77,25.1778,975360
2012-09-17,39.04,39.15,38.51,38.79,25.191,191372
2012-09-18,38.56,38.99,38.56,38.76,25.1713,363460
2012-09-19,39,39.8,38.81,39.2,25.4571,564350
2012-09-20,39.25,39.74,38.31,39.63,25.7364,423462
2012-09-21,40.2,41.02,39.76,40.59,26.3597,616775
2012-09-24,40.63,40.99,40.3365,40.45,26.2689,268997
2012-09-25,40.45,41.26,40,40.17,26.087,296682
2012-09-26,40.33,40.33,39,39.87,25.892,217504
2012-09-27,40.13,40.6,39.85,40.6,26.3662,128524
2012-09-28,40.35,41.01,40.16,41,26.6259,140863
2012-10-01,40.92,41,40,40.5,26.3012,137061
2012-10-02,40.74,40.75,39.5,39.63,25.7364,140862
2012-10-03,39.78,40.791,39.78,40.32,26.1846,37117
2012-10-04,40.46,40.729,40.26,40.65,26.3989,183735
2012-10-05,40.75,41.1,39.87,40.1,26.0413,145218
2012-10-08,39.95,40.5363,39.86,40.07,26.0219,58689
2012-10-09,40.25,40.4,39.7,39.77,25.8275,134702
2012-10-10,39.9,40.1,39.67,39.86,25.8855,150191
2012-10-11,39.99,40.52,39.99,40.41,26.2427,361119
2012-10-12,40.5,40.6,40.23,40.26,26.1456,106362
2012-10-15,40.45,40.45,39.95,40.24,26.1327,142416
2012-10-16,40.29,40.5,40.16,40.46,26.2753,163346
2012-10-17,40.75,40.79,40.44,40.68,26.4183,107148
2012-10-18,40.8,41.139,40.61,40.95,26.5934,201680
2012-10-19,40.92,41.12,40.76,41.12,26.704,90338
2012-10-22,41.12,41.7,41.06,41.7,27.0808,258993
2012-10-23,41.39,41.5901,41.05,41.3,26.8209,116563
2012-10-24,41.29,41.91,41.164,41.62,27.0287,118229
2012-10-25,41.85,42,41.24,41.65,27.0483,94077
2012-10-26,41.56,42,41.1,41.789,27.1385,156354
2012-10-31,41.9,42.9,41.68,42.63,27.6848,131009
2012-11-01,42.83,43.98,42.6,43.52,28.2627,164337
2012-11-02,43.5,43.5,42.7234,43.01,27.9312,96597
2012-11-05,43.2,43.83,42.9,43.18,28.0416,147814
2012-11-06,43.39,44,42.94,43.32,28.1326,278385
2012-11-07,42.86,43.02,40.53,43,27.9247,227953
2012-11-08,42.94,43.1,41.3005,41.7,27.0808,127947
2012-11-09,41.6,42,41.41,41.86,27.1845,36381
2012-11-12,42,42.58,41.76,41.93,27.23,78201
2012-11-13,41.9,42.63,41.55,41.56,26.9896,105438
2012-11-14,41.28,42,40.34,40.62,26.7329,164767
2012-11-15,40.39,40.85,39.7,40.51,26.6607,88336
2012-11-16,40.5,40.64,39.7,40.27,26.5027,81774
2012-11-19,40.66,41,40.35,40.6,26.7198,216140
2012-11-20,40.67,40.73,40.11,40.48,26.641,90591
2012-11-21,40.48,40.98,40.28,40.45,26.6211,107558
2012-11-23,40.71,40.71,40.28,40.44,26.6145,48334
2012-11-26,40.52,40.7,40.33,40.52,26.6673,88227
2012-11-27,40.65,41.16,40.28,40.73,26.8055,148627
2012-11-28,40.94,40.94,40.35,40.58,26.7067,65745
2012-11-29,40.65,40.91,40.28,40.47,26.6342,269039
2012-11-30,40.58,40.75,40.28,40.53,26.6739,141517
2012-12-03,40.82,41.03,40.375,40.77,26.8317,114592
2012-12-04,40.72,42.24,40.72,42.11,27.7136,460063
2012-12-05,42.44,44.5,42.02,43.36,28.5362,351023
2012-12-06,43.9,44.03,42.9101,43.26,28.4706,93974
2012-12-07,43.47,44.38,42.71,43.29,28.4901,93081
2012-12-10,42.97,44.38,42.64,43.58,28.681,213520
2012-12-11,43.5,43.72,43.09,43.28,28.4836,196108
2012-12-12,43.37,43.65,43.2,43.63,28.7139,291638
2012-12-13,43.82,44.08,43.35,44.08,29.0101,158852
2012-12-14,44.23,44.31,43.32,44,28.9576,204420
2012-12-17,43.75,44,43.52,43.95,28.9247,122070
2012-12-18,44.05,44.28,43.51,44.26,29.1288,222019
2012-12-19,44.61,45.68,44.5,45.29,29.8064,359242
2012-12-20,45.51,46.4,45.4332,46.15,30.3722,197307
2012-12-21,45.62,47.14,45.29,46.01,30.2801,179130
2012-12-24,46.2,46.5,45.5135,45.78,30.1291,35163
2012-12-26,45.99,46.2,44.21,44.99,29.6091,96949
2012-12-27,44.91,45.954,44.91,44.97,29.5959,62410
2012-12-28,45.08,45.74,44.67,45.42,29.892,177288
2012-12-31,45.59,45.59,44.78,45.49,29.9379,145671
