Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,28.49,29.5,27.88,29.26,12.8486,620041
2009-01-05,29.36,29.36,26.6,27.09,11.8957,880992
2009-01-06,27.51,28.11,27.22,27.79,12.2031,559400
2009-01-07,27.44,28.1,27.01,27.09,11.8957,1562047
2009-01-08,27.06,27.35,25.87,26.22,11.5137,830601
2009-01-09,26.06,26.13,24.425,24.78,10.8814,1139010
2009-01-12,24.66,25.36,23.28,23.44,10.293,635793
2009-01-13,23.29,23.74,23,23.3,10.2314,664916
2009-01-14,23,24,21.86,22,9.6606,581636
2009-01-15,22.06,23.51,21.6,23.17,10.1744,505982
2009-01-16,23.52,23.76,21.54,22.54,9.8977,520589
2009-01-20,22.24,22.42,21.1,21.17,9.2961,820294
2009-01-21,21.965,22.76,21.37,22.6,9.9241,845321
2009-01-22,22,22.77,21.53,22.32,9.8011,486290
2009-01-23,21.88,22.6,21.58,21.81,9.5772,401686
2009-01-26,21.65,22.47,20.93,21.47,9.4279,365327
2009-01-27,21.62,22.19,21.33,21.66,9.5113,840647
2009-01-28,22.13,24.02,21.89,23.58,10.3543,642244
2009-01-29,24.58,26.62,23.58,26.55,11.6586,1819543
2009-01-30,26.94,26.95,24.96,25.08,11.013,1285154
2009-02-02,24.54,25.6,23.9315,25.48,11.1887,721545
2009-02-03,25.8,26.82,25.4,26.63,11.6937,486646
2009-02-04,27.46,27.46,25.94,25.96,11.3995,566203
2009-02-05,25.67,27.08,25.53,26.5,11.6366,613326
2009-02-06,26.41,27.7,26.41,27.52,12.0845,972158
2009-02-09,27.48,27.48,26.1,26.34,11.5663,648431
2009-02-10,26.23,26.68,25.31,25.52,11.2063,714839
2009-02-11,25.75,26.2,25.09,25.53,11.2107,646879
2009-02-12,25.2,26.05,24.51,26,11.4171,829143
2009-02-13,25.73,26.07,25.04,25.79,11.3249,1077511
2009-02-17,24.46,25.32,24.35,24.51,10.7628,862314
2009-02-18,24.7,25.16,24.33,24.52,10.7671,667393
2009-02-19,24.75,25.49,24.33,24.5,10.7584,500769
2009-02-20,24.1,24.58,23.88,24.13,10.5959,586018
2009-02-23,25.58,25.58,23.13,23.25,10.2095,466728
2009-02-24,23.6,24.53,23.23,24.28,10.6618,650880
2009-02-25,22.8,23.1599,21.78,22.61,9.9285,1601337
2009-02-26,22.62,23.28,21.62,21.82,9.5816,974810
2009-02-27,21.37,22.28,20.88,21.79,9.5683,653532
2009-03-02,21.35,21.73,20.15,20.22,8.879,861092
2009-03-03,20.44,20.62,19.94,19.95,8.7605,662195
2009-03-04,20.45,21.17,20.23,20.57,9.0326,987970
2009-03-05,20.08,20.61,19.62,20.11,8.8307,1082631
2009-03-06,20.32,20.47,18.76,19.13,8.4003,737610
2009-03-09,18.81,20.31,18.81,19.04,8.3609,696491
2009-03-10,19.63,20.78,18.69,20.12,8.8351,878909
2009-03-11,20.18,22.34,20,21.63,9.4981,1596499
2009-03-12,20.81,23.15,20.666,22.94,10.0733,1255921
2009-03-13,23.03,23.5,22.18,22.49,9.8757,648789
2009-03-16,21.76,24,21.76,22.92,10.0646,887026
2009-03-17,22.97,24,22.49,24,10.5389,516575
2009-03-18,23.72,24.18,22.98,24.17,10.6135,614746
2009-03-19,24.24,24.52,23.35,23.58,10.3543,604634
2009-03-20,23.85,23.93,22.05,22.1,9.7045,663805
2009-03-23,22.87,24.66,22.87,24.58,10.7935,684083
2009-03-24,24,24.25,23.2,23.55,10.3413,517200
2009-03-25,23.7,24.93,23.04,23.95,10.5169,445771
2009-03-26,24.43,26,24.15,25.93,11.3863,1281908
2009-03-27,24.79,25.39,24.19,24.59,10.7979,718434
2009-03-30,23.93,23.95,22.58,23.17,10.1744,519876
2009-03-31,23.57,24.08,22.68,23.49,10.3149,491813
2009-04-01,23.11,24.48,22.6,24.39,10.7101,891550
2009-04-02,24.99,26.51,24.348,25.79,11.3249,1115260
2009-04-03,25.85,26.31,25.44,25.99,11.4127,538767
2009-04-06,25.63,25.98,24.6004,25.1,11.0218,667706
2009-04-07,24.77,25.07,24.03,24.23,10.6398,677838
2009-04-08,24.96,25.97,24.33,25.85,11.3512,926823
2009-04-09,26.63,27.92,26.63,27.7,12.1636,1024870
2009-04-13,27.4,27.54,26.72,27.31,11.9923,436127
2009-04-14,26.81,27.96,26.56,27.13,11.9133,566471
2009-04-15,26.83,27.85,26.83,27.5,12.0757,483515
2009-04-16,27.72,28.93,27.27,28.69,12.5983,804052
2009-04-17,28.69,29.04,28,28.93,12.7037,531052
2009-04-20,27.73,27.99,26.31,26.36,11.5751,834548
2009-04-21,26.05,27.18,25.71,27.08,11.8913,591204
2009-04-22,26.4,28.97,26.19,27.87,12.2383,1043169
2009-04-23,27.92,28.46,26.82,27.4,12.0318,1367186
2009-04-24,27.93,28.59,27.02,28.27,12.4138,833369
2009-04-27,27.71,28.17,26.84,27.16,11.9265,815129
2009-04-28,26.85,27.58,26.46,27.01,11.8605,325316
2009-04-29,27.41,28.7,26.97,28.24,12.4007,412924
2009-04-30,28.43,29.5,28.09,28.15,12.3611,656834
2009-05-01,28.15,28.7,27.3,28.22,12.3919,341034
2009-05-04,28.44,29.31,28.22,29.25,12.8442,985385
2009-05-05,29,29.29,27.9,28.64,12.5764,496594
2009-05-06,28.91,29.58,28.2,29.5,12.9539,456241
2009-05-07,29.63,30.48,28.52,29.04,12.7521,1118342
2009-05-08,29.37,29.69,28.38,28.98,12.7257,418471
2009-05-11,28.28,28.28,27.16,27.64,12.1373,449932
2009-05-12,27.6,28.1,26.23,27.1,11.9001,552096
2009-05-13,26.54,26.61,25.68,25.98,11.4083,588967
2009-05-14,26.01,28.09,26.01,27.26,11.9703,952609
2009-05-15,27.25,30.41,27.12,29.49,12.9495,2484821
2009-05-18,29.62,30.35,28.76,29.05,12.7565,1017506
2009-05-19,29.3,29.83,29.23,29.62,13.0067,935533
2009-05-20,29.95,30.3,27.85,27.91,12.2558,973575
2009-05-21,27.76,27.9,26.25,26.65,11.7025,1172739
2009-05-22,26.74,27.05,26.1,26.45,11.6147,750330
2009-05-26,26.12,28.43,26.025,28.38,12.4622,814184
2009-05-27,28.1,29.64,27.92,28.26,12.4095,558291
2009-05-28,28.44,28.82,27.7,28.25,12.4051,662530
2009-05-29,28.48,29.47,28.01,29.45,12.9321,753021
2009-06-01,29.66,30.76,29.66,30.59,13.4326,677842
2009-06-02,30.35,30.83,30.0801,30.29,13.3009,502696
2009-06-03,29.94,30.4,29.27,30.11,13.2219,422232
2009-06-04,30.38,30.38,29.34,30.16,13.2439,336781
2009-06-05,30.28,30.63,29.9,30.25,13.2833,257879
2009-06-08,29.9,30.81,29.43,30.47,13.3799,520097
2009-06-09,30.5,31.51,30.36,31.35,13.7663,778375
2009-06-10,31.73,32.43,30.27,31.1,13.6565,1010836
2009-06-11,31.44,32.28,31.16,31.7,13.9201,855613
2009-06-12,31.81,31.82,30.59,31.05,13.6346,381838
2009-06-15,31.7,31.7,30.56,30.89,13.5643,878572
2009-06-16,31.39,31.87,30.05,30.22,13.2701,517783
2009-06-17,30.31,31.125,29.14,30.48,13.3843,930078
2009-06-18,32.17,33.45,30.4209,31.93,14.0211,1345075
2009-06-19,33,33.68,32.39,33.3,14.6225,1275892
2009-06-22,33.13,33.13,31.5,31.68,13.9113,465782
2009-06-23,31.82,32.46,31.39,31.51,13.8366,544601
2009-06-24,31.73,32.57,31.2,31.84,13.9816,323759
2009-06-25,31.48,33.05,31.21,32.98,14.4821,438750
2009-06-26,32.71,33.66,32.19,33.32,14.6314,930122
2009-06-29,33.31,33.56,32.75,33.53,14.7236,543758
2009-06-30,33.28,33.81,33.04,33.57,14.7412,731748
2009-07-01,33.8,34.87,33.57,34.27,15.0487,517718
2009-07-02,33.67,34.0999,33.45,33.96,14.9125,574174
2009-07-06,33.75,34.53,33.48,34.46,15.1321,525872
2009-07-07,34.55,36.08,33.94,34.8,15.2813,1133982
2009-07-08,34.85,35.3,33.92,35.16,15.4394,982266
2009-07-09,35.23,35.58,33.39,33.53,14.7236,1428893
2009-07-10,33.47,34.11,33.31,33.92,14.8948,500162
2009-07-13,34.09,34.09,32.35,33.99,14.9257,492051
2009-07-14,34.03,34.2767,32.1,32.26,14.1659,1544337
2009-07-15,32.2,32.52,31.35,32.26,14.1659,965564
2009-07-16,32.14,32.75,31.36,32.42,14.2361,714681
2009-07-17,32.51,32.77,31.8,32.63,14.3284,581081
2009-07-20,32.7,33.57,32.24,33.49,14.7061,586685
2009-07-21,33.57,33.71,33.04,33.2,14.5787,950981
2009-07-22,32.02,34.22,32,33.67,14.7851,860269
2009-07-23,32.69,33.8,32.17,33.75,14.8203,897089
2009-07-24,34.25,35.14,32.14,32.75,14.3811,1505084
2009-07-27,33.06,33.06,32.28,32.97,14.4777,524688
2009-07-28,32.65,33.03,31.88,32.29,14.1791,407742
2009-07-29,31.93,32.08,31.32,32.07,14.0826,349917
2009-07-30,32.58,33.22,32.22,32.87,14.4338,403088
2009-07-31,32.83,35.84,32.12,35.63,15.6457,1214267
2009-08-03,35.83,36.81,35.52,36.81,16.1639,780563
2009-08-04,36.66,37.44,36.25,36.95,16.2254,830118
2009-08-05,37.08,37.08,35.96,36,15.8082,602833
2009-08-06,36.05,36.1,35.24,35.24,15.4745,525764
2009-08-07,35.84,37.3,35.35,36.72,16.1244,598629
2009-08-10,36.41,36.51,35.45,36.26,15.9225,555026
2009-08-11,36,37.16,36,36.99,16.2431,436569
2009-08-12,37.14,38.47,36.75,38.12,16.7392,543804
2009-08-13,38.4,38.4,37.15,37.28,16.3703,487901
2009-08-14,37.34,37.47,36,36.25,15.9181,404924
2009-08-17,36,36.02,34.92,35.21,15.4613,429611
2009-08-18,35.51,36.49,35.39,36.31,15.9443,307594
2009-08-19,35.96,36.54,35.16,36.39,15.9795,224786
2009-08-20,36.41,36.71,35.77,36.07,15.8391,282128
2009-08-21,36.53,37.24,36.15,36.74,16.1331,314584
2009-08-24,36.95,37.1,36.26,37.03,16.2605,318382
2009-08-25,37.33,38.5,37.12,38.02,16.6953,398118
2009-08-26,38.09,38.75,37.44,37.66,16.5372,382883
2009-08-27,37.88,38.15,36.17,37.27,16.3659,204839
2009-08-28,37.48,37.99,36.6,36.63,16.085,198187
2009-08-31,36.4,36.48,35.55,35.78,15.7117,500225
2009-09-01,35.5,36.57,35.5,35.54,15.6063,563595
2009-09-02,35.55,35.82,35.18,35.46,15.5711,144805
2009-09-03,35.46,36.36,35.22,36.35,15.9621,126439
2009-09-04,36.16,36.99,35.62,36.84,16.1771,198739
2009-09-08,36.96,37.41,35.83,36.14,15.8698,424456
2009-09-09,36.01,36.11,35.4,35.63,15.6457,562487
2009-09-10,35.7,35.855,34.91,35.19,15.4527,687533
2009-09-11,35.61,35.89,35.29,35.61,15.637,541991
2009-09-14,35.25,35.76,35.25,35.48,15.5799,183844
2009-09-15,35.31,35.5,34.83,35.1,15.413,236147
2009-09-16,35.11,35.49,32.89,33.96,14.9125,755259
2009-09-17,34.08,35.02,33.715,34.27,15.0487,596492
2009-09-18,34.36,35.11,33.47,33.61,14.7588,427593
2009-09-21,33.39,33.62,32.85,33.24,14.5963,231717
2009-09-22,33.47,33.79,33.17,33.54,14.728,245324
2009-09-23,33.69,33.93,32.07,32.16,14.1221,517691
2009-09-24,32.39,32.59,30.11,30.6,13.437,1018738
2009-09-25,30.6,30.77,29.63,30.37,13.3361,529635
2009-09-28,30.44,31.07,30.08,30.44,13.3667,319959
2009-09-29,30.44,30.77,30.09,30.18,13.2526,357795
2009-09-30,30.2,31.03,29.65,30.43,13.3623,631097
2009-10-01,30.26,30.59,29.46,29.53,12.9672,510956
2009-10-02,29.38,30.24,29.09,29.7,13.0418,408587
2009-10-05,29.9,30.13,29.36,30.07,13.2043,467990
2009-10-06,30.34,30.82,30.1,30.18,13.2526,369988
2009-10-07,30.15,30.77,29.93,30.48,13.3843,262673
2009-10-08,30.78,31,29.97,30,13.1735,606576
2009-10-09,29.9,30.47,29.71,29.81,13.0901,832770
2009-10-12,30,30.1,29.66,30.03,13.1867,490276
2009-10-13,29.94,30.34,29.75,29.95,13.1516,435781
2009-10-14,30.15,30.63,30,30.47,13.3799,578628
2009-10-15,30.17,30.31,29.84,29.9,13.1297,934287
2009-10-16,29.8,30.17,29.45,30.08,13.2087,673260
2009-10-19,30.19,30.35,29.59,29.75,13.0638,416230
2009-10-20,29.72,30.06,29.41,29.53,12.9672,359969
2009-10-21,29.4,30.01,29,29.05,12.7565,420864
2009-10-22,27.8,28.71,27.26,28.318,12.435,1569641
2009-10-23,28.13,28.86,27.13,27.3,11.9879,740456
2009-10-26,27.19,27.54,26.62,26.97,11.8431,744538
2009-10-27,27,27.29,26.592,26.86,11.7947,718731
2009-10-28,26.74,27,25.91,26.38,11.5839,820753
2009-10-29,26.7,27.244,26.55,27,11.8561,653428
2009-10-30,27.19,27.19,25.87,25.99,11.4127,702644
2009-11-02,25.54,25.71,24.51,25,10.9779,1160831
2009-11-03,25.08,25.68,24.93,25.6,11.2414,592132
2009-11-04,25.62,25.99,24.26,24.32,10.6793,790055
2009-11-05,24.35,24.96,24.1655,24.35,10.6925,978611
2009-11-06,24.21,24.86,24.1,24.69,10.8418,387851
2009-11-09,24.93,25.89,24.77,25.8,11.3292,937319
2009-11-10,25.79,26.36,25.79,26.24,11.5225,709194
2009-11-11,26.97,29.17,26.42,29,12.7343,1282208
2009-11-12,28.99,29.18,28.27,28.35,12.449,731622
2009-11-13,27.97,28.45,27.46,28.25,12.4051,484694
2009-11-16,28.51,29.09,28.5,28.88,12.6817,239127
2009-11-17,28.7,28.7,28.3,28.47,12.5017,191165
2009-11-18,28.39,28.8,28.29,28.58,12.5501,183498
2009-11-19,28.5,28.71,27.56,27.78,12.1987,470930
2009-11-20,27.52,28.05,27.44,27.65,12.1416,267181
2009-11-23,28.08,28.38,27.34,27.57,12.1065,336696
2009-11-24,27.51,27.56,27.17,27.39,12.0274,195221
2009-11-25,27.43,27.8,27.09,27.11,11.9044,210246
2009-11-27,26.4,27.02,26.154,26.65,11.7025,184562
2009-11-30,26.55,26.62,25.76,26.48,11.6278,397143
2009-12-01,26.56,27.055,26.45,26.57,11.6674,538137
2009-12-02,26.62,27.51,26.5,27.41,12.0362,779212
2009-12-03,27.54,28.08,27.11,27.65,12.1416,285431
2009-12-04,27.87,28.95,27.83,28.68,12.5939,224618
2009-12-07,28.59,28.97,27.9,28.26,12.4095,361976
2009-12-08,28.03,29.47,27.73,29.42,12.9189,414920
2009-12-09,29.68,31.03,29.66,30.9,13.5687,852614
2009-12-10,31.14,31.21,30.31,30.62,13.4458,436528
2009-12-11,30.75,31.16,30.18,30.32,13.3139,331905
2009-12-14,30.53,30.53,29.5,30.1,13.2175,446634
2009-12-15,30.12,30.77,29.62,29.99,13.1691,409203
2009-12-16,30.26,30.68,29.67,29.75,13.0638,361852
2009-12-17,29.45,33.06,28.64,32.77,14.3899,1517380
2009-12-18,33.68,34.95,31.99,32.53,14.2845,2142870
2009-12-21,32.64,33.66,32.31,33.08,14.5261,492034
2009-12-22,32.21,32.48,30.74,32.37,14.2143,1015081
2009-12-23,32.5,33.28,31.72,33,14.4909,591605
2009-12-24,33.23,33.7488,32.22,32.39,14.223,346843
2009-12-28,32.31,32.325,31.52,32.06,14.0782,273445
2009-12-29,32.2,33.92,32.05,33.71,14.8027,497477
2009-12-30,33.58,33.61,32.521,33.44,14.6841,388916
2009-12-31,31,31.15,30.11,30.7,13.4809,1332586
2010-01-04,30.7,31.12,29,29.29,12.8617,1058418
2010-01-05,29.17,30.015,28.5,29.92,13.1385,1188378
2010-01-06,29.86,31.19,29.86,30.47,13.3799,760810
2010-01-07,29.64,30.75,28.98,29,12.7343,923116
2010-01-08,29.3,29.8492,28.94,29.4,12.9101,927228
2010-01-11,29.49,29.68,28.98,29.23,12.8355,400409
2010-01-12,29.13,29.65,28.67,29.08,12.7695,668812
2010-01-13,29.15,29.4195,28.74,29.24,12.8398,401320
2010-01-14,28.47,30.06,28.47,29.17,12.8091,527175
2010-01-15,29.26,29.26,28.04,28.42,12.4797,860436
2010-01-19,28.32,28.52,27.54,27.88,12.2426,722371
2010-01-20,27.81,27.81,27.15,27.53,12.0889,478399
2010-01-21,27.6,27.99,26.75,26.86,11.7947,667710
2010-01-22,26.85,27.07,26.38,26.54,11.6542,468807
2010-01-25,26.8,26.97,26.34,26.69,11.7201,422160
2010-01-26,26.7,27.18,26.5,27,11.8561,439039
2010-01-27,27,27.2985,26.945,27.24,11.9616,885291
2010-01-28,28.05,29.06,27.38,27.62,12.1284,1522825
2010-01-29,27.65,27.98,27.34,27.5,12.0757,691763
2010-02-01,27.58,28.31,27.5,28.11,12.3437,650935
2010-02-02,28.14,28.2695,27.79,28.03,12.3085,575560
2010-02-03,27.91,28.51,27.74,28.37,12.4578,406415
2010-02-04,28.27,28.27,27.81,27.81,12.2119,416539
2010-02-05,27.78,28.17,27.1,27.6,12.1197,598608
2010-02-08,27.65,28.29,27.21,27.59,12.1153,530091
2010-02-09,27.95,28.43,27.64,28.28,12.4182,408665
2010-02-10,28.12,28.28,27.65,28.16,12.3655,468618
2010-02-11,28.01,28.59,27.5,28.4,12.4709,572484
2010-02-12,28.26,28.53,27.76,28.52,12.5236,364241
2010-02-16,28.57,28.57,27.94,28.32,12.4359,426012
2010-02-17,28.48,28.96,28.37,28.93,12.7037,628672
2010-02-18,28.85,29.39,28.75,28.83,12.6598,614012
2010-02-19,28.85,29.22,28.75,29.15,12.8003,402913
2010-02-22,29.14,29.9,29.06,29.81,13.0901,509147
2010-02-23,29.7,29.78,29.06,29.59,12.9935,559023
2010-02-24,29.59,30.2,29.56,30.09,13.213,446511
2010-02-25,29.85,30.54,29.685,30.48,13.3843,362516
2010-02-26,30.41,30.84,30.12,30.74,13.4985,215475
2010-03-01,30.79,30.82,30.28,30.45,13.3711,434553
2010-03-02,30.4,30.52,30.14,30.33,13.3183,272853
2010-03-03,30.43,30.86,30.11,30.65,13.459,263525
2010-03-04,30.62,30.88,30.51,30.66,13.4634,191048
2010-03-05,30.72,31.3,30.45,31.14,13.6742,332167
2010-03-08,31.41,32.51,31.41,32.04,14.0693,582329
2010-03-09,32.1,33.96,32.1,33.32,14.6314,913971
2010-03-10,33.24,34.28,32.73,33.33,14.6358,571277
2010-03-11,33.14,33.76,33.1112,33.56,14.7368,216292
2010-03-12,33.72,33.78,32.77,33.52,14.7193,336186
2010-03-15,33.38,33.7,33.03,33.5,14.7105,236819
2010-03-16,33.5,34.5,33.5,34.47,15.1364,318300
2010-03-17,34.53,34.6,33.81,34,14.93,331465
2010-03-18,33.84,34,33.26,33.66,14.7807,427224
2010-03-19,33.81,33.82,33.16,33.33,14.6358,338301
2010-03-22,33.08,33.75,32.9,33.52,14.7193,245584
2010-03-23,33.63,33.845,33.44,33.59,14.7499,252456
2010-03-24,33.57,33.68,33.12,33.19,14.5743,184270
2010-03-25,33.43,33.93,33.1,33.14,14.5523,180569
2010-03-26,33.14,33.46,32.61,33.09,14.5304,221887
2010-03-29,33.26,33.61,32.85,33.02,14.4997,155101
2010-03-30,33.15,33.4388,32.92,33.41,14.6709,166955
2010-03-31,33.29,33.82,32.88,33.39,14.6621,327989
2010-04-01,33.61,34.17,32.88,33.1,14.5349,716058
2010-04-05,33.24,33.75,32.92,33.75,14.8203,208409
2010-04-06,33.78,34.86,33.51,34.38,15.0968,521657
2010-04-07,34.37,34.67,33.85,34.66,15.2198,389152
2010-04-08,34.47,34.97,34.18,34.91,15.3297,311229
2010-04-09,34.8,34.84,34.46,34.77,15.2681,307047
2010-04-12,34.75,35.21,34.58,34.72,15.2462,300830
2010-04-13,34.64,34.81,34.23,34.55,15.1716,267707
2010-04-14,34.79,35.97,34.65,35.93,15.7775,918487
2010-04-15,36.04,38.18,36.02,37.28,16.3703,707507
2010-04-16,37.31,37.31,36.55,37.12,16.2999,295205
2010-04-19,36.91,37.12,36.11,36.68,16.1069,234405
2010-04-20,36.85,37.22,35.771,36.29,15.9355,290938
2010-04-21,36.49,36.65,35.77,36.57,16.0585,300441
2010-04-22,36.29,36.95,35.71,36.81,16.1639,408019
2010-04-23,36.87,37.62,36.69,37.36,16.4054,296002
2010-04-26,37.41,38.16,37.05,37.98,16.6777,348022
2010-04-27,37.75,38.84,37.16,37.5,16.4669,564965
2010-04-28,37.57,37.77,35.27,35.65,15.6546,1053897
2010-04-29,35.96,37.17,35.95,37.01,16.2517,502924
2010-04-30,37.15,37.75,35.83,35.88,15.7557,363373
2010-05-03,36.11,37.34,35.88,36.79,16.1553,259814
2010-05-04,36.57,36.62,35.63,36.21,15.9004,488709
2010-05-05,36.01,36.68,35.7,36.28,15.9311,314951
2010-05-06,37.46,37.57,33.89,35.29,15.4966,545263
2010-05-07,35.3,35.55,33.815,34.11,14.9783,461807
2010-05-10,35.52,36.53,35.23,36.52,16.0366,346937
2010-05-11,36.3,37.78,36.14,37.71,16.559,445789
2010-05-12,37.85,38.71,37.53,37.99,16.6821,442478
2010-05-13,37.78,38.05,36.67,37.1,16.2913,625817
2010-05-14,36.78,37.31,36.52,37.11,16.2957,306023
2010-05-17,37.4,37.67,36.53,37.63,16.5239,373073
2010-05-18,38,38.45,37.1005,37.18,16.3265,381176
2010-05-19,36.99,37.59,36.44,37.27,16.3659,302551
2010-05-20,36.5,36.5,34.56,34.56,15.1759,492795
2010-05-21,34.23,35.5,33.735,35.22,15.4657,552410
2010-05-24,35.3,35.4,34.53,34.58,15.1847,288575
2010-05-25,34,34.6,33.19,34.54,15.1671,262161
2010-05-26,34.73,35.64,34.64,34.71,15.2418,238917
2010-05-27,35.21,36.27,34.66,36.2,15.896,429400
2010-05-28,36.09,36.4,35.43,35.64,15.6501,219113
2010-06-01,35.45,35.76,34.87,34.87,15.3121,229631
2010-06-02,34.93,36.035,34.72,35.84,15.7379,277170
2010-06-03,35.85,36.825,35.85,36.78,16.1508,275236
2010-06-04,36.32,36.43,34.5,34.565,15.1781,261763
2010-06-07,34.6,34.73,32.78,32.86,14.4294,342371
2010-06-08,32.86,32.94,31.53,32.6,14.3152,556185
2010-06-09,32.91,34.5,32.52,33.91,14.8904,647458
2010-06-10,34.52,35.36,34.37,35.29,15.4966,217615
2010-06-11,35.07,36.02,34.7001,36.02,15.8171,145918
2010-06-14,36.37,37.19,36.28,36.67,16.1025,195631
2010-06-15,37.09,37.25,36.33,37.12,16.2999,309877
2010-06-16,36.78,37.19,36.38,36.74,16.1331,150010
2010-06-17,36.87,36.95,35.79,36.43,15.9971,125465
2010-06-18,36.7,37.31,36.15,37.13,16.3043,301291
2010-06-21,37.4,37.57,36.63,36.83,16.1727,226075
2010-06-22,37.03,37.25,34.35,34.47,15.1364,393736
2010-06-23,34.36,35.52,34.31,34.99,15.3648,208577
2010-06-24,34.9,35.2399,34.47,34.66,15.2198,165856
2010-06-25,34.88,35.44,34.61,34.76,15.2637,1087961
2010-06-28,34.85,35.71,34.73,35.45,15.5667,199333
2010-06-29,34.92,35.71,34.8,35.2,15.4569,358824
2010-06-30,35.28,35.86,34.99,35.14,15.4306,226059
2010-07-01,35.15,35.48,33.71,34.82,15.2901,370333
2010-07-02,34.98,35.125,34.46,34.93,15.3384,292105
2010-07-06,35.37,35.9,33.68,33.79,14.8378,370082
2010-07-07,33.97,35.21,33.74,35.15,15.435,203950
2010-07-08,35.5,35.77,35.18,35.58,15.6239,150481
2010-07-09,35.46,35.97,35.24,35.89,15.76,102105
2010-07-12,35.91,36.56,35.42,35.76,15.7029,131576
2010-07-13,36.23,36.81,35.7319,36.7,16.1157,230238
2010-07-14,36.5,37.33,36.43,36.98,16.2387,168435
