Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,26.9,28.4,26.76,28.3,21.3232,1651351
2009-01-05,28.18,28.73,27.84,28.05,21.135,2045906
2009-01-06,28.07,28.77,27.93,28.09,21.1652,2766632
2009-01-07,27.61,28.12,27.15,27.55,20.7584,2457240
2009-01-08,27.61,27.88,27.45,27.83,20.9692,1893391
2009-01-09,27.91,27.96,27.34,27.49,20.7132,1872993
2009-01-12,27.39,27.43,27.04,27.21,20.502,2242300
2009-01-13,27.1,27.36,26.44,26.69,20.1103,2634885
2009-01-14,26.15,26.19,25.31,25.81,19.4473,2920695
2009-01-15,25.88,26.09,24.76,25.84,19.47,3009107
2009-01-16,26.48,26.87,25.77,26.62,20.0576,3681434
2009-01-20,26.25,26.43,24.67,24.75,18.6488,4684930
2009-01-21,25.17,25.93,24.67,25.84,19.47,2777770
2009-01-22,25.08,25.84,24.99,25.31,19.0705,2513653
2009-01-23,25,25.8,24.63,25.57,19.2663,3478541
2009-01-26,25.7,26.78,25.49,25.88,19.5,2842017
2009-01-27,26.17,27.05,26.07,26.58,20.0273,3043617
2009-01-28,26.65,27.92,26.65,27.44,20.6755,2426884
2009-01-29,27.07,27.33,26.71,26.85,20.2308,2021484
2009-01-30,26.91,27.06,25.76,25.89,19.5075,3024198
2009-02-02,25.31,26.41,25.27,26.14,19.6957,2441433
2009-02-03,26.16,27.05,25.92,26.94,20.2988,3023969
2009-02-04,26.94,27.36,26.42,26.59,20.0349,2505141
2009-02-05,26.52,27.43,26,27.13,20.4419,3121493
2009-02-06,27.25,28.06,27.18,28,21.0974,2628576
2009-02-09,28.04,28.25,27.44,28.11,21.18,2832833
2009-02-10,27.41,28.8,27.11,27.49,20.7132,4058002
2009-02-11,27.61,28.35,27.29,28.06,21.1426,3186362
2009-02-12,27.64,28.53,26.87,28.51,21.4818,4213345
2009-02-13,28.2,28.56,27.76,28.28,21.3083,3086198
2009-02-17,27.51,27.63,26.49,26.5,19.9671,3858334
2009-02-18,26.75,26.75,25.74,26,19.5904,3967591
2009-02-19,25.41,25.96,25,25.31,19.0705,5403628
2009-02-20,25.16,25.21,24.6,24.97,18.8143,4869979
2009-02-23,25.19,25.19,23.9,23.97,18.0608,4055945
