Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,60.61,62.65,59.5,62.16,41.4927,6795971
2009-01-05,61.94,63.97,60.88,61.74,41.2121,9914920
2009-01-06,62.79,64,61.03,61.64,41.1455,13244183
2009-01-07,60.92,61.05,57.3,58.11,38.7894,8594741
2009-01-08,57.76,59.44,57.6406,59,39.383,6232313
2009-01-09,58.95,59.23,56.08,56.3,37.5809,7039249
2009-01-12,55.25,55.92,53.94,54.37,36.2923,7378285
2009-01-13,55.34,56.58,54.1,56.31,37.5874,8528733
2009-01-14,54.99,55.45,53,53.74,35.8721,8494359
2009-01-15,53.59,53.92,51.08,53.53,35.7319,11258878
2009-01-16,54.81,55.79,52.56,53.53,35.7319,8254241
2009-01-20,52.25,54.21,50.54,50.88,33.9629,9253611
2009-01-21,51.43,56.1,51.3,55.79,37.2406,9205086
2009-01-22,54.61,55.6,52.95,54.16,36.1524,7317493
2009-01-23,52.72,56.1,52.15,55.54,37.0738,9358828
2009-01-26,55.62,58.22,55.57,56.82,37.9282,7916932
2009-01-27,56.88,57.33,55.28,56.73,37.8677,8628495
2009-01-28,58.22,59.9,56.81,59.38,39.637,9403520
2009-01-29,58.06,59.52,56.81,56.82,37.9282,9502342
2009-01-30,57.97,57.99,54.04,54.55,36.4124,9940139
2009-02-02,53.39,54.75,52.8,54.15,36.1459,6565637
2009-02-03,54.61,55.93,54.22,55.28,36.9003,7126553
2009-02-04,56.01,57.13,54.95,55.73,37.2007,9026677
2009-02-05,55,56.7,54.92,56.15,37.481,9143841
2009-02-06,55.52,57.07,54.66,56.77,37.8948,7939081
2009-02-09,57.08,59.03,56.85,58.61,39.1228,9088186
2009-02-10,58.74,59.37,54.66,55.44,37.0069,11386031
2009-02-11,56.4,57.53,54.96,55.79,37.2406,10536445
2009-02-12,54.87,55.95,53.56,55.84,37.2737,9199664
2009-02-13,55.44,57.49,55.24,56.58,37.7679,6715869
2009-02-17,54.66,54.71,52.35,52.36,34.9509,9250878
2009-02-18,52.85,53.21,51.05,51.54,34.4036,7838465
2009-02-19,51.89,52.91,51.05,51.31,34.2501,9020472
2009-02-20,50.1,50.92,48.65,50.06,33.4152,9291956
2009-02-23,50.99,51.48,47.5,47.56,31.7471,8119135
2009-02-24,48.34,50.76,47.66,50.47,33.6892,9469227
2009-02-25,50.15,51.41,48.76,50.13,33.4624,8610569
2009-02-26,51.11,54.02,50.84,52.5,35.0444,10651015
2009-02-27,51.33,53.42,50.68,51.87,34.6242,10559713
2009-03-02,50.3,50.34,48.27,48.87,32.6214,12724200
2009-03-03,49.33,50.51,48.24,48.78,32.5615,11280262
2009-03-04,49.97,53.64,49.82,52.82,35.2579,12717722
2009-03-05,51.11,52.45,49.25,50.04,33.4021,10624869
2009-03-06,50.7,52.33,48.7,50.54,33.9532,11149578
2009-03-09,49.6,51.8,48.93,50.39,33.8525,8386131
2009-03-10,52.27,54.93,51.54,53.56,35.9818,10912397
2009-03-11,53.24,55.27,52.55,53.82,36.1568,8764574
2009-03-12,54.45,56.84,53.77,56.46,37.9304,9377616
2009-03-13,56.75,56.99,53.6,54.69,36.7411,9052269
2009-03-16,53.91,54.83,53.2,53.59,36.0022,9695375
2009-03-17,53.8,55.59,52.79,55.59,37.3458,7638659
2009-03-18,54.95,57.78,53.39,56.84,38.1857,9294350
2009-03-19,57.95,60.8,57.7,58.98,39.6232,10956574
2009-03-20,59.18,60,56.56,56.74,38.1185,9673580
2009-03-23,58.58,60.98,58.12,60.97,40.9601,9003774
2009-03-24,59.89,60.17,58.49,58.68,39.4218,7132131
2009-03-25,59.24,59.72,57,58.76,39.4752,9045411
2009-03-26,59.56,59.8,57.79,58.78,39.489,8921635
2009-03-27,57.57,58.76,56.99,57.96,38.938,9423957
2009-03-30,56.46,56.77,55.3,56.2,37.7558,8176811
2009-03-31,56.98,57.53,55.63,55.65,37.3862,7480721
2009-04-01,54.62,57.63,54,57.33,38.5146,8359689
2009-04-02,59.42,62,59.35,60.11,40.3824,9566382
2009-04-03,59.94,61.57,59.4,60.39,40.5705,9030407
2009-04-06,59.41,59.69,56.85,57.72,38.7765,9708007
2009-04-07,56.8,56.83,55.42,55.73,37.4398,7420716
2009-04-08,55.96,57.35,54.22,56.77,38.1387,6011827
2009-04-09,58.51,59.06,57.88,58.53,39.321,5822496
2009-04-13,57.75,59.48,56.71,58.72,39.4486,5096811
2009-04-14,57.9,59.44,57.6,57.85,38.8639,6002529
2009-04-15,57.76,59.38,57.41,58.34,39.1932,4934447
2009-04-16,59.3,59.57,57.43,58.98,39.6232,5307621
2009-04-17,59.32,59.97,58.74,59.64,40.0666,7305308
2009-04-20,58.18,58.46,55.51,55.88,37.5406,7140073
2009-04-21,55.04,56.3,51.52,56.06,37.6615,8461230
2009-04-22,55.27,56.73,55,55.56,37.3256,7745470
2009-04-23,56.29,56.39,54.63,55.97,37.6012,9513829
2009-04-24,56.78,57.49,55.41,55.87,37.5342,8708744
2009-04-27,54.83,55.18,53.73,54.81,36.8219,6775737
2009-04-28,54.19,55.87,53,54.77,36.7951,6108386
2009-04-29,55.93,58.33,55.25,57.4,38.5617,7931222
2009-04-30,57.75,58.46,55.41,56.29,37.8162,6750656
2009-05-01,56.56,58.95,56.35,58.47,39.2807,6452116
2009-05-04,59.06,61.14,58.41,60.9,40.9133,7855538
2009-05-05,61.41,61.71,59.9,60.47,40.6243,5250451
2009-05-06,61.59,65.45,61.45,64.58,43.3853,9250112
2009-05-07,66.01,66.1,61.33,62.47,41.9679,8077711
2009-05-08,63.65,66.14,63.51,65.32,43.8827,7528191
2009-05-11,64.41,64.41,61.95,62.88,42.2436,5769616
2009-05-12,63.37,64.2,61.28,63.17,42.438,7824337
2009-05-13,62.14,62.79,60.85,61.33,41.2023,6064105
2009-05-14,60.78,62.08,60.28,61.41,41.2559,4616080
2009-05-15,61.31,61.9,59.5,60.03,40.3285,6454582
2009-05-18,60.79,62.26,60.79,61.96,41.6251,5906355
2009-05-19,61.9,63.31,61.52,62.28,41.8403,5155879
2009-05-20,63.09,65.13,62.78,63.01,42.3308,7216993
2009-05-21,61.42,61.46,60.09,61.24,41.1415,7027167
2009-05-22,61.77,62.88,61.24,62.03,41.672,4788774
2009-05-26,61.44,63.64,60.87,63.39,42.5861,6246842
2009-05-27,63.83,64.9,62.58,62.83,42.2099,4855535
