Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,34.35,37.68,34.35,37.08,9.3328,499084
2009-01-05,36.44,39.5,36.44,38.19,9.6123,834507
2009-01-06,39.03,39.48,38.25,38.98,9.8112,774747
2009-01-07,38.76,39.43,38.13,38.52,9.6954,620699
2009-01-08,38.5,38.94,37.54,38.82,9.7708,486896
2009-01-09,39.34,39.34,38.25,38.35,9.6526,441669
2009-01-12,38.25,38.26,36.63,36.75,9.2499,462871
2009-01-13,36.76,38.209,36.76,38.19,9.6123,558216
2009-01-14,38.2,38.72,37.06,38.44,9.6753,509869
2009-01-15,38.43,38.75,36.39,37.39,9.4111,650778
2009-01-16,38.03,38.38,37.14,37.78,9.509,304068
2009-01-20,37.84,38,36.34,36.45,9.1744,459053
2009-01-21,36.5,38.01,36.5,38,9.5645,498661
2009-01-22,37.81,38.65,37.35,37.74,9.4992,604029
2009-01-23,37.49,39.09,37.35,38.55,9.703,427710
2009-01-26,38.35,39.98,38.35,39.39,9.9144,416500
2009-01-27,39.95,40.05,38.61,38.83,9.7735,638473
2009-01-28,40.23,40.41,39.09,39.38,9.9118,818763
2009-01-29,39.1,39.7199,39.1,39.34,9.9017,451352
2009-01-30,38.85,38.99,37.21,37.8,9.735,562105
2009-02-02,37.79,37.83,36.55,36.72,9.4569,565334
2009-02-03,36.97,37.61,34.86,35.16,9.0552,1287090
2009-02-04,35.49,36.69,35.35,36.28,9.3436,856070
2009-02-05,36.75,37.86,36.21,37.5,9.6578,617532
2009-02-06,37.83,38.355,37.53,38.1,9.8123,499371
2009-02-09,38.29,38.85,37.77,38.25,9.8509,488506
2009-02-10,38.95,38.95,37.54,38.02,9.7917,553741
2009-02-11,38.43,38.59,37.3,37.67,9.7015,404147
2009-02-12,37.11,40,37.11,39.93,10.2836,874004
2009-02-13,39.99,40.98,39.64,39.96,10.2913,688302
2009-02-17,39.23,40.73,39.23,39.69,10.2217,536320
2009-02-18,40.17,40.17,38.53,39,10.044,570371
2009-02-19,39.75,40.14,38.01,38.56,9.9309,598351
2009-02-20,38.06,38.2716,36,37.23,9.5882,631187
2009-02-23,37.53,37.58,35.08,35.2,9.0655,557974
2009-02-24,35.38,37.08,34.23,36.66,9.4416,668179
2009-02-25,36.41,38.04,35.957,37.54,9.6681,502239
2009-02-26,38.1,39.3928,37.65,38.07,9.8045,386737
2009-02-27,37.81,39.47,37.4,38.54,9.9256,518143
2009-03-02,37.9,38.11,36.52,37.41,9.6347,572128
2009-03-03,37.43,37.43,35.35,36.01,9.274,652535
