Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,7.84,8.59,7.71,8.52,7.0009,683500
2009-01-05,8.52,8.96,8.2,8.78,7.2146,629100
2009-01-06,9.04,9.44,8.94,9.19,7.5518,882700
2009-01-07,9,10,8.66,9.16,7.5271,1024500
2009-01-08,9.4,9.4,8.83,9.18,7.5434,681200
2009-01-09,9.3,9.3,8.71,8.94,7.3462,631500
2009-01-12,8.81,9,7.99,8.08,6.6394,971400
2009-01-13,7.91,8.37,7.88,8.21,6.7463,645200
2009-01-14,8.22,8.22,7.2,7.41,6.0887,1022700
2009-01-15,7.4,7.58,7,7.35,6.0398,583300
2009-01-16,7.57,7.7,7.16,7.43,6.1055,676500
2009-01-20,7.52,7.52,6.82,6.85,5.6289,404500
2009-01-21,7.07,7.55,6.83,7.49,6.1545,562300
2009-01-22,7.48,7.77,7.16,7.54,6.1961,518700
2009-01-23,7.36,7.43,7.14,7.34,6.0315,781400
2009-01-26,7.48,7.96,7.41,7.72,6.3436,701100
2009-01-27,7.56,8.02,7.55,7.57,6.2205,248500
2009-01-28,7.76,8.22,7.76,8.13,6.6807,369100
2009-01-29,7.88,8.08,7.57,7.62,6.2616,331900
2009-01-30,7.7,7.75,7.31,7.42,6.0973,544400
2009-02-02,7.18,7.58,7.03,7.27,5.9739,569800
2009-02-03,7.14,7.27,6.79,6.99,5.744,761100
2009-02-04,6.93,7.18,6.93,7.04,5.785,827500
2009-02-05,7.13,7.65,6.98,7.61,6.2533,458100
2009-02-06,7.71,8.87,7.64,8.47,6.96,969000
2009-02-09,8.37,8.61,8.36,8.59,7.0588,845700
2009-02-10,8.4,8.76,8.32,8.52,7.0009,1329400
2009-02-11,8.62,8.75,7.92,8.03,6.5984,954100
2009-02-12,7.95,7.98,7.23,7.48,6.1463,1056300
2009-02-13,7.55,7.59,7.06,7.26,5.9657,976000
2009-02-17,6.75,6.92,5.9,5.97,4.9058,1997900
2009-02-18,6.12,6.14,5.41,5.44,4.4701,1371900
2009-02-19,5.59,5.78,5.06,5.06,4.1582,1436500
2009-02-20,5.24,5.33,4.92,5.12,4.2069,1591600
2009-02-23,5.25,5.57,5.22,5.3,4.3552,1168100
2009-02-24,5.47,6.19,5.47,6.01,4.9388,1477900
2009-02-25,5.92,6.58,5.77,6.19,5.0864,2716100
2009-02-26,6.19,6.33,5.73,5.79,4.7578,1110200
2009-02-27,5.73,6.03,5.57,5.66,4.6509,1018300
2009-03-02,5.58,5.66,5.31,5.4,4.4373,1117100
2009-03-03,5.42,5.59,5.08,5.27,4.3304,1021300
2009-03-04,5.31,5.71,5.3,5.58,4.585,688700
2009-03-05,5.36,5.55,5.18,5.25,4.3139,926800
2009-03-06,5.32,5.58,4.83,5.03,4.1332,927800
2009-03-09,4.9,5.15,4.82,4.84,3.9771,699300
2009-03-10,5.08,6.07,4.96,5.75,4.7251,871400
2009-03-11,5.68,6.21,5.68,5.86,4.8153,636500
2009-03-12,5.81,6.9,5.71,6.78,5.5711,849500
2009-03-13,6.76,7.02,6.61,6.93,5.6947,783900
2009-03-16,7.05,7.82,7.05,7.32,6.0151,912200
2009-03-17,7.29,7.46,7.11,7.46,6.1299,593300
2009-03-18,7.3,8.92,7.24,8.86,7.2805,1522800
2009-03-19,8.91,9.1,8.57,8.66,7.1162,1207200
2009-03-20,8.79,9.19,8.59,8.74,7.1818,1261500
2009-03-23,8.97,9.93,8.94,9.87,8.1105,941000
2009-03-24,9.77,10.19,9.4,9.51,7.8147,1007900
2009-03-25,9.5,10.31,9.5,9.96,8.1844,1005400
2009-03-26,10.13,10.34,9.93,10.23,8.4064,810500
2009-03-27,10.23,10.23,9.74,9.8,8.0531,877500
2009-03-30,9.41,9.41,8.92,9.15,7.5188,917400
2009-03-31,9.57,9.59,9.17,9.33,7.6669,609500
2009-04-01,9.08,9.35,8.88,9.2,7.5596,669600
2009-04-02,9.64,11.18,9.64,10.47,8.6035,1594000
2009-04-03,10.47,11.45,10.41,11.34,9.3182,869200
2009-04-06,11.15,11.2,10.5,10.9,8.9566,806800
2009-04-07,10.53,10.59,9.49,9.55,7.8476,1094300
2009-04-08,9.65,10.31,9.65,9.87,8.1105,602600
2009-04-09,10.17,11.26,10.17,11.16,9.1708,722000
2009-04-13,10.58,11.09,10.05,10.59,8.7021,797600
2009-04-14,10.46,11.01,10.15,10.65,8.7516,1199800
2009-04-15,10.54,10.87,10.2,10.87,8.932,616800
2009-04-16,11.05,12.09,10.97,11.93,9.8031,693300
2009-04-17,11.93,12.43,11.56,12.31,10.1153,459000
2009-04-20,11.73,11.94,11.02,11.16,9.1708,614100
2009-04-21,10.66,11.27,10.16,11.05,9.0799,936800
2009-04-22,11.07,12.7,10.93,11.93,9.8031,1383600
2009-04-23,12.03,12.94,11.95,12.11,9.9509,1752800
2009-04-24,12.3,12.71,12.04,12.17,10.0003,1382900
2009-04-27,12.02,12.24,11.47,11.79,9.688,833000
2009-04-28,11.59,12.65,11.58,12.5,10.2717,885200
2009-04-29,12.62,13.63,12.51,13.24,10.8796,1149300
2009-04-30,13.5,13.97,13.2,13.25,10.8879,1852700
2009-05-01,13.32,13.58,12.87,13.39,11.0027,960600
2009-05-04,13.61,14,13.31,13.56,11.1425,1351300
2009-05-05,13.8,13.99,12.14,13.47,11.0685,2315700
2009-05-06,13.5,13.65,12.55,12.79,10.51,1249400
2009-05-07,12.99,13.19,11.9,12.05,9.9017,1176500
2009-05-08,12.64,13.49,12.41,13.16,10.8138,931900
2009-05-11,12.99,13.29,12.51,12.86,10.5672,845900
2009-05-12,12.63,13.03,11.89,12.05,9.9017,682300
2009-05-13,11.85,11.85,10.74,10.85,8.9158,1052300
2009-05-14,11.08,11.73,10.56,11.18,9.1867,1038000
2009-05-15,11.31,11.59,10.8,10.91,8.9653,1272100
