Date,Open,High,Low,Close,Adjusted_close,Volume
2012-07-20,55.15,62.07,53.1,53.13,53.13,7016057
2012-07-23,52.6,54,51.1,51.51,51.51,788384
2012-07-24,52,56,51.52,55.5,55.5,716703
2012-07-25,56.5,59,55.3,58.95,58.95,599608
2012-07-26,59.78,61.85,58.081,59.88,59.88,427801
2012-07-27,60.88,60.88,57,57,57,153352
2012-07-30,56.86,56.86,53.92,55,55,276393
2012-07-31,55,57.14,52.21,57.14,57.14,285401
2012-08-01,58.72,58.72,55.14,56.18,56.18,110809
2012-08-02,55.68,60,53.27,55.1,55.1,165971
2012-08-03,56.65,56.8953,54.25,54.79,54.79,290843
2012-08-06,55.7,55.9225,53.68,54.78,54.78,156224
2012-08-07,55,57.44,54.5201,56.8,56.8,365732
2012-08-08,56.2,61,55.874,60.93,60.93,503938
2012-08-09,61,62.46,59.86,61.33,61.33,293130
2012-08-10,61,63.97,60.49,61.32,61.32,285027
2012-08-13,61.1,63.08,60,62.72,62.72,221997
2012-08-14,64.13,64.36,59.33,59.8,59.8,473650
2012-08-15,59.6,62.9,57.7,62.73,62.73,253736
2012-08-16,63.5,66.91,61.87,66.5,66.5,371863
2012-08-17,67.1,68.5,64.84,67.29,67.29,384557
2012-08-20,66.78,67.15,64.97,65.47,65.47,269987
2012-08-21,65.48,66.43,63.28,64.32,64.32,247566
2012-08-22,65.06,65.17,63.1194,63.25,63.25,124652
2012-08-23,63.2,64.877,62.5,64.14,64.14,215203
2012-08-24,63.45,65.77,63.25,64.77,64.77,202875
2012-08-27,65.05,65.835,62.62,63.69,63.69,176942
2012-08-28,63.7,64.41,62.91,63.9,63.9,104152
2012-08-29,64.22,65.1,63.1,64.73,64.73,161989
2012-08-30,64.71,66.6698,63.27,63.43,63.43,229854
2012-08-31,64.48,64.58,63.101,64.38,64.38,92236
2012-09-04,65.3,70.28,63.9,70.21,70.21,767801
2012-09-05,72.61,72.61,69.12,70,70,472975
2012-09-06,70.71,72,70.38,71.41,71.41,224733
2012-09-07,72.16,72.22,69.36,70.74,70.74,590170
2012-09-10,71.51,72.6,71.13,71.75,71.75,1384888
2012-09-11,66.75,69.74,64.33,66.6,66.6,3025834
2012-09-12,67.68,68.25,64.75,64.86,64.86,689044
2012-09-13,64.75,68.23,64.75,67.98,67.98,767769
2012-09-14,68.59,68.97,66.88,66.99,66.99,424663
2012-09-17,66.72,67.98,66.58,67.91,67.91,148371
