Date,Open,High,Low,Close,Adjusted_close,Volume
2012-12-13,28,28.17,25.88,26.25,19.7196,17960191
2012-12-14,26.25,27.5,26.25,27.02,20.2981,1012157
2012-12-17,27.6,28.43,27.25,28.04,21.0643,817858
2012-12-18,28.04,28.59,27.52,27.87,20.9367,925184
2012-12-19,27.63,28.13,27,27.6,20.7338,1128779
2012-12-20,27.4,28.11,27.12,27.83,20.9067,1018078
2012-12-21,27.45,27.94,27.2685,27.92,20.9747,405764
2012-12-24,28,28,27.5,27.89,20.9518,15567
2012-12-26,28.07,28.5,27.71,28.06,21.0796,189880
2012-12-27,28.24,28.3,27.59,28.3,21.2598,199506
2012-12-28,28,28.07,27.75,27.81,20.8917,105612
2012-12-31,27.69,29.05,27.65,29.05,21.8233,205546
2013-01-02,29.54,29.8,28.1,29.35,22.0486,439401
2013-01-03,29.2,29.2559,28.02,28.3,21.2598,430947
2013-01-04,28.19,28.61,28,28.07,21.0869,156392
2013-01-07,27.9,28.3825,27.25,27.5,20.6588,502260
2013-01-08,27.69,27.71,27.19,27.35,20.5463,306983
2013-01-09,27.82,27.93,27.1029,27.47,20.6362,388715
2013-01-10,27.13,27.65,27.13,27.56,20.704,157626
2013-01-11,27.93,28.23,27.46,28.12,21.1246,790731
2013-01-14,28.15,28.21,27.82,28.02,21.0495,167933
2013-01-15,27.63,28.96,27.62,28.77,21.6128,480543
2013-01-16,28.9,29.5,28.72,29.21,21.9435,710804
2013-01-17,29.15,29.97,28.36,29.42,22.1014,430993
2013-01-18,29.3,29.54,28.2,28.5,21.4101,524967
2013-01-22,28.76,29.68,28.5,29.05,21.8233,918416
2013-01-23,28.84,29.33,28.25,28.94,21.7404,479566
2013-01-24,29,29.92,28.705,29.47,22.1389,480140
2013-01-25,29.43,30.28,29.1384,29.95,22.499,496202
2013-01-28,30.12,32.9,30.108,31.89,23.9567,1455441
2013-01-29,31.98,33.13,31.66,33,24.7905,530272
2013-01-30,33,33.67,32.76,33.2,24.9408,580472
2013-01-31,32.8,33.4,32.43,33.4,25.0911,508360
2013-02-01,34,34.13,32.98,33.3,25.0161,710660
2013-02-04,33.35,33.74,33.02,33.62,25.2564,508667
2013-02-05,33.99,36.05,33.76,35.92,26.9841,1569138
2013-02-06,35.96,36.25,35.59,35.88,26.9542,336588
2013-02-07,36.22,36.48,35.681,36.35,27.3071,865217
2013-02-08,36.36,39.1,36.36,38.76,29.1179,940934
2013-02-11,39.08,40,37.61,38.17,28.6745,1206044
2013-02-12,38.09,38.09,36.88,37.78,28.3815,816491
2013-02-13,37.98,38.57,37.98,38.55,28.9598,462942
2013-02-14,38.78,38.78,38,38.5,28.9223,529953
2013-02-15,38.84,39.01,37.9,38.43,28.8699,458632
2013-02-19,38.83,38.84,38.02,38.7,29.0726,346323
2013-02-20,39.12,39.43,37.85,38.25,28.7344,540005
2013-02-21,39,39.78,36.64,38.17,28.6745,1302789
2013-02-22,38.52,40.33,38.52,40.17,30.1771,2060552
