Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,38.49,39.08,38.43,38.81,27.6658,1538000
2009-01-05,38.46,39.04,38.24,38.7,27.5874,3099300
2009-01-06,38.74,39.09,37.84,38.12,27.174,2851600
2009-01-07,37.57,37.99,37.46,37.91,27.0243,2718200
2009-01-08,37.91,38.31,37.54,37.96,27.0599,2449000
2009-01-09,38.1,38.69,37.47,38.24,27.2595,2348200
2009-01-12,38.34,39.13,38.32,38.71,27.5946,2141700
2009-01-13,37.69,37.99,36.73,37.02,26.3898,3433300
2009-01-14,36.83,36.9,35.59,36.65,26.1261,3168600
2009-01-15,36.62,36.92,36.24,36.71,26.1689,2463300
2009-01-16,37.15,37.81,37.08,37.6,26.8033,2220700
2009-01-20,37.47,38.11,37.21,37.26,26.5609,2843900
2009-01-21,37.3,37.83,36.88,37.71,26.8817,2634000
2009-01-22,37.59,37.94,37.13,37.77,26.9245,3356600
2009-01-23,36.87,37.95,36.87,37.84,26.9744,2914500
2009-01-26,37.93,39.05,37.85,38.75,27.6231,2907600
2009-01-27,38.63,39.06,38.15,38.9,27.73,2302500
2009-01-28,39.21,39.3,38.2,38.92,27.7443,2149500
2009-01-29,38.85,39.47,38.55,38.93,27.7514,2073300
2009-01-30,39.12,39.98,38.43,38.67,27.566,2895800
2009-02-02,38.12,39.1,37.86,38.85,27.6944,2276200
2009-02-03,39.16,39.41,38.56,39.13,27.894,1550800
2009-02-04,39.92,40.41,38.9,39.33,28.0365,2823400
2009-02-05,39.3,39.54,38.97,39.14,27.9011,3124300
2009-02-06,39.01,39.54,38.62,39.08,27.8583,3126100
2009-02-09,38.9,39.26,38,38.21,27.2381,3306200
2009-02-10,37.92,38.21,36.87,37.21,26.5253,2936600
2009-02-11,37.51,37.7,36.88,37.42,26.675,1814500
2009-02-12,36.97,37.45,36.19,37.45,26.6964,2598300
2009-02-13,37.38,38.09,37.38,37.81,26.953,2225400
2009-02-17,37.25,37.37,36.31,36.88,26.29,4011000
2009-02-18,37.04,37.1,35.23,35.56,25.3491,4568100
2009-02-19,35.6,36.48,35.51,35.73,25.4703,3228500
2009-02-20,35.41,36.39,34.69,35.09,25.014,2398200
2009-02-23,35.34,35.58,34.5,35,24.9499,3924900
2009-02-24,35.21,36.82,35,36.76,26.2045,3927100
2009-02-25,36.66,37.98,36.06,37.53,26.7534,4993600
2009-02-26,37.96,38.62,37.42,37.96,27.0599,5283600
2009-02-27,37.34,38.84,36.96,38.22,27.2453,5651500
2009-03-02,37.64,38.74,37.57,38.02,27.1027,7531200
2009-03-03,38.27,38.79,37.72,38,27.0884,9647000
2009-03-04,38.41,38.61,37.47,37.52,26.7463,8561800
2009-03-05,36.99,36.99,34.7,36.65,26.1261,6001100
2009-03-06,36.9,37.85,35.75,36.69,26.1546,4633400
2009-03-09,36.42,36.63,35.29,35.53,25.3277,3472300
2009-03-10,35.01,36.03,34.66,35.84,25.5487,3963500
2009-03-11,35.99,36.22,35.37,35.54,25.3348,3779300
2009-03-12,35.5,36.1,35.34,35.92,25.6057,3721200
2009-03-13,37.34,37.34,35.52,36.22,25.8196,3483300
2009-03-16,36.42,37.56,36.42,36.84,26.2615,2871800
2009-03-17,36.8,37.6,36.59,37.56,26.7748,2425800
2009-03-18,37.43,39.04,37.23,38.43,27.395,3949400
2009-03-19,38.71,38.91,37.92,38.37,27.3522,2998400
2009-03-20,38.64,39.34,38.4,38.63,27.5375,4283800
2009-03-23,39.24,40.35,38.82,40.33,28.7494,3236100
2009-03-24,39.84,40.44,39.03,40.29,28.7209,5077400
2009-03-25,40.47,41.06,39.8,40.32,28.7423,2655000
2009-03-26,40.54,40.71,39.62,40.41,28.8064,3095000
2009-03-27,38.98,39.46,38.58,38.8,27.9492,4141900
2009-03-30,38.21,38.59,37.64,38.03,27.3945,3461500
2009-03-31,38.09,38.64,37.95,38.22,27.5314,5141500
2009-04-01,37.84,38.53,37.67,38.15,27.481,2624100
2009-04-02,38.17,38.52,37.18,37.48,26.9984,4738500
2009-04-03,37.33,37.9,36.82,37.18,26.7823,2567500
2009-04-06,36.81,37.25,36.5,36.79,26.5013,3323100
2009-04-07,36.88,38.52,36.79,37.83,27.2505,4202100
2009-04-08,37.95,38.71,37.83,38.51,27.7403,2198200
2009-04-09,38.82,39.11,37.93,38.44,27.6899,1974100
2009-04-13,38.36,38.41,37.7,37.78,27.2145,1779000
2009-04-14,37.53,37.61,37.03,37.37,26.9191,1709700
2009-04-15,37.62,38.07,37.37,37.85,27.2649,1679400
2009-04-16,37.98,38.33,37.85,37.99,27.3657,2304500
2009-04-17,38.23,38.35,37.21,37.4,26.9407,2926600
2009-04-20,37.03,37.97,37.02,37.66,27.128,1932600
2009-04-21,37.24,38.25,37.24,37.96,27.3441,1986000
2009-04-22,37.8,37.88,37.11,37.31,26.8759,1861800
2009-04-23,37.31,37.55,37.01,37.48,26.9984,1684000
2009-04-24,37.67,37.79,36.61,36.95,26.6166,2269600
2009-04-27,36.52,37.78,36.52,37.13,26.7462,2879300
2009-04-28,37.03,38.19,37.02,37.74,27.1856,2009700
2009-04-29,37.9,38.12,37.25,37.5,27.0128,2082700
2009-04-30,37.73,38.03,36.82,37.12,26.739,3888200
2009-05-01,37.2,37.8,37.04,37.8,27.2289,1565300
2009-05-04,37.92,38.02,37.29,37.86,27.2721,2442000
2009-05-05,37.8,37.89,37.35,37.79,27.2217,1995100
2009-05-06,38.06,38.06,36.71,37.26,26.8399,3348000
2009-05-07,37.46,37.77,36.96,37.25,26.8327,2989300
2009-05-08,37.51,38.17,36.61,36.96,26.6238,3159800
2009-05-11,36.77,37.09,36.45,36.76,26.4797,2111000
2009-05-12,36.85,37.39,36.57,37.3,26.8687,1730200
2009-05-13,36.89,37.06,36,36.33,26.17,2301200
2009-05-14,36.44,36.68,35.8,36.28,26.1339,2216800
2009-05-15,36.1,36.24,35.23,35.58,25.6297,2876400
2009-05-18,35.8,35.97,35.19,35.59,25.6369,2155400
2009-05-19,35.54,36.25,35.3,35.64,25.6729,2257000
2009-05-20,35.79,35.9,34.89,34.95,25.1759,2403000
2009-05-21,34.69,35.04,34.6,34.82,25.0823,2183700
2009-05-22,34.81,35.31,34.77,35.05,25.2479,1655300
2009-05-26,35,36.59,34.9,36.52,26.3068,2471400
2009-05-27,36.45,36.82,35.75,35.78,25.7738,1738600
2009-05-28,35.94,37.11,35.9,36.87,26.559,2489000
2009-05-29,36.82,37.25,36.34,36.71,26.4437,2916000
2009-06-01,37.02,37.89,37.02,37.73,27.1784,3322900
2009-06-02,37.73,37.79,37,37.08,26.7102,2883100
2009-06-03,37.06,37.26,36.59,37.24,26.8255,3282200
2009-06-04,37.14,37.6,36.81,37.52,27.0272,3084500
2009-06-05,37.99,38.2,37.34,37.59,27.0776,2857000
2009-06-08,37.65,37.77,36.98,37.48,26.9984,1939200
2009-06-09,37.52,37.67,36.96,37.02,26.667,1356400
2009-06-10,37.17,37.36,36.3,36.97,26.631,2756900
2009-06-11,37.16,37.97,36.99,37.76,27.2001,2981700
2009-06-12,37.68,38.26,37.31,38.04,27.4018,2799200
2009-06-15,37.76,37.87,37.22,37.41,26.9479,3102200
2009-06-16,37.56,37.72,37.13,37.2,26.7967,2643400
2009-06-17,37.2,37.87,37.15,37.19,26.7895,1622500
2009-06-18,37.26,38.5,36.8,38.39,27.6539,2512800
2009-06-19,38.61,38.61,37.63,37.71,27.164,3225000
2009-06-22,37.94,38.49,37.37,38.11,27.4522,2354000
2009-06-23,38.2,38.32,37.27,37.47,26.9912,2624600
2009-06-24,37.61,37.84,37.34,37.68,27.1424,2054000
2009-06-25,37.5,38.64,37.25,38.38,27.6467,2539300
2009-06-26,38.03,38.26,37.73,37.96,27.6467,4035800
2009-06-29,38,38.38,37.78,38.32,27.9089,1931100
2009-06-30,38.12,38.48,37.41,38.44,27.9963,3550100
2009-07-01,38.2,38.94,38.01,38.85,28.2949,2945700
2009-07-02,38.34,38.41,37.97,38.1,27.7486,2533800
2009-07-06,37.99,38.76,37.8,38.47,28.0181,3002100
2009-07-07,38.25,38.36,37.81,38.01,27.6831,2785600
2009-07-08,38.08,38.56,37.46,37.76,27.501,4048300
2009-07-09,37.95,38.16,37.24,37.39,27.2315,2777100
2009-07-10,37.19,37.26,36.59,37.13,27.0422,3423600
2009-07-13,37.14,38.1,37.07,38.08,27.7341,2754800
2009-07-14,38.03,38.09,37.64,37.83,27.552,3721600
2009-07-15,37.9,38.25,37.65,37.92,27.6175,4493600
2009-07-16,38.04,38.04,37.38,37.73,27.4792,3273900
2009-07-17,37.65,37.77,37.25,37.7,27.4573,2794500
2009-07-20,37.91,38.07,37.35,37.84,27.5593,1979900
2009-07-21,37.97,38.5,37.75,38.5,28.04,1977400
2009-07-22,38.3,38.68,38.21,38.45,28.0035,2461300
2009-07-23,38.38,39.5,38.23,39.35,28.659,2439700
2009-07-24,39.11,39.74,39.11,39.55,28.8047,2238900
2009-07-27,39.65,39.88,39.38,39.84,29.0159,1629900
2009-07-28,39.71,39.84,39.21,39.4,28.6954,1623300
2009-07-29,39.23,39.89,39.12,39.87,29.0377,2089200
2009-07-30,39.93,40.85,39.75,40.76,29.6859,3297600
2009-07-31,40.67,40.84,40.31,40.37,29.4019,2918300
2009-08-03,40.36,40.79,39.98,40.66,29.6131,2201500
2009-08-04,40.38,40.68,40.28,40.55,29.533,1672800
