Date,Open,High,Low,Close,Adjusted_close,Volume
2014-05-23,22.3,22.64,21.19,22.2,22.1649,22290800
2014-05-27,22.31,23.42,22.31,22.68,22.6442,2196900
2014-05-28,23.49,23.616,22.8,23.33,23.2931,2236000
2014-05-29,23.57,24.05,22.77,23.89,23.8522,1708600
2014-05-30,24.03,24.18,23.53,23.77,23.7324,687800
2014-06-02,24,24.35,23.5,24.32,24.2816,1146800
2014-06-03,24.3,25.45,24,24.73,24.6909,1236900
2014-06-04,25.34,25.35,24.53,24.83,24.7908,1001900
2014-06-05,25,25.22,24.77,25.16,25.1202,657300
2014-06-06,25.1,25.407,24.6,25,24.9605,1425900
2014-06-09,25.09,25.1,24.07,24.73,24.6909,1039500
2014-06-10,24.93,25,24.61,24.76,24.7209,529600
2014-06-11,24.8,25.02,24.62,24.96,24.9205,549700
2014-06-12,25.02,25.7,24.8,24.99,24.9505,1340600
2014-06-13,25.15,25.175,24.5,24.6,24.5611,686600
2014-06-16,25.36,25.36,23.5,23.62,23.5827,1427000
2014-06-17,23.96,24.02,22.3,22.59,22.5543,2404400
2014-06-18,22.8,23.46,22.5,23.12,23.0835,1597700
2014-06-19,23.55,24.07,22.95,23.54,23.5028,1525200
2014-06-20,23.71,24.01,23.14,23.23,23.1933,1426100
2014-06-23,23.26,23.86,22.55,22.69,22.6541,1550400
2014-06-24,22.8,23.19,21.8,22.11,22.0751,1869900
2014-06-25,22.13,23.2,22.1,23.1,23.0635,1263500
2014-06-26,23.08,24,22.91,23.92,23.8822,1006500
2014-06-27,24.05,24.33,23.28,23.73,23.6925,5331600
2014-06-30,23.67,24.15,23.55,24.07,24.032,874700
2014-07-01,24.03,24.06,23.36,23.39,23.353,1252500
2014-07-02,23.42,23.6,22.8,23.12,23.0835,1081200
2014-07-03,23.01,23.05,22.54,22.62,22.5842,464200
2014-07-07,22.6,23.155,22.4,22.95,22.9137,2047600
2014-07-08,22.77,23.62,22.39,23.43,23.393,983900
2014-07-09,23.49,24,23.26,23.78,23.7424,1001400
2014-07-10,23.15,24,23.07,23.74,23.7025,761500
2014-07-11,23.75,23.75,23.14,23.21,23.1733,1040000
2014-07-14,23.33,23.48,23.03,23.19,23.1533,391200
2014-07-15,23.16,23.19,22.44,22.61,22.5743,2021400
2014-07-16,22.78,22.91,22.51,22.71,22.6741,462500
2014-07-17,22.85,23.69,22.59,23.35,23.3131,1011400
2014-07-18,23.29,23.471,22.866,23.29,23.2532,895500
2014-07-21,23.28,24.16,23.07,23.85,23.8123,633700
2014-07-22,23.99,24.1,23.63,23.81,23.7724,596100
2014-07-23,23.8,24,23.46,23.95,23.9121,445600
2014-07-24,23.97,24.06,23.5,23.81,23.7724,483700
2014-07-25,23.55,23.781,23.02,23.31,23.2732,511500
2014-07-28,23.44,23.61,22.93,23.38,23.343,969600
2014-07-29,23.26,24.23,23.1,23.86,23.8223,1072600
2014-07-30,23.9,24.08,23.25,23.31,23.2732,868500
2014-07-31,23.16,23.28,22.52,22.57,22.5343,978000
2014-08-01,22.51,22.759,21.26,21.55,21.5159,2206100
2014-08-04,21.63,22.52,21.371,22.21,22.1749,766400
2014-08-05,22,22.2,21.642,21.91,21.8754,596200
2014-08-06,21.7,22.35,21.68,21.76,21.7256,383400
2014-08-07,21.89,22.014,21.27,21.42,21.3861,1029200
2014-08-08,21.44,21.73,21.06,21.15,21.1166,895600
2014-08-11,21.43,22.48,21.25,22.22,22.1849,1912500
2014-08-12,22.12,22.22,21.6,21.97,21.9353,729300
2014-08-13,23,23,20.86,20.96,20.9269,2438800
2014-08-14,21,21.13,19.29,19.89,19.8586,2804300
2014-08-15,20.05,20.47,19.63,20.43,20.3977,1640200
2014-08-18,20.48,21.18,20.22,20.95,20.9169,871800
2014-08-19,20.87,21.23,20.19,20.32,20.2879,1315200
2014-08-20,20.21,20.44,19.8,20.34,20.3078,826300
2014-08-21,20.32,20.407,19.57,20.08,20.0483,1818300
2014-08-22,19.98,20.34,19.85,20.02,19.9884,872600
2014-08-25,20.05,20.25,19.95,20.16,20.1281,578900
2014-08-26,20.62,21.6,20.525,20.99,20.9568,2221000
2014-08-27,20.92,21.09,20.627,20.93,20.8969,613100
2014-08-28,20.78,22,20.78,21.55,21.5159,1492900
2014-08-29,21.51,21.94,21.34,21.92,21.8854,992500
2014-09-02,21.77,22.41,21.64,21.93,21.8953,1685100
2014-09-03,22.01,22.302,21.495,21.58,21.5459,647400
2014-09-04,21.6,21.87,20.8,20.83,20.7971,841200
2014-09-05,21,21.24,20.73,20.95,20.9169,1037500
2014-09-08,20.87,21,20.49,20.7,20.6673,1011600
2014-09-09,20.67,21.17,20.62,20.78,20.7472,1613000
2014-09-10,20.71,20.8,20.54,20.63,20.5974,1260300
2014-09-11,20.43,20.87,20.28,20.76,20.7272,1426000
2014-09-12,20.76,20.76,20.45,20.51,20.4776,784100
2014-09-15,20.55,20.86,20.31,20.69,20.6573,1187400
2014-09-16,20.71,21.35,20.52,21.2,21.1665,1049900
2014-09-17,21.32,22.03,21.08,21.28,21.2464,1645100
2014-09-18,21.34,21.535,20.81,21,20.9668,1605500
2014-09-19,21.04,21.29,20.605,20.74,20.7072,3894000
2014-09-22,20.6,20.77,20.15,20.26,20.228,1191000
2014-09-23,20.21,20.565,20.01,20.41,20.3777,874500
2014-09-24,20.37,20.71,20.03,20.66,20.6273,495000
2014-09-25,20.62,20.62,20.01,20.32,20.2879,846600
2014-09-26,20.26,20.73,20.09,20.51,20.4776,763700
2014-09-29,20.86,21.7,20.81,21.37,21.3362,1825300
2014-09-30,21.25,21.57,20.77,21.33,21.2963,2134200
2014-10-01,21.38,21.85,20.79,21.03,20.9968,1546600
2014-10-02,20.85,20.85,19.63,20.35,20.3178,2565100
2014-10-03,20.57,20.57,19.21,19.3,19.2695,1136500
2014-10-06,19.26,19.77,18.95,19.48,19.4492,1089400
2014-10-07,19.35,20.05,19.24,19.28,19.2495,980100
2014-10-08,19.49,19.82,18.54,19.79,19.7587,1194600
2014-10-09,19.68,19.68,18.61,18.87,18.8402,887300
2014-10-10,18.65,19.59,18.52,18.69,18.6605,1140100
2014-10-13,18.63,18.91,16.8,16.88,16.8533,1918100
2014-10-14,17.25,17.769,16.21,16.4,16.3741,1674600
2014-10-15,15.92,17.49,15.16,17.18,17.1528,2308600
2014-10-16,17,18.24,16.56,17.99,17.9616,1685000
2014-10-17,18.22,18.89,17.64,18.03,18.0015,2424600
2014-10-20,18.06,18.25,17.75,17.94,17.9116,812900
2014-10-21,18.12,18.39,17.38,18.25,18.2212,1364900
2014-10-22,18.48,18.48,17.03,17.07,17.043,1329900
2014-10-23,17.35,17.7,16.764,17.49,17.4624,1588400
2014-10-24,17.36,17.525,17.12,17.31,17.2826,688600
2014-10-27,16.48,16.48,14.875,16.01,15.9847,2225400
2014-10-28,16.1,16.845,16,16.71,16.6836,891000
2014-10-29,16.83,17.32,16.67,17.13,17.1029,905300
2014-10-30,16.94,17.22,16.521,16.89,16.8633,1023500
2014-10-31,16.94,17.13,16.43,16.97,16.9432,1244300
2014-11-03,17,17.69,16.48,16.6,16.5738,1260900
2014-11-04,16.24,16.36,15.09,15.46,15.4356,1055800
2014-11-05,15.64,15.88,15.2,15.83,15.805,1180200
2014-11-06,15.69,15.89,15.34,15.82,15.795,722200
2014-11-07,15.88,16.775,15.82,16.42,16.394,1391000
2014-11-10,16.61,16.96,16.31,16.46,16.434,1035700
2014-11-11,16.46,16.67,16.08,16.44,16.414,1401300
2014-11-12,17.37,18.72,16.94,17.91,17.8817,4460900
2014-11-13,17.77,18.18,17.36,17.65,17.6221,1627100
2014-11-14,17.74,18.41,17.65,17.95,17.9216,1444300
2014-11-17,17.84,18,16.692,16.86,16.8334,1205200
2014-11-18,16.89,17.22,16.26,16.51,16.4839,1426900
2014-11-19,16.55,16.94,16.18,16.55,16.5238,1370000
2014-11-20,16.54,17.76,16.39,17.7,17.672,1384800
2014-11-21,17.9,18.255,17.83,17.9,17.8717,1490900
2014-11-24,17.84,17.89,17.1,17.5,17.4723,1451100
2014-11-25,17.54,17.78,17.16,17.33,17.3026,1182800
2014-11-26,17.25,17.45,16.69,16.83,16.8034,709200
2014-11-28,15.45,15.49,12.6,12.64,12.62,2269800
2014-12-01,12.41,12.77,12.31,12.7,12.6799,3437000
2014-12-02,12.55,13.22,12.46,12.96,12.9395,1897000
2014-12-03,13.05,14.05,12.9,13.72,13.6983,1863200
2014-12-04,13.5,13.75,13.02,13.14,13.1192,1470800
2014-12-05,13.06,13.26,12.5,12.63,12.61,1142800
2014-12-08,12.47,12.63,11.11,11.26,11.2422,1301000
2014-12-09,11.18,12.55,11.15,12.49,12.4703,1829700
2014-12-10,12.07,12.37,11.76,11.9,11.8812,2089800
2014-12-11,11.83,12.24,11.67,11.75,11.7314,2161700
2014-12-12,11.43,11.87,11.24,11.51,11.4918,2664000
2014-12-15,11.55,11.85,11.51,11.64,11.6216,1310000
2014-12-16,11.48,12.55,11.4,12.37,12.3504,1960500
2014-12-17,12.28,14.75,12.28,13.71,13.6883,2112500
