Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,29,30.21,28.87,30.05,19.4931,3234900
2009-01-05,30.1,30.99,30.1,30.63,19.8694,3682500
2009-01-06,30.81,31.37,30.39,31.05,20.1418,2765800
2009-01-07,30.77,31.76,30.62,30.92,20.0575,3509300
2009-01-08,30.91,30.99,30.47,30.99,20.1029,1936300
2009-01-09,30.73,31.17,30.48,30.56,19.824,2480900
2009-01-12,30.64,30.83,30.19,30.37,19.7007,2435100
2009-01-13,30.4,30.48,29.49,29.76,19.305,2490600
2009-01-14,29.3,29.99,28.55,29.87,19.3764,3576900
2009-01-15,29.77,30.26,29.64,30.25,19.6229,3279400
2009-01-16,30.66,31.15,30.44,30.97,20.0899,3013400
2009-01-20,30.86,31.35,30.28,30.38,19.7072,3210500
2009-01-21,30.91,31.05,30.19,30.74,19.9407,5687300
2009-01-22,30.15,30.72,30.11,30.48,19.7721,3426900
2009-01-23,30.24,31.14,29.72,31.01,20.1159,3409700
2009-01-26,31.02,32.38,31.02,32,20.7581,4329100
2009-01-27,32.23,32.8,31.81,32.48,21.0694,4585300
2009-01-28,32.94,33.53,32.61,33.24,21.5624,3597400
2009-01-29,32.91,33.66,32.49,32.84,21.303,2272200
2009-01-30,32.77,33.1,31.35,31.57,20.4791,3565200
2009-02-02,31.46,31.96,31.06,31.44,20.3948,3889100
2009-02-03,31.66,31.69,30.84,31.28,20.291,4678000
2009-02-04,30.29,31.71,30.28,31.15,20.2067,3204800
2009-02-05,31.1,31.93,30.85,31.75,20.5959,3412600
2009-02-06,31.99,33.02,31.33,32.68,21.1992,5226900
2009-02-09,32.54,32.88,31.92,32.26,20.9267,2242500
2009-02-10,32.05,32.4,30.83,30.98,20.0964,4217200
2009-02-11,31.09,31.54,30.99,31.41,20.3753,2684500
2009-02-12,30.81,31.12,30.21,31.09,20.1678,3946100
2009-02-13,30.93,31.41,30.76,30.97,20.0899,1910700
2009-02-17,30.1,30.23,29.28,29.31,19.0131,3111000
2009-02-18,29.56,29.6,28.98,29.18,18.9288,3055000
2009-02-19,28.34,29.95,28.34,29.28,18.9936,2294800
2009-02-20,28.77,29.05,27.96,28.52,18.5006,3458600
2009-02-23,28.76,29.05,27.81,27.94,18.1244,3542400
2009-02-24,28.13,28.69,28.01,28.54,18.5136,3733400
2009-02-25,28.45,28.45,27.71,27.91,18.1049,3971000
2009-02-26,28.26,28.39,27.39,27.47,17.8195,2222000
2009-02-27,27.01,27.82,26.63,27.29,17.7027,4040600
2009-03-02,26.96,27.74,26.36,26.48,17.1773,3451400
2009-03-03,26.78,27.1,25.35,25.49,16.5351,4912800
2009-03-04,25.79,26.31,25.44,25.96,16.84,4790400
2009-03-05,25.48,25.5,24.47,24.97,16.1978,4536900
2009-03-06,25.16,25.53,23.9,24.57,16.1534,5621400
2009-03-09,24.28,24.76,23.86,24.13,15.8641,3130500
2009-03-10,24.6,25.35,24.38,25.07,16.4821,5422500
2009-03-11,25.29,25.75,24.46,24.51,16.114,4353200
2009-03-12,24.44,24.6,23.65,24.02,15.7918,6548400
2009-03-13,24.16,24.97,24,24.85,16.3375,5312800
2009-03-16,24.88,25.97,24.86,25.34,16.6596,4532100
2009-03-17,25.42,26.38,24.55,26.33,17.3105,7389000
2009-03-18,26.22,27.75,25.8,27.64,18.1718,6383200
2009-03-19,27.97,28.21,27.36,28.08,18.461,4496600
2009-03-20,28.21,28.49,27.57,27.62,18.1586,5046000
