Date,Open,High,Low,Close,Adjusted_close,Volume
2009-01-02,54.93,56.14,54.72,55.97,40.3301,5182400
2009-01-05,55.82,55.9,55.1,55.6,40.0635,7122000
2009-01-06,55.93,56.93,55,55.7,40.1356,8081600
2009-01-07,55.34,55.34,53.68,53.89,38.8313,7364600
2009-01-08,53.8,54.07,52.8,53.25,38.3702,8210400
2009-01-09,53.47,53.8,52.4,52.57,37.8802,6910700
2009-01-12,52.66,52.66,51.07,51.39,37.0299,9240700
2009-01-13,51.39,52.46,51.2,52.23,37.6352,9295800
2009-01-14,51.9,51.92,50.33,51.1,36.8209,8619000
2009-01-15,51.05,51.1,43.78,50.53,36.4102,8860900
2009-01-16,50.81,51.69,50.76,51.37,37.0155,8964200
2009-01-20,51.58,52.09,50.33,50.43,36.3382,8057700
2009-01-21,51.05,51.05,49.62,50.44,36.3454,8982200
2009-01-22,49.82,50.56,49.24,50.35,36.2805,8916100
2009-01-23,49.4,50.73,49.1,50.62,36.4751,7818700
2009-01-26,50.79,51.6,50,51.42,37.0515,7619600
2009-01-27,51.56,52.28,51.39,51.64,37.2101,6763800
2009-01-28,51.85,52.25,51.36,52.04,37.4983,5803800
2009-01-29,51.85,52.4,51.42,51.68,37.2389,5372400
2009-01-30,51.5,51.88,49.98,50.23,36.1941,7582400
2009-02-02,49.76,50.4,49.04,50.13,36.122,5659900
2009-02-03,50.52,51.74,49.77,51.52,37.1236,5319100
2009-02-04,51.54,52.22,51,51.49,37.102,6898600
2009-02-05,50.86,52.67,50.59,52.35,37.7217,9224600
2009-02-06,52.28,53.64,52.15,53.53,38.5719,6908800
2009-02-09,53.26,53.26,50.78,51.43,37.0587,9006100
2009-02-10,50.92,51.43,49.22,49.53,35.6897,10779800
2009-02-11,50.14,50.92,49.58,50.61,36.4679,5917500
2009-02-12,50.51,52.17,50,52,37.4695,10423700
2009-02-13,52.07,53.46,51.08,52.57,37.8802,11981300
2009-02-17,51.45,52.11,50.5,51.82,37.3398,12454400
2009-02-18,52.27,52.27,51.13,51.53,37.1308,6145400
2009-02-19,51.27,52.55,51,52.2,37.6136,6862800
2009-02-20,51.53,52.05,50.97,51.45,37.0731,9897500
2009-02-23,51.46,51.85,50.03,50.16,36.1436,6899600
2009-02-24,50.88,51.83,50.11,51.68,37.2389,8221100
2009-02-25,51.52,51.85,50.52,50.72,36.5471,7180000
2009-02-26,51.13,51.36,49.33,49.42,35.6104,7448800
